id,console-name,product-name,loose-price
3461483,Pokemon Japanese Megalo Cannon,Abomasnow #20,$2.69
10802143,Pokemon Japanese Megalo Cannon,Abomasnow [1st Edition] #20,$2.99
3461469,Pokemon Japanese Megalo Cannon,Accelgor #8,$2.70
10802146,Pokemon Japanese Megalo Cannon,Accelgor [1st Edition] #8,$2.39
3461511,Pokemon Japanese Megalo Cannon,Aggron #50,$2.00
10802153,Pokemon Japanese Megalo Cannon,Aggron [1st Edition] #50,$1.93
3461505,Pokemon Japanese Megalo Cannon,Archen #44,$2.99
10802160,Pokemon Japanese Megalo Cannon,Archen [1st Edition] #44,$1.89
3461506,Pokemon Japanese Megalo Cannon,Archeops #45,$2.29
10802162,Pokemon Japanese Megalo Cannon,Archeops [1st Edition] #45,$3.81
3461509,Pokemon Japanese Megalo Cannon,Aron #48,$2.53
10802164,Pokemon Japanese Megalo Cannon,Aron [1st Edition] #48,$2.49
3461516,Pokemon Japanese Megalo Cannon,Axew #55,$2.35
10802166,Pokemon Japanese Megalo Cannon,Axew [1st Edition] #55,$2.07
3461491,Pokemon Japanese Megalo Cannon,Azelf #30,$4.44
10802167,Pokemon Japanese Megalo Cannon,Azelf [1st Edition] #30,$6.00
13118500,Pokemon Japanese Megalo Cannon,Booster Box,
13118501,Pokemon Japanese Megalo Cannon,Booster Pack,$190.35
3461533,Pokemon Japanese Megalo Cannon,Caitlin #72,$3.50
10802169,Pokemon Japanese Megalo Cannon,Caitlin [1st Edition] #72,$2.99
3461482,Pokemon Japanese Megalo Cannon,Carracosta #22,$3.14
10802171,Pokemon Japanese Megalo Cannon,Carracosta [1st Edition] #22,$2.99
3461525,Pokemon Japanese Megalo Cannon,Chatot #64,$2.28
10802172,Pokemon Japanese Megalo Cannon,Chatot [1st Edition] #64,$2.39
3461528,Pokemon Japanese Megalo Cannon,Cover Fossil #67,
10802174,Pokemon Japanese Megalo Cannon,Cover Fossil [1st Edition] #67,
3461465,Pokemon Japanese Megalo Cannon,Cradily #4,$2.59
10802175,Pokemon Japanese Megalo Cannon,Cradily [1st Edition] #4,$3.40
3461514,Pokemon Japanese Megalo Cannon,Dialga EX #53,$7.99
3461541,Pokemon Japanese Megalo Cannon,Dialga EX #80,$134.87
10802177,Pokemon Japanese Megalo Cannon,Dialga EX [1st Edition] #53,$9.78
10802179,Pokemon Japanese Megalo Cannon,Dialga EX [1st Edition] #80,$119.99
3461488,Pokemon Japanese Megalo Cannon,Drifblim #27,$2.24
10802180,Pokemon Japanese Megalo Cannon,Drifblim [1st Edition] #27,$4.84
3461487,Pokemon Japanese Megalo Cannon,Drifloon #26,$2.70
10802182,Pokemon Japanese Megalo Cannon,Drifloon [1st Edition] #26,$1.21
3461519,Pokemon Japanese Megalo Cannon,Druddigon #58,$2.24
10802185,Pokemon Japanese Megalo Cannon,Druddigon [1st Edition] #58,$5.02
3461496,Pokemon Japanese Megalo Cannon,Duosion #35,$1.99
10802186,Pokemon Japanese Megalo Cannon,Duosion [1st Edition] #35,$5.00
3461546,Pokemon Japanese Megalo Cannon,Dusknoir #85,$100.00
10802188,Pokemon Japanese Megalo Cannon,Dusknoir [1st Edition] #85,$76.49
3461485,Pokemon Japanese Megalo Cannon,Eelektrik #24,$2.68
10802189,Pokemon Japanese Megalo Cannon,Eelektrik [1st Edition] #24,$0.50
3461486,Pokemon Japanese Megalo Cannon,Eelektross #25,$3.40
10802191,Pokemon Japanese Megalo Cannon,Eelektross [1st Edition] #25,$6.45
3461513,Pokemon Japanese Megalo Cannon,Escavalier #52,$3.01
10802194,Pokemon Japanese Megalo Cannon,Escavalier [1st Edition] #52,$2.39
3461544,Pokemon Japanese Megalo Cannon,Exeggcute #83,$127.34
10802195,Pokemon Japanese Megalo Cannon,Exeggcute [1st Edition] #83,
3461517,Pokemon Japanese Megalo Cannon,Fraxure #56,$3.09
10802196,Pokemon Japanese Megalo Cannon,Fraxure [1st Edition] #56,$0.50
3461536,Pokemon Japanese Megalo Cannon,G Booster #75,$2.17
10802197,Pokemon Japanese Megalo Cannon,G Booster [1st Edition] #75,$2.74
3461535,Pokemon Japanese Megalo Cannon,G Scope #74,$2.90
10802198,Pokemon Japanese Megalo Cannon,G Scope [1st Edition] #74,$2.73
3461471,Pokemon Japanese Megalo Cannon,Genesect EX #10,$4.99
3461539,Pokemon Japanese Megalo Cannon,Genesect EX #78,$79.80
10802200,Pokemon Japanese Megalo Cannon,Genesect EX [1st Edition] #10,$7.29
6869916,Pokemon Japanese Megalo Cannon,Genesect Ex [1st Edition] #78,$40.00
3461478,Pokemon Japanese Megalo Cannon,Glalie #17,$2.98
10802203,Pokemon Japanese Megalo Cannon,Glalie [1st Edition] #17,$2.39
3461498,Pokemon Japanese Megalo Cannon,Golett #37,$1.99
10802205,Pokemon Japanese Megalo Cannon,Golett [1st Edition] #37,$1.25
3461499,Pokemon Japanese Megalo Cannon,Golurk #38,$2.89
10802207,Pokemon Japanese Megalo Cannon,Golurk [1st Edition] #38,$2.39
3461518,Pokemon Japanese Megalo Cannon,Haxorus #57,$1.17
10802208,Pokemon Japanese Megalo Cannon,Haxorus [1st Edition] #57,$2.14
3461508,Pokemon Japanese Megalo Cannon,Houndoom #47,$6.07
10802210,Pokemon Japanese Megalo Cannon,Houndoom [1st Edition] #47,$6.88
3461507,Pokemon Japanese Megalo Cannon,Houndour #46,$2.34
10802211,Pokemon Japanese Megalo Cannon,Houndour [1st Edition] #46,$6.02
3461532,Pokemon Japanese Megalo Cannon,Iris #71,$3.00
3461543,Pokemon Japanese Megalo Cannon,Iris #82,$169.46
10802213,Pokemon Japanese Megalo Cannon,Iris [1st Edition] #71,$3.99
10802214,Pokemon Japanese Megalo Cannon,Iris [1st Edition] #82,
3461512,Pokemon Japanese Megalo Cannon,Jirachi EX #51,$11.61
3461540,Pokemon Japanese Megalo Cannon,Jirachi EX #79,$64.99
10802215,Pokemon Japanese Megalo Cannon,Jirachi EX [1st Edition] #51,$19.99
10802217,Pokemon Japanese Megalo Cannon,Jirachi EX [1st Edition] #79,$38.20
3461467,Pokemon Japanese Megalo Cannon,Karrablast #6,$1.99
10802219,Pokemon Japanese Megalo Cannon,Karrablast [1st Edition] #6,$4.12
3461510,Pokemon Japanese Megalo Cannon,Lairon #49,$2.24
10802221,Pokemon Japanese Megalo Cannon,Lairon [1st Edition] #49,$2.58
3461474,Pokemon Japanese Megalo Cannon,Lapras #13,$2.20
10802222,Pokemon Japanese Megalo Cannon,Lapras [1st Edition] #13,$6.44
3461472,Pokemon Japanese Megalo Cannon,Larvesta #11,$2.50
10802224,Pokemon Japanese Megalo Cannon,Larvesta [1st Edition] #11,$0.38
3461464,Pokemon Japanese Megalo Cannon,Lileep #3,$2.19
10802227,Pokemon Japanese Megalo Cannon,Lileep [1st Edition] #3,$1.25
3461502,Pokemon Japanese Megalo Cannon,Machamp #41,$3.72
10802106,Pokemon Japanese Megalo Cannon,Machamp [1st Edition] #41,$1.85
3461501,Pokemon Japanese Megalo Cannon,Machoke #40,$2.69
10802110,Pokemon Japanese Megalo Cannon,Machoke [1st Edition] #40,$2.49
3461500,Pokemon Japanese Megalo Cannon,Machop #39,$2.73
10802118,Pokemon Japanese Megalo Cannon,Machop [1st Edition] #39,$2.51
3461463,Pokemon Japanese Megalo Cannon,Masquerain #2,$3.08
10802128,Pokemon Japanese Megalo Cannon,Masquerain [1st Edition] #2,$2.39
3461490,Pokemon Japanese Megalo Cannon,Mesprit #29,$4.64
