id,console-name,product-name,loose-price
5252487,Pokemon Japanese Meiji Promo,Alakazam [Embossed],$32.09
4781742,Pokemon Japanese Meiji Promo,Ancient Mew [Prism] #3,$169.99
11670255,Pokemon Japanese Meiji Promo,Blastoise [Rainbow] #28,$130.00
4781760,Pokemon Japanese Meiji Promo,"Blastoise, Charizard [Prism] #21",$133.13
4781752,Pokemon Japanese Meiji Promo,Brock [Prism] #13,$19.90
4781768,Pokemon Japanese Meiji Promo,"Brock, Misty [Prism] #29",$32.49
11711767,Pokemon Japanese Meiji Promo,Buizel #9,$9.59
10367585,Pokemon Japanese Meiji Promo,Bulbasaur [Rainbow] #6,$98.00
4781778,Pokemon Japanese Meiji Promo,"Bulbasaur, Pikachu, Squirtle [Prism] #38",$75.00
4781774,Pokemon Japanese Meiji Promo,Charizard & Others [Prism] #34,$135.53
4781762,Pokemon Japanese Meiji Promo,Charizard Battle [Prism] #23,$24.99
5205619,Pokemon Japanese Meiji Promo,Charizard VS Lugia #13,$315.00
5917439,Pokemon Japanese Meiji Promo,Charizard VS Lugia #15,$250.00
7445191,Pokemon Japanese Meiji Promo,Charizard [Foil],$50.55
9994587,Pokemon Japanese Meiji Promo,Charizard [Rainbow] #29,$160.00
4781785,Pokemon Japanese Meiji Promo,"Charizard, Squirtle [Prism] #45",$7.50
11748278,Pokemon Japanese Meiji Promo,Charmander,$15.33
10351004,Pokemon Japanese Meiji Promo,Clefable [Rainbow] #25,
11184191,Pokemon Japanese Meiji Promo,Combusken #65/PCG-P,$3.99
4781749,Pokemon Japanese Meiji Promo,Corey & Pidgeot [Prism] #10,$31.34
9913407,Pokemon Japanese Meiji Promo,Cubone #60,$20.17
4781782,Pokemon Japanese Meiji Promo,Daaash! [Prism] #42,$52.55
12772919,Pokemon Japanese Meiji Promo,Darkrai,
12924919,Pokemon Japanese Meiji Promo,Deoxys #11/PCG-P,$7.49
4781746,Pokemon Japanese Meiji Promo,Dragonite [Prism] #7,$85.00
4781796,Pokemon Japanese Meiji Promo,Eievui [Embossed],$34.99
4781754,Pokemon Japanese Meiji Promo,Fergus [Prism] #16,$31.00
4781797,Pokemon Japanese Meiji Promo,Fire [Embossed],$26.00
4781798,Pokemon Japanese Meiji Promo,Foodin [Embossed],$31.00
12810577,Pokemon Japanese Meiji Promo,Forretress #101/PCG-P,$1.14
4781799,Pokemon Japanese Meiji Promo,Freezer [Embossed],$33.07
4781777,Pokemon Japanese Meiji Promo,Funny Face Pikachu [Prism] #37,$28.00
4781800,Pokemon Japanese Meiji Promo,Fushigibana [Embossed],$30.48
4781801,Pokemon Japanese Meiji Promo,Fushigidane [Embossed],$24.93
4781802,Pokemon Japanese Meiji Promo,Gangar [Embossed],$125.00
12172376,Pokemon Japanese Meiji Promo,Gardevoir #70/PCG-P,$8.97
12844008,Pokemon Japanese Meiji Promo,Gengar #94,$33.68
6875025,Pokemon Japanese Meiji Promo,Gengar [Foil],$53.41
4781761,Pokemon Japanese Meiji Promo,Go! [Prism] #22,$102.50
4781770,Pokemon Japanese Meiji Promo,Goodbye [Prism] #31,$43.99
10257184,Pokemon Japanese Meiji Promo,Gyarados [Rainbow] #38,
4781788,Pokemon Japanese Meiji Promo,Happy Pikachu [Prism] #48,$76.40
12165232,Pokemon Japanese Meiji Promo,Houndoom Vs Pikachu #1,$159.00
12165233,Pokemon Japanese Meiji Promo,Houndoom Vs Pikachu #14,$145.00
4781758,Pokemon Japanese Meiji Promo,"James, Meowth [Prism] #19",$29.99
10492840,Pokemon Japanese Meiji Promo,Jynx,$4.28
