id,console-name,product-name,loose-price
3439779,Pokemon Japanese Miracle Crystal,Aggron ex #66,$25.12
4928826,Pokemon Japanese Miracle Crystal,Aggron ex [1st Edition] #66,$32.00
10229457,Pokemon Japanese Miracle Crystal,Alakazam [Gold Star 1st Edition] #33,$1225.59
5047564,Pokemon Japanese Miracle Crystal,Alakazam [Gold Star] #33,$755.00
3439777,Pokemon Japanese Miracle Crystal,Aron #64,$3.22
4928827,Pokemon Japanese Miracle Crystal,Aron [1st Edition] #64,$1.79
3439751,Pokemon Japanese Miracle Crystal,Banette #38,$7.99
4928828,Pokemon Japanese Miracle Crystal,Banette [1st Edition] #38,$7.29
3439762,Pokemon Japanese Miracle Crystal,Blastoise #49,$52.73
4928829,Pokemon Japanese Miracle Crystal,Blastoise [1st Edition] #49,$66.00
3439758,Pokemon Japanese Miracle Crystal,Blaziken ex #45,$40.68
4928830,Pokemon Japanese Miracle Crystal,Blaziken ex [1st Edition] #45,$32.39
3439714,Pokemon Japanese Miracle Crystal,Bulbasaur #1,$3.98
4928832,Pokemon Japanese Miracle Crystal,Bulbasaur [1st Edition] #1,$7.69
3439723,Pokemon Japanese Miracle Crystal,Cacnea #10,$3.44
4928831,Pokemon Japanese Miracle Crystal,Cacnea [1st Edition] #10,$2.99
3439761,Pokemon Japanese Miracle Crystal,Cacturne #48,$2.22
4928833,Pokemon Japanese Miracle Crystal,Cacturne [1st Edition] #48,$2.99
3439729,Pokemon Japanese Miracle Crystal,Camerupt #16,$4.79
4928834,Pokemon Japanese Miracle Crystal,Camerupt [1st Edition] #16,$3.37
3439781,Pokemon Japanese Miracle Crystal,Castaway #68,$2.81
4928835,Pokemon Japanese Miracle Crystal,Castaway [1st Edition] #68,$2.99
6996339,Pokemon Japanese Miracle Crystal,Celebi [Gold Star 1st Edition] #4,$287.81
5075762,Pokemon Japanese Miracle Crystal,Celebi [Gold Star] #4,$774.28
3439785,Pokemon Japanese Miracle Crystal,Cessation Crystal #72,$2.39
4928836,Pokemon Japanese Miracle Crystal,Cessation Crystal [1st Edition] #72,$7.98
3439745,Pokemon Japanese Miracle Crystal,Charizard #32,$219.99
4928837,Pokemon Japanese Miracle Crystal,Charizard [1st Edition] #32,$139.99
3439724,Pokemon Japanese Miracle Crystal,Charmander #11,$7.07
4928838,Pokemon Japanese Miracle Crystal,Charmander [1st Edition] #11,$2.99
3439725,Pokemon Japanese Miracle Crystal,Charmeleon #12,$3.41
4928839,Pokemon Japanese Miracle Crystal,Charmeleon [1st Edition] #12,$2.62
3439757,Pokemon Japanese Miracle Crystal,Combusken #44,$3.13
4928840,Pokemon Japanese Miracle Crystal,Combusken [1st Edition] #44,$1.99
3439786,Pokemon Japanese Miracle Crystal,Crystal Beach #73,$3.01
4928841,Pokemon Japanese Miracle Crystal,Crystal Beach [1st Edition] #73,
3439784,Pokemon Japanese Miracle Crystal,Crystal Shard #71,$1.14
4928842,Pokemon Japanese Miracle Crystal,Crystal Shard [1st Edition] #71,
3439772,Pokemon Japanese Miracle Crystal,Delcatty ex #59,$25.58
4928843,Pokemon Japanese Miracle Crystal,Delcatty ex [1st Edition] #59,$25.87
3439755,Pokemon Japanese Miracle Crystal,Diglett #42,$3.99
4928844,Pokemon Japanese Miracle Crystal,Diglett [1st Edition] #42,$2.99
3439788,Pokemon Japanese Miracle Crystal,Double Rainbow Energy #75,$2.92
4928845,Pokemon Japanese Miracle Crystal,Double Rainbow Energy [1st Edition] #75,$2.57
3439756,Pokemon Japanese Miracle Crystal,Dugtrio #43,$11.78
4928846,Pokemon Japanese Miracle Crystal,Dugtrio [1st Edition] #43,$13.21
3439753,Pokemon Japanese Miracle Crystal,Dusclops #40,$1.99
4928847,Pokemon Japanese Miracle Crystal,Dusclops [1st Edition] #40,$2.57
3439752,Pokemon Japanese Miracle Crystal,Duskull #39,$3.30
4928848,Pokemon Japanese Miracle Crystal,Duskull [1st Edition] #39,$2.44
3439743,Pokemon Japanese Miracle Crystal,Electrike #30,$2.98
4928849,Pokemon Japanese Miracle Crystal,Electrike [1st Edition] #30,$2.99
3439770,Pokemon Japanese Miracle Crystal,Exploud ex #57,$18.40
4928850,Pokemon Japanese Miracle Crystal,Exploud ex [1st Edition] #57,$18.50
3439741,Pokemon Japanese Miracle Crystal,Fearow #28,$2.29
4928851,Pokemon Japanese Miracle Crystal,Fearow [1st Edition] #28,$14.91
3439719,Pokemon Japanese Miracle Crystal,Grovyle #6,$2.83
4928852,Pokemon Japanese Miracle Crystal,Grovyle [1st Edition] #6,$6.34
3439749,Pokemon Japanese Miracle Crystal,Grumpig #36,$6.99
4928491,Pokemon Japanese Miracle Crystal,Grumpig [1st Edition] #36,$4.65
3439721,Pokemon Japanese Miracle Crystal,Gulpin #8,$2.82
4928853,Pokemon Japanese Miracle Crystal,Gulpin [1st Edition] #8,$1.59
3439787,Pokemon Japanese Miracle Crystal,Holon Circle #74,
4928854,Pokemon Japanese Miracle Crystal,Holon Circle [1st Edition] #74,$2.73
3439767,Pokemon Japanese Miracle Crystal,Igglybuff #54,$10.44
4928855,Pokemon Japanese Miracle Crystal,Igglybuff [1st Edition] #54,$4.76
3439715,Pokemon Japanese Miracle Crystal,Ivysaur #2,$3.93
4928856,Pokemon Japanese Miracle Crystal,Ivysaur [1st Edition] #2,$6.59
3439764,Pokemon Japanese Miracle Crystal,Jigglypuff #51,$2.99
4928857,Pokemon Japanese Miracle Crystal,Jigglypuff [1st Edition] #51,$3.99
3439754,Pokemon Japanese Miracle Crystal,Jirachi ex #41,$68.78
4928858,Pokemon Japanese Miracle Crystal,Jirachi ex [1st Edition] #41,$47.77
3439730,Pokemon Japanese Miracle Crystal,Kingler #17,$6.57
4928859,Pokemon Japanese Miracle Crystal,Kingler [1st Edition] #17,$7.33
3439733,Pokemon Japanese Miracle Crystal,Krabby #20,$3.60
4928860,Pokemon Japanese Miracle Crystal,Krabby [1st Edition] #20,$4.51
3439778,Pokemon Japanese Miracle Crystal,Lairon #65,$2.99
4928861,Pokemon Japanese Miracle Crystal,Lairon [1st Edition] #65,$3.17
3439738,Pokemon Japanese Miracle Crystal,Lombre #25,$7.16
4928862,Pokemon Japanese Miracle Crystal,Lombre [1st Edition] #25,
3439737,Pokemon Japanese Miracle Crystal,Lotad #24,$3.36
4928863,Pokemon Japanese Miracle Crystal,Lotad [1st Edition] #24,$2.67
3439769,Pokemon Japanese Miracle Crystal,Loudred #56,$3.50
4928864,Pokemon Japanese Miracle Crystal,Loudred [1st Edition] #56,$6.00
3439727,Pokemon Japanese Miracle Crystal,Ludicolo #14,$16.80
4928865,Pokemon Japanese Miracle Crystal,Ludicolo [1st Edition] #14,$19.99
3439740,Pokemon Japanese Miracle Crystal,Luvdisc #27,$8.93
4928866,Pokemon Japanese Miracle Crystal,Luvdisc [1st Edition] #27,$4.11
3439744,Pokemon Japanese Miracle Crystal,Manectric #31,$7.04
4928867,Pokemon Japanese Miracle Crystal,Manectric [1st Edition] #31,$9.45
3439735,Pokemon Japanese Miracle Crystal,Marshtomp #22,$2.99
4928868,Pokemon Japanese Miracle Crystal,Marshtomp [1st Edition] #22,$3.55
3439776,Pokemon Japanese Miracle Crystal,Mawile #63,$7.99
4928869,Pokemon Japanese Miracle Crystal,Mawile [1st Edition] #63,$12.99
3439760,Pokemon Japanese Miracle Crystal,Medicham #47,$1.60
4928870,Pokemon Japanese Miracle Crystal,Medicham [1st Edition] #47,$1.99
3439759,Pokemon Japanese Miracle Crystal,Meditite #46,$3.19
4928871,Pokemon Japanese Miracle Crystal,Meditite [1st Edition] #46,$3.52
3439782,Pokemon Japanese Miracle Crystal,Memory Berry #69,$2.99
4928872,Pokemon Japanese Miracle Crystal,Memory Berry [1st Edition] #69,$3.00
3439734,Pokemon Japanese Miracle Crystal,Mudkip #21,$4.89
4928873,Pokemon Japanese Miracle Crystal,Mudkip [1st Edition] #21,$3.07
3439783,Pokemon Japanese Miracle Crystal,Mysterious Shard #70,
