id,console-name,product-name,loose-price
3469966,Pokemon Japanese Miracle Twins,Aegislash #41,$1.77
3470026,Pokemon Japanese Miracle Twins,Aerodactyl GX #100,$6.99
3470036,Pokemon Japanese Miracle Twins,Aerodactyl GX #110,$15.00
3469970,Pokemon Japanese Miracle Twins,Aerodactyl GX #45,$4.40
3469935,Pokemon Japanese Miracle Twins,Amoonguss #10,$1.74
3469944,Pokemon Japanese Miracle Twins,Araquanid #19,$0.99
3469976,Pokemon Japanese Miracle Twins,Archen #51,$1.59
3469977,Pokemon Japanese Miracle Twins,Archeops #52,$1.88
3469940,Pokemon Japanese Miracle Twins,Basculin #15,$1.98
3469962,Pokemon Japanese Miracle Twins,Beheeyem #37,$1.49
3470032,Pokemon Japanese Miracle Twins,Blue's Tactics #106,$34.13
3470012,Pokemon Japanese Miracle Twins,Blue's Tactics #87,$1.99
4652767,Pokemon Japanese Miracle Twins,Booster Box,$820.25
4914323,Pokemon Japanese Miracle Twins,Booster Pack,$16.98
3469972,Pokemon Japanese Miracle Twins,Breloom #47,$1.75
3469942,Pokemon Japanese Miracle Twins,Carracosta #17,$1.98
3469928,Pokemon Japanese Miracle Twins,Celebi #3,$2.89
3470031,Pokemon Japanese Miracle Twins,Channeler #105,$10.69
3470011,Pokemon Japanese Miracle Twins,Channeler #86,$2.84
3470039,Pokemon Japanese Miracle Twins,Cherish Ball #113,$11.20
3469987,Pokemon Japanese Miracle Twins,Cottonee #62,$1.98
3469989,Pokemon Japanese Miracle Twins,Dedenne #64,$1.99
3469943,Pokemon Japanese Miracle Twins,Dewpider #18,$1.98
3469965,Pokemon Japanese Miracle Twins,Doublade #40,$0.99
3469992,Pokemon Japanese Miracle Twins,Dragonair #67,$2.50
3469993,Pokemon Japanese Miracle Twins,Dragonite #68,$6.52
3470029,Pokemon Japanese Miracle Twins,Dragonite GX #103,$18.24
3470038,Pokemon Japanese Miracle Twins,Dragonite GX #112,$45.92
3469994,Pokemon Japanese Miracle Twins,Dragonite GX #69,$4.99
3469981,Pokemon Japanese Miracle Twins,Drapion #56,$1.57
3469990,Pokemon Japanese Miracle Twins,Dratini #65,$1.77
3469991,Pokemon Japanese Miracle Twins,Dratini #66,$1.79
3469974,Pokemon Japanese Miracle Twins,Drilbur #49,$0.38
3469951,Pokemon Japanese Miracle Twins,Eelektrik #26,$0.38
3469952,Pokemon Japanese Miracle Twins,Eelektross #27,$2.09
3469961,Pokemon Japanese Miracle Twins,Elgyem #36,$1.08
3469975,Pokemon Japanese Miracle Twins,Excadrill #50,$1.83
3469955,Pokemon Japanese Miracle Twins,Exeggcute #30,$1.98
3469956,Pokemon Japanese Miracle Twins,Exeggutor #31,$1.87
3469938,Pokemon Japanese Miracle Twins,Finneon #13,$1.64
3469934,Pokemon Japanese Miracle Twins,Foongus #9,$0.38
3469948,Pokemon Japanese Miracle Twins,Galvantula #23,$1.79
3470040,Pokemon Japanese Miracle Twins,Giant Bomb #114,$3.99
3470009,Pokemon Japanese Miracle Twins,Giant Bomb #84,$0.38
3469946,Pokemon Japanese Miracle Twins,Golisopod #21,$1.78
3470006,Pokemon Japanese Miracle Twins,Great Potion #81,$0.38
3470003,Pokemon Japanese Miracle Twins,Gumshoos #78,$1.79
3469971,Pokemon Japanese Miracle Twins,Heracross #46,$1.98
3469963,Pokemon Japanese Miracle Twins,Honedge #38,$0.38
3469964,Pokemon Japanese Miracle Twins,Honedge #39,$1.77
3469947,Pokemon Japanese Miracle Twins,Joltik #22,$1.81
3469957,Pokemon Japanese Miracle Twins,Jynx #32,$1.74
3470005,Pokemon Japanese Miracle Twins,Komala #80,$2.01
3469937,Pokemon Japanese Miracle Twins,Lapras #12,$3.61
3470035,Pokemon Japanese Miracle Twins,Latios GX #109,$29.99
3469959,Pokemon Japanese Miracle Twins,Latios GX #34,$3.99
3470025,Pokemon Japanese Miracle Twins,Latios GX #99,$11.56
3469933,Pokemon Japanese Miracle Twins,Leavanny #8,$1.83
3469983,Pokemon Japanese Miracle Twins,Liepard #58,$1.94
3469939,Pokemon Japanese Miracle Twins,Lumineon #14,$1.89
3470027,Pokemon Japanese Miracle Twins,Mega Sableye & Tyranitar GX #101,$22.28
3470028,Pokemon Japanese Miracle Twins,Mega Sableye & Tyranitar GX #102,$148.88
3470037,Pokemon Japanese Miracle Twins,Mega Sableye & Tyranitar GX #111,$51.15
3469979,Pokemon Japanese Miracle Twins,Mega Sableye & Tyranitar GX #54,$14.99
3470034,Pokemon Japanese Miracle Twins,Mewtwo & Mew GX #108,$130.33
3469954,Pokemon Japanese Miracle Twins,Mewtwo & Mew GX #29,$35.07
3470023,Pokemon Japanese Miracle Twins,Mewtwo & Mew GX #97,$83.44
3470024,Pokemon Japanese Miracle Twins,Mewtwo & Mew GX #98,$757.50
3470030,Pokemon Japanese Miracle Twins,Misty's Favor #104,$165.95
3470010,Pokemon Japanese Miracle Twins,Misty's Favor #85,$2.99
3470019,Pokemon Japanese Miracle Twins,Mysterious Treasure #93,$5.49
3469967,Pokemon Japanese Miracle Twins,Necrozma #42,$1.80
3469995,Pokemon Japanese Miracle Twins,Noibat #70,$1.78
3469996,Pokemon Japanese Miracle Twins,Noivern #71,$1.90
3469968,Pokemon Japanese Miracle Twins,Onix #43,$1.99
3470004,Pokemon Japanese Miracle Twins,Oranguru #79,$1.09
3470016,Pokemon Japanese Miracle Twins,Pal Pad #91,$8.16
3470017,Pokemon Japanese Miracle Twins,Pokegear 3.0 #92,$4.29
3470014,Pokemon Japanese Miracle Twins,Pokemon Research Lab #89,$1.84
3469982,Pokemon Japanese Miracle Twins,Purrloin #57,$1.49
3469973,Pokemon Japanese Miracle Twins,Relicanth #48,$1.89
3469980,Pokemon Japanese Miracle Twins,Sableye #55,$1.79
3469985,Pokemon Japanese Miracle Twins,Scrafty #60,$1.49
3469984,Pokemon Japanese Miracle Twins,Scraggy #59,$1.98
3469930,Pokemon Japanese Miracle Twins,Sewaddle #5,$1.59
3469931,Pokemon Japanese Miracle Twins,Sewaddle #6,$1.99
3469929,Pokemon Japanese Miracle Twins,Shroomish #4,$1.98
3470020,Pokemon Japanese Miracle Twins,Sightseer #94,$12.13
3469960,Pokemon Japanese Miracle Twins,Skorupi #35,$1.49
3470001,Pokemon Japanese Miracle Twins,Slaking #76,$2.01
3469998,Pokemon Japanese Miracle Twins,Slakoth #73,$1.79
3469999,Pokemon Japanese Miracle Twins,Slakoth #74,$1.76
3470033,Pokemon Japanese Miracle Twins,Slowpoke & Psyduck GX #107,$123.83
3469936,Pokemon Japanese Miracle Twins,Slowpoke & Psyduck GX #11,$45.00
3470021,Pokemon Japanese Miracle Twins,Slowpoke & Psyduck GX #95,$72.16
3470022,Pokemon Japanese Miracle Twins,Slowpoke & Psyduck GX #96,$250.00
3470013,Pokemon Japanese Miracle Twins,Slumbering Forest #88,$1.79
3470007,Pokemon Japanese Miracle Twins,Stadium Nav #82,$1.99
3469969,Pokemon Japanese Miracle Twins,Steelix #44,$1.98
3469932,Pokemon Japanese Miracle Twins,Swadloon #7,$1.99
3469953,Pokemon Japanese Miracle Twins,Tapu Koko #28,$1.46
3469997,Pokemon Japanese Miracle Twins,Tauros #72,$2.10
3469978,Pokemon Japanese Miracle Twins,Terrakion #53,$2.02
3469941,Pokemon Japanese Miracle Twins,Tirtouga #16,$1.77
3469949,Pokemon Japanese Miracle Twins,Tynamo #24,$0.99
3469950,Pokemon Japanese Miracle Twins,Tynamo #25,$0.99
3470008,Pokemon Japanese Miracle Twins,Unidentified Fossil #83,$1.48
3470000,Pokemon Japanese Miracle Twins,Vigoroth #75,$0.99
3470041,Pokemon Japanese Miracle Twins,Weakness Guard Energy #115,$6.50
3470015,Pokemon Japanese Miracle Twins,Weakness Guard Energy #90,$1.49
3469988,Pokemon Japanese Miracle Twins,Whimsicott #63,$3.05
3469945,Pokemon Japanese Miracle Twins,Wimpod #20,$1.99
3469958,Pokemon Japanese Miracle Twins,Wynaut #33,$3.45
3469926,Pokemon Japanese Miracle Twins,Yanma #1,$1.79
3469927,Pokemon Japanese Miracle Twins,Yanmega #2,$1.49
3470002,Pokemon Japanese Miracle Twins,Yungoos #77,$1.39
3469986,Pokemon Japanese Miracle Twins,Yveltal #61,$1.99
