id,console-name,product-name,loose-price
3438766,Pokemon Japanese Mysterious Mountains,Ancient Ruins #84,$5.90
3507450,Pokemon Japanese Mysterious Mountains,Ancient Ruins [1st Edition] #84,$2.37
3438762,Pokemon Japanese Mysterious Mountains,Apricorn Maker #80,$8.00
3507451,Pokemon Japanese Mysterious Mountains,Apricorn Maker [1st Edition] #80,$3.92
3438699,Pokemon Japanese Mysterious Mountains,Arcanine #16,$54.50
3438700,Pokemon Japanese Mysterious Mountains,Arcanine #17,$173.48
3507452,Pokemon Japanese Mysterious Mountains,Arcanine [1st Edition] #16,$31.00
3507453,Pokemon Japanese Mysterious Mountains,Arcanine [1st Edition] #17,$191.29
3438713,Pokemon Japanese Mysterious Mountains,Articuno #30,$45.19
3438714,Pokemon Japanese Mysterious Mountains,Articuno #31,$71.38
3507454,Pokemon Japanese Mysterious Mountains,Articuno [1st Edition] #30,$38.73
3507455,Pokemon Japanese Mysterious Mountains,Articuno [1st Edition] #31,$121.90
3438687,Pokemon Japanese Mysterious Mountains,Beedrill #4,$13.62
3438688,Pokemon Japanese Mysterious Mountains,Beedrill #5,$54.89
3507456,Pokemon Japanese Mysterious Mountains,Beedrill [1st Edition] #4,$23.58
3507457,Pokemon Japanese Mysterious Mountains,Beedrill [1st Edition] #5,$51.90
13118676,Pokemon Japanese Mysterious Mountains,Booster Box,
5157150,Pokemon Japanese Mysterious Mountains,Booster Pack,$771.00
3438769,Pokemon Japanese Mysterious Mountains,Bounce Energy #87,$2.25
3507458,Pokemon Japanese Mysterious Mountains,Bounce Energy [1st Edition] #87,$1.99
3438773,Pokemon Japanese Mysterious Mountains,Celebi #91,$567.02
3507459,Pokemon Japanese Mysterious Mountains,Celebi [1st Edition] #91,$2207.46
3438771,Pokemon Japanese Mysterious Mountains,Charizard #89,$6339.95
3507460,Pokemon Japanese Mysterious Mountains,Charizard [1st Edition] #89,$4250.00
3438772,Pokemon Japanese Mysterious Mountains,Crobat #90,$380.00
3507461,Pokemon Japanese Mysterious Mountains,Crobat [1st Edition] #90,$445.18
3438768,Pokemon Japanese Mysterious Mountains,Cyclone Energy #86,$3.49
3507462,Pokemon Japanese Mysterious Mountains,Cyclone Energy [1st Edition] #86,$1.99
3438718,Pokemon Japanese Mysterious Mountains,Delibird #35,$10.80
3507463,Pokemon Japanese Mysterious Mountains,Delibird [1st Edition] #35,$10.99
3438707,Pokemon Japanese Mysterious Mountains,Dewgong #24,$7.00
3438708,Pokemon Japanese Mysterious Mountains,Dewgong #25,$62.11
3507464,Pokemon Japanese Mysterious Mountains,Dewgong [1st Edition] #24,$19.85
3507465,Pokemon Japanese Mysterious Mountains,Dewgong [1st Edition] #25,$61.00
3438731,Pokemon Japanese Mysterious Mountains,Diglett #48,$17.51
3507466,Pokemon Japanese Mysterious Mountains,Diglett [1st Edition] #48,$15.45
3438732,Pokemon Japanese Mysterious Mountains,Dugtrio #49,$22.62
3507467,Pokemon Japanese Mysterious Mountains,Dugtrio [1st Edition] #49,$22.67
3438723,Pokemon Japanese Mysterious Mountains,Electrode #40,$11.99
3507468,Pokemon Japanese Mysterious Mountains,Electrode [1st Edition] #40,$14.90
3438744,Pokemon Japanese Mysterious Mountains,Farfetch'd #61,$17.76
3507469,Pokemon Japanese Mysterious Mountains,Farfetch'd [1st Edition] #61,$13.75
3438757,Pokemon Japanese Mysterious Mountains,Fast Ball #75,$4.99
3507470,Pokemon Japanese Mysterious Mountains,Fast Ball [1st Edition] #75,$1.99
3438761,Pokemon Japanese Mysterious Mountains,Fisherman #79,$8.99
3507471,Pokemon Japanese Mysterious Mountains,Fisherman [1st Edition] #79,$7.82
3438758,Pokemon Japanese Mysterious Mountains,Friend Ball #76,$3.00
3507472,Pokemon Japanese Mysterious Mountains,Friend Ball [1st Edition] #76,$1.99
3438724,Pokemon Japanese Mysterious Mountains,Gastly #41,$23.43
3507473,Pokemon Japanese Mysterious Mountains,Gastly [1st Edition] #41,$19.97
3438726,Pokemon Japanese Mysterious Mountains,Gengar #43,$273.00
3438727,Pokemon Japanese Mysterious Mountains,Gengar #44,$700.00
3507474,Pokemon Japanese Mysterious Mountains,Gengar [1st Edition] #43,$251.33
3507475,Pokemon Japanese Mysterious Mountains,Gengar [1st Edition] #44,$881.65
3438737,Pokemon Japanese Mysterious Mountains,Gligar #54,$8.49
3507476,Pokemon Japanese Mysterious Mountains,Gligar [1st Edition] #54,$3.25
3438698,Pokemon Japanese Mysterious Mountains,Growlithe #15,$16.20
3507477,Pokemon Japanese Mysterious Mountains,Growlithe [1st Edition] #15,$15.07
3438710,Pokemon Japanese Mysterious Mountains,Gyarados #27,$104.41
3438711,Pokemon Japanese Mysterious Mountains,Gyarados #28,$453.70
3507478,Pokemon Japanese Mysterious Mountains,Gyarados [1st Edition] #27,$117.57
3507479,Pokemon Japanese Mysterious Mountains,Gyarados [1st Edition] #28,$262.29
3438725,Pokemon Japanese Mysterious Mountains,Haunter #42,$38.38
3507480,Pokemon Japanese Mysterious Mountains,Haunter [1st Edition] #42,$44.99
3438746,Pokemon Japanese Mysterious Mountains,Hoothoot #63,$8.99
3507481,Pokemon Japanese Mysterious Mountains,Hoothoot [1st Edition] #63,$4.44
3438752,Pokemon Japanese Mysterious Mountains,Houndoom #69,$32.00
3438753,Pokemon Japanese Mysterious Mountains,Houndoom #70,$236.65
3507482,Pokemon Japanese Mysterious Mountains,Houndoom [1st Edition] #69,$25.44
3507483,Pokemon Japanese Mysterious Mountains,Houndoom [1st Edition] #70,$175.29
3438704,Pokemon Japanese Mysterious Mountains,Houndour #21,$8.55
3507484,Pokemon Japanese Mysterious Mountains,Houndour [1st Edition] #21,$7.27
3438748,Pokemon Japanese Mysterious Mountains,Igglybuff #65,$18.44
3507485,Pokemon Japanese Mysterious Mountains,Igglybuff [1st Edition] #65,$27.49
