id,console-name,product-name,loose-price
3453467,Pokemon Japanese Mystery of the Fossils,Aerodactyl #142,$19.67
3453430,Pokemon Japanese Mystery of the Fossils,Arbok #24,$2.97
3453449,Pokemon Japanese Mystery of the Fossils,Articuno #144,$22.66
5836801,Pokemon Japanese Mystery of the Fossils,Booster Box,$16775.00
7673176,Pokemon Japanese Mystery of the Fossils,Booster Pack,$889.59
3453444,Pokemon Japanese Mystery of the Fossils,Cloyster #91,$2.96
3453468,Pokemon Japanese Mystery of the Fossils,Ditto #132,$17.99
3453469,Pokemon Japanese Mystery of the Fossils,Dragonite #149,$72.07
3453428,Pokemon Japanese Mystery of the Fossils,Ekans #23,$2.44
3453470,Pokemon Japanese Mystery of the Fossils,Energy Search #59,$2.31
3453471,Pokemon Japanese Mystery of the Fossils,Gambler,$1.88
3453455,Pokemon Japanese Mystery of the Fossils,Gastly #92,$2.98
3453457,Pokemon Japanese Mystery of the Fossils,Gengar #94,$118.23
3453460,Pokemon Japanese Mystery of the Fossils,Geodude #74,$2.14
3453431,Pokemon Japanese Mystery of the Fossils,Golbat #42,$2.49
3453442,Pokemon Japanese Mystery of the Fossils,Golduck #55,$2.96
3453464,Pokemon Japanese Mystery of the Fossils,Golem #76,$2.00
3453463,Pokemon Japanese Mystery of the Fossils,Graveler #75,$1.94
3453429,Pokemon Japanese Mystery of the Fossils,Grimer #88,$1.99
3453456,Pokemon Japanese Mystery of the Fossils,Haunter #93,$24.49
3453465,Pokemon Japanese Mystery of the Fossils,Hitmonlee #106,$11.26
3453440,Pokemon Japanese Mystery of the Fossils,Horsea #116,$2.37
3453458,Pokemon Japanese Mystery of the Fossils,Hypno #97,$14.00
3453461,Pokemon Japanese Mystery of the Fossils,Kabuto #140,$2.32
3453466,Pokemon Japanese Mystery of the Fossils,Kabutops #141,$12.68
3453445,Pokemon Japanese Mystery of the Fossils,Kingler #99,$2.99
3453439,Pokemon Japanese Mystery of the Fossils,Krabby #98,$2.00
3453448,Pokemon Japanese Mystery of the Fossils,Lapras #131,$18.50
3453434,Pokemon Japanese Mystery of the Fossils,Magmar #126,$2.88
3453451,Pokemon Japanese Mystery of the Fossils,Magneton #82,$10.25
3453459,Pokemon Japanese Mystery of the Fossils,Mew #151,$85.53
3453435,Pokemon Japanese Mystery of the Fossils,Moltres #146,$20.36
3453474,Pokemon Japanese Mystery of the Fossils,Mr. Fuji,$3.52
3453433,Pokemon Japanese Mystery of the Fossils,Muk #89,$7.50
3453472,Pokemon Japanese Mystery of the Fossils,Mysterious Fossil,$2.79
3453441,Pokemon Japanese Mystery of the Fossils,Omanyte #138,$2.57
3453447,Pokemon Japanese Mystery of the Fossils,Omastar #139,$2.56
3453436,Pokemon Japanese Mystery of the Fossils,Psyduck #54,$3.00
3453450,Pokemon Japanese Mystery of the Fossils,Raichu #26,$19.99
3453473,Pokemon Japanese Mystery of the Fossils,Recycle,$1.79
3453462,Pokemon Japanese Mystery of the Fossils,Sandslash #28,$2.99
3453446,Pokemon Japanese Mystery of the Fossils,Seadra #117,$2.91
3453438,Pokemon Japanese Mystery of the Fossils,Shellder #90,$2.47
3453454,Pokemon Japanese Mystery of the Fossils,Slowbro #80,$2.99
3453453,Pokemon Japanese Mystery of the Fossils,Slowpoke #79,$2.84
3453437,Pokemon Japanese Mystery of the Fossils,Tentacool #72,$2.40
3453443,Pokemon Japanese Mystery of the Fossils,Tentacruel #73,$2.55
3453432,Pokemon Japanese Mystery of the Fossils,Weezing #110,$2.49
3453452,Pokemon Japanese Mystery of the Fossils,Zapdos #145,$21.79
3453427,Pokemon Japanese Mystery of the Fossils,Zubat #41,$2.19
