id,console-name,product-name,loose-price
12221443,Pokemon Japanese Neo Premium File,Bayleef #153,$3.18
6073513,Pokemon Japanese Neo Premium File,Celebi #251,$62.15
4135169,Pokemon Japanese Neo Premium File,Charizard #6,$190.00
12221441,Pokemon Japanese Neo Premium File,Chikorita #152,$2.98
11748000,Pokemon Japanese Neo Premium File,Croconaw #159,$2.49
7403958,Pokemon Japanese Neo Premium File,Cyndaquil #155,$2.99
6166644,Pokemon Japanese Neo Premium File,Eevee #133,$37.50
8428552,Pokemon Japanese Neo Premium File,Entei #244,$19.99
4135175,Pokemon Japanese Neo Premium File,Entei [Reverse Holo] #244,$22.00
4175877,Pokemon Japanese Neo Premium File,Espeon #196,$32.40
12221445,Pokemon Japanese Neo Premium File,Feraligatr #160,$19.99
7641059,Pokemon Japanese Neo Premium File,Ho-Oh #250,$18.10
4952847,Pokemon Japanese Neo Premium File,Lugia #249,$31.13
12221444,Pokemon Japanese Neo Premium File,Meganium #154,$14.99
4125277,Pokemon Japanese Neo Premium File,Pichu [Reverse Holo] #172,$43.75
12983263,Pokemon Japanese Neo Premium File,Premium File 1,$3.99
13107519,Pokemon Japanese Neo Premium File,Premium File 2,$152.79
13107941,Pokemon Japanese Neo Premium File,Premium File 3,$15.40
5923867,Pokemon Japanese Neo Premium File,Quilava #156,$3.72
8438819,Pokemon Japanese Neo Premium File,Raikou #243,$25.31
5836059,Pokemon Japanese Neo Premium File,Skarmory #227,$10.00
7854769,Pokemon Japanese Neo Premium File,Sneasel #215,$5.72
8428158,Pokemon Japanese Neo Premium File,Sudowoodo #185,$7.38
5923877,Pokemon Japanese Neo Premium File,Suicune #245,$19.72
8344078,Pokemon Japanese Neo Premium File,Totodile #158,$3.84
4636887,Pokemon Japanese Neo Premium File,Typhlosion #157,$27.00
4166216,Pokemon Japanese Neo Premium File,Umbreon #197,$74.57
5882285,Pokemon Japanese Neo Premium File,Unown E #201,$3.47
5882288,Pokemon Japanese Neo Premium File,Unown N #201,$6.67
5882289,Pokemon Japanese Neo Premium File,Unown O #201,$3.47
