id,console-name,product-name,loose-price
11748976,Pokemon Japanese Nihil Zero,Aegislash #57,$1.20
11748941,Pokemon Japanese Nihil Zero,Amaura #22,$1.50
11748987,Pokemon Japanese Nihil Zero,Antique Jaw Fossil #68,$1.49
11748989,Pokemon Japanese Nihil Zero,Antique Sail Fossil #69,$1.34
11748921,Pokemon Japanese Nihil Zero,Ariados #2,$1.50
11748954,Pokemon Japanese Nihil Zero,Aromatisse #35,$1.29
11748942,Pokemon Japanese Nihil Zero,Aurorus #23,$1.55
11760274,Pokemon Japanese Nihil Zero,Aurorus #84,$2.87
11748961,Pokemon Japanese Nihil Zero,Barbaracle #42,$1.50
11748960,Pokemon Japanese Nihil Zero,Binacle #41,$1.20
11749003,Pokemon Japanese Nihil Zero,Booster Box,$74.02
11749002,Pokemon Japanese Nihil Zero,Booster Pack,$7.99
11748982,Pokemon Japanese Nihil Zero,Bunnelby #63,$1.50
11748972,Pokemon Japanese Nihil Zero,Chien-Pao #53,$1.29
11748948,Pokemon Japanese Nihil Zero,Clefairy #29,$1.48
11749000,Pokemon Japanese Nihil Zero,Clefairy #86,$10.45
11748991,Pokemon Japanese Nihil Zero,Core Memory #72,$1.49
11748930,Pokemon Japanese Nihil Zero,Dartrix #11,$1.42
11748931,Pokemon Japanese Nihil Zero,Decidueye ex #12,$1.37
11760281,Pokemon Japanese Nihil Zero,Decidueye ex #93,$4.05
11748947,Pokemon Japanese Nihil Zero,Dedenne #28,$1.99
11760275,Pokemon Japanese Nihil Zero,Dedenne #85,$4.25
11748938,Pokemon Japanese Nihil Zero,Dewgong #19,$1.21
11748984,Pokemon Japanese Nihil Zero,Diggersby #64,$1.50
11748975,Pokemon Japanese Nihil Zero,Doublade #56,$1.69
11760279,Pokemon Japanese Nihil Zero,Doublade #91,$3.03
11748970,Pokemon Japanese Nihil Zero,Drapion #51,$1.49
11760278,Pokemon Japanese Nihil Zero,Drapion #90,$2.25
11760289,Pokemon Japanese Nihil Zero,Energy Recycler #101,$2.15
11748986,Pokemon Japanese Nihil Zero,Energy Swatter #67,$0.25
11748951,Pokemon Japanese Nihil Zero,Espurr #32,$1.50
11749001,Pokemon Japanese Nihil Zero,Espurr #87,$4.04
11748997,Pokemon Japanese Nihil Zero,Fighting Energy #80,$1.49
11748932,Pokemon Japanese Nihil Zero,Fletchinder #13,$1.50
11748983,Pokemon Japanese Nihil Zero,Fletchling #65,$1.41
11760297,Pokemon Japanese Nihil Zero,Forest of Vitality #109,$2.80
11748985,Pokemon Japanese Nihil Zero,Furfrou #66,$1.41
11748966,Pokemon Japanese Nihil Zero,Gastly #47,$1.41
11748968,Pokemon Japanese Nihil Zero,Gengar #49,$2.50
11748998,Pokemon Japanese Nihil Zero,Grass Energy #78,$1.85
11748967,Pokemon Japanese Nihil Zero,Haunter #48,$1.52
11748963,Pokemon Japanese Nihil Zero,Hawlucha #45,$1.52
11748957,Pokemon Japanese Nihil Zero,Hippopotas #38,$1.59
11748958,Pokemon Japanese Nihil Zero,Hippowdon #39,$1.34
11748974,Pokemon Japanese Nihil Zero,Honedge #55,$1.77
11760296,Pokemon Japanese Nihil Zero,Jacinthe #108,$4.00
11760304,Pokemon Japanese Nihil Zero,Jacinthe #116,$13.80
11748994,Pokemon Japanese Nihil Zero,Jacinthe #76,$1.69
11748977,Pokemon Japanese Nihil Zero,Klefki #58,$1.50
11748959,Pokemon Japanese Nihil Zero,Landorus #40,$1.39
11760298,Pokemon Japanese Nihil Zero,Lumiose City #110,$2.65
11748995,Pokemon Japanese Nihil Zero,Lumiose City #77,$1.33
11748990,Pokemon Japanese Nihil Zero,Lumiose Galette #71,$1.55
11748945,Pokemon Japanese Nihil Zero,Luxio #26,$1.02
11748946,Pokemon Japanese Nihil Zero,Luxray #27,$1.35
11748950,Pokemon Japanese Nihil Zero,Mawile #31,$1.55
11760300,Pokemon Japanese Nihil Zero,Mega Clefable ex #112,$27.40
11748949,Pokemon Japanese Nihil Zero,Mega Clefable ex #30,$1.94
11760284,Pokemon Japanese Nihil Zero,Mega Clefable ex #96,$5.37
12002045,Pokemon Japanese Nihil Zero,Mega Gallade Ex Special Card Set,$45.00
11748973,Pokemon Japanese Nihil Zero,Mega Skarmory ex #54,$1.50
11760287,Pokemon Japanese Nihil Zero,Mega Skarmory ex #99,$4.49
11760299,Pokemon Japanese Nihil Zero,Mega Starmie ex #111,$28.24
11748940,Pokemon Japanese Nihil Zero,Mega Starmie ex #21,$1.50
11760283,Pokemon Japanese Nihil Zero,Mega Starmie ex #95,$5.11
11760301,Pokemon Japanese Nihil Zero,Mega Zygarde ex #113,$30.88
11760305,Pokemon Japanese Nihil Zero,Mega Zygarde ex #117,$164.58
11748965,Pokemon Japanese Nihil Zero,Mega Zygarde ex #46,$1.42
11760285,Pokemon Japanese Nihil Zero,Mega Zygarde ex #97,$5.76
11748952,Pokemon Japanese Nihil Zero,Meowstic #33,$1.50
11760288,Pokemon Japanese Nihil Zero,Meowth ex #100,$12.29
11760302,Pokemon Japanese Nihil Zero,Meowth ex #114,$71.00
11748980,Pokemon Japanese Nihil Zero,Meowth ex #61,$2.05
11760294,Pokemon Japanese Nihil Zero,Naveen #106,$4.80
11749004,Pokemon Japanese Nihil Zero,Naveen #74,$1.50
11748955,Pokemon Japanese Nihil Zero,Nosepass #36,$1.50
11760291,Pokemon Japanese Nihil Zero,Poke Pad #103,$3.50
11748988,Pokemon Japanese Nihil Zero,Poke Pad #70,$2.00
11748956,Pokemon Japanese Nihil Zero,Probopass #37,$1.55
11760276,Pokemon Japanese Nihil Zero,Probopass #88,$1.68
11748979,Pokemon Japanese Nihil Zero,Raticate #60,$1.60
11760280,Pokemon Japanese Nihil Zero,Raticate #92,$3.00
11748978,Pokemon Japanese Nihil Zero,Rattata #59,$1.69
11760295,Pokemon Japanese Nihil Zero,Rosa's Encouragement #107,$11.61
11760303,Pokemon Japanese Nihil Zero,Rosa's Encouragement #115,$72.01
11748993,Pokemon Japanese Nihil Zero,Rosa's Encouragement #75,$1.49
11748929,Pokemon Japanese Nihil Zero,Rowlet #10,$1.50
11760271,Pokemon Japanese Nihil Zero,Rowlet #82,$3.61
11760290,Pokemon Japanese Nihil Zero,Sacred Ash #102,$1.90
11748934,Pokemon Japanese Nihil Zero,Salandit #15,$1.99
11748935,Pokemon Japanese Nihil Zero,Salazzle ex #16,$1.66
11760282,Pokemon Japanese Nihil Zero,Salazzle ex #94,$3.26
11748926,Pokemon Japanese Nihil Zero,Scatterbug #7,$1.50
11748937,Pokemon Japanese Nihil Zero,Seel #18,$1.53
11748925,Pokemon Japanese Nihil Zero,Serperior #6,$1.49
11748924,Pokemon Japanese Nihil Zero,Servine #5,$1.50
11748922,Pokemon Japanese Nihil Zero,Shaymin #3,$1.47
11748944,Pokemon Japanese Nihil Zero,Shinx #25,$1.72
11748969,Pokemon Japanese Nihil Zero,Skorupi #50,$1.69
11748923,Pokemon Japanese Nihil Zero,Snivy #4,$1.73
11748981,Pokemon Japanese Nihil Zero,Snorlax #62,$1.51
11748927,Pokemon Japanese Nihil Zero,Spewpa #8,$1.34
11760270,Pokemon Japanese Nihil Zero,Spewpa #81,$2.84
11748920,Pokemon Japanese Nihil Zero,Spinarak #1,$1.35
11748953,Pokemon Japanese Nihil Zero,Spritzee #34,$1.50
11748939,Pokemon Japanese Nihil Zero,Staryu #20,$1.25
11748933,Pokemon Japanese Nihil Zero,Talonflame #14,$1.67
11748999,Pokemon Japanese Nihil Zero,Talonflame #83,$2.72
11760293,Pokemon Japanese Nihil Zero,Tarragon #105,$2.86
11748992,Pokemon Japanese Nihil Zero,Tarragon #73,$1.15
11748996,Pokemon Japanese Nihil Zero,Telepath Psychic Energy #79,$2.29
11748936,Pokemon Japanese Nihil Zero,Turtonator #17,$1.36
11748964,Pokemon Japanese Nihil Zero,Tyrantrum #44,$1.69
11748962,Pokemon Japanese Nihil Zero,Tyrunt #43,$1.82
11760277,Pokemon Japanese Nihil Zero,Tyrunt #89,$3.63
11748928,Pokemon Japanese Nihil Zero,Vivillon #9,$1.50
