id,console-name,product-name,loose-price
12300908,Pokemon Japanese Ninja Spinner,AZ's Tranquility #108,$3.62
12300919,Pokemon Japanese Ninja Spinner,AZ's Tranquility #118,$13.97
12231497,Pokemon Japanese Ninja Spinner,AZ's Tranquility #75,$1.50
12231452,Pokemon Japanese Ninja Spinner,Ampharos #29,$2.01
12300884,Pokemon Japanese Ninja Spinner,Ampharos #88,$5.20
12231502,Pokemon Japanese Ninja Spinner,Ange Floette #79,$1.34
12231447,Pokemon Japanese Ninja Spinner,Avalugg #24,$0.25
12231469,Pokemon Japanese Ninja Spinner,Baltoy #46,$1.74
12300895,Pokemon Japanese Ninja Spinner,Beedrill Ex #96,$5.74
12231426,Pokemon Japanese Ninja Spinner,Beedrill ex #3,$1.50
12231480,Pokemon Japanese Ninja Spinner,Beldum #57,$1.76
12231446,Pokemon Japanese Ninja Spinner,Bergmite #23,$1.46
12231496,Pokemon Japanese Ninja Spinner,Big Haul Net #73,$1.44
12231498,Pokemon Japanese Ninja Spinner,Book of Transformation #74,$0.25
12231424,Pokemon Japanese Ninja Spinner,Booster Box,$79.99
12231428,Pokemon Japanese Ninja Spinner,Booster Pack,$6.51
12231437,Pokemon Japanese Ninja Spinner,Braixen #12,$1.20
12231505,Pokemon Japanese Ninja Spinner,Bubble Water Energy #82,$1.81
12231427,Pokemon Japanese Ninja Spinner,Carnivine #4,$0.25
12231431,Pokemon Japanese Ninja Spinner,Chesnaught #7,$1.88
12231429,Pokemon Japanese Ninja Spinner,Chespin #5,$1.87
12300880,Pokemon Japanese Ninja Spinner,Chespin #84,$4.50
12300902,Pokemon Japanese Ninja Spinner,Cinccino Ex #103,$5.36
12300918,Pokemon Japanese Ninja Spinner,Cinccino Ex #117,$37.88
12231494,Pokemon Japanese Ninja Spinner,Cinccino ex #71,$1.75
12231470,Pokemon Japanese Ninja Spinner,Claydol #47,$1.64
12300889,Pokemon Japanese Ninja Spinner,Claydol #90,$3.25
12300900,Pokemon Japanese Ninja Spinner,Cobalion Ex #101,$4.16
12231485,Pokemon Japanese Ninja Spinner,Cobalion ex #62,$1.49
12231473,Pokemon Japanese Ninja Spinner,Crobat #50,$1.77
12300890,Pokemon Japanese Ninja Spinner,Crobat #91,$3.25
12231444,Pokemon Japanese Ninja Spinner,Delibird #18,$1.50
12231435,Pokemon Japanese Ninja Spinner,Delphox #13,$1.50
12231454,Pokemon Japanese Ninja Spinner,Deoxys #31,$1.46
12231455,Pokemon Japanese Ninja Spinner,Deoxys #32,$1.45
12231456,Pokemon Japanese Ninja Spinner,Deoxys #33,$1.47
12231457,Pokemon Japanese Ninja Spinner,Deoxys #34,$1.61
12231468,Pokemon Japanese Ninja Spinner,Donphan #45,$1.50
12300912,Pokemon Japanese Ninja Spinner,Emma #111,$5.50
12231501,Pokemon Japanese Ninja Spinner,Emma #78,$1.50
12231453,Pokemon Japanese Ninja Spinner,Emolga #30,$1.34
12300903,Pokemon Japanese Ninja Spinner,Energy Retrieval #104,$2.47
12231459,Pokemon Japanese Ninja Spinner,Espurr #36,$1.62
12231434,Pokemon Japanese Ninja Spinner,Fennekin #11,$1.80
12300881,Pokemon Japanese Ninja Spinner,Fennekin #85,$3.37
12231483,Pokemon Japanese Ninja Spinner,Ferroseed #60,$1.65
12231484,Pokemon Japanese Ninja Spinner,Ferrothorn #61,$1.50
12231451,Pokemon Japanese Ninja Spinner,Flaaffy #28,$1.60
12231442,Pokemon Japanese Ninja Spinner,Froakie #20,$1.48
12300882,Pokemon Japanese Ninja Spinner,Froakie #86,$7.90
12231443,Pokemon Japanese Ninja Spinner,Frogadier #21,$1.55
12300883,Pokemon Japanese Ninja Spinner,Frogadier #87,$6.53
12231478,Pokemon Japanese Ninja Spinner,Garbodor #55,$1.75
12231472,Pokemon Japanese Ninja Spinner,Golbat #49,$1.49
12231448,Pokemon Japanese Ninja Spinner,Golisopod #26,$1.34
12231489,Pokemon Japanese Ninja Spinner,Goodra #66,$1.60
12231487,Pokemon Japanese Ninja Spinner,Goomy #64,$1.99
12300899,Pokemon Japanese Ninja Spinner,Gourgeist Ex #100,$3.17
12231464,Pokemon Japanese Ninja Spinner,Gourgeist ex #41,$1.55
12231433,Pokemon Japanese Ninja Spinner,Ho-Oh #10,$1.37
12300904,Pokemon Japanese Ninja Spinner,Jumbo Ice Cream #105,$3.14
12231425,Pokemon Japanese Ninja Spinner,Kakuna #2,$1.50
12231441,Pokemon Japanese Ninja Spinner,Keldeo #19,$1.77
12231436,Pokemon Japanese Ninja Spinner,Litleo #14,$1.49
12231508,Pokemon Japanese Ninja Spinner,Magnet Metal Energy #83,$1.50
12231450,Pokemon Japanese Ninja Spinner,Mareep #27,$1.62
12300901,Pokemon Japanese Ninja Spinner,Mega Dragalge Ex #102,$4.59
12300917,Pokemon Japanese Ninja Spinner,Mega Dragalge Ex #116,$20.89
12231486,Pokemon Japanese Ninja Spinner,Mega Dragalge ex #63,$1.46
12300916,Pokemon Japanese Ninja Spinner,Mega Floette Ex #115,$19.38
12300898,Pokemon Japanese Ninja Spinner,Mega Floette Ex #99,$4.46
12231458,Pokemon Japanese Ninja Spinner,Mega Floette ex #35,$1.40
12271092,Pokemon Japanese Ninja Spinner,Mega Greninja Ex #114,$250.30
12271090,Pokemon Japanese Ninja Spinner,Mega Greninja Ex #120,$488.98
12300897,Pokemon Japanese Ninja Spinner,Mega Greninja Ex #98,$17.44
12231445,Pokemon Japanese Ninja Spinner,Mega Greninja ex #22,$3.12
12231438,Pokemon Japanese Ninja Spinner,Mega Pyroar ex #15,$1.62
12231460,Pokemon Japanese Ninja Spinner,Meowstic #37,$1.65
12231482,Pokemon Japanese Ninja Spinner,Metagross #59,$1.77
12231481,Pokemon Japanese Ninja Spinner,Metang #58,$1.50
12300891,Pokemon Japanese Ninja Spinner,Metang #92,$3.10
12231493,Pokemon Japanese Ninja Spinner,Minccino #70,$1.59
12231507,Pokemon Japanese Ninja Spinner,Ninetales #9,$1.74
