id,console-name,product-name,loose-price
3439815,Pokemon Japanese Offense and Defense of the Furthest Ends,Altaria ex #19,$42.87
4928154,Pokemon Japanese Offense and Defense of the Furthest Ends,Altaria ex [1st Edition] #19,$29.99
3439848,Pokemon Japanese Offense and Defense of the Furthest Ends,Ampharos #51,$18.29
4928155,Pokemon Japanese Offense and Defense of the Furthest Ends,Ampharos [1st Edition] #51,$10.58
3439804,Pokemon Japanese Offense and Defense of the Furthest Ends,Arbok #8,$2.55
4928156,Pokemon Japanese Offense and Defense of the Furthest Ends,Arbok [1st Edition] #8,$2.99
3439816,Pokemon Japanese Offense and Defense of the Furthest Ends,Bagon #20,$2.83
4928157,Pokemon Japanese Offense and Defense of the Furthest Ends,Bagon [1st Edition] #20,$2.99
3439841,Pokemon Japanese Offense and Defense of the Furthest Ends,Bayleef #44,$3.64
4928158,Pokemon Japanese Offense and Defense of the Furthest Ends,Bayleef [1st Edition] #44,$1.99
9866070,Pokemon Japanese Offense and Defense of the Furthest Ends,Charizard [Gold Star 1st Edition] #52,$2375.50
4956831,Pokemon Japanese Offense and Defense of the Furthest Ends,Charizard [Gold Star] #52,$3970.59
3439840,Pokemon Japanese Offense and Defense of the Furthest Ends,Chikorita #43,$4.46
4928159,Pokemon Japanese Offense and Defense of the Furthest Ends,Chikorita [1st Edition] #43,$6.49
3439836,Pokemon Japanese Offense and Defense of the Furthest Ends,Cloyster #39,$3.40
4928160,Pokemon Japanese Offense and Defense of the Furthest Ends,Cloyster [1st Edition] #39,$1.83
3439821,Pokemon Japanese Offense and Defense of the Furthest Ends,Croconaw #25,$6.03
4928161,Pokemon Japanese Offense and Defense of the Furthest Ends,Croconaw [1st Edition] #25,$7.48
3439828,Pokemon Japanese Offense and Defense of the Furthest Ends,Cyndaquil #32,$3.09
4928162,Pokemon Japanese Offense and Defense of the Furthest Ends,Cyndaquil [1st Edition] #32,$4.00
3439845,Pokemon Japanese Offense and Defense of the Furthest Ends,Dewgong #48,$5.84
4928163,Pokemon Japanese Offense and Defense of the Furthest Ends,Dewgong [1st Edition] #48,$6.16
3439799,Pokemon Japanese Offense and Defense of the Furthest Ends,Dragonair #3,$6.27
4928164,Pokemon Japanese Offense and Defense of the Furthest Ends,Dragonair [1st Edition] #3,$5.33
3439800,Pokemon Japanese Offense and Defense of the Furthest Ends,Dragonite ex #4,$106.75
4928165,Pokemon Japanese Offense and Defense of the Furthest Ends,Dragonite ex [1st Edition] #4,$70.00
3439798,Pokemon Japanese Offense and Defense of the Furthest Ends,Dratini #2,$5.05
4928166,Pokemon Japanese Offense and Defense of the Furthest Ends,Dratini [1st Edition] #2,$6.22
3439803,Pokemon Japanese Offense and Defense of the Furthest Ends,Ekans #7,$3.31
4928167,Pokemon Japanese Offense and Defense of the Furthest Ends,Ekans [1st Edition] #7,$4.25
3439808,Pokemon Japanese Offense and Defense of the Furthest Ends,Feebas #12,$3.83
4928168,Pokemon Japanese Offense and Defense of the Furthest Ends,Feebas [1st Edition] #12,$1.99
3439822,Pokemon Japanese Offense and Defense of the Furthest Ends,Feraligatr #26,$34.99
4918776,Pokemon Japanese Offense and Defense of the Furthest Ends,Feraligatr [1st Edition] #26,$40.25
3439847,Pokemon Japanese Offense and Defense of the Furthest Ends,Flaaffy #50,$5.99
