id,console-name,product-name,loose-price
4830303,Pokemon Japanese Old Maid,Bulbasaur,$2.86
4830305,Pokemon Japanese Old Maid,Chansey,$2.00
4830306,Pokemon Japanese Old Maid,Charmander,$5.02
5917095,Pokemon Japanese Old Maid,Comfey [Super High Tension],$1.52
5917094,Pokemon Japanese Old Maid,Dedenne [Super High Tension],$2.05
5917114,Pokemon Japanese Old Maid,Deoxys [Super High Tension],$2.45
4830307,Pokemon Japanese Old Maid,Ditto,$2.86
5917098,Pokemon Japanese Old Maid,Dive Ball [Super High Tension],$2.51
5917091,Pokemon Japanese Old Maid,Dondozo [Super High Tension],$1.81
4830308,Pokemon Japanese Old Maid,Eevee,$4.11
5917089,Pokemon Japanese Old Maid,Fuecoco [Super High Tension],$4.92
4830309,Pokemon Japanese Old Maid,Gengar,$17.00
4830317,Pokemon Japanese Old Maid,Get Pokemon,$3.00
4830310,Pokemon Japanese Old Maid,Gloom,$2.20
5917083,Pokemon Japanese Old Maid,Inkay [Super High Tension],$2.75
4830311,Pokemon Japanese Old Maid,Jigglypuff,$2.19
5917115,Pokemon Japanese Old Maid,Koffing [Super High Tension],$2.84
5917092,Pokemon Japanese Old Maid,Ludicolo [Super High Tension],$2.07
4830312,Pokemon Japanese Old Maid,Meowth,$4.87
4830313,Pokemon Japanese Old Maid,Mew,$4.84
13014077,Pokemon Japanese Old Maid,Old Maid Deck,$16.41
13279677,Pokemon Japanese Old Maid,Old Maid Deck [Blue],$13.96
4830314,Pokemon Japanese Old Maid,Pidgey,$2.24
4830315,Pokemon Japanese Old Maid,Pikachu,$4.59
5917082,Pokemon Japanese Old Maid,Pikachu [Super High Tension],$7.10
4830318,Pokemon Japanese Old Maid,Psyduck,$3.86
4830319,Pokemon Japanese Old Maid,Raichu,$2.50
4830320,Pokemon Japanese Old Maid,Slowpoke,$3.37
5917081,Pokemon Japanese Old Maid,Snorlax [Super High Tension],$7.49
4830304,Pokemon Japanese Old Maid,Spare Card,$2.64
5917117,Pokemon Japanese Old Maid,Spare Card [Super High Tension],$3.49
5917093,Pokemon Japanese Old Maid,Spinda [Super High Tension],$2.12
4830321,Pokemon Japanese Old Maid,Squirtle,$4.49
5917096,Pokemon Japanese Old Maid,Sudowoodo [Super High Tension],$2.05
5917087,Pokemon Japanese Old Maid,Swirlix [Super High Tension],$1.99
6073279,Pokemon Japanese Old Maid,Sylveon,$8.08
5917090,Pokemon Japanese Old Maid,Tatsugirl [Super High Tension],$2.99
5917112,Pokemon Japanese Old Maid,Togepi [Super High Tension],$3.64
4830316,Pokemon Japanese Old Maid,Top Player,$1.99
5917116,Pokemon Japanese Old Maid,Top Player [Super High Tension],$2.80
6073278,Pokemon Japanese Old Maid,Umbreon,$19.99
5917086,Pokemon Japanese Old Maid,Wobbuffet [Super High Tension],$2.50
