id,console-name,product-name,loose-price
4277003,Pokemon Japanese Paradigm Trigger,Aggron #67,$1.73
4276985,Pokemon Japanese Paradigm Trigger,Anorith #49,$1.79
4277018,Pokemon Japanese Paradigm Trigger,Archen #82,$1.47
4277019,Pokemon Japanese Paradigm Trigger,Archeops #83,$1.57
4276942,Pokemon Japanese Paradigm Trigger,Ariados #7,$2.03
4276986,Pokemon Japanese Paradigm Trigger,Armaldo #50,$1.14
4277001,Pokemon Japanese Paradigm Trigger,Aron #65,$1.69
4276982,Pokemon Japanese Paradigm Trigger,Baltoy #47,$1.75
4276980,Pokemon Japanese Paradigm Trigger,Beheeyem #44,$1.97
4276938,Pokemon Japanese Paradigm Trigger,Bellossom #3,$1.93
4277040,Pokemon Japanese Paradigm Trigger,Booster Box,$167.50
4277039,Pokemon Japanese Paradigm Trigger,Booster Pack,$10.98
4335128,Pokemon Japanese Paradigm Trigger,Brandon #112,$2.80
4335136,Pokemon Japanese Paradigm Trigger,Brandon #120,$4.00
4277030,Pokemon Japanese Paradigm Trigger,Brandon #94,$1.74
4335129,Pokemon Japanese Paradigm Trigger,Candice #113,$14.58
4335137,Pokemon Japanese Paradigm Trigger,Candice #121,$7.44
4277031,Pokemon Japanese Paradigm Trigger,Candice #95,$1.62
4276944,Pokemon Japanese Paradigm Trigger,Chesnaught V #9,$0.99
4335120,Pokemon Japanese Paradigm Trigger,Chesnaught V #99,$2.85
4276984,Pokemon Japanese Paradigm Trigger,Claydol #48,$1.49
4277004,Pokemon Japanese Paradigm Trigger,Cobalion #68,$1.55
4276981,Pokemon Japanese Paradigm Trigger,Dedenne #45,$1.79
4276997,Pokemon Japanese Paradigm Trigger,Dragalge #61,$1.49
4277007,Pokemon Japanese Paradigm Trigger,Dragonair #71,$1.89
4277008,Pokemon Japanese Paradigm Trigger,Dragonite #72,$2.20
4277006,Pokemon Japanese Paradigm Trigger,Dratini #70,$1.86
4276977,Pokemon Japanese Paradigm Trigger,Duosion #41,$1.19
4277027,Pokemon Japanese Paradigm Trigger,Earthen Seal Stone #91,$1.93
