id,console-name,product-name,loose-price
7420469,Pokemon Japanese Paradise Dragona,Alolan Exeggutor ex #40,$1.69
7420510,Pokemon Japanese Paradise Dragona,Alolan Exeggutor ex #81,$4.52
7420518,Pokemon Japanese Paradise Dragona,Alolan Exeggutor ex #89,$20.00
7420521,Pokemon Japanese Paradise Dragona,Alolan Exeggutor ex #92,$7.49
7420470,Pokemon Japanese Paradise Dragona,Altaria #41,$1.33
7420476,Pokemon Japanese Paradise Dragona,Appletun #47,$1.36
7420504,Pokemon Japanese Paradise Dragona,Appletun #75,$4.49
7420474,Pokemon Japanese Paradise Dragona,Applin #45,$1.65
7420466,Pokemon Japanese Paradise Dragona,Archaludon ex #37,$1.50
7420509,Pokemon Japanese Paradise Dragona,Archaludon ex #80,$2.92
7420517,Pokemon Japanese Paradise Dragona,Archaludon ex #88,$10.00
7420482,Pokemon Japanese Paradise Dragona,Assistance Bell #53,$0.81
7420440,Pokemon Japanese Paradise Dragona,Black Kyurem ex #11,$1.51
7420506,Pokemon Japanese Paradise Dragona,Black Kyurem ex #77,$4.27
7456084,Pokemon Japanese Paradise Dragona,Booster Box,$93.22
7456085,Pokemon Japanese Paradise Dragona,Booster Pack,$3.95
7420479,Pokemon Japanese Paradise Dragona,Braviary #50,$1.77
7420505,Pokemon Japanese Paradise Dragona,Braviary #76,$3.25
7420441,Pokemon Japanese Paradise Dragona,Bruxish #12,$1.00
7420497,Pokemon Japanese Paradise Dragona,Bruxish #68,$1.97
7420435,Pokemon Japanese Paradise Dragona,Castform Sunny Form #6,$1.57
7420496,Pokemon Japanese Paradise Dragona,Castform Sunny Form #67,$4.54
7420446,Pokemon Japanese Paradise Dragona,Cetitan #17,$1.40
7420498,Pokemon Japanese Paradise Dragona,Cetitan #69,$2.31
7420445,Pokemon Japanese Paradise Dragona,Cetoddle #16,$1.80
7420461,Pokemon Japanese Paradise Dragona,Clobbopus #32,$1.31
7420501,Pokemon Japanese Paradise Dragona,Clobbopus #72,$3.99
7420488,Pokemon Japanese Paradise Dragona,Counter Gain #59,$1.23
7420522,Pokemon Japanese Paradise Dragona,Counter Gain #93,$5.67
7420439,Pokemon Japanese Paradise Dragona,Cryogonal #10,$0.88
7420480,Pokemon Japanese Paradise Dragona,Cyclizar ex #51,$1.54
7420511,Pokemon Japanese Paradise Dragona,Cyclizar ex #82,$2.99
7420433,Pokemon Japanese Paradise Dragona,Dhelmise #4,$1.40
7420471,Pokemon Japanese Paradise Dragona,Dialga #42,$1.43
7420486,Pokemon Japanese Paradise Dragona,Dragon Potion #57,$1.50
7420491,Pokemon Japanese Paradise Dragona,Drasna #62,$1.08
7420514,Pokemon Japanese Paradise Dragona,Drasna #85,$3.48
7420489,Pokemon Japanese Paradise Dragona,Drayton #60,$1.47
7420512,Pokemon Japanese Paradise Dragona,Drayton #83,$2.99
7420519,Pokemon Japanese Paradise Dragona,Drayton #90,$8.25
7420457,Pokemon Japanese Paradise Dragona,Drilbur #28,$1.00
7420465,Pokemon Japanese Paradise Dragona,Duraludon #36,$1.15
7420483,Pokemon Japanese Paradise Dragona,Dusk Ball #54,$1.00
7420481,Pokemon Japanese Paradise Dragona,Energy Search PRO #52,$1.89
7420452,Pokemon Japanese Paradise Dragona,Espathra #23,$1.25
7420458,Pokemon Japanese Paradise Dragona,Excadrill #29,$1.50
7420430,Pokemon Japanese Paradise Dragona,Exeggcute #1,$1.23
7420494,Pokemon Japanese Paradise Dragona,Exeggcute #65,$3.70
7420475,Pokemon Japanese Paradise Dragona,Flapple #46,$1.45
7420503,Pokemon Japanese Paradise Dragona,Flapple #74,$2.56
7420451,Pokemon Japanese Paradise Dragona,Flittle #22,$1.36
7420456,Pokemon Japanese Paradise Dragona,Flygon ex #27,$1.79
7420508,Pokemon Japanese Paradise Dragona,Flygon ex #79,$4.02
7420467,Pokemon Japanese Paradise Dragona,Gholdengo #38,$1.50
7420453,Pokemon Japanese Paradise Dragona,Gimmighoul #24,$1.60
7420438,Pokemon Japanese Paradise Dragona,Gouging Fire #9,$1.42
7420462,Pokemon Japanese Paradise Dragona,Grapploct #33,$1.28
7420468,Pokemon Japanese Paradise Dragona,Iron Crown #39,$1.31
7420523,Pokemon Japanese Paradise Dragona,Jet Energy #94,$5.49
7420464,Pokemon Japanese Paradise Dragona,Klefki #35,$1.49
7420459,Pokemon Japanese Paradise Dragona,Landorus #30,$0.88
7420507,Pokemon Japanese Paradise Dragona,Latias EX #78,$4.99
7532407,Pokemon Japanese Paradise Dragona,Latias EX #87,$157.00
7420448,Pokemon Japanese Paradise Dragona,Latias ex #19,$1.70
7420449,Pokemon Japanese Paradise Dragona,Latios #20,$1.00
7420499,Pokemon Japanese Paradise Dragona,Latios #70,$13.50
7420492,Pokemon Japanese Paradise Dragona,Lisia's Appeal #63,$1.58
7420515,Pokemon Japanese Paradise Dragona,Lisia's Appeal #86,$11.39
7420520,Pokemon Japanese Paradise Dragona,Lisia's Appeal #91,$93.17
7420485,Pokemon Japanese Paradise Dragona,Megaton Blower #56,$1.49
7420431,Pokemon Japanese Paradise Dragona,Morelull #2,$1.54
7420484,Pokemon Japanese Paradise Dragona,Obstruction Letter #55,$0.50
7420472,Pokemon Japanese Paradise Dragona,Palkia #43,$1.33
7420436,Pokemon Japanese Paradise Dragona,Pansear #7,$1.58
7420487,Pokemon Japanese Paradise Dragona,Passho Berry #58,$1.50
7420460,Pokemon Japanese Paradise Dragona,Passimian #31,$1.23
7420444,Pokemon Japanese Paradise Dragona,Quaquaval #15,$2.00
7420442,Pokemon Japanese Paradise Dragona,Quaxly #13,$1.50
7420443,Pokemon Japanese Paradise Dragona,Quaxwell #14,$1.40
7420493,Pokemon Japanese Paradise Dragona,Rich Energy #64,$1.99
7420478,Pokemon Japanese Paradise Dragona,Rufflet #49,$1.77
7420432,Pokemon Japanese Paradise Dragona,Shiinotic #3,$1.45
7420495,Pokemon Japanese Paradise Dragona,Shiinotic #66,$2.94
7420437,Pokemon Japanese Paradise Dragona,Simisear #8,$0.76
7420463,Pokemon Japanese Paradise Dragona,Skarmory #34,$1.49
7420502,Pokemon Japanese Paradise Dragona,Skarmory #73,$4.13
7420447,Pokemon Japanese Paradise Dragona,Smoochum #18,$1.60
7420490,Pokemon Japanese Paradise Dragona,Surfer #61,$1.10
7420513,Pokemon Japanese Paradise Dragona,Surfer #84,$2.14
7420477,Pokemon Japanese Paradise Dragona,Swablu #48,$1.50
7420450,Pokemon Japanese Paradise Dragona,Tapu Lele #21,$1.47
7420454,Pokemon Japanese Paradise Dragona,Trapinch #25,$1.45
7420473,Pokemon Japanese Paradise Dragona,Turtonator #44,$1.24
7420455,Pokemon Japanese Paradise Dragona,Vibrava #26,$1.80
7420500,Pokemon Japanese Paradise Dragona,Vibrava #71,$2.80
7420434,Pokemon Japanese Paradise Dragona,Zarude #5,$1.49
