id,console-name,product-name,loose-price
3461996,Pokemon Japanese Phantom Gate,AZ #84,$7.99
3462005,Pokemon Japanese Phantom Gate,AZ #93,$106.58
3507541,Pokemon Japanese Phantom Gate,AZ [1st Edition] #84,$2.58
3507542,Pokemon Japanese Phantom Gate,AZ [1st Edition] #93,$56.62
3461934,Pokemon Japanese Phantom Gate,Alomomola #22,$2.99
3507543,Pokemon Japanese Phantom Gate,Alomomola [1st Edition] #22,$2.99
3461991,Pokemon Japanese Phantom Gate,Battle Compressor #79,$5.00
3507544,Pokemon Japanese Phantom Gate,Battle Compressor [1st Edition] #79,$0.99
3461981,Pokemon Japanese Phantom Gate,Blissey #69,$3.04
3507545,Pokemon Japanese Phantom Gate,Blissey [1st Edition] #69,$3.06
3461960,Pokemon Japanese Phantom Gate,Boldore #48,
3507546,Pokemon Japanese Phantom Gate,Boldore [1st Edition] #48,$2.50
4954178,Pokemon Japanese Phantom Gate,Booster Box,$6611.99
12415996,Pokemon Japanese Phantom Gate,Booster Pack,$209.97
3461987,Pokemon Japanese Phantom Gate,Bunnelby #75,$4.11
3507547,Pokemon Japanese Phantom Gate,Bunnelby [1st Edition] #75,$1.94
3461954,Pokemon Japanese Phantom Gate,Chandelure #42,$3.89
3507548,Pokemon Japanese Phantom Gate,Chandelure [1st Edition] #42,$4.49
3461980,Pokemon Japanese Phantom Gate,Chansey #68,$3.25
3507549,Pokemon Japanese Phantom Gate,Chansey [1st Edition] #68,$3.51
3461944,Pokemon Japanese Phantom Gate,Crobat #32,$3.42
3507550,Pokemon Japanese Phantom Gate,Crobat [1st Edition] #32,$6.25
3461928,Pokemon Japanese Phantom Gate,Croconaw #16,$3.38
3507551,Pokemon Japanese Phantom Gate,Croconaw [1st Edition] #16,$2.86
3461975,Pokemon Japanese Phantom Gate,Deino #63,$0.50
3507552,Pokemon Japanese Phantom Gate,Deino [1st Edition] #63,$2.29
3461988,Pokemon Japanese Phantom Gate,Diggersby #76,$4.14
3507553,Pokemon Japanese Phantom Gate,Diggersby [1st Edition] #76,$9.98
3461999,Pokemon Japanese Phantom Gate,Dimension Valley #87,$2.99
3507554,Pokemon Japanese Phantom Gate,Dimension Valley [1st Edition] #87,$2.99
3461971,Pokemon Japanese Phantom Gate,Escavalier #59,$3.19
3507555,Pokemon Japanese Phantom Gate,Escavalier [1st Edition] #59,$2.04
3461985,Pokemon Japanese Phantom Gate,Exploud #73,$4.00
