id,console-name,product-name,loose-price
3461273,Pokemon Japanese Plasma Gale,Amoonguss #8,$2.43
8454029,Pokemon Japanese Plasma Gale,Amoonguss [1st Edition] #8,$1.66
3461281,Pokemon Japanese Plasma Gale,Articuno EX #16,$8.95
3461337,Pokemon Japanese Plasma Gale,Articuno EX #72,$98.90
8454030,Pokemon Japanese Plasma Gale,Articuno EX [1st Edition] #16,$8.99
8454031,Pokemon Japanese Plasma Gale,Articuno EX [1st Edition] #72,$77.50
3461287,Pokemon Japanese Plasma Gale,Beartic #22,$2.18
8454032,Pokemon Japanese Plasma Gale,Beartic [1st Edition] #22,$2.92
3461304,Pokemon Japanese Plasma Gale,Beheeyem #39,$2.39
8454033,Pokemon Japanese Plasma Gale,Beheeyem [1st Edition] #39,$1.75
3461343,Pokemon Japanese Plasma Gale,Blastoise #78,$213.21
8454034,Pokemon Japanese Plasma Gale,Blastoise [1st Edition] #78,$159.99
5807275,Pokemon Japanese Plasma Gale,Booster Box,$1652.28
13118486,Pokemon Japanese Plasma Gale,Booster Pack,$202.79
3461342,Pokemon Japanese Plasma Gale,Charizard #77,$551.26
8454035,Pokemon Japanese Plasma Gale,Charizard [1st Edition] #77,$497.19
3461270,Pokemon Japanese Plasma Gale,Cherrim #5,$2.99
8454036,Pokemon Japanese Plasma Gale,Cherrim [1st Edition] #5,$1.99
3461269,Pokemon Japanese Plasma Gale,Cherubi #4,$2.27
8454037,Pokemon Japanese Plasma Gale,Cherubi [1st Edition] #4,$2.98
3461274,Pokemon Japanese Plasma Gale,Chimchar #9,$2.83
8454038,Pokemon Japanese Plasma Gale,Chimchar [1st Edition] #9,$3.59
3461317,Pokemon Japanese Plasma Gale,Clefable #52,$3.00
8454039,Pokemon Japanese Plasma Gale,Clefable [1st Edition] #52,$2.69
3461316,Pokemon Japanese Plasma Gale,Clefairy #51,$3.24
8454040,Pokemon Japanese Plasma Gale,Clefairy [1st Edition] #51,$3.20
3461314,Pokemon Japanese Plasma Gale,Cobalion EX #49,$3.95
3461338,Pokemon Japanese Plasma Gale,Cobalion EX #73,$16.50
8454041,Pokemon Japanese Plasma Gale,Cobalion EX [1st Edition] #49,$4.01
8454042,Pokemon Japanese Plasma Gale,Cobalion EX [1st Edition] #73,$21.24
3461329,Pokemon Japanese Plasma Gale,Colress #64,$1.59
3461340,Pokemon Japanese Plasma Gale,Colress #75,$37.37
3461327,Pokemon Japanese Plasma Gale,Colress Machine #62,$1.06
8454045,Pokemon Japanese Plasma Gale,Colress Machine [1st Edition] #62,
8454043,Pokemon Japanese Plasma Gale,Colress [1st Edition] #64,
8454044,Pokemon Japanese Plasma Gale,Colress [1st Edition] #75,$22.50
3461294,Pokemon Japanese Plasma Gale,Crobat #29,$3.74
8454046,Pokemon Japanese Plasma Gale,Crobat [1st Edition] #29,$4.92
3461286,Pokemon Japanese Plasma Gale,Cubchoo #21,$1.94
8454047,Pokemon Japanese Plasma Gale,Cubchoo [1st Edition] #21,$3.00
3461319,Pokemon Japanese Plasma Gale,Dodrio #54,$2.74
8454048,Pokemon Japanese Plasma Gale,Dodrio [1st Edition] #54,$2.69
3461318,Pokemon Japanese Plasma Gale,Doduo #53,$1.99
8454049,Pokemon Japanese Plasma Gale,Doduo [1st Edition] #53,$0.75
3461306,Pokemon Japanese Plasma Gale,Donphan #41,$2.69
8454050,Pokemon Japanese Plasma Gale,Donphan [1st Edition] #41,$3.56
3461334,Pokemon Japanese Plasma Gale,Dowsing Machine #69,$2.99
8454051,Pokemon Japanese Plasma Gale,Dowsing Machine [1st Edition] #69,$0.50
3461315,Pokemon Japanese Plasma Gale,Druddigon #50,$2.69
8454052,Pokemon Japanese Plasma Gale,Druddigon [1st Edition] #50,$3.06
3461313,Pokemon Japanese Plasma Gale,Durant #48,$2.42
8454053,Pokemon Japanese Plasma Gale,Durant [1st Edition] #48,$2.47
3461303,Pokemon Japanese Plasma Gale,Elgyem #38,$2.34
8454054,Pokemon Japanese Plasma Gale,Elgyem [1st Edition] #38,$2.91
3461272,Pokemon Japanese Plasma Gale,Foongus #7,$3.27
8454055,Pokemon Japanese Plasma Gale,Foongus [1st Edition] #7,$1.85
3461299,Pokemon Japanese Plasma Gale,Gallade #34,$1.88
8454056,Pokemon Japanese Plasma Gale,Gallade [1st Edition] #34,$3.67
3461302,Pokemon Japanese Plasma Gale,Garbodor #37,$3.45
8454057,Pokemon Japanese Plasma Gale,Garbodor [1st Edition] #37,$1.75
3461300,Pokemon Japanese Plasma Gale,Giratina #35,$11.64
8454058,Pokemon Japanese Plasma Gale,Giratina [1st Edition] #35,$15.38
3461293,Pokemon Japanese Plasma Gale,Golbat #28,$2.49
8454059,Pokemon Japanese Plasma Gale,Golbat [1st Edition] #28,$2.25
3461267,Pokemon Japanese Plasma Gale,Grotle #2,$2.86
8454060,Pokemon Japanese Plasma Gale,Grotle [1st Edition] #2,$2.39
3461280,Pokemon Japanese Plasma Gale,Heatmor #15,$1.50
8454061,Pokemon Japanese Plasma Gale,Heatmor [1st Edition] #15,$0.50
3461328,Pokemon Japanese Plasma Gale,Hypnotoxic Laser #63,$2.02
8454062,Pokemon Japanese Plasma Gale,Hypnotoxic Laser [1st Edition] #63,$4.59
3461276,Pokemon Japanese Plasma Gale,Infernape #11,$6.32
8454063,Pokemon Japanese Plasma Gale,Infernape [1st Edition] #11,$11.09
3461298,Pokemon Japanese Plasma Gale,Kirlia #33,$2.73
8454064,Pokemon Japanese Plasma Gale,Kirlia [1st Edition] #33,$4.48
3461295,Pokemon Japanese Plasma Gale,Koffing #30,$3.13
8454065,Pokemon Japanese Plasma Gale,Koffing [1st Edition] #30,$3.22
3461310,Pokemon Japanese Plasma Gale,Liepard #45,$2.19
8454066,Pokemon Japanese Plasma Gale,Liepard [1st Edition] #45,$1.99
3461283,Pokemon Japanese Plasma Gale,Lombre #18,$1.99
8454067,Pokemon Japanese Plasma Gale,Lombre [1st Edition] #18,$3.99
3461282,Pokemon Japanese Plasma Gale,Lotad #17,$2.46
8454068,Pokemon Japanese Plasma Gale,Lotad [1st Edition] #17,$3.99
3461308,Pokemon Japanese Plasma Gale,Lucario #43,$9.99
