id,console-name,product-name,loose-price
4557569,Pokemon Japanese PokeKyun Collection,Altaria #29,$75.27
5836805,Pokemon Japanese PokeKyun Collection,Booster Box,$5933.02
11463516,Pokemon Japanese PokeKyun Collection,Booster Pack,$1200.00
4286114,Pokemon Japanese PokeKyun Collection,Charizard #5,$96.99
4557544,Pokemon Japanese PokeKyun Collection,Charmander #3,$34.00
4557545,Pokemon Japanese PokeKyun Collection,Charmeleon #4,$36.38
4557542,Pokemon Japanese PokeKyun Collection,Chikorita #1,$31.64
4557571,Pokemon Japanese PokeKyun Collection,Crown of Flowers #31,$12.00
4557552,Pokemon Japanese PokeKyun Collection,Dedenne #12,$67.44
4557567,Pokemon Japanese PokeKyun Collection,Diancie #27,$25.37
4557556,Pokemon Japanese PokeKyun Collection,Espurr #16,$62.92
4557561,Pokemon Japanese PokeKyun Collection,Flabebe #21,$14.89
4557546,Pokemon Japanese PokeKyun Collection,Flareon EX #6,$199.99
4557547,Pokemon Japanese PokeKyun Collection,Flareon EX #7,$257.44
4557570,Pokemon Japanese PokeKyun Collection,Fletchling #30,$20.53
4557562,Pokemon Japanese PokeKyun Collection,Floette #22,$11.93
4557549,Pokemon Japanese PokeKyun Collection,Froslass #9,$19.49
4557559,Pokemon Japanese PokeKyun Collection,Gardevoir EX #19,$252.30
4557554,Pokemon Japanese PokeKyun Collection,Gulpin #14,$29.99
4557555,Pokemon Japanese PokeKyun Collection,Jirachi #15,$51.08
4557560,Pokemon Japanese PokeKyun Collection,M Gardevoir EX #20,$371.31
4557557,Pokemon Japanese PokeKyun Collection,Meowstic #17,$29.56
4557550,Pokemon Japanese PokeKyun Collection,Pikachu #10,$695.99
4557551,Pokemon Japanese PokeKyun Collection,Raichu #11,$35.03
4557543,Pokemon Japanese PokeKyun Collection,Shroomish #2,$12.50
4557564,Pokemon Japanese PokeKyun Collection,Slurpuff #24,$19.70
4557548,Pokemon Japanese PokeKyun Collection,Snorunt #8,$18.74
4557568,Pokemon Japanese PokeKyun Collection,Swablu #28,$17.99
4557563,Pokemon Japanese PokeKyun Collection,Swirlix #23,$22.67
4557565,Pokemon Japanese PokeKyun Collection,Sylveon EX #25,$119.21
4557566,Pokemon Japanese PokeKyun Collection,Sylveon EX #26,$504.08
4557572,Pokemon Japanese PokeKyun Collection,Wally #32,$20.82
4557553,Pokemon Japanese PokeKyun Collection,Wobbuffet #13,$18.50
4557558,Pokemon Japanese PokeKyun Collection,Yveltal #18,$22.43
