id,console-name,product-name,loose-price
13338037,Pokemon Japanese Promo,151 Card File Set,$155.80
13014063,Pokemon Japanese Promo,2024 Summer Promo Pack,$21.98
4914082,Pokemon Japanese Promo,AEON Pikachu #307/SM-P,$105.65
11909572,Pokemon Japanese Promo,Aaron's Pidgeot [Movie VS Pack] #6,$21.00
12735662,Pokemon Japanese Promo,Abareru-Kun #320/SM-P,$204.75
6985008,Pokemon Japanese Promo,Absol #302/S-P,$22.19
10489489,Pokemon Japanese Promo,Absol #34/ADV-P,$50.63
6216727,Pokemon Japanese Promo,Absol #35/ADV-P,$73.70
10619675,Pokemon Japanese Promo,Absol EX [Battle Festa] #XY-P,$182.41
12173040,Pokemon Japanese Promo,Absol [Pokemon Card Gym] #XY-P,$71.31
7322587,Pokemon Japanese Promo,Acerola [Extra Battle Day] #395/SM-P,
11812194,Pokemon Japanese Promo,Adversity Insurance [Gym] #49/M-P,$5.42
10575597,Pokemon Japanese Promo,Aerodactyl EX #182/XY-P,$8.26
11997222,Pokemon Japanese Promo,Aipom [Gym Promo] #387/SM-P,$3.18
11812192,Pokemon Japanese Promo,Air Balloon [Gym] #50/M-P,$4.49
8848229,Pokemon Japanese Promo,Alakazam #12/DPt-P,$92.96
9967272,Pokemon Japanese Promo,Alakzam Spirit Link [Pokemon Center] #229/XY-P,$23.59
13817444,Pokemon Japanese Promo,All Night Party [Pokemon Gym Promo] #139,
2740785,Pokemon Japanese Promo,Alola Friends #401/SM-P,$1897.79
10488353,Pokemon Japanese Promo,Alolan Exeggutor #201/SM-P,$7.99
4286488,Pokemon Japanese Promo,Alolan Exeggutor V Promo #288/S-P,$2.66
9133360,Pokemon Japanese Promo,Alolan Marowak GX #252,$19.99
10951953,Pokemon Japanese Promo,Alolan Meowth #255/SM-P,$47.59
11467914,Pokemon Japanese Promo,Alolan Meowth #32/SMP-P,$473.50
11463339,Pokemon Japanese Promo,Alolan Ninetales #389/SM-P,$25.53
13546057,Pokemon Japanese Promo,Alolan Ninetales [Gym] #218/SM-P,$473.50
8089057,Pokemon Japanese Promo,Alolan Vulpix #147/SM-P,$370.00
10749423,Pokemon Japanese Promo,Alolan Vulpix #206/SM-P,$25.60
5769156,Pokemon Japanese Promo,Alolan Vulpix #52/SM-P,$19.99
10594009,Pokemon Japanese Promo,Altaria #162/XY-P,$45.25
10458343,Pokemon Japanese Promo,Altaria #209/S-P,$2.99
11055348,Pokemon Japanese Promo,Altaria #291/XY-P,$793.00
13573226,Pokemon Japanese Promo,Ampharos #134/BW-P,$43.74
7907520,Pokemon Japanese Promo,Ampharos #269/XY-P,$51.68
3834602,Pokemon Japanese Promo,Ancient Mew,$113.50
5391662,Pokemon Japanese Promo,Ancient Mew [2019],$237.82
5391445,Pokemon Japanese Promo,Ancient Mew [II],$86.13
4602476,Pokemon Japanese Promo,Ancient Mew [Nintedo Error],$262.50
4175876,Pokemon Japanese Promo,Annie's Espeon #7,$112.00
4755355,Pokemon Japanese Promo,Arcanine #3/SV-P,$3.26
10455155,Pokemon Japanese Promo,Arcanine BREAK #267/XY-P,$34.77
4949763,Pokemon Japanese Promo,Arcanine [Illustration Contest 2022] #338/S-P,$19.92
6660022,Pokemon Japanese Promo,Arceus #20,$54.82
11262591,Pokemon Japanese Promo,Arceus #40/DPt-P,$24.72
6905920,Pokemon Japanese Promo,Arceus #41/DPT-P,$4.51
9572268,Pokemon Japanese Promo,Arceus & Dialga & Palkia GX #166/S-P,$28.81
5238812,Pokemon Japanese Promo,Arceus V #267/S-P,$19.74
10080100,Pokemon Japanese Promo,Arceus [Corocoro Ichiban],
10064686,Pokemon Japanese Promo,Archeops #327/S-P,$4.49
11812136,Pokemon Japanese Promo,Arctibax [Gym] #51/SV-P,$1.99
5327608,Pokemon Japanese Promo,Armored Mewtwo #365/SM-P,$61.93
4360286,Pokemon Japanese Promo,Articuno [All Nippon Airways] #144,$129.95
12989837,Pokemon Japanese Promo,Arven [Extra Battle Day 2026 Promo] #53/M-P,
11812131,Pokemon Japanese Promo,Arven [Gym] #238/SV-P,$2.11
5400907,Pokemon Japanese Promo,Ash Greninja EX #218/XY-P,$75.75
8455013,Pokemon Japanese Promo,Ash Greninja EX [TV Tokyo Lottery] #218/XY-P,$6.30
4956909,Pokemon Japanese Promo,Ash's Greninja EX #290/XY-P,$1000.00
10154119,Pokemon Japanese Promo,Ash's Pikachu #71/SM-P,$113.89
10154118,Pokemon Japanese Promo,Ash's Pikachu #72/SM-P,$56.90
10154117,Pokemon Japanese Promo,Ash's Pikachu #73/SM-P,$181.05
10154116,Pokemon Japanese Promo,Ash's Pikachu #74/SM-P,$74.00
10154115,Pokemon Japanese Promo,Ash's Pikachu #75/SM-P,$270.72
7310845,Pokemon Japanese Promo,Ash's Pikachu #76/SM-P,$79.28
7310843,Pokemon Japanese Promo,Ash's Pikachu #86/SM-P,$57.86
11830108,Pokemon Japanese Promo,Ash's Swellow #7,$8.98
10103584,Pokemon Japanese Promo,Ash's Treecko #36/ADV-P,$97.04
11812205,Pokemon Japanese Promo,Atticus [Gym] #56/SV-P,$2.80
8330138,Pokemon Japanese Promo,Aura's Lucario #93/PCG-P,$51.90
11262589,Pokemon Japanese Promo,Aurorus EX #168/XY-P,$23.67
10575588,Pokemon Japanese Promo,Azumarill [Pikachu's Summer Festival] #77/PCG-P,$32.47
8344086,Pokemon Japanese Promo,Baby Pikachu [Red/Green Gift Set] #25,
12579949,Pokemon Japanese Promo,Barboach [Gym] #54/SV-P,$1.15
9122993,Pokemon Japanese Promo,Basic Fighting Energy #207/SV-P,$8.87
9122983,Pokemon Japanese Promo,Basic Fire Energy #203/SV-P,$16.10
9122978,Pokemon Japanese Promo,Basic Grass Energy #202/SV-P,$10.96
9122991,Pokemon Japanese Promo,Basic Lightning Energy #205/SV-P,$11.89
9122996,Pokemon Japanese Promo,Basic Metal Energy #209/SV-P,$10.96
9122992,Pokemon Japanese Promo,Basic Psychic Energy #206/SV-P,$16.29
13070226,Pokemon Japanese Promo,Basic Psychic Energy [Victini BWR Battle] #284/SV-P,
9122988,Pokemon Japanese Promo,Basic Water Energy #204/SV-P,$10.66
9360870,Pokemon Japanese Promo,Battle City #107/BW-P,$25.49
10638650,Pokemon Japanese Promo,Battle Tower #19/DPT-P,$37.74
7348548,Pokemon Japanese Promo,Bea #229/S-P,$16.57
