id,console-name,product-name,loose-price
5834938,Pokemon Japanese Raging Surf,Absol #36,$1.82
5834949,Pokemon Japanese Raging Surf,Aegislash #47,$1.57
5834975,Pokemon Japanese Raging Surf,Aegislash #73,$4.07
5834993,Pokemon Japanese Raging Surf,Beach Court #91,$5.21
5834953,Pokemon Japanese Raging Surf,Bombirdier ex #51,$0.30
5834982,Pokemon Japanese Raging Surf,Bombirdier ex #80,$3.07
5834902,Pokemon Japanese Raging Surf,Booster Box,$97.00
5834901,Pokemon Japanese Raging Surf,Booster Pack,$7.00
5834914,Pokemon Japanese Raging Surf,Chinchou #12,$1.00
5834954,Pokemon Japanese Raging Surf,Cyclizar #52,$1.13
5834976,Pokemon Japanese Raging Surf,Cyclizar #74,$3.07
5834913,Pokemon Japanese Raging Surf,Dondozo #11,$1.53
5834927,Pokemon Japanese Raging Surf,Donphan #25,$1.88
5834948,Pokemon Japanese Raging Surf,Doublade #46,$1.20
5834945,Pokemon Japanese Raging Surf,Ferroseed #43,$1.45
5834946,Pokemon Japanese Raging Surf,Ferrothorn #44,$0.11
5834974,Pokemon Japanese Raging Surf,Ferrothorn #72,$3.24
5834934,Pokemon Japanese Raging Surf,Flamigo #32,$1.60
5834903,Pokemon Japanese Raging Surf,Froslass ex #1,$1.68
5834977,Pokemon Japanese Raging Surf,Froslass ex #75,$2.99
5834930,Pokemon Japanese Raging Surf,Gabite #28,$1.00
5834919,Pokemon Japanese Raging Surf,Galvantula #17,$1.41
5834908,Pokemon Japanese Raging Surf,Garchomp ex #6,$1.67
5834978,Pokemon Japanese Raging Surf,Garchomp ex #76,$7.49
5834987,Pokemon Japanese Raging Surf,Garchomp ex #85,$32.25
5834992,Pokemon Japanese Raging Surf,Garchomp ex #90,$19.32
5834935,Pokemon Japanese Raging Surf,Gastly #33,$1.69
5834937,Pokemon Japanese Raging Surf,Gengar #35,$2.14
5834952,Pokemon Japanese Raging Surf,Gholdengo ex #50,$1.68
5834981,Pokemon Japanese Raging Surf,Gholdengo ex #79,$5.48
5834989,Pokemon Japanese Raging Surf,Gholdengo ex #87,$34.00
5834929,Pokemon Japanese Raging Surf,Gible #27,$1.67
5834922,Pokemon Japanese Raging Surf,Gimmighoul #20,$1.49
5834923,Pokemon Japanese Raging Surf,Gimmighoul #21,$2.02
5834970,Pokemon Japanese Raging Surf,Gimmighoul #68,$4.75
5834924,Pokemon Japanese Raging Surf,Gligar #22,$1.80
5834925,Pokemon Japanese Raging Surf,Gliscor #23,$2.62
5834912,Pokemon Japanese Raging Surf,Golisopod #10,$1.16
5834957,Pokemon Japanese Raging Surf,Gorgeous Cape #55,$1.76
5834928,Pokemon Japanese Raging Surf,Groudon #26,$1.51
5834971,Pokemon Japanese Raging Surf,Groudon #69,$29.99
5834936,Pokemon Japanese Raging Surf,Haunter #34,$1.65
5834947,Pokemon Japanese Raging Surf,Honedge #45,$1.35
5834931,Pokemon Japanese Raging Surf,Hoopa ex #29,$1.50
5834980,Pokemon Japanese Raging Surf,Hoopa ex #78,$3.99
5834944,Pokemon Japanese Raging Surf,Jirachi #42,$1.45
5834918,Pokemon Japanese Raging Surf,Joltik #16,$1.65
5834969,Pokemon Japanese Raging Surf,Joltik #67,$6.01
5834933,Pokemon Japanese Raging Surf,Klawf #31,$1.67
5834915,Pokemon Japanese Raging Surf,Lanturn #13,$1.36
5834904,Pokemon Japanese Raging Surf,Lapras #2,$1.66
5834960,Pokemon Japanese Raging Surf,Larry #58,$1.55
5834983,Pokemon Japanese Raging Surf,Larry #81,$3.79
5834966,Pokemon Japanese Raging Surf,Mantyke #64,$11.82
5834909,Pokemon Japanese Raging Surf,Mantyke #7,$1.58
5834964,Pokemon Japanese Raging Surf,Medical Energy #62,$2.50
5834932,Pokemon Japanese Raging Surf,Minior #30,$1.45
5834972,Pokemon Japanese Raging Surf,Minior #70,$8.20
5834917,Pokemon Japanese Raging Surf,Minun #15,$1.49
5834968,Pokemon Japanese Raging Surf,Minun #66,$18.99
5834942,Pokemon Japanese Raging Surf,Nickit #40,$1.00
5834906,Pokemon Japanese Raging Surf,Octillery #4,$1.96
5834951,Pokemon Japanese Raging Surf,Orthworm #49,$1.70
5834910,Pokemon Japanese Raging Surf,Palkia #8,$0.99
5834963,Pokemon Japanese Raging Surf,Parasol Lady #61,$2.27
5834986,Pokemon Japanese Raging Surf,Parasol Lady #84,$9.89
5834991,Pokemon Japanese Raging Surf,Parasol Lady #89,$39.83
5834926,Pokemon Japanese Raging Surf,Phanpy #24,$1.62
5834916,Pokemon Japanese Raging Surf,Plusle #14,$1.61
5834967,Pokemon Japanese Raging Surf,Plusle #65,$28.00
5834955,Pokemon Japanese Raging Surf,Rare Candy #53,$0.99
5834905,Pokemon Japanese Raging Surf,Remoraid #3,$1.15
5834994,Pokemon Japanese Raging Surf,Reversal Energy #92,$7.24
5834962,Pokemon Japanese Raging Surf,Rika #60,$1.89
5834985,Pokemon Japanese Raging Surf,Rika #83,$6.25
5834990,Pokemon Japanese Raging Surf,Rika #88,$22.17
5834940,Pokemon Japanese Raging Surf,Scrafty #38,$1.94
5834939,Pokemon Japanese Raging Surf,Scraggy #37,$1.51
5834961,Pokemon Japanese Raging Surf,Shauntal #59,$1.49
5834984,Pokemon Japanese Raging Surf,Shauntal #82,$4.28
5834907,Pokemon Japanese Raging Surf,Snorunt #5,$1.65
5834965,Pokemon Japanese Raging Surf,Snorunt #63,$4.86
5834956,Pokemon Japanese Raging Surf,Switch #54,$1.25
5834959,Pokemon Japanese Raging Surf,TM: Blindside #57,$1.47
5834958,Pokemon Japanese Raging Surf,TM: Turbo Energize #56,$1.36
5834921,Pokemon Japanese Raging Surf,Tapu Koko ex #19,$1.12
5834979,Pokemon Japanese Raging Surf,Tapu Koko ex #77,$2.86
5834988,Pokemon Japanese Raging Surf,Tapu Koko ex #86,$18.97
5834943,Pokemon Japanese Raging Surf,Thievul #41,$1.44
5834911,Pokemon Japanese Raging Surf,Wimpod #9,$0.99
5834941,Pokemon Japanese Raging Surf,Yveltal #39,$1.46
5834973,Pokemon Japanese Raging Surf,Yveltal #71,$10.23
5834950,Pokemon Japanese Raging Surf,Zacian #48,$1.80
5834920,Pokemon Japanese Raging Surf,Zekrom #18,$1.85
