id,console-name,product-name,loose-price
3462456,Pokemon Japanese Red Flash,Abomasnow #22,$2.30
10802236,Pokemon Japanese Red Flash,Abomasnow [1st Edition] #22,$3.15
3462481,Pokemon Japanese Red Flash,Aromatisse #47,$2.34
10802237,Pokemon Japanese Red Flash,Aromatisse [1st Edition] #47,$2.99
3462489,Pokemon Japanese Red Flash,Assault Vest #55,$1.99
10802238,Pokemon Japanese Red Flash,Assault Vest [1st Edition] #55,
3462482,Pokemon Japanese Red Flash,Axew #48,$3.64
10802239,Pokemon Japanese Red Flash,Axew [1st Edition] #48,$3.86
13138275,Pokemon Japanese Red Flash,Booster Box,
13138250,Pokemon Japanese Red Flash,Booster Pack,$99.66
3462478,Pokemon Japanese Red Flash,Bronzong #44,$3.44
10802240,Pokemon Japanese Red Flash,Bronzong [1st Edition] #44,$3.62
3462477,Pokemon Japanese Red Flash,Bronzor #43,$1.88
10802241,Pokemon Japanese Red Flash,Bronzor [1st Edition] #43,$2.99
3462493,Pokemon Japanese Red Flash,Burning Energy #59,$2.99
10802242,Pokemon Japanese Red Flash,Burning Energy [1st Edition] #59,$4.28
3462439,Pokemon Japanese Red Flash,Chesnaught #5,$3.40
3462440,Pokemon Japanese Red Flash,Chesnaught BREAK #6,$4.00
10802244,Pokemon Japanese Red Flash,Chesnaught BREAK [1st Edition] #6,$3.06
10802243,Pokemon Japanese Red Flash,Chesnaught [1st Edition] #5,$2.49
3462437,Pokemon Japanese Red Flash,Chespin #3,$3.00
10802245,Pokemon Japanese Red Flash,Chespin [1st Edition] #3,$2.99
3462467,Pokemon Japanese Red Flash,Cresselia #33,$2.46
10802246,Pokemon Japanese Red Flash,Cresselia [1st Edition] #33,$2.69
3462468,Pokemon Japanese Red Flash,Cubone #34,$7.13
10802247,Pokemon Japanese Red Flash,Cubone [1st Edition] #34,$7.94
3462484,Pokemon Japanese Red Flash,Dodrio #50,$2.55
10802248,Pokemon Japanese Red Flash,Dodrio [1st Edition] #50,$1.90
3462483,Pokemon Japanese Red Flash,Doduo #49,$2.63
10802249,Pokemon Japanese Red Flash,Doduo [1st Edition] #49,$2.69
3462454,Pokemon Japanese Red Flash,Empoleon #20,$5.06
10802250,Pokemon Japanese Red Flash,Empoleon [1st Edition] #20,$5.67
3462474,Pokemon Japanese Red Flash,Gallade #40,$3.92
10802251,Pokemon Japanese Red Flash,Gallade [1st Edition] #40,$2.99
3462492,Pokemon Japanese Red Flash,Giovanni's Scheme #58,$3.81
3462497,Pokemon Japanese Red Flash,Giovanni's Scheme #64,$72.49
10802252,Pokemon Japanese Red Flash,Giovanni's Scheme [1st Edition] #58,$3.99
