id,console-name,product-name,loose-price
3470099,Pokemon Japanese Remix Bout,Absol #43,$1.81
3470117,Pokemon Japanese Remix Bout,Acro Bike #61,$4.99
3470097,Pokemon Japanese Remix Bout,Alolan Grimer #41,$1.99
3470095,Pokemon Japanese Remix Bout,Alolan Meowth #39,$1.99
3470098,Pokemon Japanese Remix Bout,Alolan Muk #42,$2.00
3470096,Pokemon Japanese Remix Bout,Alolan Persian GX #40,$1.78
3470128,Pokemon Japanese Remix Bout,Alolan Persian GX #71,$4.50
3470134,Pokemon Japanese Remix Bout,Alolan Persian GX #77,$11.11
3470105,Pokemon Japanese Remix Bout,Bewear #49,$1.89
3470101,Pokemon Japanese Remix Bout,Bisharp #45,$1.76
3470087,Pokemon Japanese Remix Bout,Blacephalon #31,$2.44
3470072,Pokemon Japanese Remix Bout,Blastoise & Piplup GX #16,$32.80
3470125,Pokemon Japanese Remix Bout,Blastoise & Piplup GX #69,$34.16
3470126,Pokemon Japanese Remix Bout,Blastoise & Piplup GX #70,$188.00
3470133,Pokemon Japanese Remix Bout,Blastoise & Piplup GX #76,$59.45
5837158,Pokemon Japanese Remix Bout,Booster Box,$730.00
4953949,Pokemon Japanese Remix Bout,Booster Pack,$74.45
3470123,Pokemon Japanese Remix Bout,Charizard & Braixen GX #67,$46.00
3470124,Pokemon Japanese Remix Bout,Charizard & Braixen GX #68,$109.26
3470132,Pokemon Japanese Remix Bout,Charizard & Braixen GX #75,$50.00
3470063,Pokemon Japanese Remix Bout,Charizard & Braixen GX #8,$18.29
3470093,Pokemon Japanese Remix Bout,Crabominable #37,$2.15
3470092,Pokemon Japanese Remix Bout,Crabrawler #36,$1.94
3470061,Pokemon Japanese Remix Bout,Deerling #6,$1.81
3470085,Pokemon Japanese Remix Bout,Dhelmise #29,$1.74
3470116,Pokemon Japanese Remix Bout,Draw Energy #60,$1.00
3470137,Pokemon Japanese Remix Bout,Draw Energy #80,$4.51
3470080,Pokemon Japanese Remix Bout,Dusclops #24,$1.74
3470081,Pokemon Japanese Remix Bout,Dusknoir #25,$1.63
3470079,Pokemon Japanese Remix Bout,Duskull #23,$1.78
3470071,Pokemon Japanese Remix Bout,Emboar #15,$1.94
3470106,Pokemon Japanese Remix Bout,Energy Retrieval #50,$2.07
3470107,Pokemon Japanese Remix Bout,Energy Switch #51,$1.99
3470067,Pokemon Japanese Remix Bout,Entei #11,$1.98
3470118,Pokemon Japanese Remix Bout,Escape Board #62,$3.44
3470074,Pokemon Japanese Remix Bout,Golduck #18,$1.94
3470108,Pokemon Japanese Remix Bout,Great Catcher #52,$0.38
3470135,Pokemon Japanese Remix Bout,Great Catcher #78,$7.99
3470088,Pokemon Japanese Remix Bout,Groudon #32,$2.49
3470102,Pokemon Japanese Remix Bout,Guzzlord #46,$2.05
3470059,Pokemon Japanese Remix Bout,Heracross #4,$1.98
3470111,Pokemon Japanese Remix Bout,Janine #55,$1.15
3470113,Pokemon Japanese Remix Bout,Judge #57,$1.99
3470077,Pokemon Japanese Remix Bout,Kyogre #21,$2.85
3470119,Pokemon Japanese Remix Bout,Lady #63,$10.23
3470086,Pokemon Japanese Remix Bout,Marshadow #30,$7.00
3470136,Pokemon Japanese Remix Bout,Martial Arts Dojo #79,$13.00
3470090,Pokemon Japanese Remix Bout,Pancham #34,$1.89
3470091,Pokemon Japanese Remix Bout,Pangoro #35,$1.99
3470094,Pokemon Japanese Remix Bout,Passimian #38,$1.70
3470100,Pokemon Japanese Remix Bout,Pawniard #44,$1.72
3470083,Pokemon Japanese Remix Bout,Phantump #27,$1.99
3470078,Pokemon Japanese Remix Bout,Phione #22,$1.83
3470070,Pokemon Japanese Remix Bout,Pignite #14,$1.98
3470110,Pokemon Japanese Remix Bout,Pokemon Communication #54,$0.38
3470064,Pokemon Japanese Remix Bout,Ponyta #9,$1.98
3470112,Pokemon Japanese Remix Bout,Professor Oak's Setup #56,$1.74
3470129,Pokemon Japanese Remix Bout,Professor Oak's Setup #72,$29.90
3470073,Pokemon Japanese Remix Bout,Psyduck #17,$3.45
3470065,Pokemon Japanese Remix Bout,Rapidash #10,$1.99
3470114,Pokemon Japanese Remix Bout,Roller Skater #58,$1.61
3470130,Pokemon Japanese Remix Bout,Roller Skater #73,$11.63
3470082,Pokemon Japanese Remix Bout,Rotom #26,$1.79
3470062,Pokemon Japanese Remix Bout,Sawsbuck #7,$1.99
3470104,Pokemon Japanese Remix Bout,Stufful #48,$1.98
3470109,Pokemon Japanese Remix Bout,Switch #53,$1.51
3470057,Pokemon Japanese Remix Bout,Tangela #2,$1.98
3470058,Pokemon Japanese Remix Bout,Tangrowth #3,$1.00
3470069,Pokemon Japanese Remix Bout,Tepig #13,$1.74
3470089,Pokemon Japanese Remix Bout,Throh #33,$1.63
3470084,Pokemon Japanese Remix Bout,Trevenant #28,$0.38
3470060,Pokemon Japanese Remix Bout,Tropius #5,$1.79
3470056,Pokemon Japanese Remix Bout,Venusaur & Snivy GX #1,$11.59
3470121,Pokemon Japanese Remix Bout,Venusaur & Snivy GX #65,$25.00
3470122,Pokemon Japanese Remix Bout,Venusaur & Snivy GX #66,$78.64
3470131,Pokemon Japanese Remix Bout,Venusaur & Snivy GX #74,$29.80
3470068,Pokemon Japanese Remix Bout,Victini #12,$2.24
3470075,Pokemon Japanese Remix Bout,Wailmer #19,$2.24
3470076,Pokemon Japanese Remix Bout,Wailord #20,$1.99
3470115,Pokemon Japanese Remix Bout,Weakness Guard Energy #59,$0.25
3470120,Pokemon Japanese Remix Bout,Welder #64,$4.80
3470103,Pokemon Japanese Remix Bout,Zangoose #47,$1.98
