id,console-name,product-name,loose-price
3460164,Pokemon Japanese Reviving Legends,Alph Lithograph #81,$100.00
8454135,Pokemon Japanese Reviving Legends,Alph Lithograph [1st Edition] #81,$53.89
3460134,Pokemon Japanese Reviving Legends,Beldum #51,$4.02
8454136,Pokemon Japanese Reviving Legends,Beldum [1st Edition] #51,$2.99
3460087,Pokemon Japanese Reviving Legends,Bellossom #4,$9.43
8454137,Pokemon Japanese Reviving Legends,Bellossom [1st Edition] #4,$7.05
13115579,Pokemon Japanese Reviving Legends,Booster Box,
13115580,Pokemon Japanese Reviving Legends,Booster Pack,
3460161,Pokemon Japanese Reviving Legends,Burned Tower #78,$9.18
8454138,Pokemon Japanese Reviving Legends,Burned Tower [1st Edition] #78,$9.62
8844268,Pokemon Japanese Reviving Legends,Burned Tower [Reverse Holo] #78,$19.38
3460101,Pokemon Japanese Reviving Legends,Chinchou #18,$2.91
8454139,Pokemon Japanese Reviving Legends,Chinchou [1st Edition] #18,$1.16
8928611,Pokemon Japanese Reviving Legends,Chinchou [Reverse Holo] #18,$11.39
3460090,Pokemon Japanese Reviving Legends,Combee #7,$3.01
8454140,Pokemon Japanese Reviving Legends,Combee [1st Edition] #7,$7.37
3460162,Pokemon Japanese Reviving Legends,Darkness Energy #79,$4.43
8454141,Pokemon Japanese Reviving Legends,Darkness Energy [1st Edition] #79,
3460153,Pokemon Japanese Reviving Legends,Defender #70,$2.20
8454142,Pokemon Japanese Reviving Legends,Defender [1st Edition] #70,$2.99
3460140,Pokemon Japanese Reviving Legends,Dodrio #57,$2.54
8454143,Pokemon Japanese Reviving Legends,Dodrio [1st Edition] #57,$3.49
3460139,Pokemon Japanese Reviving Legends,Doduo #56,$2.99
8454144,Pokemon Japanese Reviving Legends,Doduo [1st Edition] #56,$4.02
3460112,Pokemon Japanese Reviving Legends,Drifblim #29,$3.21
8454145,Pokemon Japanese Reviving Legends,Drifblim [1st Edition] #29,$2.99
3460111,Pokemon Japanese Reviving Legends,Drifloon #28,$1.15
8454146,Pokemon Japanese Reviving Legends,Drifloon [1st Edition] #28,$3.06
3460141,Pokemon Japanese Reviving Legends,Eevee #58,$12.60
8454147,Pokemon Japanese Reviving Legends,Eevee [1st Edition] #58,$5.03
6737285,Pokemon Japanese Reviving Legends,Eevee [Reverse Holo] #58,$77.18
3460152,Pokemon Japanese Reviving Legends,Energy Exchanger #69,$1.79
8454148,Pokemon Japanese Reviving Legends,Energy Exchanger [1st Edition] #69,$0.50
11351375,Pokemon Japanese Reviving Legends,Entei & Raikou Legend #63,$43.25
11351376,Pokemon Japanese Reviving Legends,Entei & Raikou Legend #64,$126.00
3460107,Pokemon Japanese Reviving Legends,Espeon #24,$29.24
8454149,Pokemon Japanese Reviving Legends,Espeon [1st Edition] #24,$41.64
7980535,Pokemon Japanese Reviving Legends,Espeon [Reverse Holo] #24,
3460092,Pokemon Japanese Reviving Legends,Flareon #9,$4.17
8454150,Pokemon Japanese Reviving Legends,Flareon [1st Edition] #9,$8.12
10854397,Pokemon Japanese Reviving Legends,Flareon [Reverse Holo] #9,$31.49
3460157,Pokemon Japanese Reviving Legends,Flower Shop Lady #74,$7.65
8454151,Pokemon Japanese Reviving Legends,Flower Shop Lady [1st Edition] #74,$5.10
