id,console-name,product-name,loose-price
3461814,Pokemon Japanese Rising Fist,Accelgor #9,$2.24
10802301,Pokemon Japanese Rising Fist,Accelgor [1st Edition] #9,$2.99
3461830,Pokemon Japanese Rising Fist,Amaura #25,$2.17
10802302,Pokemon Japanese Rising Fist,Amaura [1st Edition] #25,$2.55
3461831,Pokemon Japanese Rising Fist,Aurorus #26,$3.70
10608154,Pokemon Japanese Rising Fist,Aurorus [1st Edition] #26,$3.66
3461909,Pokemon Japanese Rising Fist,Battle Reporter #103,$44.82
3461896,Pokemon Japanese Rising Fist,Battle Reporter #91,$3.99
10802304,Pokemon Japanese Rising Fist,Battle Reporter [1st Edition] #103,$39.99
10802303,Pokemon Japanese Rising Fist,Battle Reporter [1st Edition] #91,$2.99
3461827,Pokemon Japanese Rising Fist,Beartic #22,$1.75
10802305,Pokemon Japanese Rising Fist,Beartic [1st Edition] #22,$2.00
3461806,Pokemon Japanese Rising Fist,Bellsprout #1,$3.05
10802306,Pokemon Japanese Rising Fist,Bellsprout [1st Edition] #1,$2.74
3461819,Pokemon Japanese Rising Fist,Blaziken #14,$3.94
10802307,Pokemon Japanese Rising Fist,Blaziken [1st Edition] #14,$5.23
5205616,Pokemon Japanese Rising Fist,Booster Box,$1376.54
13117379,Pokemon Japanese Rising Fist,Booster Pack,
3461853,Pokemon Japanese Rising Fist,Breloom #48,$2.42
10802308,Pokemon Japanese Rising Fist,Breloom [1st Edition] #48,$2.99
3461828,Pokemon Japanese Rising Fist,Clauncher #23,$2.04
10802309,Pokemon Japanese Rising Fist,Clauncher [1st Edition] #23,$2.00
3461829,Pokemon Japanese Rising Fist,Clawitzer #24,$2.49
10802310,Pokemon Japanese Rising Fist,Clawitzer [1st Edition] #24,$2.74
3461871,Pokemon Japanese Rising Fist,Clefable #66,$2.77
10802312,Pokemon Japanese Rising Fist,Clefable [1st Edition] #66,$3.38
3461870,Pokemon Japanese Rising Fist,Clefairy #65,$2.96
10802311,Pokemon Japanese Rising Fist,Clefairy [1st Edition] #65,$3.24
3461818,Pokemon Japanese Rising Fist,Combusken #13,$2.19
10802313,Pokemon Japanese Rising Fist,Combusken [1st Edition] #13,$2.99
3461826,Pokemon Japanese Rising Fist,Cubchoo #21,$1.99
10802314,Pokemon Japanese Rising Fist,Cubchoo [1st Edition] #21,$2.65
3461837,Pokemon Japanese Rising Fist,Dedenne #32,$3.20
10802315,Pokemon Japanese Rising Fist,Dedenne [1st Edition] #32,$2.67
3461906,Pokemon Japanese Rising Fist,Dragonite EX #100,$84.94
3461874,Pokemon Japanese Rising Fist,Dragonite EX #69,$9.95
10802317,Pokemon Japanese Rising Fist,Dragonite EX [1st Edition] #100,$65.00
10802316,Pokemon Japanese Rising Fist,Dragonite EX [1st Edition] #69,$14.99
3461866,Pokemon Japanese Rising Fist,Drapion #61,$2.54
10802318,Pokemon Japanese Rising Fist,Drapion [1st Edition] #61,$4.74
3461838,Pokemon Japanese Rising Fist,Drowzee #33,$2.99
10802319,Pokemon Japanese Rising Fist,Drowzee [1st Edition] #33,$2.13
3461880,Pokemon Japanese Rising Fist,Eevee #75,$5.00
10802320,Pokemon Japanese Rising Fist,Eevee [1st Edition] #75,$3.43
3461832,Pokemon Japanese Rising Fist,Electabuzz #27,$4.00
10802321,Pokemon Japanese Rising Fist,Electabuzz [1st Edition] #27,$2.51
3461833,Pokemon Japanese Rising Fist,Electivire #28,$3.59
10802322,Pokemon Japanese Rising Fist,Electivire [1st Edition] #28,$2.99
3461898,Pokemon Japanese Rising Fist,Fighting Stadium #93,$4.97
10802323,Pokemon Japanese Rising Fist,Fighting Stadium [1st Edition] #93,$3.68
3461876,Pokemon Japanese Rising Fist,Flygon #71,$3.38
10802324,Pokemon Japanese Rising Fist,Flygon [1st Edition] #71,$3.99
3461893,Pokemon Japanese Rising Fist,Focus Sash #88,$2.49
10802325,Pokemon Japanese Rising Fist,Focus Sash [1st Edition] #88,$2.00
3461907,Pokemon Japanese Rising Fist,Fossil Researcher #101,$32.84
3461894,Pokemon Japanese Rising Fist,Fossil Researcher #89,$3.14
10802327,Pokemon Japanese Rising Fist,Fossil Researcher [1st Edition] #101,$48.17
10802326,Pokemon Japanese Rising Fist,Fossil Researcher [1st Edition] #89,$2.00
3461824,Pokemon Japanese Rising Fist,Glaceon #19,$3.88
9176183,Pokemon Japanese Rising Fist,Glaceon [1st Edition] #19,$9.82
3461845,Pokemon Japanese Rising Fist,Golett #40,$2.87
10802332,Pokemon Japanese Rising Fist,Golett [1st Edition] #40,$0.50
3461846,Pokemon Japanese Rising Fist,Golurk #41,$2.11
10802335,Pokemon Japanese Rising Fist,Golurk [1st Edition] #41,$2.99
3461842,Pokemon Japanese Rising Fist,Gothita #37,$3.27
10802338,Pokemon Japanese Rising Fist,Gothita [1st Edition] #37,$2.75
3461844,Pokemon Japanese Rising Fist,Gothitelle #39,$2.99
10802340,Pokemon Japanese Rising Fist,Gothitelle [1st Edition] #39,$2.99
3461843,Pokemon Japanese Rising Fist,Gothorita #38,$2.92
10802345,Pokemon Japanese Rising Fist,Gothorita [1st Edition] #38,$3.05
3461855,Pokemon Japanese Rising Fist,Hariyama #50,$3.84
10802348,Pokemon Japanese Rising Fist,Hariyama [1st Edition] #50,$2.49
3461865,Pokemon Japanese Rising Fist,Hawlucha #60,$3.99
10802352,Pokemon Japanese Rising Fist,Hawlucha [1st Edition] #60,$3.41
3461809,Pokemon Japanese Rising Fist,Heracross EX #4,$4.39
3461902,Pokemon Japanese Rising Fist,Heracross EX #97,$19.59
10802356,Pokemon Japanese Rising Fist,Heracross EX [1st Edition] #4,$4.99
10802358,Pokemon Japanese Rising Fist,Heracross EX [1st Edition] #97,$24.34
3461900,Pokemon Japanese Rising Fist,Herbal Energy #95,$4.97
10802363,Pokemon Japanese Rising Fist,Herbal Energy [1st Edition] #95,$2.99
3461851,Pokemon Japanese Rising Fist,Hitmonchan #46,$2.99
10802365,Pokemon Japanese Rising Fist,Hitmonchan [1st Edition] #46,$2.95
3461850,Pokemon Japanese Rising Fist,Hitmonlee #45,$1.99
10802369,Pokemon Japanese Rising Fist,Hitmonlee [1st Edition] #45,$3.25
3461852,Pokemon Japanese Rising Fist,Hitmontop #47,$3.99
10802368,Pokemon Japanese Rising Fist,Hitmontop [1st Edition] #47,$2.72
