id,console-name,product-name,loose-price
3439227,Pokemon Japanese Rocket Gang Strikes Back,Azumarill #25,$26.20
10802563,Pokemon Japanese Rocket Gang Strikes Back,Azumarill [1st Edition] #25,$42.93
13118738,Pokemon Japanese Rocket Gang Strikes Back,Booster Box,$193.58
13118737,Pokemon Japanese Rocket Gang Strikes Back,Booster Pack,$4100.00
3439280,Pokemon Japanese Rocket Gang Strikes Back,Copycat #78,$3.08
10802564,Pokemon Japanese Rocket Gang Strikes Back,Copycat [1st Edition] #78,$4.00
3439249,Pokemon Japanese Rocket Gang Strikes Back,Cubone #47,$11.69
10802565,Pokemon Japanese Rocket Gang Strikes Back,Cubone [1st Edition] #47,$10.75
3439241,Pokemon Japanese Rocket Gang Strikes Back,Dark Ampharos #39,$31.72
10802566,Pokemon Japanese Rocket Gang Strikes Back,Dark Ampharos [1st Edition] #39,$49.97
3439214,Pokemon Japanese Rocket Gang Strikes Back,Dark Arbok #12,$7.51
10802567,Pokemon Japanese Rocket Gang Strikes Back,Dark Arbok [1st Edition] #12,$8.16
3439218,Pokemon Japanese Rocket Gang Strikes Back,Dark Crobat #16,$20.28
10802568,Pokemon Japanese Rocket Gang Strikes Back,Dark Crobat [1st Edition] #16,$17.12
3439239,Pokemon Japanese Rocket Gang Strikes Back,Dark Electrode #37,$21.38
10353109,Pokemon Japanese Rocket Gang Strikes Back,Dark Electrode [1st Edition] #37,$144.22
3439240,Pokemon Japanese Rocket Gang Strikes Back,Dark Flaaffy #38,$6.72
10802569,Pokemon Japanese Rocket Gang Strikes Back,Dark Flaaffy [1st Edition] #38,$3.60
3439215,Pokemon Japanese Rocket Gang Strikes Back,Dark Golbat #13,$15.02
10802570,Pokemon Japanese Rocket Gang Strikes Back,Dark Golbat [1st Edition] #13,$2.87
3439223,Pokemon Japanese Rocket Gang Strikes Back,Dark Houndoom #21,$28.65
10802571,Pokemon Japanese Rocket Gang Strikes Back,Dark Houndoom [1st Edition] #21,$35.77
3439245,Pokemon Japanese Rocket Gang Strikes Back,Dark Hypno #43,$25.27
10802572,Pokemon Japanese Rocket Gang Strikes Back,Dark Hypno [1st Edition] #43,$29.99
3439254,Pokemon Japanese Rocket Gang Strikes Back,Dark Marowak #52,$38.00
10802573,Pokemon Japanese Rocket Gang Strikes Back,Dark Marowak [1st Edition] #52,$19.50
3439286,Pokemon Japanese Rocket Gang Strikes Back,Dark Metal Energy #84,$1.93
10802574,Pokemon Japanese Rocket Gang Strikes Back,Dark Metal Energy [1st Edition] #84,$5.00
3439216,Pokemon Japanese Rocket Gang Strikes Back,Dark Muk #14,$26.33
10802575,Pokemon Japanese Rocket Gang Strikes Back,Dark Muk [1st Edition] #14,$19.99
3439236,Pokemon Japanese Rocket Gang Strikes Back,Dark Octillery #34,$12.32
10108914,Pokemon Japanese Rocket Gang Strikes Back,Dark Octillery [1st Edition] #34,$21.67
3439260,Pokemon Japanese Rocket Gang Strikes Back,Dark Raticate #58,$7.99
10802576,Pokemon Japanese Rocket Gang Strikes Back,Dark Raticate [1st Edition] #58,$13.00
3439253,Pokemon Japanese Rocket Gang Strikes Back,Dark Sandslash #51,$5.00
10802577,Pokemon Japanese Rocket Gang Strikes Back,Dark Sandslash [1st Edition] #51,$13.70
3439246,Pokemon Japanese Rocket Gang Strikes Back,Dark Slowking #44,$39.99
10802578,Pokemon Japanese Rocket Gang Strikes Back,Dark Slowking [1st Edition] #44,$81.49
3439274,Pokemon Japanese Rocket Gang Strikes Back,Dark Steelix #72,$19.99
7640304,Pokemon Japanese Rocket Gang Strikes Back,Dark Steelix [1st Edition] #72,$35.45
3439272,Pokemon Japanese Rocket Gang Strikes Back,Dark Tyranitar #70,$38.68
10340272,Pokemon Japanese Rocket Gang Strikes Back,Dark Tyranitar [1st Edition] #70,$68.01
3439217,Pokemon Japanese Rocket Gang Strikes Back,Dark Weezing #15,$28.15
10802579,Pokemon Japanese Rocket Gang Strikes Back,Dark Weezing [1st Edition] #15,$8.82
3439232,Pokemon Japanese Rocket Gang Strikes Back,Delibird #30,$14.98
10802580,Pokemon Japanese Rocket Gang Strikes Back,Delibird [1st Edition] #30,
3439243,Pokemon Japanese Rocket Gang Strikes Back,Drowzee #41,$2.99
10802581,Pokemon Japanese Rocket Gang Strikes Back,Drowzee [1st Edition] #41,$3.99
3439203,Pokemon Japanese Rocket Gang Strikes Back,Ekans #1,$3.50
10802582,Pokemon Japanese Rocket Gang Strikes Back,Ekans [1st Edition] #1,$4.00
3439257,Pokemon Japanese Rocket Gang Strikes Back,Furret #55,$15.52
10802583,Pokemon Japanese Rocket Gang Strikes Back,Furret [1st Edition] #55,$21.49
3439205,Pokemon Japanese Rocket Gang Strikes Back,Grimer #3,$2.97
9021553,Pokemon Japanese Rocket Gang Strikes Back,Grimer [1st Edition] #3,$3.31
3439250,Pokemon Japanese Rocket Gang Strikes Back,Heracross #48,$36.88
10802584,Pokemon Japanese Rocket Gang Strikes Back,Heracross [1st Edition] #48,
3439287,Pokemon Japanese Rocket Gang Strikes Back,Here Comes Team Rocket! #85,$266.00
9210490,Pokemon Japanese Rocket Gang Strikes Back,Here Comes Team Rocket! [1st Edition] #85,$330.00
3439209,Pokemon Japanese Rocket Gang Strikes Back,Hoppip #7,$3.24
10802585,Pokemon Japanese Rocket Gang Strikes Back,Hoppip [1st Edition] #7,$2.49
3439224,Pokemon Japanese Rocket Gang Strikes Back,Horsea #22,$2.82
10802586,Pokemon Japanese Rocket Gang Strikes Back,Horsea [1st Edition] #22,$1.19
3439220,Pokemon Japanese Rocket Gang Strikes Back,Houndour #18,$10.35
10802587,Pokemon Japanese Rocket Gang Strikes Back,Houndour [1st Edition] #18,$2.29
3439211,Pokemon Japanese Rocket Gang Strikes Back,Jumpluff #9,$11.77
10802588,Pokemon Japanese Rocket Gang Strikes Back,Jumpluff [1st Edition] #9,$9.33
3439234,Pokemon Japanese Rocket Gang Strikes Back,Kingdra #32,$14.13
10802589,Pokemon Japanese Rocket Gang Strikes Back,Kingdra [1st Edition] #32,$24.20
3439206,Pokemon Japanese Rocket Gang Strikes Back,Koffing #4,$3.79
10802590,Pokemon Japanese Rocket Gang Strikes Back,Koffing [1st Edition] #4,$2.99
3439208,Pokemon Japanese Rocket Gang Strikes Back,Ledian #6,$4.53
10802591,Pokemon Japanese Rocket Gang Strikes Back,Ledian [1st Edition] #6,$7.59
3439207,Pokemon Japanese Rocket Gang Strikes Back,Ledyba #5,$2.99
10802592,Pokemon Japanese Rocket Gang Strikes Back,Ledyba [1st Edition] #5,$2.00
3439221,Pokemon Japanese Rocket Gang Strikes Back,Magby #19,$4.92
10802593,Pokemon Japanese Rocket Gang Strikes Back,Magby [1st Edition] #19,$4.00
3439219,Pokemon Japanese Rocket Gang Strikes Back,Magmar #17,$10.89
10802594,Pokemon Japanese Rocket Gang Strikes Back,Magmar [1st Edition] #17,$3.99
3439233,Pokemon Japanese Rocket Gang Strikes Back,Mantine #31,$9.96
10802595,Pokemon Japanese Rocket Gang Strikes Back,Mantine [1st Edition] #31,$0.99
3439238,Pokemon Japanese Rocket Gang Strikes Back,Mareep #36,$3.50
10802596,Pokemon Japanese Rocket Gang Strikes Back,Mareep [1st Edition] #36,$1.59
3439226,Pokemon Japanese Rocket Gang Strikes Back,Marill #24,$6.50
10802597,Pokemon Japanese Rocket Gang Strikes Back,Marill [1st Edition] #24,$4.00
3439244,Pokemon Japanese Rocket Gang Strikes Back,Misdreavus #42,$3.10
10802598,Pokemon Japanese Rocket Gang Strikes Back,Misdreavus [1st Edition] #42,$7.99
10540658,Pokemon Japanese Rocket Gang Strikes Back,Mudkip [Gold Star 1st Edition] #33,
4642823,Pokemon Japanese Rocket Gang Strikes Back,Mudkip [Gold Star] #33,$550.00
3439248,Pokemon Japanese Rocket Gang Strikes Back,Onix #46,$3.28
10802599,Pokemon Japanese Rocket Gang Strikes Back,Onix [1st Edition] #46,$5.41
3439252,Pokemon Japanese Rocket Gang Strikes Back,Piloswine #50,$15.56
10802600,Pokemon Japanese Rocket Gang Strikes Back,Piloswine [1st Edition] #50,$19.99
3439275,Pokemon Japanese Rocket Gang Strikes Back,Pow! Hand Extension #73,$15.22
10802601,Pokemon Japanese Rocket Gang Strikes Back,Pow! Hand Extension [1st Edition] #73,$5.00
3439229,Pokemon Japanese Rocket Gang Strikes Back,Quagsire #27,$19.99
10802602,Pokemon Japanese Rocket Gang Strikes Back,Quagsire [1st Edition] #27,$6.05
3439230,Pokemon Japanese Rocket Gang Strikes Back,Qwilfish #28,$7.55
10802603,Pokemon Japanese Rocket Gang Strikes Back,Qwilfish [1st Edition] #28,$6.00
3439285,Pokemon Japanese Rocket Gang Strikes Back,R Energy #83,$12.50
10802604,Pokemon Japanese Rocket Gang Strikes Back,R Energy [1st Edition] #83,
