id,console-name,product-name,loose-price
3453540,Pokemon Japanese Rocket Gang,Abra #63,$2.66
5836798,Pokemon Japanese Rocket Gang,Booster Box,$74472.50
10182021,Pokemon Japanese Rocket Gang,Booster Pack,$1102.43
3453532,Pokemon Japanese Rocket Gang,Challenge!,$3.19
3453487,Pokemon Japanese Rocket Gang,Charmander #4,$4.12
3453509,Pokemon Japanese Rocket Gang,Dark Alakazam #65,$25.50
3453483,Pokemon Japanese Rocket Gang,Dark Arbok #24,$9.63
3453499,Pokemon Japanese Rocket Gang,Dark Blastoise #9,$50.60
3453492,Pokemon Japanese Rocket Gang,Dark Charizard #6,$153.25
3453490,Pokemon Japanese Rocket Gang,Dark Charmeleon #5,$5.50
3453526,Pokemon Japanese Rocket Gang,Dark Dragonair #148,$5.00
3453527,Pokemon Japanese Rocket Gang,Dark Dragonite #149,$54.16
3453517,Pokemon Japanese Rocket Gang,Dark Dugtrio #51,$15.55
3453503,Pokemon Japanese Rocket Gang,Dark Electrode #101,$2.22
3453491,Pokemon Japanese Rocket Gang,Dark Flareon #136,$4.97
3453481,Pokemon Japanese Rocket Gang,Dark Gloom #44,$2.72
3453484,Pokemon Japanese Rocket Gang,Dark Golbat #42,$9.50
3453497,Pokemon Japanese Rocket Gang,Dark Golduck #55,$2.91
3453500,Pokemon Japanese Rocket Gang,Dark Gyarados #130,$25.48
3453511,Pokemon Japanese Rocket Gang,Dark Hypno #97,$15.99
3453504,Pokemon Japanese Rocket Gang,Dark Jolteon #135,$5.37
3453508,Pokemon Japanese Rocket Gang,Dark Kadabra #64,$3.81
3453518,Pokemon Japanese Rocket Gang,Dark Machamp #68,$18.00
3453516,Pokemon Japanese Rocket Gang,Dark Machoke #67,$2.79
3453505,Pokemon Japanese Rocket Gang,Dark Magneton #82,$15.40
3453482,Pokemon Japanese Rocket Gang,Dark Muk #89,$2.84
3453522,Pokemon Japanese Rocket Gang,Dark Persian #53,$2.74
3453515,Pokemon Japanese Rocket Gang,Dark Primeape #57,$2.91
3453489,Pokemon Japanese Rocket Gang,Dark Rapidash #78,$3.71
3453520,Pokemon Japanese Rocket Gang,Dark Raticate #20,$2.45
3453510,Pokemon Japanese Rocket Gang,Dark Slowbro #80,$21.25
3453498,Pokemon Japanese Rocket Gang,Dark Vaporeon #134,$4.42
3453485,Pokemon Japanese Rocket Gang,Dark Vileplume #45,$11.75
3453496,Pokemon Japanese Rocket Gang,Dark Wartortle #8,$3.99
3453486,Pokemon Japanese Rocket Gang,Dark Weezing #110,$7.65
3453529,Pokemon Japanese Rocket Gang,Digger,$1.75
3453512,Pokemon Japanese Rocket Gang,Diglett #50,$3.08
3453525,Pokemon Japanese Rocket Gang,Dratini #147,$2.49
3453507,Pokemon Japanese Rocket Gang,Drowzee #96,$2.54
3453523,Pokemon Japanese Rocket Gang,Eevee #133,$4.74
3453476,Pokemon Japanese Rocket Gang,Ekans #23,$2.51
3453538,Pokemon Japanese Rocket Gang,Full Heal Energy,$2.05
13118724,Pokemon Japanese Rocket Gang,Gift Pack,
3453530,Pokemon Japanese Rocket Gang,Goop Gas Attack,$2.00
3453479,Pokemon Japanese Rocket Gang,Grimer #88,$39.00
3453536,Pokemon Japanese Rocket Gang,Here Comes Team Rocket!,$26.00
3453533,Pokemon Japanese Rocket Gang,Imposter Oak's Revenge,$4.79
3453480,Pokemon Japanese Rocket Gang,Koffing #109,$2.42
3453514,Pokemon Japanese Rocket Gang,Machop #66,$2.17
3453495,Pokemon Japanese Rocket Gang,Magikarp #129,$3.98
3453501,Pokemon Japanese Rocket Gang,Magnemite #81,$2.98
3453513,Pokemon Japanese Rocket Gang,Mankey #56,$2.38
3453521,Pokemon Japanese Rocket Gang,Meowth #52,$2.95
3453531,Pokemon Japanese Rocket Gang,Nightly Garbage Run,$2.50
3453478,Pokemon Japanese Rocket Gang,Oddish #43,$2.62
5699215,Pokemon Japanese Rocket Gang,PC Runaway Trainer,$10.90
3453488,Pokemon Japanese Rocket Gang,Ponyta #77,$2.88
3453524,Pokemon Japanese Rocket Gang,Porygon #137,$2.75
3453537,Pokemon Japanese Rocket Gang,Potion Energy,$2.10
3453494,Pokemon Japanese Rocket Gang,Psyduck #54,$2.99
3453539,Pokemon Japanese Rocket Gang,Rainbow Energy,$8.50
3453519,Pokemon Japanese Rocket Gang,Rattata #19,$2.41
3453535,Pokemon Japanese Rocket Gang,Rocket's Sneak Attack,$9.91
3453528,Pokemon Japanese Rocket Gang,Sleep!,$2.64
3453506,Pokemon Japanese Rocket Gang,Slowpoke #79,$3.15
3453493,Pokemon Japanese Rocket Gang,Squirtle #7,$3.94
3453534,Pokemon Japanese Rocket Gang,The Boss's Way,$2.89
3453502,Pokemon Japanese Rocket Gang,Voltorb #100,$2.38
3453477,Pokemon Japanese Rocket Gang,Zubat #41,$2.82
