id,console-name,product-name,loose-price
5605305,Pokemon Japanese Ruler of the Black Flame,Absol ex #126,$4.03
5605292,Pokemon Japanese Ruler of the Black Flame,Absol ex #73,$1.80
5604545,Pokemon Japanese Ruler of the Black Flame,Altaria #86,$1.97
5604598,Pokemon Japanese Ruler of the Black Flame,Artazon #140,$9.03
5604508,Pokemon Japanese Ruler of the Black Flame,Baltoy #49,$1.79
5604486,Pokemon Japanese Ruler of the Black Flame,Beartic #27,$1.61
5604570,Pokemon Japanese Ruler of the Black Flame,Bellibolt #112,$2.92
5604500,Pokemon Japanese Ruler of the Black Flame,Bellibolt #41,$1.78
5604462,Pokemon Japanese Ruler of the Black Flame,Bellossom #3,$1.66
5604540,Pokemon Japanese Ruler of the Black Flame,Bisharp #81,$1.36
5604517,Pokemon Japanese Ruler of the Black Flame,Bonsly #58,$1.76
5604459,Pokemon Japanese Ruler of the Black Flame,Booster Box,$135.00
7597953,Pokemon Japanese Ruler of the Black Flame,Booster Pack,$6.26
5604554,Pokemon Japanese Ruler of the Black Flame,Bunnelby #95,$1.80
5604469,Pokemon Japanese Ruler of the Black Flame,Capsakid #10,$1.27
5604468,Pokemon Japanese Ruler of the Black Flame,Capsakid #9,$1.80
5604480,Pokemon Japanese Ruler of the Black Flame,Carvanha #21,$1.59
5605304,Pokemon Japanese Ruler of the Black Flame,Charizard ex #125,$20.43
5605311,Pokemon Japanese Ruler of the Black Flame,Charizard ex #134,$160.38
5605314,Pokemon Japanese Ruler of the Black Flame,Charizard ex #139,$55.00
5605288,Pokemon Japanese Ruler of the Black Flame,Charizard ex #66,$3.72
5604471,Pokemon Japanese Ruler of the Black Flame,Charmander #12,$1.41
5604472,Pokemon Japanese Ruler of the Black Flame,Charmeleon #13,$1.66
5604509,Pokemon Japanese Ruler of the Black Flame,Claydol #50,$1.72
5604571,Pokemon Japanese Ruler of the Black Flame,Cleffa #113,$16.02
5604501,Pokemon Japanese Ruler of the Black Flame,Cleffa #42,$1.59
5604465,Pokemon Japanese Ruler of the Black Flame,Combee #6,$1.80
5604487,Pokemon Japanese Ruler of the Black Flame,Cryogonal #28,$0.80
5604485,Pokemon Japanese Ruler of the Black Flame,Cubchoo #26,$1.41
5604533,Pokemon Japanese Ruler of the Black Flame,Darkrai #74,$1.81
5604477,Pokemon Japanese Ruler of the Black Flame,Darmanitan #18,$1.79
5604476,Pokemon Japanese Ruler of the Black Flame,Darumaka #17,$1.33
5604519,Pokemon Japanese Ruler of the Black Flame,Diggersby #60,$1.79
5604493,Pokemon Japanese Ruler of the Black Flame,Eelektrik #34,$1.61
5604494,Pokemon Japanese Ruler of the Black Flame,Eelektross #35,$1.76
5604550,Pokemon Japanese Ruler of the Black Flame,Eevee #91,$1.54
5605296,Pokemon Japanese Ruler of the Black Flame,Eiscue ex #121,$4.00
5605309,Pokemon Japanese Ruler of the Black Flame,Eiscue ex #133,$9.10
5605283,Pokemon Japanese Ruler of the Black Flame,Eiscue ex #20,$1.43
5604475,Pokemon Japanese Ruler of the Black Flame,Entei #16,$1.48
5604505,Pokemon Japanese Ruler of the Black Flame,Espeon #46,$1.92
5604488,Pokemon Japanese Ruler of the Black Flame,Finizen #29,$1.60
5604489,Pokemon Japanese Ruler of the Black Flame,Finizen #30,$1.74
5604599,Pokemon Japanese Ruler of the Black Flame,Fire Energy #141,$13.18
5604558,Pokemon Japanese Ruler of the Black Flame,Flamigo #99,$1.50
5604562,Pokemon Japanese Ruler of the Black Flame,Geeta #103,$1.43
5604587,Pokemon Japanese Ruler of the Black Flame,Geeta #129,$3.60
5604595,Pokemon Japanese Ruler of the Black Flame,Geeta #137,$9.28
5604522,Pokemon Japanese Ruler of the Black Flame,Glimmet #63,$1.79
5604523,Pokemon Japanese Ruler of the Black Flame,Glimmet #64,$1.75
5605303,Pokemon Japanese Ruler of the Black Flame,Glimmora ex #124,$2.58
5605287,Pokemon Japanese Ruler of the Black Flame,Glimmora ex #65,$1.62
5604567,Pokemon Japanese Ruler of the Black Flame,Gloom #109,$7.78
5604461,Pokemon Japanese Ruler of the Black Flame,Gloom #2,$1.49
5604511,Pokemon Japanese Ruler of the Black Flame,Greavard #52,$1.49
5604512,Pokemon Japanese Ruler of the Black Flame,Greavard #53,$1.81
5604478,Pokemon Japanese Ruler of the Black Flame,Heatmor #19,$1.79
5604531,Pokemon Japanese Ruler of the Black Flame,Houndoom #72,$1.63
5604573,Pokemon Japanese Ruler of the Black Flame,Houndour #115,$4.26
5604530,Pokemon Japanese Ruler of the Black Flame,Houndour #71,$1.60
5604513,Pokemon Japanese Ruler of the Black Flame,Houndstone #54,$1.77
5604534,Pokemon Japanese Ruler of the Black Flame,Inkay #75,$1.90
5604549,Pokemon Japanese Ruler of the Black Flame,Kangaskhan #90,$1.61
5604541,Pokemon Japanese Ruler of the Black Flame,Kingambit #82,$1.56
5604572,Pokemon Japanese Ruler of the Black Flame,Larvitar #114,$3.25
5604514,Pokemon Japanese Ruler of the Black Flame,Larvitar #55,$1.41
5604578,Pokemon Japanese Ruler of the Black Flame,Lechonk #120,$4.99
5604555,Pokemon Japanese Ruler of the Black Flame,Lechonk #96,$1.33
5604556,Pokemon Japanese Ruler of the Black Flame,Lechonk #97,$1.89
5604559,Pokemon Japanese Ruler of the Black Flame,Letters of Encouragement #100,$0.50
5604552,Pokemon Japanese Ruler of the Black Flame,Linoone #93,$1.79
5604506,Pokemon Japanese Ruler of the Black Flame,Lunatone #47,$1.50
5604521,Pokemon Japanese Ruler of the Black Flame,Lycanroc #62,$1.80
5604535,Pokemon Japanese Ruler of the Black Flame,Malamar #76,$1.79
5604537,Pokemon Japanese Ruler of the Black Flame,Mawile #78,$1.98
5604568,Pokemon Japanese Ruler of the Black Flame,Ninetales #110,$18.35
5604474,Pokemon Japanese Ruler of the Black Flame,Ninetales #15,$1.85
5604516,Pokemon Japanese Ruler of the Black Flame,Nosepass #57,$1.32
5604460,Pokemon Japanese Ruler of the Black Flame,Oddish #1,$1.73
5604557,Pokemon Japanese Ruler of the Black Flame,Oinkologne #98,$1.70
5604563,Pokemon Japanese Ruler of the Black Flame,Ortega #104,$1.79
5604588,Pokemon Japanese Ruler of the Black Flame,Ortega #130,$2.99
5604569,Pokemon Japanese Ruler of the Black Flame,Palafin #111,$3.00
5604490,Pokemon Japanese Ruler of the Black Flame,Palafin #31,$1.35
5605291,Pokemon Japanese Ruler of the Black Flame,Paldean Clodsire #69,$1.35
5605289,Pokemon Japanese Ruler of the Black Flame,Paldean Wooper #67,$1.61
5605290,Pokemon Japanese Ruler of the Black Flame,Paldean Wooper #68,$1.45
5604483,Pokemon Japanese Ruler of the Black Flame,Palpitoad #24,$1.06
5604560,Pokemon Japanese Ruler of the Black Flame,Patrol Cap #101,$0.80
5604539,Pokemon Japanese Ruler of the Black Flame,Pawniard #80,$1.60
5604466,Pokemon Japanese Ruler of the Black Flame,Phantump #7,$1.71
5605308,Pokemon Japanese Ruler of the Black Flame,Pidgeot ex #128,$4.20
5605313,Pokemon Japanese Ruler of the Black Flame,Pidgeot ex #136,$30.00
5605295,Pokemon Japanese Ruler of the Black Flame,Pidgeot ex #89,$1.97
5604577,Pokemon Japanese Ruler of the Black Flame,Pidgeotto #119,$3.96
5604547,Pokemon Japanese Ruler of the Black Flame,Pidgeotto #88,$1.66
5604576,Pokemon Japanese Ruler of the Black Flame,Pidgey #118,$4.89
5604546,Pokemon Japanese Ruler of the Black Flame,Pidgey #87,$1.42
5604566,Pokemon Japanese Ruler of the Black Flame,Pokemon League Headquarters #108,$1.75
5604564,Pokemon Japanese Ruler of the Black Flame,Poppy #105,$1.55
5604589,Pokemon Japanese Ruler of the Black Flame,Poppy #131,$3.00
5604596,Pokemon Japanese Ruler of the Black Flame,Poppy #138,$8.55
5604538,Pokemon Japanese Ruler of the Black Flame,Probopass #79,$1.79
5604515,Pokemon Japanese Ruler of the Black Flame,Pupitar #56,$1.70
5605306,Pokemon Japanese Ruler of the Black Flame,Revavroom ex #127,$2.25
5605312,Pokemon Japanese Ruler of the Black Flame,Revavroom ex #135,$7.23
5605293,Pokemon Japanese Ruler of the Black Flame,Revavroom ex #85,$1.21
5604561,Pokemon Japanese Ruler of the Black Flame,Revenge Punch #102,$1.79
5604520,Pokemon Japanese Ruler of the Black Flame,Rockruff #61,$1.72
5604600,Pokemon Japanese Ruler of the Black Flame,Ryme #106,$1.69
5604590,Pokemon Japanese Ruler of the Black Flame,Ryme #132,$2.49
5604574,Pokemon Japanese Ruler of the Black Flame,Scizor #116,$6.50
5604536,Pokemon Japanese Ruler of the Black Flame,Scizor #77,$1.27
5604470,Pokemon Japanese Ruler of the Black Flame,Scovillain #11,$1.65
5604463,Pokemon Japanese Ruler of the Black Flame,Scyther #4,$1.20
