id,console-name,product-name,loose-price
3438940,Pokemon Japanese Rulers of the Heavens,Absol #48,$21.28
9913339,Pokemon Japanese Rulers of the Heavens,Absol [1st Edition] #48,$25.86
3438935,Pokemon Japanese Rulers of the Heavens,Altaria #43,$10.84
9427886,Pokemon Japanese Rulers of the Heavens,Altaria [1st Edition] #43,$9.99
3438917,Pokemon Japanese Rulers of the Heavens,Ampharos ex #25,$39.99
10802744,Pokemon Japanese Rulers of the Heavens,Ampharos ex [1st Edition] #25,$37.11
3438936,Pokemon Japanese Rulers of the Heavens,Bagon #44,$1.77
10802750,Pokemon Japanese Rulers of the Heavens,Bagon [1st Edition] #44,$1.99
3438945,Pokemon Japanese Rulers of the Heavens,Balloon Berry #53,$2.73
10802757,Pokemon Japanese Rulers of the Heavens,Balloon Berry [1st Edition] #53,$3.00
3438908,Pokemon Japanese Rulers of the Heavens,Barboach #16,$2.98
10803283,Pokemon Japanese Rulers of the Heavens,Barboach [1st Edition] #16,$2.51
13118245,Pokemon Japanese Rulers of the Heavens,Booster Box,$91.60
13118244,Pokemon Japanese Rulers of the Heavens,Booster Pack,$9.99
3438946,Pokemon Japanese Rulers of the Heavens,Buffer Piece #54,$0.75
10802769,Pokemon Japanese Rulers of the Heavens,Buffer Piece [1st Edition] #54,$1.00
3438910,Pokemon Japanese Rulers of the Heavens,Corphish #18,$2.75
10802777,Pokemon Japanese Rulers of the Heavens,Corphish [1st Edition] #18,$1.85
3438911,Pokemon Japanese Rulers of the Heavens,Crawdaunt #19,$4.23
9277926,Pokemon Japanese Rulers of the Heavens,Crawdaunt [1st Edition] #19,$46.08
3438929,Pokemon Japanese Rulers of the Heavens,Dragonair #37,$12.06
10608515,Pokemon Japanese Rulers of the Heavens,Dragonair [1st Edition] #37,$13.70
3438930,Pokemon Japanese Rulers of the Heavens,Dragonite ex #38,$93.14
10802613,Pokemon Japanese Rulers of the Heavens,Dragonite ex [1st Edition] #38,$149.99
3438928,Pokemon Japanese Rulers of the Heavens,Dratini #36,$4.60
10802616,Pokemon Japanese Rulers of the Heavens,Dratini [1st Edition] #36,$2.99
3438942,Pokemon Japanese Rulers of the Heavens,Energy Recycle System #50,$2.98
10802617,Pokemon Japanese Rulers of the Heavens,Energy Recycle System [1st Edition] #50,$4.07
3438916,Pokemon Japanese Rulers of the Heavens,Flaaffy #24,$3.49
10802618,Pokemon Japanese Rulers of the Heavens,Flaaffy [1st Edition] #24,$2.99
3438933,Pokemon Japanese Rulers of the Heavens,Flygon #41,$11.49
10802619,Pokemon Japanese Rulers of the Heavens,Flygon [1st Edition] #41,$9.99
3438924,Pokemon Japanese Rulers of the Heavens,Geodude #32,$3.21
10802620,Pokemon Japanese Rulers of the Heavens,Geodude [1st Edition] #32,$2.02
3438920,Pokemon Japanese Rulers of the Heavens,Girafarig #28,$2.98
10802621,Pokemon Japanese Rulers of the Heavens,Girafarig [1st Edition] #28,$3.99
3438926,Pokemon Japanese Rulers of the Heavens,Golem #34,$6.00
10802623,Pokemon Japanese Rulers of the Heavens,Golem [1st Edition] #34,$8.11
3438925,Pokemon Japanese Rulers of the Heavens,Graveler #33,$3.30
10802624,Pokemon Japanese Rulers of the Heavens,Graveler [1st Edition] #33,$2.14
3438893,Pokemon Japanese Rulers of the Heavens,Grimer #1,$3.08
10802625,Pokemon Japanese Rulers of the Heavens,Grimer [1st Edition] #1,$4.99
3438922,Pokemon Japanese Rulers of the Heavens,Grumpig #30,$3.98
10802626,Pokemon Japanese Rulers of the Heavens,Grumpig [1st Edition] #30,$4.43
3438906,Pokemon Japanese Rulers of the Heavens,Gyarados #14,$8.13
9282353,Pokemon Japanese Rulers of the Heavens,Gyarados [1st Edition] #14,$6.91
3438903,Pokemon Japanese Rulers of the Heavens,Horsea #11,$2.40
10802627,Pokemon Japanese Rulers of the Heavens,Horsea [1st Edition] #11,$3.99
3438907,Pokemon Japanese Rulers of the Heavens,Kingdra ex #15,$35.95
10802629,Pokemon Japanese Rulers of the Heavens,Kingdra ex [1st Edition] #15,$21.67
3438901,Pokemon Japanese Rulers of the Heavens,Magcargo ex #9,$14.50
10802631,Pokemon Japanese Rulers of the Heavens,Magcargo ex [1st Edition] #9,$14.21
3438905,Pokemon Japanese Rulers of the Heavens,Magikarp #13,$2.87
10802636,Pokemon Japanese Rulers of the Heavens,Magikarp [1st Edition] #13,$5.00
3438913,Pokemon Japanese Rulers of the Heavens,Magnemite #21,$2.13
10802644,Pokemon Japanese Rulers of the Heavens,Magnemite [1st Edition] #21,$1.99
3438914,Pokemon Japanese Rulers of the Heavens,Magneton #22,$1.99
10802650,Pokemon Japanese Rulers of the Heavens,Magneton [1st Edition] #22,$6.99
3438915,Pokemon Japanese Rulers of the Heavens,Mareep #23,$2.99
10802652,Pokemon Japanese Rulers of the Heavens,Mareep [1st Edition] #23,$3.99
3438927,Pokemon Japanese Rulers of the Heavens,Meditite #35,$2.10
10802663,Pokemon Japanese Rulers of the Heavens,Meditite [1st Edition] #35,$0.50
3438919,Pokemon Japanese Rulers of the Heavens,Minun #27,$30.25
10802665,Pokemon Japanese Rulers of the Heavens,Minun [1st Edition] #27,$9.72
3438944,Pokemon Japanese Rulers of the Heavens,Mr. Briney's Compassion #52,$2.71
10802677,Pokemon Japanese Rulers of the Heavens,Mr. Briney's Compassion [1st Edition] #52,$3.00
3438894,Pokemon Japanese Rulers of the Heavens,Muk ex #2,$19.99
10802687,Pokemon Japanese Rulers of the Heavens,Muk ex [1st Edition] #2,$24.94
3438896,Pokemon Japanese Rulers of the Heavens,Nincada #4,$1.80
10802729,Pokemon Japanese Rulers of the Heavens,Nincada [1st Edition] #4,$1.45
3438897,Pokemon Japanese Rulers of the Heavens,Ninjask #5,$2.57
10802782,Pokemon Japanese Rulers of the Heavens,Ninjask [1st Edition] #5,
3438918,Pokemon Japanese Rulers of the Heavens,Plusle #26,$22.15
10802790,Pokemon Japanese Rulers of the Heavens,Plusle [1st Edition] #26,$16.58
10497346,Pokemon Japanese Rulers of the Heavens,Rayquaza Ex [1st Edition] #47,$95.50
3438939,Pokemon Japanese Rulers of the Heavens,Rayquaza ex #47,$122.49
3438899,Pokemon Japanese Rulers of the Heavens,Roselia #7,$5.09
10802805,Pokemon Japanese Rulers of the Heavens,Roselia [1st Edition] #7,$7.55
3438938,Pokemon Japanese Rulers of the Heavens,Salamence #46,$9.97
10802807,Pokemon Japanese Rulers of the Heavens,Salamence [1st Edition] #46,$7.99
3438904,Pokemon Japanese Rulers of the Heavens,Seadra #12,$2.00
10802813,Pokemon Japanese Rulers of the Heavens,Seadra [1st Edition] #12,$3.00
3438898,Pokemon Japanese Rulers of the Heavens,Shedinja #6,$10.21
8689339,Pokemon Japanese Rulers of the Heavens,Shedinja [1st Edition] #6,$13.80
3438937,Pokemon Japanese Rulers of the Heavens,Shelgon #45,$2.98
10802815,Pokemon Japanese Rulers of the Heavens,Shelgon [1st Edition] #45,$1.99
3438923,Pokemon Japanese Rulers of the Heavens,Shuppet #31,$5.00
10802816,Pokemon Japanese Rulers of the Heavens,Shuppet [1st Edition] #31,$5.19
3438941,Pokemon Japanese Rulers of the Heavens,Skarmory #49,$4.64
10802817,Pokemon Japanese Rulers of the Heavens,Skarmory [1st Edition] #49,$7.05
3438900,Pokemon Japanese Rulers of the Heavens,Slugma #8,$2.00
10802819,Pokemon Japanese Rulers of the Heavens,Slugma [1st Edition] #8,$2.99
3438912,Pokemon Japanese Rulers of the Heavens,Snorunt #20,$2.36
10802821,Pokemon Japanese Rulers of the Heavens,Snorunt [1st Edition] #20,$2.09
3438921,Pokemon Japanese Rulers of the Heavens,Spoink #29,$2.05
10802823,Pokemon Japanese Rulers of the Heavens,Spoink [1st Edition] #29,$1.99
3438934,Pokemon Japanese Rulers of the Heavens,Swablu #42,$1.99
10802831,Pokemon Japanese Rulers of the Heavens,Swablu [1st Edition] #42,$2.42
3438943,Pokemon Japanese Rulers of the Heavens,TV Reporter #51,$2.99
10802832,Pokemon Japanese Rulers of the Heavens,TV Reporter [1st Edition] #51,
3438931,Pokemon Japanese Rulers of the Heavens,Taillow #39,$2.94
10802833,Pokemon Japanese Rulers of the Heavens,Taillow [1st Edition] #39,$3.99
3438902,Pokemon Japanese Rulers of the Heavens,Torkoal #10,$5.50
10802837,Pokemon Japanese Rulers of the Heavens,Torkoal [1st Edition] #10,$10.07
3438932,Pokemon Japanese Rulers of the Heavens,Vibrava #40,$2.57
10802839,Pokemon Japanese Rulers of the Heavens,Vibrava [1st Edition] #40,$0.25
3438909,Pokemon Japanese Rulers of the Heavens,Whiscash #17,$3.13
10802841,Pokemon Japanese Rulers of the Heavens,Whiscash [1st Edition] #17,$3.37
3438895,Pokemon Japanese Rulers of the Heavens,Wurmple #3,$1.39
10802843,Pokemon Japanese Rulers of the Heavens,Wurmple [1st Edition] #3,$4.00
