id,console-name,product-name,loose-price
5326106,Pokemon Japanese Scarlet & Violet 151,Abra #63,$1.77
5399888,Pokemon Japanese Scarlet & Violet 151,Abra [Master Ball] #63,$9.99
5399750,Pokemon Japanese Scarlet & Violet 151,Abra [Reverse] #63,$1.94
5326184,Pokemon Japanese Scarlet & Violet 151,Aerodactyl #142,$1.99
5399962,Pokemon Japanese Scarlet & Violet 151,Aerodactyl [Master Ball] #142,$65.50
5399824,Pokemon Japanese Scarlet & Violet 151,Aerodactyl [Reverse] #142,$2.75
5326226,Pokemon Japanese Scarlet & Violet 151,Alakazam EX #190,$4.99
5400758,Pokemon Japanese Scarlet & Violet 151,Alakazam EX #203,$56.67
5326108,Pokemon Japanese Scarlet & Violet 151,Alakazam EX #65,$1.66
5400745,Pokemon Japanese Scarlet & Violet 151,Arbok EX #187,$3.99
5326067,Pokemon Japanese Scarlet & Violet 151,Arbok EX #24,$1.82
5326102,Pokemon Japanese Scarlet & Violet 151,Arcanine #59,$2.17
5399884,Pokemon Japanese Scarlet & Violet 151,Arcanine [Master Ball] #59,$39.89
5399746,Pokemon Japanese Scarlet & Violet 151,Arcanine [Reverse] #59,$3.59
5326186,Pokemon Japanese Scarlet & Violet 151,Articuno #144,$1.99
5399964,Pokemon Japanese Scarlet & Violet 151,Articuno [Master Ball] #144,$19.27
5399826,Pokemon Japanese Scarlet & Violet 151,Articuno [Reverse] #144,$2.63
5326057,Pokemon Japanese Scarlet & Violet 151,Beedrill #15,$1.80
5399843,Pokemon Japanese Scarlet & Violet 151,Beedrill [Master Ball] #15,$14.10
5399705,Pokemon Japanese Scarlet & Violet 151,Beedrill [Reverse] #15,$1.79
5326112,Pokemon Japanese Scarlet & Violet 151,Bellsprout #69,$2.00
5399893,Pokemon Japanese Scarlet & Violet 151,Bellsprout [Master Ball] #69,$14.37
5399755,Pokemon Japanese Scarlet & Violet 151,Bellsprout [Reverse] #69,$1.65
