id,console-name,product-name,loose-price
4708124,Pokemon Japanese Scarlet Ex,Arboliva #8,$1.50
4708128,Pokemon Japanese Scarlet Ex,Armarouge #12,$1.77
4708196,Pokemon Japanese Scarlet Ex,Armarouge #80,$6.25
4708194,Pokemon Japanese Scarlet Ex,Beach Court #78,$1.00
4708173,Pokemon Japanese Scarlet Ex,Bisharp #57,$0.99
5536598,Pokemon Japanese Scarlet Ex,Booster Box,$85.00
8672550,Pokemon Japanese Scarlet Ex,Booster Pack,$5.38
4708187,Pokemon Japanese Scarlet Ex,Boulder Breastplate #71,$1.18
4708133,Pokemon Japanese Scarlet Ex,Bruxish #17,$1.25
4708131,Pokemon Japanese Scarlet Ex,Buizel #15,$1.78
4708117,Pokemon Japanese Scarlet Ex,Cacnea #1,$1.59
4708118,Pokemon Japanese Scarlet Ex,Cacturne #2,$1.79
4708126,Pokemon Japanese Scarlet Ex,Charcadet #10,$1.41
4708127,Pokemon Japanese Scarlet Ex,Charcadet #11,$1.35
4708170,Pokemon Japanese Scarlet Ex,Croagunk #54,$1.52
4708150,Pokemon Japanese Scarlet Ex,Dachsbun #34,$1.32
4708147,Pokemon Japanese Scarlet Ex,Dedenne #31,$1.54
4708189,Pokemon Japanese Scarlet Ex,Defiant Band #73,$1.00
4708123,Pokemon Japanese Scarlet Ex,Dolliv #7,$0.54
4708195,Pokemon Japanese Scarlet Ex,Dolliv #79,$3.74
4708137,Pokemon Japanese Scarlet Ex,Dondozo #21,$2.30
4708198,Pokemon Japanese Scarlet Ex,Dondozo #82,$5.99
4708146,Pokemon Japanese Scarlet Ex,Drifblim #30,$1.27
4708145,Pokemon Japanese Scarlet Ex,Drifloon #29,$1.60
4708153,Pokemon Japanese Scarlet Ex,Espathra #37,$1.18
4708188,Pokemon Japanese Scarlet Ex,Exp. Share #72,$1.49
4708148,Pokemon Japanese Scarlet Ex,Fidough #32,$1.65
4708149,Pokemon Japanese Scarlet Ex,Fidough #33,$1.58
4708201,Pokemon Japanese Scarlet Ex,Fidough #85,$12.63
4723158,Pokemon Japanese Scarlet Ex,Fighting Energy #108,$8.33
4708151,Pokemon Japanese Scarlet Ex,Flittle #35,$1.38
4708152,Pokemon Japanese Scarlet Ex,Flittle #36,$0.08
4708132,Pokemon Japanese Scarlet Ex,Floatzel #16,$1.62
4708217,Pokemon Japanese Scarlet Ex,Gardevoir EX #101,$183.36
4708144,Pokemon Japanese Scarlet Ex,Gardevoir EX #28,$1.00
4708208,Pokemon Japanese Scarlet Ex,Gardevoir EX #92,$5.74
4708120,Pokemon Japanese Scarlet Ex,Gogoat #4,$1.00
4708218,Pokemon Japanese Scarlet Ex,Great Tusk EX #102,$14.23
4708165,Pokemon Japanese Scarlet Ex,Great Tusk EX #49,$1.00
4708209,Pokemon Japanese Scarlet Ex,Great Tusk EX #93,$2.50
4708167,Pokemon Japanese Scarlet Ex,Grimer #51,$1.33
4708130,Pokemon Japanese Scarlet Ex,Gyarados #14,$2.00
4708207,Pokemon Japanese Scarlet Ex,Gyarados EX #91,$9.50
4708161,Pokemon Japanese Scarlet Ex,Hawlucha #45,$1.98
4708220,Pokemon Japanese Scarlet Ex,Jacq #104,$9.93
4708190,Pokemon Japanese Scarlet Ex,Jacq #74,$0.80
4708213,Pokemon Japanese Scarlet Ex,Jacq #97,$4.50
4708141,Pokemon Japanese Scarlet Ex,Kilowattrel #25,$1.45
4708174,Pokemon Japanese Scarlet Ex,Kingambit #58,$1.40
4708205,Pokemon Japanese Scarlet Ex,Kingambit #89,$4.40
4708143,Pokemon Japanese Scarlet Ex,Kirlia #27,$1.58
4708200,Pokemon Japanese Scarlet Ex,Kirlia #84,$14.00
4708164,Pokemon Japanese Scarlet Ex,Klawf #48,$1.19
4708204,Pokemon Japanese Scarlet Ex,Klawf #88,$3.21
4708219,Pokemon Japanese Scarlet Ex,Koraidon EX #103,$35.00
4708222,Pokemon Japanese Scarlet Ex,Koraidon EX #106,$10.00
4708166,Pokemon Japanese Scarlet Ex,Koraidon EX #50,$1.07
4708210,Pokemon Japanese Scarlet Ex,Koraidon EX #94,$4.96
4708159,Pokemon Japanese Scarlet Ex,Krokorok #43,$0.99
4708160,Pokemon Japanese Scarlet Ex,Krookodile #44,$1.55
4708182,Pokemon Japanese Scarlet Ex,Lechonk #66,$1.55
4708183,Pokemon Japanese Scarlet Ex,Lechonk #67,$1.37
4708157,Pokemon Japanese Scarlet Ex,Lucario #41,$1.50
4708129,Pokemon Japanese Scarlet Ex,Magikarp #13,$1.98
4708155,Pokemon Japanese Scarlet Ex,Medicham #39,$1.75
4708154,Pokemon Japanese Scarlet Ex,Meditite #38,$0.68
4708168,Pokemon Japanese Scarlet Ex,Muk #52,$1.80
4708223,Pokemon Japanese Scarlet Ex,Nest Ball #107,$22.63
4708186,Pokemon Japanese Scarlet Ex,Nest Ball #70,$1.70
4708184,Pokemon Japanese Scarlet Ex,Oinkologne EX #68,$1.38
4708212,Pokemon Japanese Scarlet Ex,Oinkologne EX #96,$3.26
4708185,Pokemon Japanese Scarlet Ex,Pal Pad #69,$2.54
4708172,Pokemon Japanese Scarlet Ex,Pawniard #56,$2.40
4708216,Pokemon Japanese Scarlet Ex,Penny #100,$7.97
4708221,Pokemon Japanese Scarlet Ex,Penny #105,$15.99
