id,console-name,product-name,loose-price
3457974,Pokemon Japanese Secret of the Lakes,Abomasnow,$3.05
4927992,Pokemon Japanese Secret of the Lakes,Abomasnow [1st Edition],$3.87
3458017,Pokemon Japanese Secret of the Lakes,Abra,$3.88
4927993,Pokemon Japanese Secret of the Lakes,Abra [1st Edition],$3.51
3458064,Pokemon Japanese Secret of the Lakes,Aggron,$5.92
4927994,Pokemon Japanese Secret of the Lakes,Aggron [1st Edition],$4.60
3458047,Pokemon Japanese Secret of the Lakes,Aipom,$1.88
4927995,Pokemon Japanese Secret of the Lakes,Aipom [1st Edition],$2.94
3458018,Pokemon Japanese Secret of the Lakes,Alakazam,$16.96
4927996,Pokemon Japanese Secret of the Lakes,Alakazam [1st Edition],$17.99
3458048,Pokemon Japanese Secret of the Lakes,Ambipom,$4.73
4927997,Pokemon Japanese Secret of the Lakes,Ambipom [1st Edition],$5.84
3457966,Pokemon Japanese Secret of the Lakes,Ariados,$1.88
4927998,Pokemon Japanese Secret of the Lakes,Ariados [1st Edition],$3.75
3458077,Pokemon Japanese Secret of the Lakes,Armor Fossil,$0.50
4927999,Pokemon Japanese Secret of the Lakes,Armor Fossil [1st Edition],
3458062,Pokemon Japanese Secret of the Lakes,Aron,$2.86
4928000,Pokemon Japanese Secret of the Lakes,Aron [1st Edition],$4.27
3458030,Pokemon Japanese Secret of the Lakes,Azelf,$7.94
4928001,Pokemon Japanese Secret of the Lakes,Azelf [1st Edition],$5.99
3457994,Pokemon Japanese Secret of the Lakes,Barboach,$2.93
4928002,Pokemon Japanese Secret of the Lakes,Barboach [1st Edition],$1.98
3458066,Pokemon Japanese Secret of the Lakes,Bastiodon,$4.49
4928003,Pokemon Japanese Secret of the Lakes,Bastiodon [1st Edition],$2.90
3457963,Pokemon Japanese Secret of the Lakes,Bayleef,$3.48
4928004,Pokemon Japanese Secret of the Lakes,Bayleef [1st Edition],$1.99
3458074,Pokemon Japanese Secret of the Lakes,Bebe's Search,$2.99
4928005,Pokemon Japanese Secret of the Lakes,Bebe's Search [1st Edition],$0.75
3458058,Pokemon Japanese Secret of the Lakes,Bidoof,$2.34
4928006,Pokemon Japanese Secret of the Lakes,Bidoof [1st Edition],$1.87
3458045,Pokemon Japanese Secret of the Lakes,Blissey,$6.13
4928007,Pokemon Japanese Secret of the Lakes,Blissey [1st Edition],$5.99
13115568,Pokemon Japanese Secret of the Lakes,Booster Box,
13115570,Pokemon Japanese Secret of the Lakes,Booster Pack,$360.00
3458068,Pokemon Japanese Secret of the Lakes,Bronzong,$2.98
4928008,Pokemon Japanese Secret of the Lakes,Bronzong [1st Edition],$3.77
3458067,Pokemon Japanese Secret of the Lakes,Bronzor,$1.71
4928009,Pokemon Japanese Secret of the Lakes,Bronzor [1st Edition],$2.63
3458003,Pokemon Japanese Secret of the Lakes,Buizel,$2.80
4928010,Pokemon Japanese Secret of the Lakes,Buizel [1st Edition],$2.98
3457967,Pokemon Japanese Secret of the Lakes,Celebi #Dpbp301,$20.00
4928011,Pokemon Japanese Secret of the Lakes,Celebi [1st Edition],$12.99
3458044,Pokemon Japanese Secret of the Lakes,Chansey,$3.38
4928012,Pokemon Japanese Secret of the Lakes,Chansey [1st Edition],$2.95
3457962,Pokemon Japanese Secret of the Lakes,Chikorita,$3.01
4928013,Pokemon Japanese Secret of the Lakes,Chikorita [1st Edition],$5.03
3458025,Pokemon Japanese Secret of the Lakes,Chimecho,$2.09
4928014,Pokemon Japanese Secret of the Lakes,Chimecho [1st Edition],$1.75
3458024,Pokemon Japanese Secret of the Lakes,Chingling,$2.95
4928015,Pokemon Japanese Secret of the Lakes,Chingling [1st Edition],$1.99
13118646,Pokemon Japanese Secret of the Lakes,Constructed Half Deck [Bastiodon The Defender],
3458038,Pokemon Japanese Secret of the Lakes,Cranidos,$2.18
4928016,Pokemon Japanese Secret of the Lakes,Cranidos [1st Edition],$2.15
3458026,Pokemon Japanese Secret of the Lakes,Croagunk,$2.00
4928017,Pokemon Japanese Secret of the Lakes,Croagunk [1st Edition],$3.45
3458016,Pokemon Japanese Secret of the Lakes,Crobat,$2.96
4928018,Pokemon Japanese Secret of the Lakes,Crobat [1st Edition],$4.12
3457989,Pokemon Japanese Secret of the Lakes,Croconaw,$2.83
4928019,Pokemon Japanese Secret of the Lakes,Croconaw [1st Edition],$5.31
3457980,Pokemon Japanese Secret of the Lakes,Cyndaquil,$3.67
4928020,Pokemon Japanese Secret of the Lakes,Cyndaquil [1st Edition],$4.65
3458078,Pokemon Japanese Secret of the Lakes,Darkness Energy,$1.62
4928021,Pokemon Japanese Secret of the Lakes,Darkness Energy [1st Edition],
3457985,Pokemon Japanese Secret of the Lakes,Dewgong,$3.07
4928022,Pokemon Japanese Secret of the Lakes,Dewgong [1st Edition],$4.48
3458042,Pokemon Japanese Secret of the Lakes,Dodrio,$2.70
4928023,Pokemon Japanese Secret of the Lakes,Dodrio [1st Edition],$4.99
3458041,Pokemon Japanese Secret of the Lakes,Doduo,$1.00
4928024,Pokemon Japanese Secret of the Lakes,Doduo [1st Edition],$3.00
3458046,Pokemon Japanese Secret of the Lakes,Dunsparce,$2.99
4928025,Pokemon Japanese Secret of the Lakes,Dunsparce [1st Edition],$3.00
3458070,Pokemon Japanese Secret of the Lakes,Dusk Ball,$0.50
4928026,Pokemon Japanese Secret of the Lakes,Dusk Ball [1st Edition],
3458010,Pokemon Japanese Secret of the Lakes,Electivire LV.X,$20.00
4928027,Pokemon Japanese Secret of the Lakes,Electivire LV.X [1st Edition],$17.75
3458007,Pokemon Japanese Secret of the Lakes,Electrike,$2.29
4928028,Pokemon Japanese Secret of the Lakes,Electrike [1st Edition],$2.20
3457960,Pokemon Japanese Secret of the Lakes,Exeggcute,$3.36
4928029,Pokemon Japanese Secret of the Lakes,Exeggcute [1st Edition],$1.25
3457961,Pokemon Japanese Secret of the Lakes,Exeggutor,$5.03
4928030,Pokemon Japanese Secret of the Lakes,Exeggutor [1st Edition],$2.53
3457990,Pokemon Japanese Secret of the Lakes,Feraligatr,$8.25
4928031,Pokemon Japanese Secret of the Lakes,Feraligatr [1st Edition],$16.28
3458001,Pokemon Japanese Secret of the Lakes,Finneon,$2.31
4928032,Pokemon Japanese Secret of the Lakes,Finneon [1st Edition],$1.75
3458072,Pokemon Japanese Secret of the Lakes,Fossil Excavator,$3.51
4928033,Pokemon Japanese Secret of the Lakes,Fossil Excavator [1st Edition],$2.52
3458056,Pokemon Japanese Secret of the Lakes,Gabite,$2.59
4928034,Pokemon Japanese Secret of the Lakes,Gabite [1st Edition],$4.99
3458057,Pokemon Japanese Secret of the Lakes,Garchomp,$11.93
4928035,Pokemon Japanese Secret of the Lakes,Garchomp [1st Edition],$7.50
3458033,Pokemon Japanese Secret of the Lakes,Geodude,$2.33
4928036,Pokemon Japanese Secret of the Lakes,Geodude [1st Edition],$2.49
3458055,Pokemon Japanese Secret of the Lakes,Gible,$2.99
4928037,Pokemon Japanese Secret of the Lakes,Gible [1st Edition],$1.49
3458054,Pokemon Japanese Secret of the Lakes,Girafarig,$2.99
4928038,Pokemon Japanese Secret of the Lakes,Girafarig [1st Edition],$3.24
3457997,Pokemon Japanese Secret of the Lakes,Glalie,$2.79
4928039,Pokemon Japanese Secret of the Lakes,Glalie [1st Edition],$1.00
3458015,Pokemon Japanese Secret of the Lakes,Golbat,$3.99
4928040,Pokemon Japanese Secret of the Lakes,Golbat [1st Edition],$3.55
3458034,Pokemon Japanese Secret of the Lakes,Graveler,$3.70
4928041,Pokemon Japanese Secret of the Lakes,Graveler [1st Edition],$2.98
3457987,Pokemon Japanese Secret of the Lakes,Gyarados,$11.18
4928042,Pokemon Japanese Secret of the Lakes,Gyarados [1st Edition],$10.95
3458043,Pokemon Japanese Secret of the Lakes,Happiny,$11.14
4928043,Pokemon Japanese Secret of the Lakes,Happiny [1st Edition],$5.99
3458060,Pokemon Japanese Secret of the Lakes,Honchkrow,$4.00
4928044,Pokemon Japanese Secret of the Lakes,Honchkrow [1st Edition],$5.52
3457971,Pokemon Japanese Secret of the Lakes,Kricketot,$2.99
4928045,Pokemon Japanese Secret of the Lakes,Kricketot [1st Edition],$1.49
3457972,Pokemon Japanese Secret of the Lakes,Kricketune,$2.99
4928046,Pokemon Japanese Secret of the Lakes,Kricketune [1st Edition],$2.00
3458063,Pokemon Japanese Secret of the Lakes,Lairon,$2.92
4928047,Pokemon Japanese Secret of the Lakes,Lairon [1st Edition],$2.98
3458075,Pokemon Japanese Secret of the Lakes,Lake Boundary,$2.93
4928048,Pokemon Japanese Secret of the Lakes,Lake Boundary [1st Edition],$2.99
3458036,Pokemon Japanese Secret of the Lakes,Larvitar,$2.75
4928049,Pokemon Japanese Secret of the Lakes,Larvitar [1st Edition],$2.91
3458040,Pokemon Japanese Secret of the Lakes,Lucario LV.X,$21.86
4928050,Pokemon Japanese Secret of the Lakes,Lucario LV.X [1st Edition],$28.33
3458002,Pokemon Japanese Secret of the Lakes,Lumineon,$5.52
4928051,Pokemon Japanese Secret of the Lakes,Lumineon [1st Edition],$2.99
3457977,Pokemon Japanese Secret of the Lakes,Magby,$2.87
4928052,Pokemon Japanese Secret of the Lakes,Magby [1st Edition],$2.14
3457986,Pokemon Japanese Secret of the Lakes,Magikarp,$5.76
4928053,Pokemon Japanese Secret of the Lakes,Magikarp [1st Edition],$4.71
3457978,Pokemon Japanese Secret of the Lakes,Magmar,$2.21
4928054,Pokemon Japanese Secret of the Lakes,Magmar [1st Edition],$3.97
3457979,Pokemon Japanese Secret of the Lakes,Magmortar,$3.46
3457983,Pokemon Japanese Secret of the Lakes,Magmortar LV.X,$15.00
4928056,Pokemon Japanese Secret of the Lakes,Magmortar LV.X [1st Edition],$16.13
4928055,Pokemon Japanese Secret of the Lakes,Magmortar [1st Edition],$7.52
3458008,Pokemon Japanese Secret of the Lakes,Manectric,$1.99
4928057,Pokemon Japanese Secret of the Lakes,Manectric [1st Edition],$3.19
3457993,Pokemon Japanese Secret of the Lakes,Mantine,$1.99
4928058,Pokemon Japanese Secret of the Lakes,Mantine [1st Edition],$4.06
3457969,Pokemon Japanese Secret of the Lakes,Masquerain,$2.15
4928059,Pokemon Japanese Secret of the Lakes,Masquerain [1st Edition],$2.00
3457964,Pokemon Japanese Secret of the Lakes,Meganium,$5.94
4928060,Pokemon Japanese Secret of the Lakes,Meganium [1st Edition],$4.48
3458029,Pokemon Japanese Secret of the Lakes,Mesprit,$9.99
4928061,Pokemon Japanese Secret of the Lakes,Mesprit [1st Edition],$4.74
3458079,Pokemon Japanese Secret of the Lakes,Metal Energy,$0.50
4928062,Pokemon Japanese Secret of the Lakes,Metal Energy [1st Edition],
3458019,Pokemon Japanese Secret of the Lakes,Mr. Mime,$6.06
4928063,Pokemon Japanese Secret of the Lakes,Mr. Mime [1st Edition],$9.95
3458080,Pokemon Japanese Secret of the Lakes,Multi Energy,$1.94
4928064,Pokemon Japanese Secret of the Lakes,Multi Energy [1st Edition],$1.99
3458059,Pokemon Japanese Secret of the Lakes,Murkrow,$2.41
4928065,Pokemon Japanese Secret of the Lakes,Murkrow [1st Edition],$1.96
3458013,Pokemon Japanese Secret of the Lakes,Nidoqueen,$6.10
4928066,Pokemon Japanese Secret of the Lakes,Nidoqueen [1st Edition],$5.99
3458011,Pokemon Japanese Secret of the Lakes,Nidoran,$2.99
4928067,Pokemon Japanese Secret of the Lakes,Nidoran [1st Edition],$2.98
3458012,Pokemon Japanese Secret of the Lakes,Nidorina,$2.49
4928068,Pokemon Japanese Secret of the Lakes,Nidorina [1st Edition],$3.31
3458071,Pokemon Japanese Secret of the Lakes,Night Maintenance,$2.99
4928069,Pokemon Japanese Secret of the Lakes,Night Maintenance [1st Edition],$1.99
3457976,Pokemon Japanese Secret of the Lakes,Ninetales,$7.14
4928070,Pokemon Japanese Secret of the Lakes,Ninetales [1st Edition],$7.29
3457992,Pokemon Japanese Secret of the Lakes,Octillery,$3.24
4928071,Pokemon Japanese Secret of the Lakes,Octillery [1st Edition],$1.74
3457958,Pokemon Japanese Secret of the Lakes,Paras,$3.99
4928072,Pokemon Japanese Secret of the Lakes,Paras [1st Edition],$3.00
3457959,Pokemon Japanese Secret of the Lakes,Parasect,$0.99
4928073,Pokemon Japanese Secret of the Lakes,Parasect [1st Edition],$3.97
3458004,Pokemon Japanese Secret of the Lakes,Pichu,$11.99
11720626,Pokemon Japanese Secret of the Lakes,Pichu #DPBP#025,
4928074,Pokemon Japanese Secret of the Lakes,Pichu [1st Edition],$13.00
3458005,Pokemon Japanese Secret of the Lakes,Pikachu,$46.00
4135164,Pokemon Japanese Secret of the Lakes,Pikachu [1st Edition],$29.99
3458037,Pokemon Japanese Secret of the Lakes,Pupitar,$3.21
4928075,Pokemon Japanese Secret of the Lakes,Pupitar [1st Edition],$2.90
3458069,Pokemon Japanese Secret of the Lakes,Quick Ball,$1.41
4928076,Pokemon Japanese Secret of the Lakes,Quick Ball [1st Edition],$3.00
3457981,Pokemon Japanese Secret of the Lakes,Quilava,$2.99
4928077,Pokemon Japanese Secret of the Lakes,Quilava [1st Edition],$3.49
3458006,Pokemon Japanese Secret of the Lakes,Raichu,$12.51
4928078,Pokemon Japanese Secret of the Lakes,Raichu [1st Edition],$17.95
3458039,Pokemon Japanese Secret of the Lakes,Rampardos,$4.07
4928079,Pokemon Japanese Secret of the Lakes,Rampardos [1st Edition],$3.49
3457991,Pokemon Japanese Secret of the Lakes,Remoraid,$3.86
4928080,Pokemon Japanese Secret of the Lakes,Remoraid [1st Edition],$1.00
3458031,Pokemon Japanese Secret of the Lakes,Sandshrew,$3.15
4928081,Pokemon Japanese Secret of the Lakes,Sandshrew [1st Edition],$4.00
3458032,Pokemon Japanese Secret of the Lakes,Sandslash,$1.99
4928082,Pokemon Japanese Secret of the Lakes,Sandslash [1st Edition],$1.00
3457999,Pokemon Japanese Secret of the Lakes,Sealeo,$1.71
4928083,Pokemon Japanese Secret of the Lakes,Sealeo [1st Edition],$2.15
3457984,Pokemon Japanese Secret of the Lakes,Seel,$2.49
4928084,Pokemon Japanese Secret of the Lakes,Seel [1st Edition],$2.19
3458065,Pokemon Japanese Secret of the Lakes,Shieldon,$1.92
4928085,Pokemon Japanese Secret of the Lakes,Shieldon [1st Edition],$2.99
3458009,Pokemon Japanese Secret of the Lakes,Shinx,$2.99
4928086,Pokemon Japanese Secret of the Lakes,Shinx [1st Edition],$1.99
3458076,Pokemon Japanese Secret of the Lakes,Skull Fossil,$2.18
