id,console-name,product-name,loose-price
3458189,Pokemon Japanese Shining Darkness,Absol,$3.47
4928716,Pokemon Japanese Shining Darkness,Absol [1st Edition],$9.40
3458130,Pokemon Japanese Shining Darkness,Ampharos,$11.98
4928717,Pokemon Japanese Shining Darkness,Ampharos [1st Edition],$14.99
3458104,Pokemon Japanese Shining Darkness,Arcanine,$5.05
4928718,Pokemon Japanese Shining Darkness,Arcanine [1st Edition],$6.39
3458182,Pokemon Japanese Shining Darkness,Bagon,$2.49
4928719,Pokemon Japanese Shining Darkness,Bagon [1st Edition],$2.49
3458153,Pokemon Japanese Shining Darkness,Banette,$2.99
4928720,Pokemon Japanese Shining Darkness,Banette [1st Edition],$3.48
3458109,Pokemon Japanese Shining Darkness,Blastoise #9,$19.41
4928721,Pokemon Japanese Shining Darkness,Blastoise [1st Edition],$34.99
13117369,Pokemon Japanese Shining Darkness,Booster Box,
13117368,Pokemon Japanese Shining Darkness,Booster Pack,
3458094,Pokemon Japanese Shining Darkness,Breloom,$2.99
4928722,Pokemon Japanese Shining Darkness,Breloom [1st Edition],$2.77
3458081,Pokemon Japanese Shining Darkness,Bulbasaur,$7.81
4928723,Pokemon Japanese Shining Darkness,Bulbasaur [1st Edition],$5.58
3458187,Pokemon Japanese Shining Darkness,Carvanha,$2.90
4928724,Pokemon Japanese Shining Darkness,Carvanha [1st Edition],$0.25
3458102,Pokemon Japanese Shining Darkness,Charizard #DPBP006,$42.08
4928725,Pokemon Japanese Shining Darkness,Charizard [1st Edition] #DPBP006,$51.99
3458100,Pokemon Japanese Shining Darkness,Charmander,$4.61
4928726,Pokemon Japanese Shining Darkness,Charmander [1st Edition],$6.27
3458101,Pokemon Japanese Shining Darkness,Charmeleon,$3.51
4928727,Pokemon Japanese Shining Darkness,Charmeleon [1st Edition],$3.77
3458185,Pokemon Japanese Shining Darkness,Clefairy,$3.36
4928728,Pokemon Japanese Shining Darkness,Clefairy [1st Edition],$3.37
3458113,Pokemon Japanese Shining Darkness,Cloyster,$2.25
4928729,Pokemon Japanese Shining Darkness,Cloyster [1st Edition],$1.99
3458117,Pokemon Japanese Shining Darkness,Corsola,$1.99
4928730,Pokemon Japanese Shining Darkness,Corsola [1st Edition],$1.62
3458198,Pokemon Japanese Shining Darkness,Darkness Energy,$1.99
4928731,Pokemon Japanese Shining Darkness,Darkness Energy [1st Edition],
3458190,Pokemon Japanese Shining Darkness,Darkrai,$13.97
3458192,Pokemon Japanese Shining Darkness,Darkrai LV.X,$54.03
4928733,Pokemon Japanese Shining Darkness,Darkrai LV.X [1st Edition],$50.74
4928732,Pokemon Japanese Shining Darkness,Darkrai [1st Edition],$13.99
10466772,Pokemon Japanese Shining Darkness,Dialga #DPBP522,$5.99
3458194,Pokemon Japanese Shining Darkness,Dialga LV.X,$18.99
4928734,Pokemon Japanese Shining Darkness,Dialga LV.X [1st Edition],$19.00
6781810,Pokemon Japanese Shining Darkness,Dialga LV.X [Holo],$45.30
3458155,Pokemon Japanese Shining Darkness,Diglett,$2.04
4928735,Pokemon Japanese Shining Darkness,Diglett [1st Edition],$3.49
3458159,Pokemon Japanese Shining Darkness,Donphan,$2.76
4928736,Pokemon Japanese Shining Darkness,Donphan [1st Edition],$4.00
3458156,Pokemon Japanese Shining Darkness,Dugtrio,$2.77
4928737,Pokemon Japanese Shining Darkness,Dugtrio [1st Edition],$2.67
3458154,Pokemon Japanese Shining Darkness,Duskull,$3.05
