id,console-name,product-name,loose-price
3445430,Pokemon Japanese Shining Legends,Arbok #38,$4.99
8820781,Pokemon Japanese Shining Legends,Booster Box,$4600.00
8820780,Pokemon Japanese Shining Legends,Booster Pack,$144.50
3445398,Pokemon Japanese Shining Legends,Breloom #6,$2.19
3445415,Pokemon Japanese Shining Legends,Buizel #23,$3.94
3445393,Pokemon Japanese Shining Legends,Bulbasaur #1,$4.15
3445399,Pokemon Japanese Shining Legends,Carnivine #7,$2.94
3445412,Pokemon Japanese Shining Legends,Croconaw #20,$3.99
3445455,Pokemon Japanese Shining Legends,Damage Mover #63,$1.98
3445463,Pokemon Japanese Shining Legends,Double Colorless Energy #71,$1.89
3445429,Pokemon Japanese Shining Legends,Ekans #37,$1.84
3445424,Pokemon Japanese Shining Legends,Electrode #32,$0.50
3445452,Pokemon Japanese Shining Legends,Energy Retrieval #60,
3445403,Pokemon Japanese Shining Legends,Entei  GX #11,$5.79
3445465,Pokemon Japanese Shining Legends,Entei GX #73,$13.84
3445469,Pokemon Japanese Shining Legends,Entei GX #78,$145.00
3445413,Pokemon Japanese Shining Legends,Feraligatr #21,$3.00
3445416,Pokemon Japanese Shining Legends,Floatzel #24,$2.99
3445436,Pokemon Japanese Shining Legends,Golett #44,$1.99
3445437,Pokemon Japanese Shining Legends,Golurk #45,$2.00
3445453,Pokemon Japanese Shining Legends,Great Ball #61,$21.32
3445459,Pokemon Japanese Shining Legends,Hau #67,$0.31
3445448,Pokemon Japanese Shining Legends,Hoopa #56,$2.39
3445410,Pokemon Japanese Shining Legends,Incineroar #18,$3.00
3445394,Pokemon Japanese Shining Legends,Ivysaur #2,$4.04
3445431,Pokemon Japanese Shining Legends,Jynx #39,$5.69
3445419,Pokemon Japanese Shining Legends,Keldeo #27,$4.18
3445405,Pokemon Japanese Shining Legends,Larvesta #13,$3.48
3445434,Pokemon Japanese Shining Legends,Latios #42,$2.35
3445442,Pokemon Japanese Shining Legends,Liepard #50,$3.42
3445462,Pokemon Japanese Shining Legends,Lillie #70,$0.95
3445408,Pokemon Japanese Shining Legends,Litten #16,$2.52
3445418,Pokemon Japanese Shining Legends,Manaphy #26,$2.77
3445438,Pokemon Japanese Shining Legends,Marshadow #46,$2.49
3445432,Pokemon Japanese Shining Legends,Mewtwo GX #40,$9.87
3445466,Pokemon Japanese Shining Legends,Mewtwo GX #75,$53.99
3445471,Pokemon Japanese Shining Legends,Mewtwo GX #80,$225.00
3445473,Pokemon Japanese Shining Legends,Mewtwo GX #82,$1049.96
3445427,Pokemon Japanese Shining Legends,Minun #35,$2.21
3445417,Pokemon Japanese Shining Legends,Palkia #25,$2.66
3445421,Pokemon Japanese Shining Legends,Pikachu #29,$6.01
3445426,Pokemon Japanese Shining Legends,Plusle #34,$8.79
3445460,Pokemon Japanese Shining Legends,Pokemon Breeder #68,$2.54
3445468,Pokemon Japanese Shining Legends,Pokemon Breeder #77,$104.84
3445458,Pokemon Japanese Shining Legends,Pokemon Catcher #66,$5.22
3445441,Pokemon Japanese Shining Legends,Purrloin #49,$1.98
3445414,Pokemon Japanese Shining Legends,Qwilfish #22,$1.98
3445422,Pokemon Japanese Shining Legends,Raichu GX #30,$5.35
3445474,Pokemon Japanese Shining Legends,Raichu GX #74,$27.99
3445470,Pokemon Japanese Shining Legends,Raichu GX #79,$148.33
3445425,Pokemon Japanese Shining Legends,Raikou #33,$2.39
3445407,Pokemon Japanese Shining Legends,Reshiram #15,$2.64
3445444,Pokemon Japanese Shining Legends,Scrafty #52,$2.09
3445443,Pokemon Japanese Shining Legends,Scraggy #51,$1.69
3445400,Pokemon Japanese Shining Legends,Shaymin #8,$2.99
3445451,Pokemon Japanese Shining Legends,Shining Arceus #59,$55.35
3445396,Pokemon Japanese Shining Legends,Shining Celebi #4,$56.24
3445402,Pokemon Japanese Shining Legends,Shining Genesect #10,$19.92
3445435,Pokemon Japanese Shining Legends,Shining Jirachi #43,$44.99
3445450,Pokemon Japanese Shining Legends,Shining Lugia #58,$142.00
3445433,Pokemon Japanese Shining Legends,Shining Mew #41,$119.27
3445449,Pokemon Japanese Shining Legends,Shining Rayquaza #57,$118.07
3445420,Pokemon Japanese Shining Legends,Shining Volcanion #28,$14.00
3445397,Pokemon Japanese Shining Legends,Shroomish #5,$2.46
3445461,Pokemon Japanese Shining Legends,Sophocles #69,$1.69
3445440,Pokemon Japanese Shining Legends,Spiritomb #48,$2.49
3445439,Pokemon Japanese Shining Legends,Stunfisk #47,$1.98
3445454,Pokemon Japanese Shining Legends,Super Scoop Up #62,
3445457,Pokemon Japanese Shining Legends,Switch #65,
3445404,Pokemon Japanese Shining Legends,Torkoal #12,$1.99
3445409,Pokemon Japanese Shining Legends,Torracat #17,$3.05
3445411,Pokemon Japanese Shining Legends,Totodile #19,$4.59
3445456,Pokemon Japanese Shining Legends,Ultra Ball #64,$21.32
3445395,Pokemon Japanese Shining Legends,Venusaur #3,$4.53
3445401,Pokemon Japanese Shining Legends,Virizion #9,$1.44
3445406,Pokemon Japanese Shining Legends,Volcarona #14,$4.12
3445423,Pokemon Japanese Shining Legends,Voltorb #31,$4.97
3445464,Pokemon Japanese Shining Legends,Warp Energy #72,$1.99
3445447,Pokemon Japanese Shining Legends,Yveltal #55,$2.81
3445428,Pokemon Japanese Shining Legends,Zekrom #36,$2.94
3445446,Pokemon Japanese Shining Legends,Zoroark GX #54,$3.69
3445467,Pokemon Japanese Shining Legends,Zoroark GX #76,$31.49
3445472,Pokemon Japanese Shining Legends,Zoroark GX #81,$75.00
3445445,Pokemon Japanese Shining Legends,Zorua #53,$1.99
