id,console-name,product-name,loose-price
3449347,Pokemon Japanese Shiny Star V,Aegislash #131,$1.77
3449387,Pokemon Japanese Shiny Star V,Air Balloon #171,$2.50
3449473,Pokemon Japanese Shiny Star V,Alcremie #257,$4.91
3449298,Pokemon Japanese Shiny Star V,Alcremie #82,$1.93
3449235,Pokemon Japanese Shiny Star V,Appletun #19,$1.75
3449429,Pokemon Japanese Shiny Star V,Appletun #213,$3.32
3449233,Pokemon Japanese Shiny Star V,Applin #17,$1.40
3449427,Pokemon Japanese Shiny Star V,Applin #211,$4.36
3449452,Pokemon Japanese Shiny Star V,Arctovish #236,$2.55
3449267,Pokemon Japanese Shiny Star V,Arctovish #51,$1.80
3449461,Pokemon Japanese Shiny Star V,Arctozolt #245,$2.81
3449280,Pokemon Japanese Shiny Star V,Arctozolt #64,$1.90
3449323,Pokemon Japanese Shiny Star V,Ariados #107,$1.89
3449446,Pokemon Japanese Shiny Star V,Arrokuda #230,$2.34
3449261,Pokemon Japanese Shiny Star V,Arrokuda #45,$1.74
3449403,Pokemon Japanese Shiny Star V,Aurora Energy #187,$1.99
3449391,Pokemon Japanese Shiny Star V,Ball Guy #175,$2.59
3449412,Pokemon Japanese Shiny Star V,Ball Guy #196,$4.99
8499610,Pokemon Japanese Shiny Star V,Ball Guy [Reverse Holo] #175,$2.07
3449447,Pokemon Japanese Shiny Star V,Barraskewda #231,$2.41
3449262,Pokemon Japanese Shiny Star V,Barraskewda #46,$0.59
3449388,Pokemon Japanese Shiny Star V,Bird Keeper #172,$1.47
3449409,Pokemon Japanese Shiny Star V,Bird Keeper #193,$4.09
3449227,Pokemon Japanese Shiny Star V,Blipbug #11,$1.54
3449422,Pokemon Japanese Shiny Star V,Blipbug #206,$2.13
3449455,Pokemon Japanese Shiny Star V,Boltund #239,$3.56
3449271,Pokemon Japanese Shiny Star V,Boltund #55,$1.61
3449529,Pokemon Japanese Shiny Star V,Boltund V #313,$2.28
3449272,Pokemon Japanese Shiny Star V,Boltund V #56,$1.45
4723055,Pokemon Japanese Shiny Star V,Booster Box,$135.50
8685399,Pokemon Japanese Shiny Star V,Booster Box [1st Edition],$151.60
8798150,Pokemon Japanese Shiny Star V,Booster Pack,$12.59
3449392,Pokemon Japanese Shiny Star V,Boss's Orders #176,$1.40
3449362,Pokemon Japanese Shiny Star V,Bunnelby #146,$1.83
3449512,Pokemon Japanese Shiny Star V,Bunnelby #296,$2.71
3449378,Pokemon Japanese Shiny Star V,Capacious Bucket #162,$1.94
3449386,Pokemon Japanese Shiny Star V,Cape of Toughness #170,$1.55
3449404,Pokemon Japanese Shiny Star V,Capture Energy #188,$1.94
3449407,Pokemon Japanese Shiny Star V,Cara Liss #191,$1.95
3449483,Pokemon Japanese Shiny Star V,Carkol #267,$2.99
3449311,Pokemon Japanese Shiny Star V,Carkol #95,$1.48
3449434,Pokemon Japanese Shiny Star V,Centiskorch #218,$2.47
3449242,Pokemon Japanese Shiny Star V,Centiskorch #26,$1.60
3449243,Pokemon Japanese Shiny Star V,Centiskorch V #27,$1.50
3449525,Pokemon Japanese Shiny Star V,Centiskorch V #309,$3.12
3449244,Pokemon Japanese Shiny Star V,Centiskorch VMAX #28,$1.82
3449526,Pokemon Japanese Shiny Star V,Centiskorch VMAX #310,$3.14
3449523,Pokemon Japanese Shiny Star V,Charizard V #307,$88.70
3449524,Pokemon Japanese Shiny Star V,Charizard VMAX #308,$110.00
3449443,Pokemon Japanese Shiny Star V,Chewtle #227,$2.44
3449258,Pokemon Japanese Shiny Star V,Chewtle #42,$2.01
3449359,Pokemon Japanese Shiny Star V,Cinccino #143,$2.05
3449509,Pokemon Japanese Shiny Star V,Cinccino #293,$3.99
3449432,Pokemon Japanese Shiny Star V,Cinderace #216,$3.60
3449240,Pokemon Japanese Shiny Star V,Cinderace #24,$1.23
3449282,Pokemon Japanese Shiny Star V,Clefable #66,$1.81
3449281,Pokemon Japanese Shiny Star V,Clefairy #65,$2.83
3449487,Pokemon Japanese Shiny Star V,Clobbopus #271,$2.54
3449315,Pokemon Japanese Shiny Star V,Clobbopus #99,$2.21
3449484,Pokemon Japanese Shiny Star V,Coalossal #268,$2.41
3449312,Pokemon Japanese Shiny Star V,Coalossal #96,$1.41
3449350,Pokemon Japanese Shiny Star V,Copperajah #134,$1.71
3449506,Pokemon Japanese Shiny Star V,Copperajah #290,$2.17
3449348,Pokemon Japanese Shiny Star V,Corviknight #132,$1.55
3449504,Pokemon Japanese Shiny Star V,Corviknight #288,$2.74
11364614,Pokemon Japanese Shiny Star V,Corviknight [Reverse Holo] #132,$1.50
3449367,Pokemon Japanese Shiny Star V,Corvisquire #151,$1.60
3449517,Pokemon Japanese Shiny Star V,Corvisquire #301,$2.66
3449445,Pokemon Japanese Shiny Star V,Cramorant #229,$2.87
3449260,Pokemon Japanese Shiny Star V,Cramorant #44,$1.99
3449371,Pokemon Japanese Shiny Star V,Cramorant V #155,$1.44
3449542,Pokemon Japanese Shiny Star V,Cramorant V #326,$3.19
3449329,Pokemon Japanese Shiny Star V,Croagunk #113,$2.09
3449324,Pokemon Japanese Shiny Star V,Crobat V #108,$1.87
11550608,Pokemon Japanese Shiny Star V,Crobat V Shiny Box,$122.28
3449325,Pokemon Japanese Shiny Star V,Crobat VMAX #109,$2.00
3449536,Pokemon Japanese Shiny Star V,Crobat VMAX #320,$4.99
3449349,Pokemon Japanese Shiny Star V,Cufant #133,$1.49
3449505,Pokemon Japanese Shiny Star V,Cufant #289,$2.69
3449218,Pokemon Japanese Shiny Star V,Dartrix #2,$1.62
3449417,Pokemon Japanese Shiny Star V,Dartrix #201,$4.00
3449418,Pokemon Japanese Shiny Star V,Decidueye #202,$3.00
3449219,Pokemon Japanese Shiny Star V,Decidueye #3,$1.79
3449466,Pokemon Japanese Shiny Star V,Dedenne #250,$4.98
3449291,Pokemon Japanese Shiny Star V,Dedenne #75,$1.99
5067325,Pokemon Japanese Shiny Star V,Ditto V #323,$9.00
3449357,Pokemon Japanese Shiny Star V,Ditto VMAX #141,$2.99
3449540,Pokemon Japanese Shiny Star V,Ditto VMAX #324,$11.56
3449356,Pokemon Japanese Shiny Star V,DittoV #140,$1.21
3449228,Pokemon Japanese Shiny Star V,Dottler #12,$1.74
3449423,Pokemon Japanese Shiny Star V,Dottler #207,$2.66
3449346,Pokemon Japanese Shiny Star V,Doublade #130,$1.65
3449451,Pokemon Japanese Shiny Star V,Dracovish #235,$2.63
3449266,Pokemon Japanese Shiny Star V,Dracovish #50,$1.57
3449460,Pokemon Japanese Shiny Star V,Dracozolt #244,$2.54
3449279,Pokemon Japanese Shiny Star V,Dracozolt #63,$1.59
3449477,Pokemon Japanese Shiny Star V,Dragapult #261,$3.60
3449303,Pokemon Japanese Shiny Star V,Dragapult #87,$1.50
3449533,Pokemon Japanese Shiny Star V,Dragapult V #317,$4.90
3449304,Pokemon Japanese Shiny Star V,Dragapult V #88,$1.99
3449534,Pokemon Japanese Shiny Star V,Dragapult VMAX #318,$3.99
3449305,Pokemon Japanese Shiny Star V,Dragapult VMAX #89,$1.99
3449476,Pokemon Japanese Shiny Star V,Drakloak #260,$3.11
3449302,Pokemon Japanese Shiny Star V,Drakloak #86,$1.95
3449444,Pokemon Japanese Shiny Star V,Drednaw #228,$2.52
3449259,Pokemon Japanese Shiny Star V,Drednaw #43,$1.62
3449475,Pokemon Japanese Shiny Star V,Dreepy #259,$3.99
3449301,Pokemon Japanese Shiny Star V,Dreepy #85,$2.29
3449441,Pokemon Japanese Shiny Star V,Drizzile #225,$2.47
3449256,Pokemon Japanese Shiny Star V,Drizzile #40,$2.13
3449369,Pokemon Japanese Shiny Star V,Dubwool #153,$1.92
3449519,Pokemon Japanese Shiny Star V,Dubwool #303,$3.00
3449370,Pokemon Japanese Shiny Star V,Dubwool V #154,$1.43
3449541,Pokemon Japanese Shiny Star V,Dubwool V #325,$2.35
3449360,Pokemon Japanese Shiny Star V,Ducklett #144,$1.99
3449510,Pokemon Japanese Shiny Star V,Ducklett #294,$2.91
3449351,Pokemon Japanese Shiny Star V,Duraludon #135,$1.35
3449507,Pokemon Japanese Shiny Star V,Duraludon #291,$2.30
3449450,Pokemon Japanese Shiny Star V,Eiscue #234,$3.61
3449265,Pokemon Japanese Shiny Star V,Eiscue #49,$1.77
3449231,Pokemon Japanese Shiny Star V,Eldegoss #15,$1.64
3449426,Pokemon Japanese Shiny Star V,Eldegoss #210,$2.08
3449232,Pokemon Japanese Shiny Star V,Eldegoss V #16,$1.50
3449522,Pokemon Japanese Shiny Star V,Eldegoss V #306,$2.79
3449340,Pokemon Japanese Shiny Star V,Eternatus V #124,$1.61
3449543,Pokemon Japanese Shiny Star V,Eternatus V #327,$8.85
3449341,Pokemon Japanese Shiny Star V,Eternatus VMAX #125,$2.00
3449544,Pokemon Japanese Shiny Star V,Eternatus VMAX #328,$7.10
3449375,Pokemon Japanese Shiny Star V,Evolution Incense #159,$2.40
3449317,Pokemon Japanese Shiny Star V,Falinks #101,$1.92
3449489,Pokemon Japanese Shiny Star V,Falinks #273,$2.40
3449318,Pokemon Japanese Shiny Star V,Falinks V #102,$1.71
3449535,Pokemon Japanese Shiny Star V,Falinks V #319,$3.11
3449250,Pokemon Japanese Shiny Star V,Feebas #34,$1.99
3449234,Pokemon Japanese Shiny Star V,Flapple #18,$1.72
3449428,Pokemon Japanese Shiny Star V,Flapple #212,$3.23
3449449,Pokemon Japanese Shiny Star V,Frosmoth #233,$2.62
3449264,Pokemon Japanese Shiny Star V,Frosmoth #48,$1.55
3449464,Pokemon Japanese Shiny Star V,Galarian Corsola #248,$3.09
3449288,Pokemon Japanese Shiny Star V,Galarian Corsola #72,$1.80
3449465,Pokemon Japanese Shiny Star V,Galarian Cursola #249,$2.54
3449289,Pokemon Japanese Shiny Star V,Galarian Cursola #73,$1.82
3449439,Pokemon Japanese Shiny Star V,Galarian Darmanitan #223,$2.35
3449254,Pokemon Japanese Shiny Star V,Galarian Darmanitan #38,$1.77
3449438,Pokemon Japanese Shiny Star V,Galarian Darumaka #222,$2.74
3449253,Pokemon Japanese Shiny Star V,Galarian Darumaka #37,$2.11
3449478,Pokemon Japanese Shiny Star V,Galarian Farfetch'd #262,$3.83
3449306,Pokemon Japanese Shiny Star V,Galarian Farfetch'd #90,$1.65
3449327,Pokemon Japanese Shiny Star V,Galarian Linoone #111,$1.50
3449494,Pokemon Japanese Shiny Star V,Galarian Linoone #278,$2.60
