id,console-name,product-name,loose-price
6125053,Pokemon Japanese Shiny Treasure ex,Abomasnow #11,$0.47
6125245,Pokemon Japanese Shiny Treasure ex,Abomasnow #200,$2.16
6125298,Pokemon Japanese Shiny Treasure ex,Abra #253,$4.38
6125116,Pokemon Japanese Shiny Treasure ex,Abra #73,$1.89
6137513,Pokemon Japanese Shiny Treasure ex,Abra [Reverse Holo] #73,$1.80
6125371,Pokemon Japanese Shiny Treasure ex,Alakazam ex #326,$3.99
6125118,Pokemon Japanese Shiny Treasure ex,Alakazam ex #75,$1.73
6125145,Pokemon Japanese Shiny Treasure ex,Annihilape #102,$1.32
6125323,Pokemon Japanese Shiny Treasure ex,Annihilape #278,$2.71
6125059,Pokemon Japanese Shiny Treasure ex,Arboliva #17,$0.99
6125250,Pokemon Japanese Shiny Treasure ex,Arboliva #205,$2.22
6125279,Pokemon Japanese Shiny Treasure ex,Arctibax #234,$2.41
6125094,Pokemon Japanese Shiny Treasure ex,Arctibax #52,$1.99
6137499,Pokemon Japanese Shiny Treasure ex,Arctibax [Reverse Holo] #52,$1.89
6125263,Pokemon Japanese Shiny Treasure ex,Armarouge #218,$3.08
6125076,Pokemon Japanese Shiny Treasure ex,Armarouge #34,$1.71
6125230,Pokemon Japanese Shiny Treasure ex,Artazon #185,$1.87
6137585,Pokemon Japanese Shiny Treasure ex,Artazon [Reverse Holo] #185,$2.10
6125225,Pokemon Japanese Shiny Treasure ex,Arven #180,$2.23
6125398,Pokemon Japanese Shiny Treasure ex,Arven #353,$9.91
6137581,Pokemon Japanese Shiny Treasure ex,Arven [Reverse Holo] #180,$2.69
6125280,Pokemon Japanese Shiny Treasure ex,Baxcalibur #235,$2.41
6125096,Pokemon Japanese Shiny Treasure ex,Baxcalibur #53,$1.32
6125229,Pokemon Japanese Shiny Treasure ex,Beach Court #184,$1.35
6137584,Pokemon Japanese Shiny Treasure ex,Beach Court [Reverse Holo] #184,$1.75
6125208,Pokemon Japanese Shiny Treasure ex,Big Air Balloon #165,$1.41
6397824,Pokemon Japanese Shiny Treasure ex,Big Air Balloon [Reverse Holo] #165,$2.42
6125166,Pokemon Japanese Shiny Treasure ex,Bisharp #123,$0.91
6125338,Pokemon Japanese Shiny Treasure ex,Bisharp #293,$2.11
6137542,Pokemon Japanese Shiny Treasure ex,Bisharp [Reverse Holo] #123,$1.78
6125041,Pokemon Japanese Shiny Treasure ex,Booster Box,$100.64
6125042,Pokemon Japanese Shiny Treasure ex,Booster Pack,$22.00
6125226,Pokemon Japanese Shiny Treasure ex,Boss's Orders #181,$1.73
6125212,Pokemon Japanese Shiny Treasure ex,Bravery Charm #169,$1.28
6137574,Pokemon Japanese Shiny Treasure ex,Bravery Charm [Reverse Holo] #169,$1.94
6125062,Pokemon Japanese Shiny Treasure ex,Capsakid #20,$1.11
6125252,Pokemon Japanese Shiny Treasure ex,Capsakid #207,$2.42
6137476,Pokemon Japanese Shiny Treasure ex,Capsakid [Reverse Holo] #20,$1.74
6125313,Pokemon Japanese Shiny Treasure ex,Ceruledge #268,$3.75
6125134,Pokemon Japanese Shiny Treasure ex,Ceruledge #91,$1.81
6125262,Pokemon Japanese Shiny Treasure ex,Charcadet #217,$2.99
6125075,Pokemon Japanese Shiny Treasure ex,Charcadet #33,$1.58
6137485,Pokemon Japanese Shiny Treasure ex,Charcadet [Reverse Holo] #33,$1.90
6125158,Pokemon Japanese Shiny Treasure ex,Charizard ex #115,$3.14
6125376,Pokemon Japanese Shiny Treasure ex,Charizard ex #331,$17.57
6125394,Pokemon Japanese Shiny Treasure ex,Charizard ex #349,$223.50
6125255,Pokemon Japanese Shiny Treasure ex,Charmander #210,$13.42
6125067,Pokemon Japanese Shiny Treasure ex,Charmander #25,$2.70
6137478,Pokemon Japanese Shiny Treasure ex,Charmander [Reverse Holo] #25,$3.49
6125256,Pokemon Japanese Shiny Treasure ex,Charmeleon #211,$7.50
6125068,Pokemon Japanese Shiny Treasure ex,Charmeleon #26,$1.67
6137479,Pokemon Japanese Shiny Treasure ex,Charmeleon [Reverse Holo] #26,$1.99
6125078,Pokemon Japanese Shiny Treasure ex,Chi-Yu ex #35,$1.25
