id,console-name,product-name,loose-price
5003484,Pokemon Japanese Snow Hazard,Abomasnow #6,$1.37
5003518,Pokemon Japanese Snow Hazard,Annihilape ex #40,$1.60
5157492,Pokemon Japanese Snow Hazard,Annihilape ex #87,$3.99
5003504,Pokemon Japanese Snow Hazard,Arctibax #26,$1.55
5066139,Pokemon Japanese Snow Hazard,Arctibax #76,$5.99
5003495,Pokemon Japanese Snow Hazard,Azumarill #17,$1.94
5003505,Pokemon Japanese Snow Hazard,Baxcalibur #27,$1.20
5066140,Pokemon Japanese Snow Hazard,Baxcalibur #77,$10.50
5699397,Pokemon Japanese Snow Hazard,Booster Box,$80.93
7597954,Pokemon Japanese Snow Hazard,Booster Pack,$4.69
5003485,Pokemon Japanese Snow Hazard,Bounsweet #7,$1.31
5003490,Pokemon Japanese Snow Hazard,Brambleghast #12,$1.00
5003488,Pokemon Japanese Snow Hazard,Bramblin #10,$1.21
5003489,Pokemon Japanese Snow Hazard,Bramblin #11,$1.55
5065923,Pokemon Japanese Snow Hazard,Bramblin #72,$3.72
5003529,Pokemon Japanese Snow Hazard,Bronzong #51,$1.50
5003528,Pokemon Japanese Snow Hazard,Bronzor #50,$1.79
5003500,Pokemon Japanese Snow Hazard,Cetitan #22,$1.51
5003498,Pokemon Japanese Snow Hazard,Cetoddle #20,$1.60
5003499,Pokemon Japanese Snow Hazard,Cetoddle #21,$1.57
5168052,Pokemon Japanese Snow Hazard,Chien-Pai ex #97,$6.35
5003506,Pokemon Japanese Snow Hazard,Chien-Pao ex #28,$1.72
5157489,Pokemon Japanese Snow Hazard,Chien-Pao ex #85,$3.87
5157486,Pokemon Japanese Snow Hazard,Chien-Pao ex #93,$32.00
5003481,Pokemon Japanese Snow Hazard,Combee #3,$1.67
5003532,Pokemon Japanese Snow Hazard,Copperajah ex #54,$1.29
5065916,Pokemon Japanese Snow Hazard,Copperajah ex #88,$2.22
5003530,Pokemon Japanese Snow Hazard,Corviknight #52,$1.55
5003543,Pokemon Japanese Snow Hazard,Corvisquire #64,$1.62
5003531,Pokemon Japanese Snow Hazard,Cufant #53,$1.47
5003535,Pokemon Japanese Snow Hazard,Dudunsparce #57,$1.49
5066145,Pokemon Japanese Snow Hazard,Dudunsparce #83,$3.49
5003534,Pokemon Japanese Snow Hazard,Dunsparce #56,$1.55
5003497,Pokemon Japanese Snow Hazard,Eiscue #19,$1.61
5065914,Pokemon Japanese Snow Hazard,Eiscue #74,$6.59
5003546,Pokemon Japanese Snow Hazard,Fight Ole #67,
5003502,Pokemon Japanese Snow Hazard,Frigibax #24,$1.20
5003503,Pokemon Japanese Snow Hazard,Frigibax #25,$1.20
