id,console-name,product-name,loose-price
3458298,Pokemon Japanese Space-Time,Azumarill,$2.36
8454212,Pokemon Japanese Space-Time,Azumarill [1st Edition],$4.15
3458363,Pokemon Japanese Space-Time,Azurill,$3.23
8454213,Pokemon Japanese Space-Time,Azurill [1st Edition],$4.49
3458273,Pokemon Japanese Space-Time,Beautifly,$2.15
8454214,Pokemon Japanese Space-Time,Beautifly [1st Edition],
3458368,Pokemon Japanese Space-Time,Bibarel,$2.00
8454215,Pokemon Japanese Space-Time,Bibarel [1st Edition],$3.54
3458367,Pokemon Japanese Space-Time,Bidoof,$3.04
8454216,Pokemon Japanese Space-Time,Bidoof [1st Edition],$3.52
7750383,Pokemon Japanese Space-Time,Booster Box,$3500.00
13115490,Pokemon Japanese Space-Time,Booster Box [Pearl],
13115486,Pokemon Japanese Space-Time,Booster Pack,$316.78
13115488,Pokemon Japanese Space-Time,Booster Pack [Pearl],
3458277,Pokemon Japanese Space-Time,Budew,$2.94
8454217,Pokemon Japanese Space-Time,Budew [1st Edition],$7.23
3458303,Pokemon Japanese Space-Time,Buizel,$2.20
8454218,Pokemon Japanese Space-Time,Buizel [1st Edition],$2.99
3458369,Pokemon Japanese Space-Time,Buneary,$3.07
8454219,Pokemon Japanese Space-Time,Buneary [1st Edition],$0.25
3458287,Pokemon Japanese Space-Time,Carnivine,$2.43
8454220,Pokemon Japanese Space-Time,Carnivine [1st Edition],$1.00
3458274,Pokemon Japanese Space-Time,Cascoon,$1.99
8454221,Pokemon Japanese Space-Time,Cascoon [1st Edition],
3458371,Pokemon Japanese Space-Time,Chatot,$1.99
8454222,Pokemon Japanese Space-Time,Chatot [1st Edition],$2.09
3458286,Pokemon Japanese Space-Time,Cherrim,$2.63
8454223,Pokemon Japanese Space-Time,Cherrim [1st Edition],$5.00
3458285,Pokemon Japanese Space-Time,Cherubi,$1.99
8454224,Pokemon Japanese Space-Time,Cherubi [1st Edition],$2.99
3458291,Pokemon Japanese Space-Time,Chimchar,$2.84
8454225,Pokemon Japanese Space-Time,Chimchar [1st Edition],$4.02
3458358,Pokemon Japanese Space-Time,Clefable,$2.83
8454226,Pokemon Japanese Space-Time,Clefable [1st Edition],$3.94
3458357,Pokemon Japanese Space-Time,Clefairy,$2.86
8454227,Pokemon Japanese Space-Time,Clefairy [1st Edition],$2.69
3458356,Pokemon Japanese Space-Time,Cleffa,$3.06
8454228,Pokemon Japanese Space-Time,Cleffa [1st Edition],$5.28
3458283,Pokemon Japanese Space-Time,Combee,$1.88
8454229,Pokemon Japanese Space-Time,Combee [1st Edition],$1.00
3458355,Pokemon Japanese Space-Time,Dialga,$10.00
8454230,Pokemon Japanese Space-Time,Dialga [1st Edition],$9.99
3458377,Pokemon Japanese Space-Time,Double Full Heal,$2.05
8454231,Pokemon Japanese Space-Time,Double Full Heal [1st Edition],
3458331,Pokemon Japanese Space-Time,Drapion,$1.03
8454232,Pokemon Japanese Space-Time,Drapion [1st Edition],$2.80
3458329,Pokemon Japanese Space-Time,Drifblim,$1.88
8454233,Pokemon Japanese Space-Time,Drifblim [1st Edition],$2.58
3458328,Pokemon Japanese Space-Time,Drifloon,$1.99
8454234,Pokemon Japanese Space-Time,Drifloon [1st Edition],$3.50
3458326,Pokemon Japanese Space-Time,Dusclops,$1.99
8454235,Pokemon Japanese Space-Time,Dusclops [1st Edition],
3458327,Pokemon Japanese Space-Time,Dusknoir,$3.54
8454236,Pokemon Japanese Space-Time,Dusknoir [1st Edition],$2.99
3458325,Pokemon Japanese Space-Time,Duskull,$1.93
8454237,Pokemon Japanese Space-Time,Duskull [1st Edition],$12.50
3458275,Pokemon Japanese Space-Time,Dustox,$2.36
8454238,Pokemon Japanese Space-Time,Dustox [1st Edition],
3458308,Pokemon Japanese Space-Time,Electabuzz,$2.49
8454239,Pokemon Japanese Space-Time,Electabuzz [1st Edition],$2.49
3458309,Pokemon Japanese Space-Time,Electivire #DPBP147,$4.84
8454240,Pokemon Japanese Space-Time,Electivire [1st Edition] #DPBP147,$4.55
3458307,Pokemon Japanese Space-Time,Elekid,$2.84
8454241,Pokemon Japanese Space-Time,Elekid [1st Edition],$3.00
3458302,Pokemon Japanese Space-Time,Empoleon,$4.19
3458306,Pokemon Japanese Space-Time,Empoleon LV.X,$17.61
8454243,Pokemon Japanese Space-Time,Empoleon LV.X [1st Edition],$26.88
8454242,Pokemon Japanese Space-Time,Empoleon [1st Edition],$3.98
3458372,Pokemon Japanese Space-Time,Energy Restore,$1.98
8454244,Pokemon Japanese Space-Time,Energy Restore [1st Edition],$11.99
3458374,Pokemon Japanese Space-Time,Energy Search,$1.79
8454245,Pokemon Japanese Space-Time,Energy Search [1st Edition],
3458373,Pokemon Japanese Space-Time,Energy Switch,$2.42
8454246,Pokemon Japanese Space-Time,Energy Switch [1st Edition],
3458304,Pokemon Japanese Space-Time,Floatzel,$2.49
8454247,Pokemon Japanese Space-Time,Floatzel [1st Edition],$4.00
3458314,Pokemon Japanese Space-Time,Gastly,$2.24
8454248,Pokemon Japanese Space-Time,Gastly [1st Edition],$4.75
3458316,Pokemon Japanese Space-Time,Gengar,$49.91
8454249,Pokemon Japanese Space-Time,Gengar [1st Edition],$26.25
3458295,Pokemon Japanese Space-Time,Goldeen,$2.15
8454250,Pokemon Japanese Space-Time,Goldeen [1st Edition],$2.24
3458281,Pokemon Japanese Space-Time,Grotle,$2.12
8454251,Pokemon Japanese Space-Time,Grotle [1st Edition],$34.48
3458315,Pokemon Japanese Space-Time,Haunter,$6.35
8454252,Pokemon Japanese Space-Time,Haunter [1st Edition],$7.99
3458270,Pokemon Japanese Space-Time,Heracross,$2.89
8454253,Pokemon Japanese Space-Time,Heracross [1st Edition],$3.75
3458343,Pokemon Japanese Space-Time,Hippopotas,$1.99
8454254,Pokemon Japanese Space-Time,Hippopotas [1st Edition],$4.12
3458344,Pokemon Japanese Space-Time,Hippowdon,$2.69
8454255,Pokemon Japanese Space-Time,Hippowdon [1st Edition],$2.69
3458361,Pokemon Japanese Space-Time,Hoothoot,$2.58
8454256,Pokemon Japanese Space-Time,Hoothoot [1st Edition],$0.50
3458293,Pokemon Japanese Space-Time,Infernape,$3.74
6981142,Pokemon Japanese Space-Time,Infernape #453,$3.46
3458294,Pokemon Japanese Space-Time,Infernape LV.X,$23.37
8454258,Pokemon Japanese Space-Time,Infernape LV.X [1st Edition],$21.04
8454257,Pokemon Japanese Space-Time,Infernape [1st Edition],$4.81
3458370,Pokemon Japanese Space-Time,Lopunny,$2.49
8454259,Pokemon Japanese Space-Time,Lopunny [1st Edition],$3.00
3458342,Pokemon Japanese Space-Time,Lucario,$9.95
8454260,Pokemon Japanese Space-Time,Lucario [1st Edition],$12.34
3458311,Pokemon Japanese Space-Time,Luxio,$2.37
8454261,Pokemon Japanese Space-Time,Luxio [1st Edition],$2.65
3458312,Pokemon Japanese Space-Time,Luxray,$4.49
