id,console-name,product-name,loose-price
5962534,Pokemon Japanese Split Earth,Abra #40,$15.26
3438630,Pokemon Japanese Split Earth,Abra [1st Edition] #40,$9.00
5962536,Pokemon Japanese Split Earth,Aerodactyl #59,$20.20
3438649,Pokemon Japanese Split Earth,Aerodactyl [1st Edition] #59,$21.50
5962535,Pokemon Japanese Split Earth,Alakazam #42,$74.99
5962229,Pokemon Japanese Split Earth,Alakazam #43,$179.63
3438632,Pokemon Japanese Split Earth,Alakazam [1st Edition] #42,$34.91
3438633,Pokemon Japanese Split Earth,Alakazam [1st Edition] #43,$213.83
13118694,Pokemon Japanese Split Earth,Booster Box,
6984914,Pokemon Japanese Split Earth,Booster Pack,$1499.99
11995077,Pokemon Japanese Split Earth,Booster Pack [1st Edition],$1599.00
5962537,Pokemon Japanese Split Earth,Buried Fossil #70,$6.98
3438660,Pokemon Japanese Split Earth,Buried Fossil [1st Edition] #70,$6.64
5962230,Pokemon Japanese Split Earth,Cleffa #66,$22.25
3438656,Pokemon Japanese Split Earth,Cleffa [1st Edition] #66,$21.50
5962538,Pokemon Japanese Split Earth,Crobat #8,$35.00
5962539,Pokemon Japanese Split Earth,Crobat #9,$65.65
3438598,Pokemon Japanese Split Earth,Crobat [1st Edition] #8,$17.22
3438599,Pokemon Japanese Split Earth,Crobat [1st Edition] #9,$65.38
5962231,Pokemon Japanese Split Earth,Crystal Shard #81,$15.56
3438671,Pokemon Japanese Split Earth,Crystal Shard [1st Edition] #81,$1.87
5962232,Pokemon Japanese Split Earth,Desert Shaman #78,$5.00
3438668,Pokemon Japanese Split Earth,Desert Shaman [1st Edition] #78,$15.00
5962540,Pokemon Japanese Split Earth,Ditto #64,$154.50
3438654,Pokemon Japanese Split Earth,Ditto [1st Edition] #64,$186.78
5962233,Pokemon Japanese Split Earth,Dunsparce #67,$15.01
3438657,Pokemon Japanese Split Earth,Dunsparce [1st Edition] #67,$6.75
5962541,Pokemon Japanese Split Earth,Eevee #65,$36.13
3438655,Pokemon Japanese Split Earth,Eevee [1st Edition] #65,$45.39
5962234,Pokemon Japanese Split Earth,Flareon #16,$36.65
5962542,Pokemon Japanese Split Earth,Flareon #17,$179.29
3438606,Pokemon Japanese Split Earth,Flareon [1st Edition] #16,$29.99
3438607,Pokemon Japanese Split Earth,Flareon [1st Edition] #17,$172.75
5962235,Pokemon Japanese Split Earth,Forretress #13,$3.81
5962236,Pokemon Japanese Split Earth,Forretress #74,$12.31
5962237,Pokemon Japanese Split Earth,Forretress #75,$25.56
3438603,Pokemon Japanese Split Earth,Forretress [1st Edition] #13,$4.30
3438664,Pokemon Japanese Split Earth,Forretress [1st Edition] #74,$12.50
3438665,Pokemon Japanese Split Earth,Forretress [1st Edition] #75,$51.00
5962238,Pokemon Japanese Split Earth,Girafarig #48,$6.95
3438638,Pokemon Japanese Split Earth,Girafarig [1st Edition] #48,$6.75
5962239,Pokemon Japanese Split Earth,Golbat #3,$34.40
3438593,Pokemon Japanese Split Earth,Golbat [1st Edition] #3,$24.99
5962543,Pokemon Japanese Split Earth,Golem #89,$300.00
3438679,Pokemon Japanese Split Earth,Golem [1st Edition] #89,$716.04
5962240,Pokemon Japanese Split Earth,Granbull #69,$13.20
3438659,Pokemon Japanese Split Earth,Granbull [1st Edition] #69,$10.50
5962241,Pokemon Japanese Split Earth,Heracross #15,$8.11
3438605,Pokemon Japanese Split Earth,Heracross [1st Edition] #15,$6.76
5962544,Pokemon Japanese Split Earth,Ho-Oh #91,$647.48
3438681,Pokemon Japanese Split Earth,Ho-Oh [1st Edition] #91,$1401.86
5962545,Pokemon Japanese Split Earth,Hyper Potion #77,$3.72
3438667,Pokemon Japanese Split Earth,Hyper Potion [1st Edition] #77,$1.90
5962546,Pokemon Japanese Split Earth,Jolteon #36,$36.00
5962547,Pokemon Japanese Split Earth,Jolteon #37,$88.75
3438626,Pokemon Japanese Split Earth,Jolteon [1st Edition] #36,$28.63
3438627,Pokemon Japanese Split Earth,Jolteon [1st Edition] #37,$125.00
5962242,Pokemon Japanese Split Earth,Kabuto #56,$9.19
3438646,Pokemon Japanese Split Earth,Kabuto [1st Edition] #56,$15.50
5962243,Pokemon Japanese Split Earth,Kabutops #57,$13.51
5962548,Pokemon Japanese Split Earth,Kabutops #58,$57.15
5962244,Pokemon Japanese Split Earth,Kabutops #90,$229.75
3438647,Pokemon Japanese Split Earth,Kabutops [1st Edition] #57,$19.54
3438648,Pokemon Japanese Split Earth,Kabutops [1st Edition] #58,$42.20
3438680,Pokemon Japanese Split Earth,Kabutops [1st Edition] #90,$358.56
5962245,Pokemon Japanese Split Earth,Kadabra #41,$16.07
3438631,Pokemon Japanese Split Earth,Kadabra [1st Edition] #41,$18.69
5962549,Pokemon Japanese Split Earth,Ledian #6,$15.00
5962550,Pokemon Japanese Split Earth,Ledian #7,$43.14
3438596,Pokemon Japanese Split Earth,Ledian [1st Edition] #6,$19.86
3438597,Pokemon Japanese Split Earth,Ledian [1st Edition] #7,$45.54
5962551,Pokemon Japanese Split Earth,Ledyba #4,$5.73
5962246,Pokemon Japanese Split Earth,Ledyba #5,$10.23
3438594,Pokemon Japanese Split Earth,Ledyba [1st Edition] #4,$6.49
3438595,Pokemon Japanese Split Earth,Ledyba [1st Edition] #5,$6.67
5962552,Pokemon Japanese Split Earth,Magcargo #19,$9.18
5962247,Pokemon Japanese Split Earth,Magcargo #20,$71.71
3438609,Pokemon Japanese Split Earth,Magcargo [1st Edition] #19,$9.99
3438610,Pokemon Japanese Split Earth,Magcargo [1st Edition] #20,$46.20
5962553,Pokemon Japanese Split Earth,Mantine #32,$6.99
3438622,Pokemon Japanese Split Earth,Mantine [1st Edition] #32,$22.50
5962554,Pokemon Japanese Split Earth,Meowth #62,$47.99
3438652,Pokemon Japanese Split Earth,Meowth [1st Edition] #62,$21.04
5962555,Pokemon Japanese Split Earth,Mirage Stadium #88,$5.99
3438678,Pokemon Japanese Split Earth,Mirage Stadium [1st Edition] #88,$6.54
5962556,Pokemon Japanese Split Earth,Misdreavus #46,$10.70
3438636,Pokemon Japanese Split Earth,Misdreavus [1st Edition] #46,$8.29
5962248,Pokemon Japanese Split Earth,Murkrow #73,$12.75
3438663,Pokemon Japanese Split Earth,Murkrow [1st Edition] #73,$15.50
5962249,Pokemon Japanese Split Earth,Mystery Plate #83,$5.06
5962250,Pokemon Japanese Split Earth,Mystery Plate #84,$5.74
5962557,Pokemon Japanese Split Earth,Mystery Plate #85,$3.96
5962251,Pokemon Japanese Split Earth,Mystery Plate #86,$3.21
3438673,Pokemon Japanese Split Earth,Mystery Plate [1st Edition] #83,$1.19
3438674,Pokemon Japanese Split Earth,Mystery Plate [1st Edition] #84,$5.00
3438675,Pokemon Japanese Split Earth,Mystery Plate [1st Edition] #85,$3.00
3438676,Pokemon Japanese Split Earth,Mystery Plate [1st Edition] #86,$3.75
5962558,Pokemon Japanese Split Earth,Omanyte #28,$11.99
3438618,Pokemon Japanese Split Earth,Omanyte [1st Edition] #28,$13.00
5962252,Pokemon Japanese Split Earth,Omastar #29,$12.92
3438619,Pokemon Japanese Split Earth,Omastar [1st Edition] #29,$8.02
5962559,Pokemon Japanese Split Earth,Oracle #79,$14.41
3438669,Pokemon Japanese Split Earth,Oracle [1st Edition] #79,$13.50
5962253,Pokemon Japanese Split Earth,Persian #63,$9.59
3438653,Pokemon Japanese Split Earth,Persian [1st Edition] #63,$6.73
5962560,Pokemon Japanese Split Earth,Pikachu #33,$119.29
3438623,Pokemon Japanese Split Earth,Pikachu [1st Edition] #33,$71.92
5962254,Pokemon Japanese Split Earth,Pineco #11,$7.98
5962561,Pokemon Japanese Split Earth,Pineco #12,$3.12
3438601,Pokemon Japanese Split Earth,Pineco [1st Edition] #11,$9.49
3438602,Pokemon Japanese Split Earth,Pineco [1st Edition] #12,$6.10
