id,console-name,product-name,loose-price
3440568,Pokemon Japanese Star Birth,Arceus V #111,$10.87
3440569,Pokemon Japanese Star Birth,Arceus V #112,$54.99
3440540,Pokemon Japanese Star Birth,Arceus V #83,$2.58
3440577,Pokemon Japanese Star Birth,Arceus VSTAR #120,$11.47
3440582,Pokemon Japanese Star Birth,Arceus VSTAR #125,$17.30
3440541,Pokemon Japanese Star Birth,Arceus VSTAR #84,$2.99
3440500,Pokemon Japanese Star Birth,Baltoy #43,$1.49
3440490,Pokemon Japanese Star Birth,Beartic #33,$1.30
3440539,Pokemon Japanese Star Birth,Bibarel #82,$2.00
3440538,Pokemon Japanese Star Birth,Bidoof #81,$1.57
5604352,Pokemon Japanese Star Birth,Booster Box,$129.97
8798157,Pokemon Japanese Star Birth,Booster Pack,$4.99
3440554,Pokemon Japanese Star Birth,Boss's Orders #97,$1.43
3440461,Pokemon Japanese Star Birth,Breloom #4,$1.48
3440485,Pokemon Japanese Star Birth,Buizel #28,$1.62
3440466,Pokemon Japanese Star Birth,Burmy #9,$1.58
3440534,Pokemon Japanese Star Birth,Castform #77,$1.60
3440559,Pokemon Japanese Star Birth,Charizard V #102,$22.00
3440560,Pokemon Japanese Star Birth,Charizard V #103,$180.00
3440471,Pokemon Japanese Star Birth,Charizard V #14,$5.09
3440575,Pokemon Japanese Star Birth,Charizard VSTAR #118,$52.50
3440472,Pokemon Japanese Star Birth,Charizard VSTAR #15,$5.99
3440572,Pokemon Japanese Star Birth,Cheren's Care #115,$4.15
3440580,Pokemon Japanese Star Birth,Cheren's Care #123,$2.96
3440551,Pokemon Japanese Star Birth,Cheren's Care #94,$1.03
3440476,Pokemon Japanese Star Birth,Chimchar #19,$1.19
3440505,Pokemon Japanese Star Birth,Chimecho #48,$1.55
3440547,Pokemon Japanese Star Birth,Choice Belt #90,$1.33
3440543,Pokemon Japanese Star Birth,Cinccino #86,$1.48
3440501,Pokemon Japanese Star Birth,Claydol #44,$1.62
3440499,Pokemon Japanese Star Birth,Clefable #42,$1.61
3440498,Pokemon Japanese Star Birth,Clefairy #41,$1.09
3440555,Pokemon Japanese Star Birth,Collapsed Stadium #98,$1.37
3440480,Pokemon Japanese Star Birth,Corphish #23,$1.55
3440481,Pokemon Japanese Star Birth,Crawdaunt #24,$1.27
3440489,Pokemon Japanese Star Birth,Cubchoo #32,$1.55
3440571,Pokemon Japanese Star Birth,Cynthia's Ambition #114,$20.00
3440579,Pokemon Japanese Star Birth,Cynthia's Ambition #122,$11.25
3440550,Pokemon Japanese Star Birth,Cynthia's Ambition #93,$1.76
3440557,Pokemon Japanese Star Birth,Double Turbo Energy #100,$1.17
3440503,Pokemon Japanese Star Birth,Dusclops #46,$1.73
3440504,Pokemon Japanese Star Birth,Dusknoir #47,$0.70
3440502,Pokemon Japanese Star Birth,Duskull #45,$1.99
3440492,Pokemon Japanese Star Birth,Electabuzz #35,$1.50
3440493,Pokemon Japanese Star Birth,Electivire #36,$1.89
3440484,Pokemon Japanese Star Birth,Empoleon #27,$1.38
3440458,Pokemon Japanese Star Birth,Exeggcute #1,$1.40
3440459,Pokemon Japanese Star Birth,Exeggutor #2,$1.45
3440533,Pokemon Japanese Star Birth,Farfetch'd #76,$1.99
3440486,Pokemon Japanese Star Birth,Floatzel #29,$1.33
3440567,Pokemon Japanese Star Birth,Flygon V #110,$3.31
3440529,Pokemon Japanese Star Birth,Flygon V #72,$1.73
3440545,Pokemon Japanese Star Birth,Fresh Water Set #88,$1.51
3440531,Pokemon Japanese Star Birth,Gabite #74,$1.00
3440532,Pokemon Japanese Star Birth,Garchomp #75,$1.75
3440530,Pokemon Japanese Star Birth,Gible #73,$1.55
3440515,Pokemon Japanese Star Birth,Golett #58,$1.55
3440516,Pokemon Japanese Star Birth,Golurk #59,$1.28
3440517,Pokemon Japanese Star Birth,Grimer #60,$1.84
3440464,Pokemon Japanese Star Birth,Grotle #7,$1.55
3440525,Pokemon Japanese Star Birth,Heatran #68,$1.47
3440565,Pokemon Japanese Star Birth,Honchkrow V #108,$4.58
3440566,Pokemon Japanese Star Birth,Honchkrow V #109,$10.79
3440521,Pokemon Japanese Star Birth,Honchkrow V #64,$1.37
3440478,Pokemon Japanese Star Birth,Infernape #21,$1.96
3440570,Pokemon Japanese Star Birth,Kindler #113,$2.51
3440578,Pokemon Japanese Star Birth,Kindler #121,$3.25
3440549,Pokemon Japanese Star Birth,Kindler #92,$1.33
3440527,Pokemon Japanese Star Birth,Klang #70,$1.00
3440526,Pokemon Japanese Star Birth,Klink #69,$0.42
3440528,Pokemon Japanese Star Birth,Klinklang #71,$1.01
3440479,Pokemon Japanese Star Birth,Lapras #22,$1.74
3440512,Pokemon Japanese Star Birth,Lucario #55,$2.24
3440561,Pokemon Japanese Star Birth,Lumineon V #104,$3.98
3440562,Pokemon Japanese Star Birth,Lumineon V #105,$15.81
3440487,Pokemon Japanese Star Birth,Lumineon V #30,$1.51
3440495,Pokemon Japanese Star Birth,Luxio #38,$1.29
3440496,Pokemon Japanese Star Birth,Luxray #39,$1.69
3440584,Pokemon Japanese Star Birth,Magma Basin #127,$5.34
3440556,Pokemon Japanese Star Birth,Magma Basin #99,$0.79
3440473,Pokemon Japanese Star Birth,Magmar #16,$1.76
3440474,Pokemon Japanese Star Birth,Magmortar #17,$1.44
3440488,Pokemon Japanese Star Birth,Manaphy #31,$1.53
3440542,Pokemon Japanese Star Birth,Minccino #85,$1.51
3440475,Pokemon Japanese Star Birth,Moltres #18,$1.69
3440477,Pokemon Japanese Star Birth,Monferno #20,$1.00
3440468,Pokemon Japanese Star Birth,Mothim #11,$1.51
3440518,Pokemon Japanese Star Birth,Muk #61,$1.27
3440509,Pokemon Japanese Star Birth,Nosepass #52,$9.77
3440497,Pokemon Japanese Star Birth,Pachirisu #40,$1.46
3440482,Pokemon Japanese Star Birth,Piplup #25,$1.98
3440548,Pokemon Japanese Star Birth,Pot Helmet #91,$1.44
3440483,Pokemon Japanese Star Birth,Prinplup #26,$1.55
3440524,Pokemon Japanese Star Birth,Probopass #67,$1.49
3440552,Pokemon Japanese Star Birth,Professor's Research #95,$1.59
3440563,Pokemon Japanese Star Birth,Raichu V #106,$7.10
3440491,Pokemon Japanese Star Birth,Raichu V #34,$2.37
3440511,Pokemon Japanese Star Birth,Riolu #54,$1.53
3440573,Pokemon Japanese Star Birth,Roseanne's Backup #116,$6.07
3440581,Pokemon Japanese Star Birth,Roseanne's Backup #124,$6.33
3440553,Pokemon Japanese Star Birth,Roseanne's Backup #96,$1.14
3440514,Pokemon Japanese Star Birth,Sawk #57,$1.99
3440558,Pokemon Japanese Star Birth,Shaymin V #101,$3.69
3440469,Pokemon Japanese Star Birth,Shaymin V #12,$1.87
3440574,Pokemon Japanese Star Birth,Shaymin VSTAR #117,$6.43
3440470,Pokemon Japanese Star Birth,Shaymin VSTAR #13,$1.96
3440494,Pokemon Japanese Star Birth,Shinx #37,$1.99
3440460,Pokemon Japanese Star Birth,Shroomish #3,$1.54
3440508,Pokemon Japanese Star Birth,Sigilyph #51,$1.52
3440519,Pokemon Japanese Star Birth,Sneasel #62,$0.82
3440522,Pokemon Japanese Star Birth,Spiritomb #65,$1.62
3440537,Pokemon Japanese Star Birth,Staraptor #80,$1.23
3440536,Pokemon Japanese Star Birth,Staravia #79,$0.67
3440535,Pokemon Japanese Star Birth,Starly #78,$0.54
3440513,Pokemon Japanese Star Birth,Throh #56,$1.54
3440544,Pokemon Japanese Star Birth,Tornadus #87,$1.10
3440465,Pokemon Japanese Star Birth,Torterra #8,$1.99
3440462,Pokemon Japanese Star Birth,Tropius #5,$1.55
3440463,Pokemon Japanese Star Birth,Turtwig #6,$1.55
3440583,Pokemon Japanese Star Birth,Ultra Ball #126,$25.00
3440546,Pokemon Japanese Star Birth,Ultra Ball #89,$0.55
3440520,Pokemon Japanese Star Birth,Weavile #63,$1.55
3440564,Pokemon Japanese Star Birth,Whimsicott V #107,$3.72
3440506,Pokemon Japanese Star Birth,Whimsicott V #49,$1.52
3440576,Pokemon Japanese Star Birth,Whimsicott VSTAR #119,$5.30
3440507,Pokemon Japanese Star Birth,Whimsicott VSTAR #50,$1.61
3440467,Pokemon Japanese Star Birth,Wormadam #10,$2.15
3440510,Pokemon Japanese Star Birth,Wormadam #53,$1.03
3440523,Pokemon Japanese Star Birth,Wormadam #66,$1.35
