id,console-name,product-name,loose-price
11462791,Pokemon Japanese Start Deck 100 Battle Collection,Absol #454,$1.50
11518956,Pokemon Japanese Start Deck 100 Battle Collection,Absol [Mirror Holo] #454,
11463061,Pokemon Japanese Start Deck 100 Battle Collection,Acerola's Mischief #697,
11518957,Pokemon Japanese Start Deck 100 Battle Collection,Acerola's Mischief [Mirror Holo] #697,
11463042,Pokemon Japanese Start Deck 100 Battle Collection,Air Balloon #688,$2.85
11518958,Pokemon Japanese Start Deck 100 Battle Collection,Air Balloon [Mirror Holo] #688,
11462874,Pokemon Japanese Start Deck 100 Battle Collection,Alolan  exeggutor ex #537,
11519616,Pokemon Japanese Start Deck 100 Battle Collection,Alolan  exeggutor ex [Mirror Holo] #537,$5.00
11462568,Pokemon Japanese Start Deck 100 Battle Collection,Alolan Geodude #228,
11518959,Pokemon Japanese Start Deck 100 Battle Collection,Alolan Geodude [Mirror Holo] #228,
11462570,Pokemon Japanese Start Deck 100 Battle Collection,Alolan Golem #230,$2.66
11518960,Pokemon Japanese Start Deck 100 Battle Collection,Alolan Golem [Mirror Holo] #230,
11462569,Pokemon Japanese Start Deck 100 Battle Collection,Alolan Graveler #229,$1.50
11518961,Pokemon Japanese Start Deck 100 Battle Collection,Alolan Graveler [Mirror Holo] #229,
11462493,Pokemon Japanese Start Deck 100 Battle Collection,Amoonguss #49,
11518963,Pokemon Japanese Start Deck 100 Battle Collection,Amoonguss [Mirror Holo] #49,
11462993,Pokemon Japanese Start Deck 100 Battle Collection,Antique Plume Fossil #657,$1.93
11518964,Pokemon Japanese Start Deck 100 Battle Collection,Antique Plume Fossil [Mirror Holo] #657,$27.50
11462503,Pokemon Japanese Start Deck 100 Battle Collection,Applin #62,$1.50
11518965,Pokemon Japanese Start Deck 100 Battle Collection,Applin [Mirror Holo] #62,
11462768,Pokemon Japanese Start Deck 100 Battle Collection,Arbok #431,$1.81
11518966,Pokemon Japanese Start Deck 100 Battle Collection,Arbok [Mirror Holo] #431,
11462512,Pokemon Japanese Start Deck 100 Battle Collection,Arboliva ex #71,$1.77
11519619,Pokemon Japanese Start Deck 100 Battle Collection,Arboliva ex [Mirror Holo] #71,
11462861,Pokemon Japanese Start Deck 100 Battle Collection,Archaludon #525,$1.49
11518967,Pokemon Japanese Start Deck 100 Battle Collection,Archaludon [Mirror Holo] #525,
11462863,Pokemon Japanese Start Deck 100 Battle Collection,Archaludon ex #526,$2.20
11519617,Pokemon Japanese Start Deck 100 Battle Collection,Archaludon ex [Mirror Holo] #526,$3.00
11462731,Pokemon Japanese Start Deck 100 Battle Collection,Archen #392,$1.93
11518969,Pokemon Japanese Start Deck 100 Battle Collection,Archen [Mirror Holo] #392,
11462732,Pokemon Japanese Start Deck 100 Battle Collection,Archeops #393,$1.93
11518968,Pokemon Japanese Start Deck 100 Battle Collection,Archeops [Mirror Holo] #393,
11462392,Pokemon Japanese Start Deck 100 Battle Collection,Armarouge ex #146,$1.98
11519736,Pokemon Japanese Start Deck 100 Battle Collection,Armarouge ex [Mirror Holo] #146,$3.00
11462416,Pokemon Japanese Start Deck 100 Battle Collection,Articuno #163,$3.00
11518970,Pokemon Japanese Start Deck 100 Battle Collection,Articuno [Mirror Holo] #163,
11462821,Pokemon Japanese Start Deck 100 Battle Collection,Arven's Mabosstiff ex #484,
11519618,Pokemon Japanese Start Deck 100 Battle Collection,Arven's Mabosstiff ex [Mirror Holo] #484,$5.00
11462820,Pokemon Japanese Start Deck 100 Battle Collection,Arven's Maschiff #483,$1.49
11518971,Pokemon Japanese Start Deck 100 Battle Collection,Arven's Maschiff [Mirror Holo] #483,
11462995,Pokemon Japanese Start Deck 100 Battle Collection,Arven's Sandwich #659,$1.40
11518972,Pokemon Japanese Start Deck 100 Battle Collection,Arven's Sandwich [Mirror Holo] #659,
11462756,Pokemon Japanese Start Deck 100 Battle Collection,Arven's Toedscool #419,$1.64
11518973,Pokemon Japanese Start Deck 100 Battle Collection,Arven's Toedscool [Mirror Holo] #419,
11462759,Pokemon Japanese Start Deck 100 Battle Collection,Arven's Toedscruel #420,$0.25
11518974,Pokemon Japanese Start Deck 100 Battle Collection,Arven's Toedscruel [Mirror Holo] #420,
11462937,Pokemon Japanese Start Deck 100 Battle Collection,Audino #601,$1.25
11518975,Pokemon Japanese Start Deck 100 Battle Collection,Audino [Mirror Holo] #601,
11462978,Pokemon Japanese Start Deck 100 Battle Collection,Awakening Drum #642,$1.00
11518976,Pokemon Japanese Start Deck 100 Battle Collection,Awakening Drum [Mirror Holo] #642,
11462878,Pokemon Japanese Start Deck 100 Battle Collection,Axew #541,
11518978,Pokemon Japanese Start Deck 100 Battle Collection,Axew [Mirror Holo] #541,
11462631,Pokemon Japanese Start Deck 100 Battle Collection,Azelf #316,$1.45
11518979,Pokemon Japanese Start Deck 100 Battle Collection,Azelf [Mirror Holo] #316,
11462664,Pokemon Japanese Start Deck 100 Battle Collection,Azumarill #296,$1.50
11518980,Pokemon Japanese Start Deck 100 Battle Collection,Azumarill [Mirror Holo] #296,
11462665,Pokemon Japanese Start Deck 100 Battle Collection,Azumarill ex #297,$4.50
11519620,Pokemon Japanese Start Deck 100 Battle Collection,Azumarill ex [Mirror Holo] #297,$7.00
11463053,Pokemon Japanese Start Deck 100 Battle Collection,Babiri Berry #693,
11518981,Pokemon Japanese Start Deck 100 Battle Collection,Babiri Berry [Mirror Holo] #693,
11462875,Pokemon Japanese Start Deck 100 Battle Collection,Bagon #538,
11518982,Pokemon Japanese Start Deck 100 Battle Collection,Bagon [Mirror Holo] #538,
11463085,Pokemon Japanese Start Deck 100 Battle Collection,Banette #749,$33.66
11518983,Pokemon Japanese Start Deck 100 Battle Collection,Banette [Mirror Holo] #749,
11462435,Pokemon Japanese Start Deck 100 Battle Collection,Bayleef #17,$5.24
11518984,Pokemon Japanese Start Deck 100 Battle Collection,Bayleef [Mirror Holo] #17,
11462660,Pokemon Japanese Start Deck 100 Battle Collection,Beheeyem #327,$1.50
11518985,Pokemon Japanese Start Deck 100 Battle Collection,Beheeyem [Mirror Holo] #327,
11462832,Pokemon Japanese Start Deck 100 Battle Collection,Beldum #496,$1.99
11518986,Pokemon Japanese Start Deck 100 Battle Collection,Beldum [Mirror Holo] #496,
11462624,Pokemon Japanese Start Deck 100 Battle Collection,Bellibolt #272,$1.49
11518987,Pokemon Japanese Start Deck 100 Battle Collection,Bellibolt [Mirror Holo] #272,
11462953,Pokemon Japanese Start Deck 100 Battle Collection,Bewear #617,$1.49
11518988,Pokemon Japanese Start Deck 100 Battle Collection,Bewear [Mirror Holo] #617,
11463052,Pokemon Japanese Start Deck 100 Battle Collection,Bianca's Devotion #723,
11518989,Pokemon Japanese Start Deck 100 Battle Collection,Bianca's Devotion [Mirror Holo] #723,
11463026,Pokemon Japanese Start Deck 100 Battle Collection,Binding Mochi #681,
11518990,Pokemon Japanese Start Deck 100 Battle Collection,Binding Mochi [Mirror Holo] #681,
11462809,Pokemon Japanese Start Deck 100 Battle Collection,Bisharp #472,$1.73
11462848,Pokemon Japanese Start Deck 100 Battle Collection,Bisharp #511,
11518991,Pokemon Japanese Start Deck 100 Battle Collection,Bisharp [Mirror Holo] #472,
11518992,Pokemon Japanese Start Deck 100 Battle Collection,Bisharp [Mirror Holo] #511,
11463019,Pokemon Japanese Start Deck 100 Battle Collection,Black Belt's Training #704,$0.25
11518993,Pokemon Japanese Start Deck 100 Battle Collection,Black Belt's Training [Mirror Holo] #704,
11462525,Pokemon Japanese Start Deck 100 Battle Collection,Black Kyurem ex #204,$1.88
11519621,Pokemon Japanese Start Deck 100 Battle Collection,Black Kyurem ex [Mirror Holo] #204,$4.00
11462899,Pokemon Japanese Start Deck 100 Battle Collection,Blissey ex #562,$1.51
11519622,Pokemon Japanese Start Deck 100 Battle Collection,Blissey ex [Mirror Holo] #562,
11462590,Pokemon Japanese Start Deck 100 Battle Collection,Blitzle #249,$1.62
11462589,Pokemon Japanese Start Deck 100 Battle Collection,Blitzle #250,$1.50
11518996,Pokemon Japanese Start Deck 100 Battle Collection,Blitzle [Mirror Holo] #249,
11518995,Pokemon Japanese Start Deck 100 Battle Collection,Blitzle [Mirror Holo] #250,
11462752,Pokemon Japanese Start Deck 100 Battle Collection,Bloodmoon Ursaluna #415,
11518997,Pokemon Japanese Start Deck 100 Battle Collection,Bloodmoon Ursaluna [Mirror Holo] #415,
11462960,Pokemon Japanese Start Deck 100 Battle Collection,Bloodmoon Ursaluna ex #625,$4.00
11519623,Pokemon Japanese Start Deck 100 Battle Collection,Bloodmoon Ursaluna ex [Mirror Holo] #625,
