id,console-name,product-name,loose-price
3671755,Pokemon Japanese Start Deck 100,Absol #267,$5.61
3671515,Pokemon Japanese Start Deck 100,Accelgor #27,$2.99
3671877,Pokemon Japanese Start Deck 100,Agatha #390,$0.50
3671786,Pokemon Japanese Start Deck 100,Aggron #298,$2.99
3671787,Pokemon Japanese Start Deck 100,Aggron V #299,$3.16
3671788,Pokemon Japanese Start Deck 100,Aggron VMAX #300,$3.29
3671802,Pokemon Japanese Start Deck 100,Altaria #314,$3.49
3671624,Pokemon Japanese Start Deck 100,Ampharos #136,$1.64
3671530,Pokemon Japanese Start Deck 100,Appletun V #42,$2.91
3671519,Pokemon Japanese Start Deck 100,Araquanid #31,$3.14
3671538,Pokemon Japanese Start Deck 100,Arcanine #50,$4.28
3671612,Pokemon Japanese Start Deck 100,Arctovish V #124,$0.99
3671874,Pokemon Japanese Start Deck 100,Aroma Lady #387,$7.64
3671784,Pokemon Japanese Start Deck 100,Aron #296,$2.00
3671599,Pokemon Japanese Start Deck 100,Avalugg #111,$0.50
3671805,Pokemon Japanese Start Deck 100,Axew #317,$2.00
3671668,Pokemon Japanese Start Deck 100,Baltoy #180,$1.99
3671887,Pokemon Japanese Start Deck 100,Barry #399,$1.16
3671906,Pokemon Japanese Start Deck 100,Barry #418,$5.38
3671593,Pokemon Japanese Start Deck 100,Basculin #105,$0.50
3671598,Pokemon Japanese Start Deck 100,Bergmite #110,$1.62
3671725,Pokemon Japanese Start Deck 100,Bewear #237,$1.50
3671545,Pokemon Japanese Start Deck 100,Blaziken V #57,$2.99
3671821,Pokemon Japanese Start Deck 100,Blissey #333,$2.19
3671822,Pokemon Japanese Start Deck 100,Blissey V #334,$2.17
3671642,Pokemon Japanese Start Deck 100,Boltund #154,$2.75
3671643,Pokemon Japanese Start Deck 100,Boltund V #155,$3.18
3671644,Pokemon Japanese Start Deck 100,Boltund V #156,$2.40
3671894,Pokemon Japanese Start Deck 100,Boss's Orders #406,$5.80
3671840,Pokemon Japanese Start Deck 100,Braviary #352,$4.48
3671497,Pokemon Japanese Start Deck 100,Breloom #9,$1.72
3671791,Pokemon Japanese Start Deck 100,Bronzong #303,$1.99
3671790,Pokemon Japanese Start Deck 100,Bronzor #302,$0.50
3671884,Pokemon Japanese Start Deck 100,Bruno #396,$4.84
3671601,Pokemon Japanese Start Deck 100,Bruxish #114,$1.00
3671589,Pokemon Japanese Start Deck 100,Buizel #101,$4.71
3671492,Pokemon Japanese Start Deck 100,Butterfree #4,$1.99
3671498,Pokemon Japanese Start Deck 100,Cacnea #10,$4.99
3671499,Pokemon Japanese Start Deck 100,Cacturne #11,$4.04
3671727,Pokemon Japanese Start Deck 100,Carkol #239,$2.99
3671584,Pokemon Japanese Start Deck 100,Carvanha #96,$2.59
3671490,Pokemon Japanese Start Deck 100,Caterpie #2,$3.37
3671563,Pokemon Japanese Start Deck 100,Centiskorch #75,$5.00
3671820,Pokemon Japanese Start Deck 100,Chansey #332,$2.89
3671504,Pokemon Japanese Start Deck 100,Cherrim #16,$0.50
3671503,Pokemon Japanese Start Deck 100,Cherubi #15,
3671899,Pokemon Japanese Start Deck 100,Cheryl #411,$1.99
3671608,Pokemon Japanese Start Deck 100,Chewtle #120,$0.84
3671619,Pokemon Japanese Start Deck 100,Chinchou #131,$1.61
3671560,Pokemon Japanese Start Deck 100,Cinderace #72,$5.00
3671561,Pokemon Japanese Start Deck 100,Cinderace V #73,$1.26
3671596,Pokemon Japanese Start Deck 100,Clauncher #108,$1.96
3671597,Pokemon Japanese Start Deck 100,Clawitzer #109,$3.03
3671669,Pokemon Japanese Start Deck 100,Claydol #181,
3671731,Pokemon Japanese Start Deck 100,Clobbopus #243,$2.64
3671567,Pokemon Japanese Start Deck 100,Cloyster #79,$1.75
3671728,Pokemon Japanese Start Deck 100,Coalossal #240,$3.00
3671794,Pokemon Japanese Start Deck 100,Cobalion #306,$1.95
3671881,Pokemon Japanese Start Deck 100,Cook #393,$1.50
3671800,Pokemon Japanese Start Deck 100,Copperajah #312,$3.00
3671898,Pokemon Japanese Start Deck 100,Copycat #410,$1.99
3671797,Pokemon Japanese Start Deck 100,Corviknight V #309,$2.48
3671798,Pokemon Japanese Start Deck 100,Corviknight VMAX #310,$2.99
3671600,Pokemon Japanese Start Deck 100,Crabominable V #112,$1.48
3671610,Pokemon Japanese Start Deck 100,Cramorant #122,$3.00
3671670,Pokemon Japanese Start Deck 100,Cresselia #182,$3.46
3671756,Pokemon Japanese Start Deck 100,Croagunk #268,$1.99
3671739,Pokemon Japanese Start Deck 100,Crobat #251,$2.84
3671860,Pokemon Japanese Start Deck 100,Crushing Hammer #372,$0.50
3671512,Pokemon Japanese Start Deck 100,Crustle #24,$3.26
