id,console-name,product-name,loose-price
7029881,Pokemon Japanese Stellar Miracle,Alcremie #44,$1.49
7029926,Pokemon Japanese Stellar Miracle,Antique Root Fossil #90,$1.29
7029847,Pokemon Japanese Stellar Miracle,Applin #10,$1.06
7029949,Pokemon Japanese Stellar Miracle,Archaludon #113,$2.63
7029909,Pokemon Japanese Stellar Miracle,Archaludon #73,$1.45
7029938,Pokemon Japanese Stellar Miracle,Area Zero Underdepths #102,$1.50
7029971,Pokemon Japanese Stellar Miracle,Area Zero Underdepths #135,$6.34
7029836,Pokemon Japanese Stellar Miracle,Booster Box,$80.50
7029837,Pokemon Japanese Stellar Miracle,Booster Pack,$5.08
7029917,Pokemon Japanese Stellar Miracle,Bouffalant #81,$1.22
7029970,Pokemon Japanese Stellar Miracle,Bravery Charm #134,$4.33
7029936,Pokemon Japanese Stellar Miracle,Briar #100,$1.35
7029962,Pokemon Japanese Stellar Miracle,Briar #126,$3.08
7029968,Pokemon Japanese Stellar Miracle,Briar #132,$10.61
7029842,Pokemon Japanese Stellar Miracle,Carnivine #5,$0.11
7029860,Pokemon Japanese Stellar Miracle,Carracosta #23,$1.45
7029871,Pokemon Japanese Stellar Miracle,Charjabug #34,$1.18
7029862,Pokemon Japanese Stellar Miracle,Chewtle #25,$1.58
7029867,Pokemon Japanese Stellar Miracle,Chinchou #30,$1.50
7029952,Pokemon Japanese Stellar Miracle,Cinderace ex #116,$5.14
7029855,Pokemon Japanese Stellar Miracle,Cinderace ex #18,$1.77
7029879,Pokemon Japanese Stellar Miracle,Comfey #42,$1.79
7029927,Pokemon Japanese Stellar Miracle,Cover Fossil #91,$1.25
7029943,Pokemon Japanese Stellar Miracle,Crabominable #107,$2.58
7029861,Pokemon Japanese Stellar Miracle,Crabominable #24,$0.65
7029895,Pokemon Japanese Stellar Miracle,Crabrawler #59,$1.50
7029841,Pokemon Japanese Stellar Miracle,Cradily #4,$1.16
7029959,Pokemon Japanese Stellar Miracle,Crispin #123,$4.01
7029933,Pokemon Japanese Stellar Miracle,Crispin #97,$2.20
7029885,Pokemon Japanese Stellar Miracle,Cubone #48,$1.62
7029955,Pokemon Japanese Stellar Miracle,Dachsbun ex #119,$5.06
7029965,Pokemon Japanese Stellar Miracle,Dachsbun ex #129,$32.99
7029883,Pokemon Japanese Stellar Miracle,Dachsbun ex #46,$1.62
7029932,Pokemon Japanese Stellar Miracle,Deluxe Bomb #96,$1.41
7029894,Pokemon Japanese Stellar Miracle,Diancie #58,$1.80
7029848,Pokemon Japanese Stellar Miracle,Dipplin #11,$1.25
7029863,Pokemon Japanese Stellar Miracle,Dreadnaw #26,$1.04
7029878,Pokemon Japanese Stellar Miracle,Drifblim #41,$1.44
7029877,Pokemon Japanese Stellar Miracle,Drifloon #40,$1.50
7029923,Pokemon Japanese Stellar Miracle,Dubwool #87,$1.50
7029908,Pokemon Japanese Stellar Miracle,Duraludon #72,$0.35
7029846,Pokemon Japanese Stellar Miracle,Eldegoss #9,$1.55
7029865,Pokemon Japanese Stellar Miracle,Electabuzz #28,$1.62
7029866,Pokemon Japanese Stellar Miracle,Electivire #29,$1.69
7029896,Pokemon Japanese Stellar Miracle,Falinks #60,$1.00
7029916,Pokemon Japanese Stellar Miracle,Fan Rotom #80,$1.65
7029882,Pokemon Japanese Stellar Miracle,Fidough #45,$1.42
7029857,Pokemon Japanese Stellar Miracle,Finneon #20,$1.53
7029920,Pokemon Japanese Stellar Miracle,Fletchinder #84,$1.29
7029919,Pokemon Japanese Stellar Miracle,Fletchling #83,$1.50
7029954,Pokemon Japanese Stellar Miracle,Galvantula ex #118,$3.33
7029964,Pokemon Japanese Stellar Miracle,Galvantula ex #128,$12.00
7029870,Pokemon Japanese Stellar Miracle,Galvantula ex #33,$1.72
7029914,Pokemon Japanese Stellar Miracle,Glameow #78,$1.43
