id,console-name,product-name,loose-price
7641238,Pokemon Japanese Super Electric Breaker,Alolan Diglett #76,$1.14
7647745,Pokemon Japanese Super Electric Breaker,Alolan Dugtrio #116,$4.75
7641239,Pokemon Japanese Super Electric Breaker,Alolan Dugtrio #77,$1.91
7641260,Pokemon Japanese Super Electric Breaker,Amulet of Hope #98,$1.29
7641224,Pokemon Japanese Super Electric Breaker,Annihilape #62,$1.60
7641183,Pokemon Japanese Super Electric Breaker,Armarouge #21,$1.50
7641212,Pokemon Japanese Super Electric Breaker,Azelf #50,$1.59
7641262,Pokemon Japanese Super Electric Breaker,Babiri Berry #100,$1.50
7641200,Pokemon Japanese Super Electric Breaker,Blitzle #38,$1.50
7641161,Pokemon Japanese Super Electric Breaker,Booster Box,$111.50
7641162,Pokemon Japanese Super Electric Breaker,Booster Pack,$5.63
7641249,Pokemon Japanese Super Electric Breaker,Bouffalant #87,$1.22
7641241,Pokemon Japanese Super Electric Breaker,Bronzong #79,$1.69
7641240,Pokemon Japanese Super Electric Breaker,Bronzor #78,$1.80
7641169,Pokemon Japanese Super Electric Breaker,Capsakid #7,$0.99
7641178,Pokemon Japanese Super Electric Breaker,Centiskorch #16,$1.64
7641270,Pokemon Japanese Super Electric Breaker,Ceruledge #109,$8.99
7641184,Pokemon Japanese Super Electric Breaker,Ceruledge #22,$1.60
7641182,Pokemon Japanese Super Electric Breaker,Charcadet #20,$1.65
7641194,Pokemon Japanese Super Electric Breaker,Chien-Pao #32,$0.99
7641265,Pokemon Japanese Super Electric Breaker,Clemont's Wit #103,$0.50
7647758,Pokemon Japanese Super Electric Breaker,Clemont's Wit #128,$2.26
7647760,Pokemon Japanese Super Electric Breaker,Clemont's Wit #134,$7.28
7641214,Pokemon Japanese Super Electric Breaker,Cofagrigus #52,$1.51
7641261,Pokemon Japanese Super Electric Breaker,Colbur Berry #99,$1.11
7641180,Pokemon Japanese Super Electric Breaker,Crocalor #18,$1.30
7641264,Pokemon Japanese Super Electric Breaker,Cyrano #102,$2.14
7641278,Pokemon Japanese Super Electric Breaker,Cyrano #127,$2.08
7641217,Pokemon Japanese Super Electric Breaker,Dedenne #55,$1.61
7641256,Pokemon Japanese Super Electric Breaker,Deduction Set #94,$1.50
7641232,Pokemon Japanese Super Electric Breaker,Deino #70,$1.61
7641227,Pokemon Japanese Super Electric Breaker,Donphan #65,$1.50
7647751,Pokemon Japanese Super Electric Breaker,Durant Ex #119,$2.45
7647759,Pokemon Japanese Super Electric Breaker,Durant Ex #130,$19.85
7641165,Pokemon Japanese Super Electric Breaker,Durant ex #3,$1.50
7641215,Pokemon Japanese Super Electric Breaker,Espurr #53,$1.79
7641242,Pokemon Japanese Super Electric Breaker,Eternatus #80,$1.67
7641267,Pokemon Japanese Super Electric Breaker,Exciting Stadium #105,$0.38
7641163,Pokemon Japanese Super Electric Breaker,Exeggcute #1,$1.54
7641164,Pokemon Japanese Super Electric Breaker,Exeggutor #2,$1.50
7641271,Pokemon Japanese Super Electric Breaker,Feebas #110,$3.99
7641187,Pokemon Japanese Super Electric Breaker,Feebas #25,$1.58
7641258,Pokemon Japanese Super Electric Breaker,Fluffy Cat Toy #96,$1.49
7641221,Pokemon Japanese Super Electric Breaker,Flutter Mane #59,$1.25
7641179,Pokemon Japanese Super Electric Breaker,Fuecoco #17,$1.50
7641228,Pokemon Japanese Super Electric Breaker,Gastrodon #66,$1.22
7641229,Pokemon Japanese Super Electric Breaker,Glimmet #67,$0.38
7641230,Pokemon Japanese Super Electric Breaker,Glimmora #68,$0.95
13759957,Pokemon Japanese Super Electric Breaker,Grafaiai #118,
7641236,Pokemon Japanese Super Electric Breaker,Grafaiai #74,$1.38
7641268,Pokemon Japanese Super Electric Breaker,Gravity Mountain #106,$1.43
7647763,Pokemon Japanese Super Electric Breaker,Gravity Mountain #138,$8.94
7641251,Pokemon Japanese Super Electric Breaker,Heliolisk #89,$1.00
7641250,Pokemon Japanese Super Electric Breaker,Helioptile #88,$1.36
7647755,Pokemon Japanese Super Electric Breaker,Hydreigon Ex #124,$3.88
7641282,Pokemon Japanese Super Electric Breaker,Hydreigon ex #133,$26.49
7641234,Pokemon Japanese Super Electric Breaker,Hydreigon ex #72,$1.58
7641220,Pokemon Japanese Super Electric Breaker,Indeedee #58,$1.45
7641193,Pokemon Japanese Super Electric Breaker,Iron Bundle #31,$1.30
7641279,Pokemon Japanese Super Electric Breaker,Jasmine's Gaze #129,$3.96
7641283,Pokemon Japanese Super Electric Breaker,Jasmine's Gaze #135,$20.30
7641266,Pokemon Japanese Super Electric Breaker,Jazmine's Gaze #104,$0.50
7641275,Pokemon Japanese Super Electric Breaker,Kecleon #118,$3.74
7641248,Pokemon Japanese Super Electric Breaker,Kecleon #86,$1.66
7641205,Pokemon Japanese Super Electric Breaker,Kilowattrel #43,$0.73
7641231,Pokemon Japanese Super Electric Breaker,Koraidon #69,$1.41
7647733,Pokemon Japanese Super Electric Breaker,Larvesta #108,$2.35
7641175,Pokemon Japanese Super Electric Breaker,Larvesta #13,$1.65
7641196,Pokemon Japanese Super Electric Breaker,Magnemite #34,$1.45
7647738,Pokemon Japanese Super Electric Breaker,Magneton #112,$9.20
7641197,Pokemon Japanese Super Electric Breaker,Magneton #35,$1.85
7641198,Pokemon Japanese Super Electric Breaker,Magnezone #36,$0.96
7641222,Pokemon Japanese Super Electric Breaker,Mankey #60,$1.07
7641254,Pokemon Japanese Super Electric Breaker,Maushold #92,$1.71
7641216,Pokemon Japanese Super Electric Breaker,Meowstic #54,$1.63
7641273,Pokemon Japanese Super Electric Breaker,Mesprit #114,$6.18
7641211,Pokemon Japanese Super Electric Breaker,Mesprit #49,$1.60
7647754,Pokemon Japanese Super Electric Breaker,Milotic Ex #121,$2.99
7641280,Pokemon Japanese Super Electric Breaker,Milotic ex #131,$100.00
7641188,Pokemon Japanese Super Electric Breaker,Milotic ex #26,$1.50
7641259,Pokemon Japanese Super Electric Breaker,Miraculous Intercom #97,$1.66
7641206,Pokemon Japanese Super Electric Breaker,Miraidon #44,$1.00
7647762,Pokemon Japanese Super Electric Breaker,Night Stretcher #137,$6.88
7641252,Pokemon Japanese Super Electric Breaker,Oranguru #90,$1.45
7641173,Pokemon Japanese Super Electric Breaker,Paldean Tauros #11,$1.62
7641186,Pokemon Japanese Super Electric Breaker,Paldean Tauros #24,$1.49
7641225,Pokemon Japanese Super Electric Breaker,Paldean Tauros #63,$1.77
7641277,Pokemon Japanese Super Electric Breaker,Palossand ex #123,$3.17
7641219,Pokemon Japanese Super Electric Breaker,Palossand ex #57,$1.35
7641237,Pokemon Japanese Super Electric Breaker,Pecharunt #75,$1.04
7641274,Pokemon Japanese Super Electric Breaker,Phanphy #115,$2.23
7641226,Pokemon Japanese Super Electric Breaker,Phanpy #64,$1.17
7647761,Pokemon Japanese Super Electric Breaker,Pikachu Ex #136,$79.38
7641276,Pokemon Japanese Super Electric Breaker,Pikachu ex #122,$28.00
7641281,Pokemon Japanese Super Electric Breaker,Pikachu ex #132,$311.28
7641195,Pokemon Japanese Super Electric Breaker,Pikachu ex #33,$2.99
7641223,Pokemon Japanese Super Electric Breaker,Primeape #61,$1.65
7641171,Pokemon Japanese Super Electric Breaker,Rabsca #9,$1.23
7641170,Pokemon Japanese Super Electric Breaker,Rellor #8,$1.79
7641199,Pokemon Japanese Super Electric Breaker,Rotom #37,$1.30
7641218,Pokemon Japanese Super Electric Breaker,Sandygast #56,$1.56
7641166,Pokemon Japanese Super Electric Breaker,Scatterbug #4,$1.42
7647753,Pokemon Japanese Super Electric Breaker,Scovillain Ex #120,$2.28
7641185,Pokemon Japanese Super Electric Breaker,Scovillain ex #23,$1.35
7641257,Pokemon Japanese Super Electric Breaker,Scramble Switch #95,$1.48
7641190,Pokemon Japanese Super Electric Breaker,Sealeo #28,$1.61
7641192,Pokemon Japanese Super Electric Breaker,Shellos #30,$1.60
7641235,Pokemon Japanese Super Electric Breaker,Shroodle #73,$1.45
7641177,Pokemon Japanese Super Electric Breaker,Sizzlipede #15,$1.11
7641181,Pokemon Japanese Super Electric Breaker,Skeledirge #19,$1.19
7647757,Pokemon Japanese Super Electric Breaker,Slaking Ex #126,$2.83
7641246,Pokemon Japanese Super Electric Breaker,Slaking ex #84,$1.53
7647747,Pokemon Japanese Super Electric Breaker,Slakoth #117,$4.39
7641244,Pokemon Japanese Super Electric Breaker,Slakoth #82,$1.42
7641167,Pokemon Japanese Super Electric Breaker,Spewpa #5,$1.29
7641272,Pokemon Japanese Super Electric Breaker,Spheal #111,$4.99
7641189,Pokemon Japanese Super Electric Breaker,Spheal #27,$1.43
7647741,Pokemon Japanese Super Electric Breaker,Stunfisk #113,$2.00
7641202,Pokemon Japanese Super Electric Breaker,Stunfisk #40,$1.26
7641253,Pokemon Japanese Super Electric Breaker,Tandemaus #91,$1.82
7641203,Pokemon Japanese Super Electric Breaker,Tapu Koko #41,$1.38
7647756,Pokemon Japanese Super Electric Breaker,Tatsugiri Ex #125,$4.27
7641243,Pokemon Japanese Super Electric Breaker,Tatsugiri ex #81,$1.70
7641263,Pokemon Japanese Super Electric Breaker,Technical Machine Fluorite #101,$1.46
7641255,Pokemon Japanese Super Electric Breaker,Terapagos #93,$1.37
7641209,Pokemon Japanese Super Electric Breaker,Togekiss #47,$2.01
7641207,Pokemon Japanese Super Electric Breaker,Togepi #45,$1.50
7641208,Pokemon Japanese Super Electric Breaker,Togetic #46,$1.30
7641210,Pokemon Japanese Super Electric Breaker,Uxie #48,$1.51
7641174,Pokemon Japanese Super Electric Breaker,Victini #12,$1.61
7641245,Pokemon Japanese Super Electric Breaker,Vigoroth #83,$1.50
7641269,Pokemon Japanese Super Electric Breaker,Vivillon #107,$2.89
7641168,Pokemon Japanese Super Electric Breaker,Vivillon #6,$1.45
7641176,Pokemon Japanese Super Electric Breaker,Volcarona #14,$1.40
7641191,Pokemon Japanese Super Electric Breaker,Walrein #29,$1.49
7641204,Pokemon Japanese Super Electric Breaker,Wattrel #42,$1.00
7641172,Pokemon Japanese Super Electric Breaker,Wo-Chien #10,$1.40
7641213,Pokemon Japanese Super Electric Breaker,Yamask #51,$1.08
7641247,Pokemon Japanese Super Electric Breaker,Zangoose #85,$1.70
7641201,Pokemon Japanese Super Electric Breaker,Zebstrika #39,$1.53
7641233,Pokemon Japanese Super Electric Breaker,Zweilous #71,$1.99
