id,console-name,product-name,loose-price
3468627,Pokemon Japanese Super-Burst Impact,Alolan Meowth #56,$2.11
3468628,Pokemon Japanese Super-Burst Impact,Alolan Persian #57,$2.99
3468606,Pokemon Japanese Super-Burst Impact,Ampharos #36,$4.47
3468577,Pokemon Japanese Super-Burst Impact,Ariados #7,$0.99
3468634,Pokemon Japanese Super-Burst Impact,Azumarill #63,$1.99
3468574,Pokemon Japanese Super-Burst Impact,Bayleef #4,$1.74
3468676,Pokemon Japanese Super-Burst Impact,Blacephalon GX #105,$17.77
3468593,Pokemon Japanese Super-Burst Impact,Blacephalon GX #23,$3.68
3468668,Pokemon Japanese Super-Burst Impact,Blacephalon GX #97,$9.99
3468638,Pokemon Japanese Super-Burst Impact,Blissey #67,$3.23
7309480,Pokemon Japanese Super-Burst Impact,Booster Box,$619.10
7309481,Pokemon Japanese Super-Burst Impact,Booster Pack,$35.12
3468585,Pokemon Japanese Super-Burst Impact,Celebi Prism Star #15,$10.53
3468637,Pokemon Japanese Super-Burst Impact,Chansey #66,$5.02
3468572,Pokemon Japanese Super-Burst Impact,Chikorita #2,$2.55
3468573,Pokemon Japanese Super-Burst Impact,Chikorita #3,$2.14
3468601,Pokemon Japanese Super-Burst Impact,Chinchou #31,$1.98
3468655,Pokemon Japanese Super-Burst Impact,Choice Band #84,
3468682,Pokemon Japanese Super-Burst Impact,Choice Helmet #111,$4.70
3468656,Pokemon Japanese Super-Burst Impact,Choice Helmet #85,
3468586,Pokemon Japanese Super-Burst Impact,Cyndaquil #16,$2.73
3468587,Pokemon Japanese Super-Burst Impact,Cyndaquil #17,$1.99
3468596,Pokemon Japanese Super-Burst Impact,Delibird #26,$2.93
3468622,Pokemon Japanese Super-Burst Impact,Donphan #51,$2.49
3468665,Pokemon Japanese Super-Burst Impact,Double Colorless Energy #94,$1.99
3468639,Pokemon Japanese Super-Burst Impact,Eevee #68,$2.97
3468592,Pokemon Japanese Super-Burst Impact,Entei #22,$2.64
3468611,Pokemon Japanese Super-Burst Impact,Espeon #40,$3.99
3468674,Pokemon Japanese Super-Burst Impact,Faba #103,$10.35
3468660,Pokemon Japanese Super-Burst Impact,Faba #89,
3468657,Pokemon Japanese Super-Burst Impact,Fairy Charm Grass #86,$2.11
3468605,Pokemon Japanese Super-Burst Impact,Flaaffy #35,$2.11
3468631,Pokemon Japanese Super-Burst Impact,Forretress #60,$2.24
3468616,Pokemon Japanese Super-Burst Impact,Girafarig #45,$2.20
3468636,Pokemon Japanese Super-Burst Impact,Granbull #65,$1.98
3468661,Pokemon Japanese Super-Burst Impact,Hau #90,$1.49
3468664,Pokemon Japanese Super-Burst Impact,Heat Factory Prism Star #93,$37.80
3468584,Pokemon Japanese Super-Burst Impact,Heracross #14,$1.76
3468623,Pokemon Japanese Super-Burst Impact,Hitmontop #52,$2.24
3468578,Pokemon Japanese Super-Burst Impact,Hoppip #8,$1.79
3468579,Pokemon Japanese Super-Burst Impact,Hoppip #9,$1.88
3468591,Pokemon Japanese Super-Burst Impact,Houndoom #21,$2.11
3468590,Pokemon Japanese Super-Burst Impact,Houndour #20,$2.36
3468581,Pokemon Japanese Super-Burst Impact,Jumpluff #11,$1.95
3468602,Pokemon Japanese Super-Burst Impact,Lanturn #32,$1.79
3468624,Pokemon Japanese Super-Burst Impact,Larvitar #53,$1.89
3468625,Pokemon Japanese Super-Burst Impact,Larvitar #54,$2.15
3468662,Pokemon Japanese Super-Burst Impact,Lillie #91,$8.16
3468681,Pokemon Japanese Super-Burst Impact,Lost Blender #110,$6.01
3468654,Pokemon Japanese Super-Burst Impact,Lost Blender #83,$0.50
3468671,Pokemon Japanese Super-Burst Impact,Lugia GX #100,$73.04
3468679,Pokemon Japanese Super-Burst Impact,Lugia GX #108,$118.98
3468643,Pokemon Japanese Super-Burst Impact,Lugia GX #72,$15.02
3468663,Pokemon Japanese Super-Burst Impact,Lusamine Prism Star #92,$3.87
3468597,Pokemon Japanese Super-Burst Impact,Mantine #27,$1.98
3468599,Pokemon Japanese Super-Burst Impact,Mareanie #29,$1.98
3468603,Pokemon Japanese Super-Burst Impact,Mareep #33,$2.99
3468604,Pokemon Japanese Super-Burst Impact,Mareep #34,$2.32
3468633,Pokemon Japanese Super-Burst Impact,Marill #62,$2.00
3468575,Pokemon Japanese Super-Burst Impact,Meganium #5,$2.83
3468666,Pokemon Japanese Super-Burst Impact,Memory Energy #95,$0.50
3468642,Pokemon Japanese Super-Burst Impact,Miltank #71,$2.62
3468653,Pokemon Japanese Super-Burst Impact,Moomoo Milk #82,$1.64
3468619,Pokemon Japanese Super-Burst Impact,Naganadel #48,$1.99
3468608,Pokemon Japanese Super-Burst Impact,Natu #38,$3.14
3468617,Pokemon Japanese Super-Burst Impact,Nihilego #46,$1.99
3468621,Pokemon Japanese Super-Burst Impact,Phanpy #50,$2.99
3468644,Pokemon Japanese Super-Burst Impact,Pikipek #73,$3.44
3468645,Pokemon Japanese Super-Burst Impact,Pikipek #74,$3.44
3468582,Pokemon Japanese Super-Burst Impact,Pineco #12,$0.25
3468618,Pokemon Japanese Super-Burst Impact,Poipole #47,$2.18
3468652,Pokemon Japanese Super-Burst Impact,Pokemon Catcher #81,
13118700,Pokemon Japanese Super-Burst Impact,Pokemon Center Exclusive Set,
3468673,Pokemon Japanese Super-Burst Impact,Professor Elm's Lecture #102,$79.58
3468659,Pokemon Japanese Super-Burst Impact,Professor Elm's Lecture #88,$2.01
3468626,Pokemon Japanese Super-Burst Impact,Pupitar #55,$2.96
3468588,Pokemon Japanese Super-Burst Impact,Quilava #18,$2.00
3468607,Pokemon Japanese Super-Burst Impact,Raikou #37,$2.69
3468650,Pokemon Japanese Super-Burst Impact,Rare Candy #79,$0.50
3468632,Pokemon Japanese Super-Burst Impact,Scizor #61,$2.49
3468571,Pokemon Japanese Super-Burst Impact,Scyther #1,$2.42
3468675,Pokemon Japanese Super-Burst Impact,Shuckle GX #104,$42.72
3468583,Pokemon Japanese Super-Burst Impact,Shuckle GX #13,$4.14
3468667,Pokemon Japanese Super-Burst Impact,Shuckle GX #96,$14.99
3468580,Pokemon Japanese Super-Burst Impact,Skiploom #10,$1.79
3468595,Pokemon Japanese Super-Burst Impact,Slowking #25,$4.61
3468594,Pokemon Japanese Super-Burst Impact,Slowpoke #24,$13.81
3468641,Pokemon Japanese Super-Burst Impact,Smeargle #70,$35.00
3468635,Pokemon Japanese Super-Burst Impact,Snubbull #64,$2.49
3468576,Pokemon Japanese Super-Burst Impact,Spinarak #6,$0.99
3468640,Pokemon Japanese Super-Burst Impact,Stantler #69,$1.99
3468620,Pokemon Japanese Super-Burst Impact,Sudowoodo #49,$2.12
3468677,Pokemon Japanese Super-Burst Impact,Suicune GX #106,$51.82
3468598,Pokemon Japanese Super-Burst Impact,Suicune GX #28,$3.99
3468669,Pokemon Japanese Super-Burst Impact,Suicune GX #98,$19.82
3468651,Pokemon Japanese Super-Burst Impact,Switch #80,
3468647,Pokemon Japanese Super-Burst Impact,Toucannon #76,$2.00
3468600,Pokemon Japanese Super-Burst Impact,Toxapex #30,$1.99
3468646,Pokemon Japanese Super-Burst Impact,Trumbeak #75,$1.94
