id,console-name,product-name,loose-price
4118541,Pokemon Japanese Tag All Stars,Absol #75,$2.09
9176331,Pokemon Japanese Tag All Stars,Absol [Reverse Holo] #75,$7.97
4118587,Pokemon Japanese Tag All Stars,Acro Bike #121,$1.82
4118588,Pokemon Japanese Tag All Stars,Acro Bike #122,$2.52
9176379,Pokemon Japanese Tag All Stars,Acro Bike [Reverse Holo] #121,$2.66
9176380,Pokemon Japanese Tag All Stars,Acro Bike [Reverse Holo] #122,$3.67
4118594,Pokemon Japanese Tag All Stars,Adventure Bag #128,$1.42
9176386,Pokemon Japanese Tag All Stars,Adventure Bag [Reverse Holo] #128,$1.73
4118550,Pokemon Japanese Tag All Stars,Alolan Diglett #84,$2.24
9176341,Pokemon Japanese Tag All Stars,Alolan Diglett [Reverse Holo] #84,$3.32
4118551,Pokemon Japanese Tag All Stars,Alolan Dugtrio #85,$1.89
9176342,Pokemon Japanese Tag All Stars,Alolan Dugtrio [Reverse Holo] #85,$2.99
4118561,Pokemon Japanese Tag All Stars,Alolan Ninetales GX #95,$3.99
4118498,Pokemon Japanese Tag All Stars,Alolan Vulpix #32,$2.03
9176292,Pokemon Japanese Tag All Stars,Alolan Vulpix [Reverse Holo] #32,$8.97
4118500,Pokemon Japanese Tag All Stars,Articuno #34,$2.78
9176294,Pokemon Japanese Tag All Stars,Articuno [Reverse Holo] #34,$9.99
4118581,Pokemon Japanese Tag All Stars,Audino #115,$1.63
9176374,Pokemon Japanese Tag All Stars,Audino [Reverse Holo] #115,$2.80
4126316,Pokemon Japanese Tag All Stars,Beast Energy Prism Star #172,$1.87
4118592,Pokemon Japanese Tag All Stars,Beast Ring #126,$2.49
9176384,Pokemon Japanese Tag All Stars,Beast Ring [Reverse Holo] #126,$2.84
4118618,Pokemon Japanese Tag All Stars,Bellelba & Brycen-Man #152,$1.39
4118660,Pokemon Japanese Tag All Stars,Bellelba & Brycen-Man #194,$32.19
9176337,Pokemon Japanese Tag All Stars,Bellelba & Brycen-Man [Reverse Holo] #152,$3.63
4118494,Pokemon Japanese Tag All Stars,Blacephalon GX #28,$2.99
4126308,Pokemon Japanese Tag All Stars,Black Market Prism Star #167,$2.50
4118497,Pokemon Japanese Tag All Stars,Blastoise #31,$3.26
9176291,Pokemon Japanese Tag All Stars,Blastoise [Reverse Holo] #31,$5.01
4118511,Pokemon Japanese Tag All Stars,Blitzle #45,$1.87
9176300,Pokemon Japanese Tag All Stars,Blitzle [Reverse Holo] #45,$2.82
4118659,Pokemon Japanese Tag All Stars,Blue's Tactics #193,$200.66
