id,console-name,product-name,loose-price
3468763,Pokemon Japanese Tag Bolt,Aerodactyl #76,$1.98
3468748,Pokemon Japanese Tag Bolt,Alolan Exeggutor #61,$1.74
3468719,Pokemon Japanese Tag Bolt,Alolan Geodude #32,$2.38
3468720,Pokemon Japanese Tag Bolt,Alolan Geodude #33,$2.76
3468722,Pokemon Japanese Tag Bolt,Alolan Golem #35,$1.89
3468721,Pokemon Japanese Tag Bolt,Alolan Graveler #34,$1.99
3468779,Pokemon Japanese Tag Bolt,Aqua Patch #92,$3.99
3468717,Pokemon Japanese Tag Bolt,Articuno #30,$1.55
3468692,Pokemon Japanese Tag Bolt,Beedrill #5,$1.90
3468776,Pokemon Japanese Tag Bolt,Bill's Analysis #89,$1.75
3468710,Pokemon Japanese Tag Bolt,Blastoise #23,$4.00
5961017,Pokemon Japanese Tag Bolt,Booster Box,$2899.00
5154432,Pokemon Japanese Tag Bolt,Booster Pack,$104.74
3468796,Pokemon Japanese Tag Bolt,Brock's Grit #108,$24.98
3468774,Pokemon Japanese Tag Bolt,Brock's Grit #87,$1.55
3468806,Pokemon Japanese Tag Bolt,Brooklet Hill #118,$19.38
3468770,Pokemon Japanese Tag Bolt,Buff Padding #83,$0.50
3468688,Pokemon Japanese Tag Bolt,Celebi & Venusaur GX #1,$18.97
3468798,Pokemon Japanese Tag Bolt,Celebi & Venusaur GX #110,$35.61
3468784,Pokemon Japanese Tag Bolt,Celebi & Venusaur GX #96,$30.33
3468785,Pokemon Japanese Tag Bolt,Celebi & Venusaur GX #97,$88.99
3468700,Pokemon Japanese Tag Bolt,Charizard #13,$10.27
3468697,Pokemon Japanese Tag Bolt,Charmander #10,$2.96
3468698,Pokemon Japanese Tag Bolt,Charmander #11,$2.99
3468699,Pokemon Japanese Tag Bolt,Charmeleon #12,$2.30
3468781,Pokemon Japanese Tag Bolt,Choice Band #94,$1.95
3468773,Pokemon Japanese Tag Bolt,Cynthia #86,$1.93
3468751,Pokemon Japanese Tag Bolt,Dragonair #64,$1.99
3468752,Pokemon Japanese Tag Bolt,Dragonite #65,$3.59
3468749,Pokemon Japanese Tag Bolt,Dratini #62,$1.99
3468750,Pokemon Japanese Tag Bolt,Dratini #63,$1.99
3468794,Pokemon Japanese Tag Bolt,Eevee & Snorlax GX #106,$50.00
3468803,Pokemon Japanese Tag Bolt,Eevee & Snorlax GX #115,$84.70
3468753,Pokemon Japanese Tag Bolt,Eevee & Snorlax GX #66,$32.09
3468724,Pokemon Japanese Tag Bolt,Electrode #37,$8.15
3468795,Pokemon Japanese Tag Bolt,Erika's Hospitality #107,$85.00
3468771,Pokemon Japanese Tag Bolt,Erika's Hospitality #84,$2.37
3468764,Pokemon Japanese Tag Bolt,Escape Rope #77,$2.33
3468695,Pokemon Japanese Tag Bolt,Exeggcute #8,$1.72
3468760,Pokemon Japanese Tag Bolt,Farfetch'd #73,$2.55
3468780,Pokemon Japanese Tag Bolt,Field Blower #93,$3.06
3468790,Pokemon Japanese Tag Bolt,Gengar & Mimikyu GX #102,$173.00
3468791,Pokemon Japanese Tag Bolt,Gengar & Mimikyu GX #103,$412.73
3468801,Pokemon Japanese Tag Bolt,Gengar & Mimikyu GX #113,$193.03
3468725,Pokemon Japanese Tag Bolt,Gengar & Mimikyu GX #38,$101.25
3468712,Pokemon Japanese Tag Bolt,Golduck #25,$1.90
3468734,Pokemon Japanese Tag Bolt,Grimer #47,$1.82
3468715,Pokemon Japanese Tag Bolt,Gyarados #28,$3.85
3468742,Pokemon Japanese Tag Bolt,Hitmonchan #55,$2.37
3468741,Pokemon Japanese Tag Bolt,Hitmonlee #54,$2.70
3468772,Pokemon Japanese Tag Bolt,Judge #85,$1.00
3468805,Pokemon Japanese Tag Bolt,Judge Whistle #117,$5.76
3468765,Pokemon Japanese Tag Bolt,Judge Whistle #78,$0.50
3468738,Pokemon Japanese Tag Bolt,Jynx #51,$1.98
3468745,Pokemon Japanese Tag Bolt,Kabuto #58,$1.98
3468746,Pokemon Japanese Tag Bolt,Kabutops #59,$1.99
3468691,Pokemon Japanese Tag Bolt,Kakuna #4,$2.12
3468761,Pokemon Japanese Tag Bolt,Kangaskhan #74,$1.82
3468716,Pokemon Japanese Tag Bolt,Lapras #29,$2.13
3468792,Pokemon Japanese Tag Bolt,Latias & Latios GX #104,$50.50
3468793,Pokemon Japanese Tag Bolt,Latias & Latios GX #105,$1010.00
3468802,Pokemon Japanese Tag Bolt,Latias & Latios GX #114,$65.13
3468747,Pokemon Japanese Tag Bolt,Latias & Latios GX #60,$22.17
3468777,Pokemon Japanese Tag Bolt,Lavender Town #90,$1.29
3468714,Pokemon Japanese Tag Bolt,Magikarp #27,$1.99
3468799,Pokemon Japanese Tag Bolt,Magikarp & Wailord GX #111,$57.00
3468706,Pokemon Japanese Tag Bolt,Magikarp & Wailord GX #19,$25.54
3468786,Pokemon Japanese Tag Bolt,Magikarp & Wailord GX #98,$47.50
