id,console-name,product-name,loose-price
3459361,Pokemon Japanese Temple of Anger,Anorith,$1.99
10802844,Pokemon Japanese Temple of Anger,Anorith [1st Edition],$1.40
3459362,Pokemon Japanese Temple of Anger,Armaldo,$1.96
10802845,Pokemon Japanese Temple of Anger,Armaldo [1st Edition],$3.09
3459353,Pokemon Japanese Temple of Anger,Azelf,$2.39
3459354,Pokemon Japanese Temple of Anger,Azelf LV.X,$21.99
10802850,Pokemon Japanese Temple of Anger,Azelf LV.X [1st Edition],$21.22
10802848,Pokemon Japanese Temple of Anger,Azelf [1st Edition],$3.25
3459374,Pokemon Japanese Temple of Anger,Beldum,$2.63
10802852,Pokemon Japanese Temple of Anger,Beldum [1st Edition],$3.07
3459323,Pokemon Japanese Temple of Anger,Bellossom,$2.23
10802853,Pokemon Japanese Temple of Anger,Bellossom [1st Edition],$6.80
11927959,Pokemon Japanese Temple of Anger,Booster Box,$10000.00
11927958,Pokemon Japanese Temple of Anger,Booster Pack,$750.00
11909714,Pokemon Japanese Temple of Anger,Booster Pack [1st Edition],$145.50
3459370,Pokemon Japanese Temple of Anger,Buneary,$2.70
8675265,Pokemon Japanese Temple of Anger,Buneary [1st Edition],$3.15
3459338,Pokemon Japanese Temple of Anger,Chinchou,$1.94
10802855,Pokemon Japanese Temple of Anger,Chinchou [1st Edition],$4.36
3459382,Pokemon Japanese Temple of Anger,Claw Fossil,$2.45
10802856,Pokemon Japanese Temple of Anger,Claw Fossil [1st Edition],$8.96
3459384,Pokemon Japanese Temple of Anger,Cynthia's Feelings,$2.99
10802857,Pokemon Japanese Temple of Anger,Cynthia's Feelings [1st Edition],$8.40
3459368,Pokemon Japanese Temple of Anger,Delcatty,$5.43
10802858,Pokemon Japanese Temple of Anger,Delcatty [1st Edition],$3.81
10456146,Pokemon Japanese Temple of Anger,Deoxys #445,$6.99
10456148,Pokemon Japanese Temple of Anger,Deoxys #446,$2.55
10456151,Pokemon Japanese Temple of Anger,Deoxys #DPBP447,$4.75
12906365,Pokemon Japanese Temple of Anger,Deoxys [1st Edition],$10.20
10669864,Pokemon Japanese Temple of Anger,Deoxys [1st Edition] #445,$3.93
12906366,Pokemon Japanese Temple of Anger,Deoxys [1st Edition] #446,
10669865,Pokemon Japanese Temple of Anger,Deoxys [1st Edition] #DPBP447,$4.99
3459366,Pokemon Japanese Temple of Anger,Ditto,$13.29
10802860,Pokemon Japanese Temple of Anger,Ditto [1st Edition],$12.06
3459381,Pokemon Japanese Temple of Anger,Energy Pickup,$2.21
10802862,Pokemon Japanese Temple of Anger,Energy Pickup [1st Edition],$2.70
3459351,Pokemon Japanese Temple of Anger,Exeggcute,$2.47
10802864,Pokemon Japanese Temple of Anger,Exeggcute [1st Edition],$1.77
3459352,Pokemon Japanese Temple of Anger,Exeggutor,$3.05
10802865,Pokemon Japanese Temple of Anger,Exeggutor [1st Edition],$4.75
3459336,Pokemon Japanese Temple of Anger,Froslass #420,$4.49
10802867,Pokemon Japanese Temple of Anger,Froslass [1st Edition] #420,$4.63
3459322,Pokemon Japanese Temple of Anger,Gloom,$2.84
10802868,Pokemon Japanese Temple of Anger,Gloom [1st Edition],$4.19
3459345,Pokemon Japanese Temple of Anger,Gulpin,$2.79
10802869,Pokemon Japanese Temple of Anger,Gulpin [1st Edition],$3.98
3459357,Pokemon Japanese Temple of Anger,Hitmonchan,$3.19
10802870,Pokemon Japanese Temple of Anger,Hitmonchan [1st Edition],$2.99
3459356,Pokemon Japanese Temple of Anger,Hitmonlee,$2.33
10802871,Pokemon Japanese Temple of Anger,Hitmonlee [1st Edition],$6.65
3459358,Pokemon Japanese Temple of Anger,Hitmontop,$1.99
10802874,Pokemon Japanese Temple of Anger,Hitmontop [1st Edition],$2.99
3459328,Pokemon Japanese Temple of Anger,Horsea,$3.21
10802876,Pokemon Japanese Temple of Anger,Horsea [1st Edition],$3.76
3459327,Pokemon Japanese Temple of Anger,Houndoom,$3.59
10802878,Pokemon Japanese Temple of Anger,Houndoom [1st Edition],$4.58
3459373,Pokemon Japanese Temple of Anger,Houndour,$2.78
10802884,Pokemon Japanese Temple of Anger,Houndour [1st Edition],$3.14
3459378,Pokemon Japanese Temple of Anger,Jirachi,$6.99
10802891,Pokemon Japanese Temple of Anger,Jirachi [1st Edition],$6.89
3459330,Pokemon Japanese Temple of Anger,Kingdra,$6.99
10802898,Pokemon Japanese Temple of Anger,Kingdra [1st Edition],$6.06
3459339,Pokemon Japanese Temple of Anger,Lanturn,$3.06
10802905,Pokemon Japanese Temple of Anger,Lanturn [1st Edition],$2.49
3459371,Pokemon Japanese Temple of Anger,Lopunny,$2.13
10802907,Pokemon Japanese Temple of Anger,Lopunny [1st Edition],$4.77
3459340,Pokemon Japanese Temple of Anger,Luxray,$5.97
9679467,Pokemon Japanese Temple of Anger,Luxray [1st Edition],$6.46
