id,console-name,product-name,loose-price
7980070,Pokemon Japanese Terastal Festival,Abra #57,$1.49
7980422,Pokemon Japanese Terastal Festival,Abra [Master Ball] #57,$11.05
7980269,Pokemon Japanese Terastal Festival,Abra [Poke Ball] #57,$2.46
7980124,Pokemon Japanese Terastal Festival,Aegislash #111,$1.57
7980464,Pokemon Japanese Terastal Festival,Aegislash [Master Ball] #111,$4.99
7980310,Pokemon Japanese Terastal Festival,Aegislash [Poke Ball] #111,$2.02
7980072,Pokemon Japanese Terastal Festival,Alakazam #59,$1.53
7980424,Pokemon Japanese Terastal Festival,Alakazam [Master Ball] #59,$9.98
7980271,Pokemon Japanese Terastal Festival,Alakazam [Poke Ball] #59,$2.38
7980186,Pokemon Japanese Terastal Festival,Amarys #173,$1.50
7980816,Pokemon Japanese Terastal Festival,Amarys #194,$3.00
8054206,Pokemon Japanese Terastal Festival,Amarys #232,$4.32
7980366,Pokemon Japanese Terastal Festival,Amarys [Poke Ball] #173,$1.68
7980170,Pokemon Japanese Terastal Festival,Ancient Booster Capsule Energy #157,$1.22
7980350,Pokemon Japanese Terastal Festival,Ancient Booster Capsule Energy [Poke Ball] #157,$1.63
7980021,Pokemon Japanese Terastal Festival,Applin #8,$2.22
7980387,Pokemon Japanese Terastal Festival,Applin [Master Ball] #8,$4.38
7980234,Pokemon Japanese Terastal Festival,Applin [Poke Ball] #8,$1.93
7980126,Pokemon Japanese Terastal Festival,Archaludon #113,$1.48
7980466,Pokemon Japanese Terastal Festival,Archaludon [Master Ball] #113,$2.34
7980312,Pokemon Japanese Terastal Festival,Archaludon [Poke Ball] #113,$1.39
7980195,Pokemon Japanese Terastal Festival,Area Zero Underdepths #182,$1.99
7980375,Pokemon Japanese Terastal Festival,Area Zero Underdepths [Poke Ball] #182,$2.18
8054190,Pokemon Japanese Terastal Festival,Atticus #191,$2.47
7980202,Pokemon Japanese Terastal Festival,Atticus #192,$3.78
7980119,Pokemon Japanese Terastal Festival,Beldum #106,$1.25
7980459,Pokemon Japanese Terastal Festival,Beldum [Master Ball] #106,$4.69
7980305,Pokemon Japanese Terastal Festival,Beldum [Poke Ball] #106,$1.81
7980190,Pokemon Japanese Terastal Festival,Bianca's Devotion #177,$1.40
7980370,Pokemon Japanese Terastal Festival,Bianca's Devotion [Poke Ball] #177,$1.98
7980167,Pokemon Japanese Terastal Festival,Binding Mochi #154,$2.18
7980347,Pokemon Japanese Terastal Festival,Binding Mochi [Poke Ball] #154,$2.06
7980740,Pokemon Japanese Terastal Festival,Bloodmoon Ursaluna #85,$2.16
7980809,Pokemon Japanese Terastal Festival,Bloodmoon Ursaluna Ex #134,$1.50
7980843,Pokemon Japanese Terastal Festival,Bloodmoon Ursaluna Ex #225,$11.92
8304227,Pokemon Japanese Terastal Festival,Bloodmoon Ursaluna [Master Ball] #85,$3.80
7980866,Pokemon Japanese Terastal Festival,Bloodmoon Ursaluna [Poke Ball] #85,$2.15
7980012,Pokemon Japanese Terastal Festival,Booster Box,$104.17
7980013,Pokemon Japanese Terastal Festival,Booster Pack,$20.68
7980146,Pokemon Japanese Terastal Festival,Bouffalant #133,$1.98
7980482,Pokemon Japanese Terastal Festival,Bouffalant [Master Ball] #133,$5.18
7980328,Pokemon Japanese Terastal Festival,Bouffalant [Poke Ball] #133,$1.79
7980025,Pokemon Japanese Terastal Festival,Brambleghast #12,$1.55
7980390,Pokemon Japanese Terastal Festival,Brambleghast [Master Ball] #12,$5.37
7980237,Pokemon Japanese Terastal Festival,Brambleghast [Poke Ball] #12,$1.93
7980024,Pokemon Japanese Terastal Festival,Bramblin #11,$1.54
7980389,Pokemon Japanese Terastal Festival,Bramblin [Master Ball] #11,$4.78
7980236,Pokemon Japanese Terastal Festival,Bramblin [Poke Ball] #11,$1.98
8054189,Pokemon Japanese Terastal Festival,Brassius #190,$3.20
7980189,Pokemon Japanese Terastal Festival,Briar #176,$1.82
7980369,Pokemon Japanese Terastal Festival,Briar [Poke Ball] #176,$2.06
7980112,Pokemon Japanese Terastal Festival,Brute Bonnet #99,$1.46
7980457,Pokemon Japanese Terastal Festival,Brute Bonnet [Master Ball] #99,$2.23
7980303,Pokemon Japanese Terastal Festival,Brute Bonnet [Poke Ball] #99,$1.50
7980160,Pokemon Japanese Terastal Festival,Buddy-Buddy Poffin #147,$2.63
7980340,Pokemon Japanese Terastal Festival,Buddy-Buddy Poffin [Poke Ball] #147,$2.34
7980014,Pokemon Japanese Terastal Festival,Budew #1,$1.70
7980381,Pokemon Japanese Terastal Festival,Budew [Master Ball] #1,$4.18
7980228,Pokemon Japanese Terastal Festival,Budew [Poke Ball] #1,$2.30
7980163,Pokemon Japanese Terastal Festival,Bug Catching Set #150,$2.21
7980343,Pokemon Japanese Terastal Festival,Bug Catching Set [Poke Ball] #150,$1.99
7980183,Pokemon Japanese Terastal Festival,Carmine #170,$1.78
7980363,Pokemon Japanese Terastal Festival,Carmine [Poke Ball] #170,$2.08
7980083,Pokemon Japanese Terastal Festival,Ceruledge #70,$1.80
7980821,Pokemon Japanese Terastal Festival,Ceruledge Ex #203,$20.00
7980433,Pokemon Japanese Terastal Festival,Ceruledge [Master Ball] #70,$9.89
7980280,Pokemon Japanese Terastal Festival,Ceruledge [Poke Ball] #70,$2.97
7980036,Pokemon Japanese Terastal Festival,Charcadet #23,$2.00
7980399,Pokemon Japanese Terastal Festival,Charcadet [Master Ball] #23,$5.90
7980246,Pokemon Japanese Terastal Festival,Charcadet [Poke Ball] #23,$1.99
7980038,Pokemon Japanese Terastal Festival,Chi-Yu #25,$1.26
12450395,Pokemon Japanese Terastal Festival,Chi-Yu [Holo] #25,$0.99
7980401,Pokemon Japanese Terastal Festival,Chi-Yu [Master Ball] #25,$5.08
7980248,Pokemon Japanese Terastal Festival,Chi-Yu [Poke Ball] #25,$2.70
7980061,Pokemon Japanese Terastal Festival,Chien-Pao #48,$1.97
7980418,Pokemon Japanese Terastal Festival,Chien-Pao [Master Ball] #48,$5.29
7980265,Pokemon Japanese Terastal Festival,Chien-Pao [Poke Ball] #48,$1.97
7980178,Pokemon Japanese Terastal Festival,Ciphermaniac's Codebreaking #165,$1.09
7980358,Pokemon Japanese Terastal Festival,Ciphermaniac's Codebreaking [Poke Ball] #165,$2.04
7980177,Pokemon Japanese Terastal Festival,Colress's Tenacity #164,$2.45
7980357,Pokemon Japanese Terastal Festival,Colress's Tenacity [Poke Ball] #164,$1.99
8054197,Pokemon Japanese Terastal Festival,Cornerstone Mask Ogerpon Ex #216,$5.73
7980745,Pokemon Japanese Terastal Festival,Cornerstone Mask Ogerpon Ex #91,$1.37
7980017,Pokemon Japanese Terastal Festival,Cottonee #4,$1.53
7980383,Pokemon Japanese Terastal Festival,Cottonee [Master Ball] #4,$2.00
7980230,Pokemon Japanese Terastal Festival,Cottonee [Poke Ball] #4,$1.46
7980152,Pokemon Japanese Terastal Festival,Counter Catcher #139,$1.25
7980332,Pokemon Japanese Terastal Festival,Counter Catcher [Poke Ball] #139,$2.99
7980176,Pokemon Japanese Terastal Festival,Crispin #163,$2.30
8054201,Pokemon Japanese Terastal Festival,Crispin #227,$6.84
7980356,Pokemon Japanese Terastal Festival,Crispin [Poke Ball] #163,$2.33
7980046,Pokemon Japanese Terastal Festival,Croconaw #33,$1.60
