id,console-name,product-name,loose-price
3438420,Pokemon Japanese The Town on No Map,Arcanine #16,$70.00
3438421,Pokemon Japanese The Town on No Map,Arcanine #17,$168.34
10802761,Pokemon Japanese The Town on No Map,Arcanine [1st Edition] #16,$71.87
10372250,Pokemon Japanese The Town on No Map,Arcanine [1st Edition] #17,$195.58
3438412,Pokemon Japanese The Town on No Map,Ariados #8,$7.90
3438413,Pokemon Japanese The Town on No Map,Ariados #9,$23.19
10802773,Pokemon Japanese The Town on No Map,Ariados [1st Edition] #8,$11.10
8576322,Pokemon Japanese The Town on No Map,Ariados [1st Edition] #9,$26.50
3438429,Pokemon Japanese The Town on No Map,Azumarill #25,$13.19
3438430,Pokemon Japanese The Town on No Map,Azumarill #26,$49.99
10802786,Pokemon Japanese The Town on No Map,Azumarill [1st Edition] #25,$9.59
10802793,Pokemon Japanese The Town on No Map,Azumarill [1st Edition] #26,$53.99
3438468,Pokemon Japanese The Town on No Map,Blissey #65,$11.47
3438469,Pokemon Japanese The Town on No Map,Blissey #66,$70.00
10802800,Pokemon Japanese The Town on No Map,Blissey [1st Edition] #65,$35.00
10802806,Pokemon Japanese The Town on No Map,Blissey [1st Edition] #66,$34.00
13118664,Pokemon Japanese The Town on No Map,Booster Box,
4135278,Pokemon Japanese The Town on No Map,Booster Pack,$1496.64
12515243,Pokemon Japanese The Town on No Map,Booster Pack [MdDonalds],
3438460,Pokemon Japanese The Town on No Map,Chansey #57,$7.46
10802809,Pokemon Japanese The Town on No Map,Chansey [1st Edition] #57,$12.03
3438454,Pokemon Japanese The Town on No Map,Cubone #50,$30.87
10802810,Pokemon Japanese The Town on No Map,Cubone [1st Edition] #50,$32.18
3438491,Pokemon Japanese The Town on No Map,Darkness Cube 01 #86,$2.92
10802811,Pokemon Japanese The Town on No Map,Darkness Cube 01 [1st Edition] #86,
3438495,Pokemon Japanese The Town on No Map,Darkness Energy #90,$3.00
10802812,Pokemon Japanese The Town on No Map,Darkness Energy [1st Edition] #90,
3438457,Pokemon Japanese The Town on No Map,Donphan #54,$7.60
10802814,Pokemon Japanese The Town on No Map,Donphan [1st Edition] #54,$9.31
3438444,Pokemon Japanese The Town on No Map,Drowzee #40,$6.50
10366699,Pokemon Japanese The Town on No Map,Drowzee [1st Edition] #40,$15.19
3438461,Pokemon Japanese The Town on No Map,Eevee #58,$22.99
8573769,Pokemon Japanese The Town on No Map,Eevee [1st Edition] #58,$64.60
3438439,Pokemon Japanese The Town on No Map,Electrode #35,$10.80
3438440,Pokemon Japanese The Town on No Map,Electrode #36,$40.00
10802818,Pokemon Japanese The Town on No Map,Electrode [1st Edition] #35,$9.50
10802820,Pokemon Japanese The Town on No Map,Electrode [1st Edition] #36,$30.91
3438443,Pokemon Japanese The Town on No Map,Elekid #39,$7.30
10762996,Pokemon Japanese The Town on No Map,Elekid [1st Edition] #39,$4.55
3438449,Pokemon Japanese The Town on No Map,Espeon #45,$59.53
3438450,Pokemon Japanese The Town on No Map,Espeon #46,$165.00
10802822,Pokemon Japanese The Town on No Map,Espeon [1st Edition] #45,$62.99
10766699,Pokemon Japanese The Town on No Map,Espeon [1st Edition] #46,$200.00
3438490,Pokemon Japanese The Town on No Map,Fighting Cube 01 #85,$2.50
