id,console-name,product-name,loose-price
4781572,Pokemon Japanese Topsun,Abra [Blue Back] #63,$13.07
4781573,Pokemon Japanese Topsun,Abra [Green Back] #63,$19.99
4781734,Pokemon Japanese Topsun,Aerodactyl [Blue Back] #142,$18.34
4781735,Pokemon Japanese Topsun,Aerodactyl [Green Back] #142,$16.59
4781576,Pokemon Japanese Topsun,Alakazam [Blue Back] #65,$46.43
4781577,Pokemon Japanese Topsun,Alakazam [Green Back] #65,$33.00
6903581,Pokemon Japanese Topsun,Alakazam [No Number],$57.70
4781489,Pokemon Japanese Topsun,Arbok [Blue Back] #24,$13.68
4781490,Pokemon Japanese Topsun,Arbok [Green Back] #24,$11.65
4781564,Pokemon Japanese Topsun,Arcanine [Blue Back] #59,$42.10
4781565,Pokemon Japanese Topsun,Arcanine [Green Back] #59,$24.99
4895114,Pokemon Japanese Topsun,Articuno [Blue Back] #144,$15.26
4895115,Pokemon Japanese Topsun,Articuno [Green Back] #144,$20.45
4895116,Pokemon Japanese Topsun,Articuno [Holo] #144,$61.36
4781471,Pokemon Japanese Topsun,Beedrill [Blue Back] #15,$8.03
4781472,Pokemon Japanese Topsun,Beedrill [Green Back] #15,$8.03
4781585,Pokemon Japanese Topsun,Bellsprout [Blue Back] #69,$7.68
4781586,Pokemon Japanese Topsun,Bellsprout [Green Back] #69,$5.49
4781737,Pokemon Japanese Topsun,Blastoise #9,$29.99
4781458,Pokemon Japanese Topsun,Blastoise [Blue Back] #9,$88.82
4781459,Pokemon Japanese Topsun,Blastoise [Green Back] #9,$69.10
4781460,Pokemon Japanese Topsun,Blastoise [Holo] #9,$183.21
12461783,Pokemon Japanese Topsun,Booster Pack,$395.33
13617803,Pokemon Japanese Topsun,Budew #31,
13617804,Pokemon Japanese Topsun,Buizel #7,
5953440,Pokemon Japanese Topsun,Bulbasaur #3,$24.08
4781439,Pokemon Japanese Topsun,Bulbasaur [Blue Back] #1,$42.98
4781440,Pokemon Japanese Topsun,Bulbasaur [Green Back] #1,$28.48
6939535,Pokemon Japanese Topsun,Bulbasaur [No Number],$29.40
4781465,Pokemon Japanese Topsun,Butterfree [Blue Back] #12,$10.94
4781466,Pokemon Japanese Topsun,Butterfree [Green Back] #12,$12.99
4781461,Pokemon Japanese Topsun,Caterpie [Blue Back] #10,$10.45
4781462,Pokemon Japanese Topsun,Caterpie [Green Back] #10,$7.14
13617405,Pokemon Japanese Topsun,Chansey #113,
4781673,Pokemon Japanese Topsun,Chansey [Blue Back] #113,$20.07
4781674,Pokemon Japanese Topsun,Chansey [Green Back] #113,$12.50
11360080,Pokemon Japanese Topsun,Chansey [No Number],$50.50
4781450,Pokemon Japanese Topsun,Charizard #6,$254.53
