id,console-name,product-name,loose-price
4947359,Pokemon Japanese Triplet Beat,Amoonguss #3,$1.67
4947426,Pokemon Japanese Triplet Beat,Artazon #70,$1.65
5571283,Pokemon Japanese Triplet Beat,Booster Box,$139.50
6245901,Pokemon Japanese Triplet Beat,Booster Pack,$8.00
4947457,Pokemon Japanese Triplet Beat,Boss's Orders #100,$19.99
4947425,Pokemon Japanese Triplet Beat,Boss's Orders #69,$1.77
4947452,Pokemon Japanese Triplet Beat,Boss's Orders #95,$8.77
4947382,Pokemon Japanese Triplet Beat,Buizel #25,$1.60
4947423,Pokemon Japanese Triplet Beat,Clavell #67,$1.00
4947450,Pokemon Japanese Triplet Beat,Clavell #93,$1.17
4947375,Pokemon Japanese Triplet Beat,Crocalor #19,$1.40
4947436,Pokemon Japanese Triplet Beat,Crocalor #79,$5.00
4947394,Pokemon Japanese Triplet Beat,Dedenne ex #38,$2.12
4947446,Pokemon Japanese Triplet Beat,Dedenne ex #89,$10.28
4947413,Pokemon Japanese Triplet Beat,Deino #57,$1.27
4947380,Pokemon Japanese Triplet Beat,Delibird #24,$1.38
4947422,Pokemon Japanese Triplet Beat,Dendra #66,$1.39
4947449,Pokemon Japanese Triplet Beat,Dendra #92,$7.35
4947456,Pokemon Japanese Triplet Beat,Dendra #99,$46.51
4947400,Pokemon Japanese Triplet Beat,Diglett #44,$1.55
4947401,Pokemon Japanese Triplet Beat,Dugtrio #45,$1.80
4947407,Pokemon Japanese Triplet Beat,Falinks #51,$0.93
4947424,Pokemon Japanese Triplet Beat,Falkner #68,$1.27
4947451,Pokemon Japanese Triplet Beat,Falkner #94,$2.80
4947381,Pokemon Japanese Triplet Beat,Floatzel #26,$0.51
4947362,Pokemon Japanese Triplet Beat,Floragato #6,$1.29
4947433,Pokemon Japanese Triplet Beat,Floragato #76,$6.99
4947358,Pokemon Japanese Triplet Beat,Foongus #2,$1.39
4947373,Pokemon Japanese Triplet Beat,Fuecoco #17,$1.50
4947374,Pokemon Japanese Triplet Beat,Fuecoco #18,$1.52
4947435,Pokemon Japanese Triplet Beat,Fuecoco #78,$14.27
4947421,Pokemon Japanese Triplet Beat,Great Ball #65,$1.50
4947393,Pokemon Japanese Triplet Beat,Grumpig #37,$1.84
4947419,Pokemon Japanese Triplet Beat,Gumshoos #63,$1.75
4947379,Pokemon Japanese Triplet Beat,Gyarados #23,$1.99
4947404,Pokemon Japanese Triplet Beat,Hariyama #48,$1.50
4947415,Pokemon Japanese Triplet Beat,Hydreigon #59,$1.17
4947429,Pokemon Japanese Triplet Beat,Jet Energy #72,$1.75
4947389,Pokemon Japanese Triplet Beat,Kilowattrel #33,$18.48
4947368,Pokemon Japanese Triplet Beat,Larvesta #12,$1.94
4947427,Pokemon Japanese Triplet Beat,Lesson Studio #71,$1.49
4947370,Pokemon Japanese Triplet Beat,Litleo #14,$0.91
4947366,Pokemon Japanese Triplet Beat,Lokix #10,$1.36
4947430,Pokemon Japanese Triplet Beat,Luminous Energy #73,$2.02
4947406,Pokemon Japanese Triplet Beat,Lycanroc ex #50,$1.90
4947447,Pokemon Japanese Triplet Beat,Lycanroc ex #90,$3.49
4947378,Pokemon Japanese Triplet Beat,Magikarp #22,$1.79
4947437,Pokemon Japanese Triplet Beat,Magikarp #80,$157.32
4947403,Pokemon Japanese Triplet Beat,Makuhita #47,$1.09
4947443,Pokemon Japanese Triplet Beat,Meowscarada #86,$4.80
4947453,Pokemon Japanese Triplet Beat,Meowscarada #96,$67.49
4947458,Pokemon Japanese Triplet Beat,Meowscarada ex #101,$12.00
4947363,Pokemon Japanese Triplet Beat,Meowscarada ex #7,$2.07
4947390,Pokemon Japanese Triplet Beat,Misdreavus #34,$1.55
4947391,Pokemon Japanese Triplet Beat,Mismagius #35,$1.80
