id,console-name,product-name,loose-price
3439106,Pokemon Japanese Undone Seal,Ancient Technical Machine [Ice] #75,$2.25
3439107,Pokemon Japanese Undone Seal,Ancient Technical Machine [Rock] #76,$2.07
3439108,Pokemon Japanese Undone Seal,Ancient Technical Machine [Steel] #77,$2.49
3439110,Pokemon Japanese Undone Seal,Ancient Tomb #79,$5.00
10803142,Pokemon Japanese Undone Seal,Ancient Tomb [1st Edition] #79,$1.99
3439078,Pokemon Japanese Undone Seal,Banette #47,$9.50
10803152,Pokemon Japanese Undone Seal,Banette [1st Edition] #47,$22.42
3439100,Pokemon Japanese Undone Seal,Beldum #69,$2.83
10803156,Pokemon Japanese Undone Seal,Beldum [1st Edition] #69,$4.11
3439038,Pokemon Japanese Undone Seal,Bellossom #8,$3.66
10803164,Pokemon Japanese Undone Seal,Bellossom [1st Edition] #8,$8.10
13118255,Pokemon Japanese Undone Seal,Booster Box,
13118253,Pokemon Japanese Undone Seal,Booster Pack,
3439097,Pokemon Japanese Undone Seal,Castform #66,$3.79
10803167,Pokemon Japanese Undone Seal,Castform [1st Edition] #66,$3.97
3439079,Pokemon Japanese Undone Seal,Chimecho #48,$11.71
10803171,Pokemon Japanese Undone Seal,Chimecho [1st Edition] #48,$9.79
3439073,Pokemon Japanese Undone Seal,Chinchou #42,$2.00
10803179,Pokemon Japanese Undone Seal,Chinchou [1st Edition] #42,$3.84
3439063,Pokemon Japanese Undone Seal,Clamperl #33,$2.22
10803181,Pokemon Japanese Undone Seal,Clamperl [1st Edition] #33,
3439076,Pokemon Japanese Undone Seal,Claydol #45,$5.36
10803183,Pokemon Japanese Undone Seal,Claydol [1st Edition] #45,$11.50
3439053,Pokemon Japanese Undone Seal,Corsola #23,$2.87
10803186,Pokemon Japanese Undone Seal,Corsola [1st Edition] #23,$4.81
3439037,Pokemon Japanese Undone Seal,Crobat #7,$8.96
10803191,Pokemon Japanese Undone Seal,Crobat [1st Edition] #7,$12.81
3439111,Pokemon Japanese Undone Seal,Desert Ruins #80,$2.46
10803192,Pokemon Japanese Undone Seal,Desert Ruins [1st Edition] #80,
3439091,Pokemon Japanese Undone Seal,Dodrio #60,$3.19
10803193,Pokemon Japanese Undone Seal,Dodrio [1st Edition] #60,
3439090,Pokemon Japanese Undone Seal,Doduo #59,$2.67
10803194,Pokemon Japanese Undone Seal,Doduo [1st Edition] #59,$1.80
