id,console-name,product-name,loose-price
3404819,Pokemon Japanese VMAX Climax,Abomasnow #185,$3.01
3404642,Pokemon Japanese VMAX Climax,Abomasnow #8,$1.60
3404782,Pokemon Japanese VMAX Climax,Acerola's Premonition #148,$1.87
3404889,Pokemon Japanese VMAX Climax,Acerola's Premonition #255,$28.43
3404791,Pokemon Japanese VMAX Climax,Adventurer's Discovery #157,$1.50
3671323,Pokemon Japanese VMAX Climax,Adventurer's Discovery #267,$4.99
3404779,Pokemon Japanese VMAX Climax,Air Balloon #145,$1.90
8475617,Pokemon Japanese VMAX Climax,Air Balloon [Reverse Holo] #145,$0.75
3404835,Pokemon Japanese VMAX Climax,Alcremie #201,$3.46
3404715,Pokemon Japanese VMAX Climax,Alcremie #81,$2.41
8330330,Pokemon Japanese VMAX Climax,Alcremie [Reverse Holo] #81,$1.14
3404890,Pokemon Japanese VMAX Climax,Allister #256,$4.99
3404646,Pokemon Japanese VMAX Climax,Applin #12,$1.48
3404839,Pokemon Japanese VMAX Climax,Ariados #205,$2.94
3404732,Pokemon Japanese VMAX Climax,Ariados #98,$1.50
8330340,Pokemon Japanese VMAX Climax,Ariados [Reverse Holo] #98,$1.50
3404805,Pokemon Japanese VMAX Climax,Aromatic Grass Energy #171,$1.67
3404815,Pokemon Japanese VMAX Climax,Aurora Energy #181,$0.99
5728592,Pokemon Japanese VMAX Climax,Aurora Energy [Reverse Holo] #181,$1.80
3404831,Pokemon Japanese VMAX Climax,Banette #197,$3.38
3404699,Pokemon Japanese VMAX Climax,Banette #65,$1.87
3404895,Pokemon Japanese VMAX Climax,Bea #261,$9.87
3404637,Pokemon Japanese VMAX Climax,Beedrill #3,$1.49
3404789,Pokemon Japanese VMAX Climax,Bird Keeper #155,$1.49
3404653,Pokemon Japanese VMAX Climax,Blaziken V #19,$1.93
3404850,Pokemon Japanese VMAX Climax,Blaziken V #216,$23.68
3404654,Pokemon Japanese VMAX Climax,Blaziken VMAX #20,$2.54
3404851,Pokemon Japanese VMAX Climax,Blaziken VMAX #217,$24.17
3404643,Pokemon Japanese VMAX Climax,Blipbug #9,$1.57
8330336,Pokemon Japanese VMAX Climax,Blipbug [Reverse Holo] #9,$1.74
3404761,Pokemon Japanese VMAX Climax,Blissey V #127,$1.73
3404888,Pokemon Japanese VMAX Climax,Blissey V #254,$15.15
3404859,Pokemon Japanese VMAX Climax,Boltund V #225,$10.95
3404689,Pokemon Japanese VMAX Climax,Boltund V #55,$1.93
4556326,Pokemon Japanese VMAX Climax,Booster Box,$204.00
5362611,Pokemon Japanese VMAX Climax,Booster Pack,$21.27
3404792,Pokemon Japanese VMAX Climax,Boss's Orders #158,$1.39
3404902,Pokemon Japanese VMAX Climax,Boss's Orders #268,$4.10
3404747,Pokemon Japanese VMAX Climax,Bronzong #113,$1.00
3404842,Pokemon Japanese VMAX Climax,Bronzong #208,$3.99
3404746,Pokemon Japanese VMAX Climax,Bronzor #112,$1.36
8670177,Pokemon Japanese VMAX Climax,Bronzor [Reverse Holo] #112,$1.70
3404787,Pokemon Japanese VMAX Climax,Bruno #153,$1.50
4034832,Pokemon Japanese VMAX Climax,Cafe Master #159,$1.32
3671324,Pokemon Japanese VMAX Climax,Cafe Master #271,$2.67
3404771,Pokemon Japanese VMAX Climax,Capacious Bucket #137,$1.50
3404777,Pokemon Japanese VMAX Climax,Cape of Toughness #143,$1.78
3404816,Pokemon Japanese VMAX Climax,Capture Energy #182,$1.53
3404762,Pokemon Japanese VMAX Climax,Castform #128,$2.02
3404845,Pokemon Japanese VMAX Climax,Castform #211,$3.10
3404666,Pokemon Japanese VMAX Climax,Castform Rainy Form #32,$1.95
3404667,Pokemon Japanese VMAX Climax,Castform Snowy Form #33,$1.67
3404655,Pokemon Japanese VMAX Climax,Castform Sunny Form #21,$1.75
8964783,Pokemon Japanese VMAX Climax,Castform Sunny Form [Reverse Holo] #21,$2.84
8330334,Pokemon Japanese VMAX Climax,Castform [Reverse Holo] #128,$1.89
3404852,Pokemon Japanese VMAX Climax,Centiskorch V #218,$4.50
3404656,Pokemon Japanese VMAX Climax,Centiskorch V #22,$1.50
3404853,Pokemon Japanese VMAX Climax,Centiskorch VMAX #219,$8.21
3404657,Pokemon Japanese VMAX Climax,Centiskorch VMAX #23,$1.52
5836044,Pokemon Japanese VMAX Climax,Chameleon [Reverse Holo] #16,$2.49
3404651,Pokemon Japanese VMAX Climax,Charizard #17,$3.25
3404821,Pokemon Japanese VMAX Climax,Charizard #187,$19.06
4695526,Pokemon Japanese VMAX Climax,Charizard [Incorrect Holo Error] #17,$87.49
3404649,Pokemon Japanese VMAX Climax,Charmander #15,$2.14
3404650,Pokemon Japanese VMAX Climax,Charmeleon #16,$1.89
3404640,Pokemon Japanese VMAX Climax,Cherrim #6,$1.99
8330337,Pokemon Japanese VMAX Climax,Cherrubi [Reverse Holo] #5,
3404639,Pokemon Japanese VMAX Climax,Cherubi #5,$1.49
3404796,Pokemon Japanese VMAX Climax,Cheryl #162,$1.27
3404776,Pokemon Japanese VMAX Climax,Cleansing Gloves #142,$1.49
3404812,Pokemon Japanese VMAX Climax,Coating Metal Energy #178,$2.09
3404748,Pokemon Japanese VMAX Climax,Cobalion #114,$1.99
3404894,Pokemon Japanese VMAX Climax,Cook #260,$4.56
3404749,Pokemon Japanese VMAX Climax,Corviknight V #115,$1.89
3404882,Pokemon Japanese VMAX Climax,Corviknight V #248,$8.44
3404750,Pokemon Japanese VMAX Climax,Corviknight VMAX #116,$2.08
3404883,Pokemon Japanese VMAX Climax,Corviknight VMAX #249,$9.96
3404703,Pokemon Japanese VMAX Climax,Cresselia #69,$1.99
3404877,Pokemon Japanese VMAX Climax,Crobat V #243,$9.66
3404733,Pokemon Japanese VMAX Climax,Crobat V #99,$1.72
5404795,Pokemon Japanese VMAX Climax,Darkness Energy #DAR,$1.65
3404834,Pokemon Japanese VMAX Climax,Dedenne #200,$8.02
3404707,Pokemon Japanese VMAX Climax,Dedenne #73,$2.24
8829058,Pokemon Japanese VMAX Climax,Dedenne [Reverse Holo] #73,$2.50
3404712,Pokemon Japanese VMAX Climax,Dottler #78,$1.59
3404671,Pokemon Japanese VMAX Climax,Drizzile #37,$1.58
9411242,Pokemon Japanese VMAX Climax,Drizzile [Reverse Holo] #37,$1.40
3404755,Pokemon Japanese VMAX Climax,Druddigon #121,$1.04
3404843,Pokemon Japanese VMAX Climax,Druddigon #209,$5.18
8330326,Pokemon Japanese VMAX Climax,Druddigon [Reverse Holo] #121,$1.49
3404756,Pokemon Japanese VMAX Climax,Duraludon V #122,$1.59
3404757,Pokemon Japanese VMAX Climax,Duraludon VMAX #123,$1.77
3404887,Pokemon Japanese VMAX Climax,Duraludon VMAX #253,$10.00
3404919,Pokemon Japanese VMAX Climax,Duraludon VMAX #285,$6.55
3404701,Pokemon Japanese VMAX Climax,Dusclops #67,$3.39
3404832,Pokemon Japanese VMAX Climax,Dusknoir #198,$2.88
3404702,Pokemon Japanese VMAX Climax,Dusknoir #68,$1.25
3404700,Pokemon Japanese VMAX Climax,Duskull #66,$1.36
8330331,Pokemon Japanese VMAX Climax,Duskull [Reverse Holo] #66,$1.50
3404774,Pokemon Japanese VMAX Climax,Echoing Horn #140,$1.50
3404759,Pokemon Japanese VMAX Climax,Eevee #125,$2.65
3404844,Pokemon Japanese VMAX Climax,Eevee #210,$15.02
3404675,Pokemon Japanese VMAX Climax,Eiscue #41,$1.67
3404682,Pokemon Japanese VMAX Climax,Electrode #48,$1.32
3404764,Pokemon Japanese VMAX Climax,Escape Rope #130,$1.60
3404743,Pokemon Japanese VMAX Climax,Eternatus V #109,$1.67
3404880,Pokemon Japanese VMAX Climax,Eternatus V #246,$5.19
3404744,Pokemon Japanese VMAX Climax,Eternatus VMAX #110,$2.32
3404881,Pokemon Japanese VMAX Climax,Eternatus VMAX #247,$9.29
3404838,Pokemon Japanese VMAX Climax,Falinks #204,$3.74
3404723,Pokemon Japanese VMAX Climax,Falinks #89,$1.76
8330332,Pokemon Japanese VMAX Climax,Falinks [Reverse Holo] #89,$1.77
8330327,Pokemon Japanese VMAX Climax,Fan Of Waves [Reverse Holo] #131,$1.79
3404765,Pokemon Japanese VMAX Climax,Fan of Waves #131,$1.56
5404794,Pokemon Japanese VMAX Climax,Fighting Energy #FIG,$1.00
5404790,Pokemon Japanese VMAX Climax,Fire Energy [Holo] #FIR,$2.41
3404828,Pokemon Japanese VMAX Climax,Flaaffy #194,$6.50
3404686,Pokemon Japanese VMAX Climax,Flaaffy #52,$1.76
3404647,Pokemon Japanese VMAX Climax,Flapple #13,$1.39
3404820,Pokemon Japanese VMAX Climax,Flapple #186,$3.45
3404652,Pokemon Japanese VMAX Climax,Flareon #18,$1.98
3404822,Pokemon Japanese VMAX Climax,Flareon #188,$17.66
11364612,Pokemon Japanese VMAX Climax,Flareon [Reverse Holo] #18,$2.42
3404769,Pokemon Japanese VMAX Climax,Fog Crystal #135,$1.62
8330341,Pokemon Japanese VMAX Climax,Fog Crystal [Reverse Holo] #135,$1.76
3404783,Pokemon Japanese VMAX Climax,Friends in Galar #149,$2.38
3404892,Pokemon Japanese VMAX Climax,Friends in Galar #258,$19.77
3404669,Pokemon Japanese VMAX Climax,Froslass #35,$1.66
3404826,Pokemon Japanese VMAX Climax,Frosmoth #192,$3.77
3404674,Pokemon Japanese VMAX Climax,Frosmoth #40,$1.47
3404864,Pokemon Japanese VMAX Climax,Galarian Articuno V #230,$8.99
3404694,Pokemon Japanese VMAX Climax,Galarian Articuno V #60,$1.87
3404739,Pokemon Japanese VMAX Climax,Galarian Linoone #105,$1.79
3404876,Pokemon Japanese VMAX Climax,Galarian Moltres V #242,$12.00
3404730,Pokemon Japanese VMAX Climax,Galarian Moltres V #96,$1.99
3404661,Pokemon Japanese VMAX Climax,Galarian Mr. Mime #27,$1.71
3404662,Pokemon Japanese VMAX Climax,Galarian Mr. Rime #28,$1.96
3404740,Pokemon Japanese VMAX Climax,Galarian Obstagoon #106,$1.85
3404841,Pokemon Japanese VMAX Climax,Galarian Obstagoon #207,$2.97
3404871,Pokemon Japanese VMAX Climax,Galarian Zapdos V #237,$9.42
3404718,Pokemon Japanese VMAX Climax,Galarian Zapdos V #84,$1.96
3404738,Pokemon Japanese VMAX Climax,Galarian Zigzagoon #104,$1.65
3404719,Pokemon Japanese VMAX Climax,Gallade #85,$1.89
3404830,Pokemon Japanese VMAX Climax,Gardevoir #196,$5.95
3404697,Pokemon Japanese VMAX Climax,Gardevoir #63,$2.08
3404797,Pokemon Japanese VMAX Climax,Gloria #163,$1.45
3404910,Pokemon Japanese VMAX Climax,Gloria #276,$21.80
8330335,Pokemon Japanese VMAX Climax,Gloria [Reverse Holo] #163,$2.10
3404904,Pokemon Japanese VMAX Climax,Gordie #270,$3.00
5404789,Pokemon Japanese VMAX Climax,Grass Energy [Holo] #GRA,$1.62
3404806,Pokemon Japanese VMAX Climax,Heat Fire Energy #172,$1.74
8330329,Pokemon Japanese VMAX Climax,Heat Fire Energy [Reverse Holo] #172,$1.80
3404811,Pokemon Japanese VMAX Climax,Hiding Darkness Energy #177,$1.64
3404742,Pokemon Japanese VMAX Climax,Hoopa #108,$1.38
3404809,Pokemon Japanese VMAX Climax,Horror Psychic Energy #175,$1.49
8330328,Pokemon Japanese VMAX Climax,Horror Psychic Energy [Reverse Holo] #175,$2.00
3404658,Pokemon Japanese VMAX Climax,Horsea #24,$1.89
3404737,Pokemon Japanese VMAX Climax,Houndoom #103,$1.99
3404840,Pokemon Japanese VMAX Climax,Houndoom #206,$3.37
3404736,Pokemon Japanese VMAX Climax,Houndour #102,$1.82
3404778,Pokemon Japanese VMAX Climax,Hunting Gloves #144,$1.76
3404854,Pokemon Japanese VMAX Climax,Ice Rider Calyrex V #220,$7.59
3404677,Pokemon Japanese VMAX Climax,Ice Rider Calyrex V #43,$1.53
3404855,Pokemon Japanese VMAX Climax,Ice Rider Calyrex VMAX #221,$7.61
3404912,Pokemon Japanese VMAX Climax,Ice Rider Calyrex VMAX #278,$7.90
3404678,Pokemon Japanese VMAX Climax,Ice Rider Calyrex VMAX #44,$1.99
3404705,Pokemon Japanese VMAX Climax,Inkay #71,$1.41
8829057,Pokemon Japanese VMAX Climax,Inkay [Reverse Holo] #71,$2.09
3404672,Pokemon Japanese VMAX Climax,Inteleon #38,$1.89
3404827,Pokemon Japanese VMAX Climax,Jolteon #193,$12.99
3404683,Pokemon Japanese VMAX Climax,Jolteon #49,$2.49
3404896,Pokemon Japanese VMAX Climax,Judge #262,$3.49
3404891,Pokemon Japanese VMAX Climax,Kabu #257,$3.99
3404636,Pokemon Japanese VMAX Climax,Kakuna #2,$1.62
6329295,Pokemon Japanese VMAX Climax,Kakuna [Reverse Holo] #2,$1.49
3404824,Pokemon Japanese VMAX Climax,Kingdra #190,$9.89
3404660,Pokemon Japanese VMAX Climax,Kingdra #26,$1.39
3404696,Pokemon Japanese VMAX Climax,Kirlia #62,$1.54
8829052,Pokemon Japanese VMAX Climax,Kirlia [Reverse Holo] #62,$1.87
3404785,Pokemon Japanese VMAX Climax,Klara #151,$2.03
8500503,Pokemon Japanese VMAX Climax,Klara [Reverse Holo] #151,$1.77
3404786,Pokemon Japanese VMAX Climax,Korrina's Focus #152,$2.23
5434451,Pokemon Japanese VMAX Climax,Korrina's Focus [Reverse Holo] #152,$1.50
3404847,Pokemon Japanese VMAX Climax,Kricketune V #213,$4.99
3404638,Pokemon Japanese VMAX Climax,Kricketune V #4,$1.29
3404725,Pokemon Japanese VMAX Climax,Kubfu #91,$1.87
9032796,Pokemon Japanese VMAX Climax,Kubfu [Reverse Holo] #91,$5.00
3404788,Pokemon Japanese VMAX Climax,Leon #154,$1.24
3404775,Pokemon Japanese VMAX Climax,Level Ball #141,$1.80
5404792,Pokemon Japanese VMAX Climax,Lightning Energy #LIG,$0.99
3404721,Pokemon Japanese VMAX Climax,Lycanroc #87,$1.21
3404833,Pokemon Japanese VMAX Climax,Malamar #199,$2.26
3404706,Pokemon Japanese VMAX Climax,Malamar #72,$1.88
8330339,Pokemon Japanese VMAX Climax,Malamar [Reverse Holo] #72,$1.65
3404685,Pokemon Japanese VMAX Climax,Mareep #51,$1.88
8879360,Pokemon Japanese VMAX Climax,Mareep [Reverse Holo] #51,$1.78
3404794,Pokemon Japanese VMAX Climax,Marnie #160,$1.91
3404795,Pokemon Japanese VMAX Climax,Melony #161,$2.16
3404908,Pokemon Japanese VMAX Climax,Melony #274,$6.60
3404781,Pokemon Japanese VMAX Climax,Memory Capsule #147,$1.50
5404796,Pokemon Japanese VMAX Climax,Metal Energy #MET,$1.22
3404914,Pokemon Japanese VMAX Climax,Mew VMAX #280,$45.00
3404714,Pokemon Japanese VMAX Climax,Milcery #80,$1.74
5434442,Pokemon Japanese VMAX Climax,Milcery [Reverse Holo] #80,$1.59
3404909,Pokemon Japanese VMAX Climax,Milo #275,$4.62
3404867,Pokemon Japanese VMAX Climax,Mimikyu V #233,$50.52
3404710,Pokemon Japanese VMAX Climax,Mimikyu V #76,$2.49
3404868,Pokemon Japanese VMAX Climax,Mimikyu VMAX #234,$48.64
3404711,Pokemon Japanese VMAX Climax,Mimikyu VMAX #77,$6.00
3404860,Pokemon Japanese VMAX Climax,Morpeko V #226,$20.94
3404861,Pokemon Japanese VMAX Climax,Morpeko V #227,$4.26
3404862,Pokemon Japanese VMAX Climax,Morpeko V #228,$4.36
3404863,Pokemon Japanese VMAX Climax,Morpeko V #229,$19.99
3404690,Pokemon Japanese VMAX Climax,Morpeko V-UNION #56,$2.24
3404691,Pokemon Japanese VMAX Climax,Morpeko V-UNION #57,$1.89
3404692,Pokemon Japanese VMAX Climax,Morpeko V-UNION #58,$2.04
3404693,Pokemon Japanese VMAX Climax,Morpeko V-UNION #59,$4.69
3404798,Pokemon Japanese VMAX Climax,Nessa #164,$1.19
3404911,Pokemon Japanese VMAX Climax,Nessa #277,$18.13
3404825,Pokemon Japanese VMAX Climax,Octillery #191,$3.17
3404665,Pokemon Japanese VMAX Climax,Octillery #31,$1.39
3404802,Pokemon Japanese VMAX Climax,Old Cemetery #168,$1.42
3404903,Pokemon Japanese VMAX Climax,Opal #269,$4.01
3404763,Pokemon Japanese VMAX Climax,Oranguru #129,$1.39
3404846,Pokemon Japanese VMAX Climax,Oranguru #212,$2.97
3404713,Pokemon Japanese VMAX Climax,Orbeetle #79,$1.08
3404644,Pokemon Japanese VMAX Climax,Orbeetle V #10,$2.28
3404848,Pokemon Japanese VMAX Climax,Orbeetle V #214,$5.69
3404645,Pokemon Japanese VMAX Climax,Orbeetle VMAX #11,$1.92
3404849,Pokemon Japanese VMAX Climax,Orbeetle VMAX #215,$10.50
3404773,Pokemon Japanese VMAX Climax,Ordinary Rod #139,$1.62
3404837,Pokemon Japanese VMAX Climax,Passimian #203,$2.50
3404722,Pokemon Japanese VMAX Climax,Passimian #88,$1.41
8870951,Pokemon Japanese VMAX Climax,Passimian [Reverse Holo] #88,$2.17
8475484,Pokemon Japanese VMAX Climax,Path To The Peak [Reverse Holo] #167,$1.79
3404801,Pokemon Japanese VMAX Climax,Path to the Peak #167,$1.42
3404790,Pokemon Japanese VMAX Climax,Peony #156,$1.50
3404898,Pokemon Japanese VMAX Climax,Piers #264,$5.68
3404856,Pokemon Japanese VMAX Climax,Pikachu V #222,$82.85
3404679,Pokemon Japanese VMAX Climax,Pikachu V #45,$3.53
3404857,Pokemon Japanese VMAX Climax,Pikachu VMAX #223,$95.85
3404913,Pokemon Japanese VMAX Climax,Pikachu VMAX #279,$28.99
3404680,Pokemon Japanese VMAX Climax,Pikachu VMAX #46,$6.49
3404813,Pokemon Japanese VMAX Climax,Powerful Colorless Energy #179,$1.87
3404899,Pokemon Japanese VMAX Climax,Professor Burnet #265,$4.94
3404900,Pokemon Japanese VMAX Climax,Professor's Research #266,$9.04
5404793,Pokemon Japanese VMAX Climax,Psychic Energy #PSY,$1.32
3404784,Pokemon Japanese VMAX Climax,Raihan #150,$1.50
3404893,Pokemon Japanese VMAX Climax,Raihan #259,$5.70
3404695,Pokemon Japanese VMAX Climax,Ralts #61,$1.74
3404818,Pokemon Japanese VMAX Climax,Rapid Strike Energy #184,$1.53
3404907,Pokemon Japanese VMAX Climax,Rapid Strike Style Mustard #273,$4.18
3404676,Pokemon Japanese VMAX Climax,Rapid Strike Urshifu #42,$1.84
3404874,Pokemon Japanese VMAX Climax,Rapid Strike Urshifu V #240,$6.20
3404728,Pokemon Japanese VMAX Climax,Rapid Strike Urshifu V #94,$1.70
3404875,Pokemon Japanese VMAX Climax,Rapid Strike Urshifu VMAX #241,$11.89
3404917,Pokemon Japanese VMAX Climax,Rapid Strike Urshifu VMAX #283,$5.73
3404729,Pokemon Japanese VMAX Climax,Rapid Strike Urshifu VMAX #95,$1.99
3404753,Pokemon Japanese VMAX Climax,Rayquaza V #119,$2.12
3404754,Pokemon Japanese VMAX Climax,Rayquaza VMAX #120,$5.94
3404886,Pokemon Japanese VMAX Climax,Rayquaza VMAX #252,$142.00
3404918,Pokemon Japanese VMAX Climax,Rayquaza VMAX #284,$61.50
3404664,Pokemon Japanese VMAX Climax,Remoraid #30,$1.50
3404836,Pokemon Japanese VMAX Climax,Rockruff #202,$4.00
3404720,Pokemon Japanese VMAX Climax,Rockruff #86,$1.93
8870950,Pokemon Japanese VMAX Climax,Rockruff [Reverse Holo] #86,$1.99
3404799,Pokemon Japanese VMAX Climax,Rose #165,$1.19
4914150,Pokemon Japanese VMAX Climax,Rose [Reverse Holo] #165,$1.65
3404767,Pokemon Japanese VMAX Climax,Scoop Up Net #133,$1.95
3404659,Pokemon Japanese VMAX Climax,Seadra #25,$1.33
8330338,Pokemon Japanese VMAX Climax,Seadra [Reverse Holo] #25,$1.79
3404869,Pokemon Japanese VMAX Climax,Shadow Rider Calyrex V #235,$8.50
3404716,Pokemon Japanese VMAX Climax,Shadow Rider Calyrex V #82,$1.74
3404870,Pokemon Japanese VMAX Climax,Shadow Rider Calyrex VMAX #236,$12.10
3404915,Pokemon Japanese VMAX Climax,Shadow Rider Calyrex VMAX #281,$6.95
3404717,Pokemon Japanese VMAX Climax,Shadow Rider Calyrex VMAX #83,$1.74
3404698,Pokemon Japanese VMAX Climax,Shuppet #64,$3.02
8829055,Pokemon Japanese VMAX Climax,Shuppet [Reverse Holo] #64,$1.68
3404704,Pokemon Japanese VMAX Climax,Sigilyph #70,$1.41
3404814,Pokemon Japanese VMAX Climax,Single Strike Energy #180,$1.78
3404906,Pokemon Japanese VMAX Climax,Single Strike Style Mustard #272,$2.92
3404745,Pokemon Japanese VMAX Climax,Single Strike Urshifu #111,$1.49
3404872,Pokemon Japanese VMAX Climax,Single Strike Urshifu V #238,$5.63
