id,console-name,product-name,loose-price
11742988,Pokemon Japanese VS,Ash's Torkoal #9,$8.99
6635221,Pokemon Japanese VS,Aura's Lucario #12,$30.01
3438101,Pokemon Japanese VS,Blaine's Magcargo #71,$18.87
3438100,Pokemon Japanese VS,Blaine's Typhlosion #70,$84.78
13118527,Pokemon Japanese VS,Booster Pack [Fighting/Psychic],$2827.00
13118526,Pokemon Japanese VS,Booster Pack [Grass/Lightning],$1874.46
13118525,Pokemon Japanese VS,Booster Pack [Water/Fire],$4800.00
10215896,Pokemon Japanese VS,Brock's Forretress #11,$6.96
3438099,Pokemon Japanese VS,Brock's Kabutops #69,$43.90
3438098,Pokemon Japanese VS,Brock's Omastar #68,$19.74
3438113,Pokemon Japanese VS,Bruno's Hitmonchan #83,$48.00
3438112,Pokemon Japanese VS,Bruno's Hitmonlee #82,$80.00
3438116,Pokemon Japanese VS,Bruno's Hitmontop #86,$109.98
3438111,Pokemon Japanese VS,Bruno's Machamp #81,$107.19
3438114,Pokemon Japanese VS,Bruno's Steelix #84,$228.50
3438153,Pokemon Japanese VS,Bruno's TM 01 #123,$6.54
3438154,Pokemon Japanese VS,Bruno's TM 02 #124,$13.75
3438115,Pokemon Japanese VS,Bruno's Ursaring #85,$46.87
3438039,Pokemon Japanese VS,Bugsy's Beedrill #9,$27.80
3438038,Pokemon Japanese VS,Bugsy's Butterfree #8,$39.99
3438041,Pokemon Japanese VS,Bugsy's Ledian #11,$19.49
3438040,Pokemon Japanese VS,Bugsy's Pinsir #10,$21.50
3438043,Pokemon Japanese VS,Bugsy's Scizor #13,$294.25
3438135,Pokemon Japanese VS,Bugsy's TM 01 #105,$14.99
3438136,Pokemon Japanese VS,Bugsy's TM 02 #106,$10.83
3438042,Pokemon Japanese VS,Bugsy's Yanma #12,$11.00
3438068,Pokemon Japanese VS,Chuck's Donphan #38,$11.69
3438067,Pokemon Japanese VS,Chuck's Granbull #37,$14.01
3438064,Pokemon Japanese VS,Chuck's Poliwrath #34,$45.50
3438063,Pokemon Japanese VS,Chuck's Primeape #33,$40.00
3438065,Pokemon Japanese VS,Chuck's Rhydon #35,$30.00
3438143,Pokemon Japanese VS,Chuck's TM 01 #113,$6.37
3438144,Pokemon Japanese VS,Chuck's TM 02 #114,$11.82
3438066,Pokemon Japanese VS,Chuck's Tauros #36,$19.72
3438076,Pokemon Japanese VS,Clair's Blastoise #46,$100.00
3438079,Pokemon Japanese VS,Clair's Dragonite #49,$146.30
3438078,Pokemon Japanese VS,Clair's Gyarados #48,$79.17
3438077,Pokemon Japanese VS,Clair's Jynx #47,$26.00
3438082,Pokemon Japanese VS,Clair's Kingdra #52,$31.93
3438081,Pokemon Japanese VS,Clair's Mantine #51,$15.28
