id,console-name,product-name,loose-price
4447665,Pokemon Japanese VSTAR Universe,Absol #191,$5.80
4447558,Pokemon Japanese VSTAR Universe,Absol #83,$1.98
4447630,Pokemon Japanese VSTAR Universe,Adaman #155,$1.27
4447714,Pokemon Japanese VSTAR Universe,Adaman #240,$8.63
4447579,Pokemon Japanese VSTAR Universe,Altaria #104,$1.82
4447668,Pokemon Japanese VSTAR Universe,Altaria #194,$5.00
6680804,Pokemon Japanese VSTAR Universe,Altaria [Reverse Holo] #104,$1.99
4447601,Pokemon Japanese VSTAR Universe,Arceus V #126,$2.03
4447602,Pokemon Japanese VSTAR Universe,Arceus VSTAR #127,$2.23
4447736,Pokemon Japanese VSTAR Universe,Arceus VSTAR #262,$160.99
4447597,Pokemon Japanese VSTAR Universe,Bibarel #122,$1.07
4447674,Pokemon Japanese VSTAR Universe,Bibarel #200,$3.14
4447596,Pokemon Japanese VSTAR Universe,Bidoof #121,$1.61
4447678,Pokemon Japanese VSTAR Universe,Bidoof #204,$11.88
6680808,Pokemon Japanese VSTAR Universe,Bidoof [Reverse Holo] #121,$1.77
4447475,Pokemon Japanese VSTAR Universe,Booster Box,$190.25
4447474,Pokemon Japanese VSTAR Universe,Booster Pack,$43.00
4447636,Pokemon Japanese VSTAR Universe,Boss's Orders #161,$1.04
4447724,Pokemon Japanese VSTAR Universe,Boss's Orders #250,$4.37
4447574,Pokemon Japanese VSTAR Universe,Bronzong #99,$0.99
4447573,Pokemon Japanese VSTAR Universe,Bronzor #98,$1.53
6680813,Pokemon Japanese VSTAR Universe,Bronzor [Reverse Holo] #98,$1.95
4447488,Pokemon Japanese VSTAR Universe,Charizard V #13,$5.00
4447685,Pokemon Japanese VSTAR Universe,Charizard V #211,$42.00
4447489,Pokemon Japanese VSTAR Universe,Charizard VSTAR #14,$5.13
4447686,Pokemon Japanese VSTAR Universe,Charizard VSTAR #212,$103.14
4447631,Pokemon Japanese VSTAR Universe,Cheren's Care #156,$1.99
4447715,Pokemon Japanese VSTAR Universe,Cheren's Care #241,$6.29
6680814,Pokemon Japanese VSTAR Universe,Cheren's Care [Reverse Holo] #156,$2.01
4447638,Pokemon Japanese VSTAR Universe,Cheryl #163,$1.75
6680816,Pokemon Japanese VSTAR Universe,Cheryl [Reverse Holo] #163,$1.75
4447620,Pokemon Japanese VSTAR Universe,Choice Belt #145,$1.99
6680817,Pokemon Japanese VSTAR Universe,Choice Belt [Reverse Holo] #145,$1.50
4447642,Pokemon Japanese VSTAR Universe,Collapsed Stadium #167,$1.56
6680818,Pokemon Japanese VSTAR Universe,Collapsed Stadium [Reverse Holo] #167,$2.19
4447623,Pokemon Japanese VSTAR Universe,Colress's Experiment #148,$1.47
4447709,Pokemon Japanese VSTAR Universe,Colress's Experiment #235,$5.55
6680819,Pokemon Japanese VSTAR Universe,Colress's Experiment [Reverse Holo] #148,$1.65
4447661,Pokemon Japanese VSTAR Universe,Comfey #187,$2.67
4447539,Pokemon Japanese VSTAR Universe,Comfey #64,$1.77
6680821,Pokemon Japanese VSTAR Universe,Comfey [Reverse Holo] #64,$2.00
4447628,Pokemon Japanese VSTAR Universe,Cynthia's Ambition #153,$1.68
6680823,Pokemon Japanese VSTAR Universe,Cynthia's Ambition [Reverse Holo] #153,$1.49
4447713,Pokemon Japanese VSTAR Universe,Cynthia's Aspiration #239,$40.43
4447611,Pokemon Japanese VSTAR Universe,Damage Pump #136,$1.62
6680825,Pokemon Japanese VSTAR Universe,Damage Pump [Reverse Holo] #136,$1.79
4447610,Pokemon Japanese VSTAR Universe,Dark Patch #135,$0.71
6135581,Pokemon Japanese VSTAR Universe,Dark Patch [Reverse Holo] #135,$1.98
4447731,Pokemon Japanese VSTAR Universe,Darkness Energy #257,$2.24
4447702,Pokemon Japanese VSTAR Universe,Darkrai VSTAR #228,$53.84
4447659,Pokemon Japanese VSTAR Universe,Deoxys #185,$12.79
4447535,Pokemon Japanese VSTAR Universe,Deoxys #60,$1.78
4447696,Pokemon Japanese VSTAR Universe,Deoxys VMAX #222,$26.46
4447697,Pokemon Japanese VSTAR Universe,Deoxys VSTAR #223,$32.39
5135172,Pokemon Japanese VSTAR Universe,Diamond Clan Special Set,$112.76
4447660,Pokemon Japanese VSTAR Universe,Diancie #186,$4.09
4447538,Pokemon Japanese VSTAR Universe,Diancie #63,$1.42
4447592,Pokemon Japanese VSTAR Universe,Ditto #117,$1.99
4447671,Pokemon Japanese VSTAR Universe,Ditto #197,$9.37
4447645,Pokemon Japanese VSTAR Universe,Double Turbo Energy #171,$1.59
5489372,Pokemon Japanese VSTAR Universe,Double Turbo Energy [Reverse Holo] #171,$1.53
4447701,Pokemon Japanese VSTAR Universe,Drapion V #227,$7.15
4447560,Pokemon Japanese VSTAR Universe,Drapion V #85,$1.16
4447593,Pokemon Japanese VSTAR Universe,Dunsparce #118,$1.36
4447672,Pokemon Japanese VSTAR Universe,Dunsparce #198,$2.75
6680834,Pokemon Japanese VSTAR Universe,Dunsparce [Reverse Holo] #118,$1.50
