id,console-name,product-name,loose-price
3473875,Pokemon Japanese Vending,Abra [Series 1] #63,$21.00
3473934,Pokemon Japanese Vending,Aerodactyl [Series II] #142,$52.15
5711027,Pokemon Japanese Vending,Alakazam [Masaki Promo] #65,$775.00
3473851,Pokemon Japanese Vending,Arbok [Series III] #24,$16.03
3473936,Pokemon Japanese Vending,Articuno [Series II] #144,$37.48
3473882,Pokemon Japanese Vending,Bellsprout [Series III] #69,$15.28
3473941,Pokemon Japanese Vending,Bill's PC [Series III],$40.83
3473834,Pokemon Japanese Vending,Bulbasaur [Series 1] #1,$67.44
3473842,Pokemon Japanese Vending,Caterpie [Series 1] #10,$27.49
3473914,Pokemon Japanese Vending,Chansey [Series 1] #113,$120.00
6046999,Pokemon Japanese Vending,Charizard & Arcanine,$24.99
3473839,Pokemon Japanese Vending,Charmander [Series 1] #4,$63.03
13067713,Pokemon Japanese Vending,Clefairy [Prism] #1185,
13067711,Pokemon Japanese Vending,Clefairy [Prism] #344,$5.58
12869759,Pokemon Japanese Vending,Clefairy [Prism] #35,$39.99
13067714,Pokemon Japanese Vending,Clefairy [Prism] #356,$4.48
3473861,Pokemon Japanese Vending,Clefairy [Series 1] #35,$29.99
4188827,Pokemon Japanese Vending,Cubone [Glossy] #104,$35.89
3473906,Pokemon Japanese Vending,Cubone [Series III] #104,$54.44
4557658,Pokemon Japanese Vending,Damage from Confusion [Series III],$91.49
4557660,Pokemon Japanese Vending,Deck Battle [Series III],$35.60
4557662,Pokemon Japanese Vending,Deck Exchange [Series III],$40.25
3473895,Pokemon Japanese Vending,Dewgong [Series II] #87,$16.00
3473928,Pokemon Japanese Vending,Ditto [Series II] #132,$74.00
3473878,Pokemon Japanese Vending,Dodrio [Series 1] #65,$9.15
3473893,Pokemon Japanese Vending,Dodrio [Series 1] #85,$8.00
3473892,Pokemon Japanese Vending,Doduo [Series 1] #84,$20.70
4557663,Pokemon Japanese Vending,Dugtrio Team Battle [Series III],$29.99
3473929,Pokemon Japanese Vending,Eevee [Series 1] #133,$35.75
3473923,Pokemon Japanese Vending,Electabuzz [Series II] #125,$13.60
3473850,Pokemon Japanese Vending,Fearow [Series II] #22,$6.63
3473942,Pokemon Japanese Vending,Flash [Series II],$17.99
