id,console-name,product-name,loose-price
4708273,Pokemon Japanese Violet Ex,Annihilape #51,$1.60
4708239,Pokemon Japanese Violet Ex,Arcanine EX #16,$2.00
4708314,Pokemon Japanese Violet Ex,Arcanine EX #92,$10.82
4708326,Pokemon Japanese Violet Ex,Arven #104,$11.55
4708298,Pokemon Japanese Violet Ex,Arven #76,$1.61
4708321,Pokemon Japanese Violet Ex,Arven #99,$5.14
4708263,Pokemon Japanese Violet Ex,Banette EX #41,$1.87
4708317,Pokemon Japanese Violet Ex,Banette EX #95,$3.81
4708282,Pokemon Japanese Violet Ex,Blissey #60,$1.58
4708278,Pokemon Japanese Violet Ex,Bombirdier #56,$1.00
4708311,Pokemon Japanese Violet Ex,Bombirdier #89,$2.45
5063312,Pokemon Japanese Violet Ex,Booster Box,$88.99
8672552,Pokemon Japanese Violet Ex,Booster Pack,$5.31
4708235,Pokemon Japanese Violet Ex,Capsakid #12,$1.58
4708236,Pokemon Japanese Violet Ex,Capsakid #13,$1.00
4708247,Pokemon Japanese Violet Ex,Cetitan #25,$1.25
4708331,Pokemon Japanese Violet Ex,Cetoddle #23,$0.53
4708246,Pokemon Japanese Violet Ex,Cetoddle #24,$1.00
4708281,Pokemon Japanese Violet Ex,Chansey #59,$1.35
4708244,Pokemon Japanese Violet Ex,Clauncher #21,$1.41
4708305,Pokemon Japanese Violet Ex,Clauncher #83,$3.50
4708245,Pokemon Japanese Violet Ex,Clawitzer #22,$1.80
4708290,Pokemon Japanese Violet Ex,Cyclizar #68,$1.00
4708260,Pokemon Japanese Violet Ex,Drowzee #38,$1.82
4708308,Pokemon Japanese Violet Ex,Drowzee #86,$18.26
4708291,Pokemon Japanese Violet Ex,Electro Generator #69,$1.00
4708264,Pokemon Japanese Violet Ex,Flabebe #42,$0.99
4708265,Pokemon Japanese Violet Ex,Floette #43,$1.52
4708266,Pokemon Japanese Violet Ex,Florges #44,$1.34
4708279,Pokemon Japanese Violet Ex,Forretress #57,$8.65
4708268,Pokemon Japanese Violet Ex,Greavard #46,$1.00
4708269,Pokemon Japanese Violet Ex,Greavard #47,$1.41
4708309,Pokemon Japanese Violet Ex,Greavard #87,$5.58
4708284,Pokemon Japanese Violet Ex,Greedent #62,$1.29
4708237,Pokemon Japanese Violet Ex,Growlith #15,$1.35
4708225,Pokemon Japanese Violet Ex,Heracross #2,$1.78
4708241,Pokemon Japanese Violet Ex,Houndoom #18,$1.60
4708240,Pokemon Japanese Violet Ex,Houndour #17,$1.74
4708270,Pokemon Japanese Violet Ex,Houndstone #48,$1.49
4708261,Pokemon Japanese Violet Ex,Hypno #39,$1.75
4708285,Pokemon Japanese Violet Ex,Indeedee #63,$1.58
4708325,Pokemon Japanese Violet Ex,Iron Treads EX #103,$6.39
