id,console-name,product-name,loose-price
3438206,Pokemon Japanese Web,Arcanine #23,$219.55
10803094,Pokemon Japanese Web,Arcanine [1st Edition] #23,$52.77
3438228,Pokemon Japanese Web,Articuno #45,$262.74
10803096,Pokemon Japanese Web,Articuno [1st Edition] #45,$320.00
3438198,Pokemon Japanese Web,Bill's Teleporter #15,$9.96
10803097,Pokemon Japanese Web,Bill's Teleporter [1st Edition] #15,$0.99
8258117,Pokemon Japanese Web,Booster Pack,$2580.20
3438190,Pokemon Japanese Web,Charmeleon #7,$25.90
10803099,Pokemon Japanese Web,Charmeleon [1st Edition] #7,$31.40
3438220,Pokemon Japanese Web,Dark Alakazam #37,$58.95
10803100,Pokemon Japanese Web,Dark Alakazam [1st Edition] #37,$91.75
3438227,Pokemon Japanese Web,Dark Blastoise #44,$499.99
10803103,Pokemon Japanese Web,Dark Blastoise [1st Edition] #44,$569.99
3438224,Pokemon Japanese Web,Dark Charizard #42,$345.20
9843234,Pokemon Japanese Web,Dark Charizard [1st Edition] #42,$615.00
3438205,Pokemon Japanese Web,Dark Charmeleon #22,$53.31
10803105,Pokemon Japanese Web,Dark Charmeleon [1st Edition] #22,$53.45
3438200,Pokemon Japanese Web,Dark Ivysaur #17,$51.55
10803107,Pokemon Japanese Web,Dark Ivysaur [1st Edition] #17,$43.64
3438210,Pokemon Japanese Web,Dark Kadabra #27,$50.45
10022816,Pokemon Japanese Web,Dark Kadabra [1st Edition] #27,$40.42
3438211,Pokemon Japanese Web,Dark Slowbro #28,$107.61
10803110,Pokemon Japanese Web,Dark Slowbro [1st Edition] #28,$109.99
3438225,Pokemon Japanese Web,Dark Venusaur #41,$224.93
10803111,Pokemon Japanese Web,Dark Venusaur [1st Edition] #41,$405.24
3438207,Pokemon Japanese Web,Dark Wartortle #24,$29.49
10803112,Pokemon Japanese Web,Dark Wartortle [1st Edition] #24,$21.81
3438204,Pokemon Japanese Web,Dark Weezing #21,$19.63
10803113,Pokemon Japanese Web,Dark Weezing [1st Edition] #21,$27.00
3438196,Pokemon Japanese Web,Diglett #13,$34.90
9733489,Pokemon Japanese Web,Diglett [1st Edition] #13,$40.97
3438221,Pokemon Japanese Web,Dragonite #38,$196.19
9737180,Pokemon Japanese Web,Dragonite [1st Edition] #38,$198.73
3438212,Pokemon Japanese Web,Dugtrio #29,$22.57
10803117,Pokemon Japanese Web,Dugtrio [1st Edition] #29,$39.99
3438209,Pokemon Japanese Web,Electrode #26,$25.89
10803118,Pokemon Japanese Web,Electrode [1st Edition] #26,$24.55
3438187,Pokemon Japanese Web,Exeggcute #4,$14.66
10022679,Pokemon Japanese Web,Exeggcute [1st Edition] #4,$13.04
3438203,Pokemon Japanese Web,Exeggutor #20,$23.36
10803121,Pokemon Japanese Web,Exeggutor [1st Edition] #20,$2.67
3438230,Pokemon Japanese Web,Gengar #47,$3715.11
6149138,Pokemon Japanese Web,Gengar [1st Edition] #47,$2200.00
3438189,Pokemon Japanese Web,Growlithe #6,$100.09
10803122,Pokemon Japanese Web,Growlithe [1st Edition] #6,$41.04
3438197,Pokemon Japanese Web,Hitmonlee #14,$26.59
10803123,Pokemon Japanese Web,Hitmonlee [1st Edition] #14,$30.75
3438214,Pokemon Japanese Web,Hyper Devolution Spray #31,$7.05
10803125,Pokemon Japanese Web,Hyper Devolution Spray [1st Edition] #31,$57.57
3438184,Pokemon Japanese Web,Ivysaur #1,$24.69
8051601,Pokemon Japanese Web,Ivysaur [1st Edition] #1,$35.04
3438231,Pokemon Japanese Web,Machamp #48,$300.00
10803130,Pokemon Japanese Web,Machamp [1st Edition] #48,$224.37
3438218,Pokemon Japanese Web,Magikarp #35,$500.00
9881498,Pokemon Japanese Web,Magikarp [1st Edition] #35,$279.99
3438193,Pokemon Japanese Web,Marill #10,$21.30
10803134,Pokemon Japanese Web,Marill [1st Edition] #10,$21.00
3438213,Pokemon Japanese Web,Max Revive #30,$7.08
10803137,Pokemon Japanese Web,Max Revive [1st Edition] #30,$9.93
10558706,Pokemon Japanese Web,Meowth [1st Edition] #39,$54.01
3438226,Pokemon Japanese Web,Moltres #43,$227.98
10803139,Pokemon Japanese Web,Moltres [1st Edition] #43,$187.05
9682037,Pokemon Japanese Web,New Pokedex [1st Edition] #16,$14.97
3438216,Pokemon Japanese Web,Nidoking #33,$98.00
10803145,Pokemon Japanese Web,Nidoking [1st Edition] #33,$45.00
3438185,Pokemon Japanese Web,Nidoran #2,$10.00
10803147,Pokemon Japanese Web,Nidoran [1st Edition] #2,$14.02
3438201,Pokemon Japanese Web,Nidorino #18,$16.51
10803148,Pokemon Japanese Web,Nidorino [1st Edition] #18,$13.50
3438217,Pokemon Japanese Web,Ninetales #34,$77.75
9054878,Pokemon Japanese Web,Ninetales [1st Edition] #34,$120.00
9357997,Pokemon Japanese Web,Pokemon Retransfer #32,$13.79
3438219,Pokemon Japanese Web,Raichu #36,$64.54
10803159,Pokemon Japanese Web,Raichu [1st Edition] #36,$81.66
3438223,Pokemon Japanese Web,Rocket's Sneak Attack #40,$47.39
9354864,Pokemon Japanese Web,Rocket's Sneak Attack [1st Edition] #40,$29.99
3438195,Pokemon Japanese Web,Slowpoke #12,$108.83
10803162,Pokemon Japanese Web,Slowpoke [1st Edition] #12,$149.00
3438208,Pokemon Japanese Web,Surfing Pikachu #25,$102.01
10719500,Pokemon Japanese Web,Surfing Pikachu [1st Edition] #25,$140.00
3438188,Pokemon Japanese Web,Tangela #5,$19.87
10803166,Pokemon Japanese Web,Tangela [1st Edition] #5,$10.70
3438222,Pokemon Japanese Web,Team Rocket's Meowth #39,$204.27
10803169,Pokemon Japanese Web,Team Rocket's Meowth [1st Edition] #39,$124.05
3438202,Pokemon Japanese Web,Venomoth #19,$15.88
10803170,Pokemon Japanese Web,Venomoth [1st Edition] #19,$7.19
3438186,Pokemon Japanese Web,Venonat #3,$23.57
10803173,Pokemon Japanese Web,Venonat [1st Edition] #3,$17.49
3438194,Pokemon Japanese Web,Voltorb #11,$10.72
10767885,Pokemon Japanese Web,Voltorb [1st Edition] #11,$13.16
3438191,Pokemon Japanese Web,Vulpix #8,$40.00
8877602,Pokemon Japanese Web,Vulpix [1st Edition] #8,$37.97
3438192,Pokemon Japanese Web,Wartortle #9,$38.75
10803188,Pokemon Japanese Web,Wartortle [1st Edition] #9,$49.99
3438229,Pokemon Japanese Web,Zapdos #46,$222.63
6202562,Pokemon Japanese Web,Zapdos [1st Edition] #46,$204.04
