id,console-name,product-name,loose-price
9647350,Pokemon Japanese White Flare,Accelgor #9,$1.25
9647448,Pokemon Japanese White Flare,Accelgor #94,$5.42
9861840,Pokemon Japanese White Flare,Accelgor [Master Ball] #9,$15.00
9647541,Pokemon Japanese White Flare,Accelgor [Poke Ball] #9,$1.97
9647422,Pokemon Japanese White Flare,Antique Plume Fossil #81,$1.68
9647608,Pokemon Japanese White Flare,Antique Plume Fossil [Poke Ball] #81,$1.69
9683183,Pokemon Japanese White Flare,Archen #129,$4.84
9647388,Pokemon Japanese White Flare,Archen #47,$1.04
9861780,Pokemon Japanese White Flare,Archen [Master Ball] #47,$4.31
9647576,Pokemon Japanese White Flare,Archen [Poke Ball] #47,$2.68
9683389,Pokemon Japanese White Flare,Archeops #130,$5.99
9647389,Pokemon Japanese White Flare,Archeops #48,$1.55
9861784,Pokemon Japanese White Flare,Archeops [Master Ball] #48,$2.88
9647577,Pokemon Japanese White Flare,Archeops [Poke Ball] #48,$1.44
9683086,Pokemon Japanese White Flare,Basculin #105,$5.99
9647364,Pokemon Japanese White Flare,Basculin #21,$2.05
9861863,Pokemon Japanese White Flare,Basculin [Master Ball] #21,$3.02
9647552,Pokemon Japanese White Flare,Basculin [Poke Ball] #21,$1.01
9683094,Pokemon Japanese White Flare,Blitzle #111,$4.99
9647369,Pokemon Japanese White Flare,Blitzle #28,$1.25
9861740,Pokemon Japanese White Flare,Blitzle [Master Ball] #28,$3.88
9647558,Pokemon Japanese White Flare,Blitzle [Poke Ball] #28,$1.50
9683114,Pokemon Japanese White Flare,Boldore #126,$4.63
9647385,Pokemon Japanese White Flare,Boldore #44,$1.05
9861772,Pokemon Japanese White Flare,Boldore [Master Ball] #44,$3.55
9647573,Pokemon Japanese White Flare,Boldore [Poke Ball] #44,$1.34
9647240,Pokemon Japanese White Flare,Booster Box,$122.49
9647236,Pokemon Japanese White Flare,Booster Pack,$4.25
9691208,Pokemon Japanese White Flare,Bouffalant Ex #164,$2.47
9692933,Pokemon Japanese White Flare,Bouffalant Ex #172,$12.90
9647416,Pokemon Japanese White Flare,Bouffalant ex #75,$2.15
9647423,Pokemon Japanese White Flare,Brave Bangle #82,$1.80
9647609,Pokemon Japanese White Flare,Brave Bangle [Poke Ball] #82,$2.25
9689458,Pokemon Japanese White Flare,Braviary #157,$4.84
9647418,Pokemon Japanese White Flare,Braviary #77,$1.49
9861846,Pokemon Japanese White Flare,Braviary [Master Ball] #77,$3.58
9647604,Pokemon Japanese White Flare,Braviary [Poke Ball] #77,$1.29
9647425,Pokemon Japanese White Flare,Cheren #84,$1.17
9647611,Pokemon Japanese White Flare,Cheren [Poke Ball] #84,$1.59
9683107,Pokemon Japanese White Flare,Cofagrigus #120,$6.04
9647378,Pokemon Japanese White Flare,Cofagrigus #37,$1.25
9861758,Pokemon Japanese White Flare,Cofagrigus [Master Ball] #37,$3.31
9647567,Pokemon Japanese White Flare,Cofagrigus [Poke Ball] #37,$1.83
9647345,Pokemon Japanese White Flare,Cottonee #4,$1.50
9647445,Pokemon Japanese White Flare,Cottonee #90,$4.99
9861833,Pokemon Japanese White Flare,Cottonee [Master Ball] #4,$3.77
9647537,Pokemon Japanese White Flare,Cottonee [Poke Ball] #4,$1.34
9647347,Pokemon Japanese White Flare,Deerling #6,$1.52
9647446,Pokemon Japanese White Flare,Deerling #91,$11.12
9861836,Pokemon Japanese White Flare,Deerling [Master Ball] #6,$3.45
9647538,Pokemon Japanese White Flare,Deerling [Poke Ball] #6,$1.85
9686305,Pokemon Japanese White Flare,Deino #142,$7.89
9647401,Pokemon Japanese White Flare,Deino #60,$0.99
9861807,Pokemon Japanese White Flare,Deino [Master Ball] #60,$3.56
9647589,Pokemon Japanese White Flare,Deino [Poke Ball] #60,$1.96
9647242,Pokemon Japanese White Flare,Deluxe Booster Box,$122.73
9647238,Pokemon Japanese White Flare,Deluxe Booster Pack,$270.00
9647433,Pokemon Japanese White Flare,Dewott #103,$8.99
9647360,Pokemon Japanese White Flare,Dewott #19,$1.49
9861861,Pokemon Japanese White Flare,Dewott [Master Ball] #19,$3.99
9647550,Pokemon Japanese White Flare,Dewott [Poke Ball] #19,$1.62
9687789,Pokemon Japanese White Flare,Druddigon #150,$10.00
9647410,Pokemon Japanese White Flare,Druddigon #69,$1.46
9861831,Pokemon Japanese White Flare,Druddigon [Master Ball] #69,$3.23
9647597,Pokemon Japanese White Flare,Druddigon [Poke Ball] #69,$1.49
9683089,Pokemon Japanese White Flare,Ducklett #106,$11.50
9647362,Pokemon Japanese White Flare,Ducklett #22,$1.41
9861864,Pokemon Japanese White Flare,Ducklett [Master Ball] #22,$3.10
9647553,Pokemon Japanese White Flare,Ducklett [Poke Ball] #22,$1.37
9687623,Pokemon Japanese White Flare,Durant #149,$4.64
9647409,Pokemon Japanese White Flare,Durant #68,$1.53
9861829,Pokemon Japanese White Flare,Durant [Master Ball] #68,$5.47
9647596,Pokemon Japanese White Flare,Durant [Poke Ball] #68,$2.09
9647354,Pokemon Japanese White Flare,Emboar #13,$1.29
9647431,Pokemon Japanese White Flare,Emboar #98,$6.99
9861848,Pokemon Japanese White Flare,Emboar [Master Ball] #13,$19.80
9647545,Pokemon Japanese White Flare,Emboar [Poke Ball] #13,$1.96
9647420,Pokemon Japanese White Flare,Energy Retrieval #79,$1.60
9647606,Pokemon Japanese White Flare,Energy Retrieval [Poke Ball] #79,$1.77
9686715,Pokemon Japanese White Flare,Ferroseed #144,$4.45
