id,console-name,product-name,loose-price
3461741,Pokemon Japanese Wild Blaze,Avalugg #26,$2.42
8454460,Pokemon Japanese Wild Blaze,Avalugg [1st Edition] #26,
3461759,Pokemon Japanese Wild Blaze,Barbaracle #44,$2.74
8454461,Pokemon Japanese Wild Blaze,Barbaracle [1st Edition] #44,$2.00
3461740,Pokemon Japanese Wild Blaze,Bergmite #25,$2.70
8454462,Pokemon Japanese Wild Blaze,Bergmite [1st Edition] #25,$5.29
3461758,Pokemon Japanese Wild Blaze,Binacle #43,$2.24
8454463,Pokemon Japanese Wild Blaze,Binacle [1st Edition] #43,$2.94
4956849,Pokemon Japanese Wild Blaze,Booster Box,$2300.00
8692849,Pokemon Japanese Wild Blaze,Booster Pack,$100.00
3461738,Pokemon Japanese Wild Blaze,Buizel #23,$2.28
8454464,Pokemon Japanese Wild Blaze,Buizel [1st Edition] #23,$0.25
3461785,Pokemon Japanese Wild Blaze,Buneary #70,$2.99
8454465,Pokemon Japanese Wild Blaze,Buneary [1st Edition] #70,$3.79
3461718,Pokemon Japanese Wild Blaze,Butterfree #3,$2.99
8454466,Pokemon Japanese Wild Blaze,Butterfree [1st Edition] #3,$2.99
3461769,Pokemon Japanese Wild Blaze,Carbink #54,$2.29
8454467,Pokemon Japanese Wild Blaze,Carbink [1st Edition] #54,$2.42
3461716,Pokemon Japanese Wild Blaze,Caterpie #1,$2.11
8454468,Pokemon Japanese Wild Blaze,Caterpie [1st Edition] #1,$3.69
3461726,Pokemon Japanese Wild Blaze,Charizard EX #11,$10.95
3461796,Pokemon Japanese Wild Blaze,Charizard EX #81,$144.90
8454469,Pokemon Japanese Wild Blaze,Charizard EX [1st Edition] #11,$9.93
8454470,Pokemon Japanese Wild Blaze,Charizard EX [1st Edition] #81,$178.00
3461772,Pokemon Japanese Wild Blaze,Dragalge #57,$2.83
8454471,Pokemon Japanese Wild Blaze,Dragalge [1st Edition] #57,$2.85
3461771,Pokemon Japanese Wild Blaze,Druddigon #56,$3.62
8454472,Pokemon Japanese Wild Blaze,Druddigon [1st Edition] #56,$1.74
3461765,Pokemon Japanese Wild Blaze,Durant #50,$2.79
8454473,Pokemon Japanese Wild Blaze,Durant [1st Edition] #50,$2.57
3461749,Pokemon Japanese Wild Blaze,Dusclops #34,$2.81
8454474,Pokemon Japanese Wild Blaze,Dusclops [1st Edition] #34,$0.50
3461750,Pokemon Japanese Wild Blaze,Dusknoir #35,$4.27
8454475,Pokemon Japanese Wild Blaze,Dusknoir [1st Edition] #35,$3.76
3461748,Pokemon Japanese Wild Blaze,Duskull #33,$2.85
8454476,Pokemon Japanese Wild Blaze,Duskull [1st Edition] #33,$3.30
3461752,Pokemon Japanese Wild Blaze,Espurr #37,$2.68
8454477,Pokemon Japanese Wild Blaze,Espurr [1st Edition] #37,$2.91
3461732,Pokemon Japanese Wild Blaze,Feebas #17,$2.69
8454478,Pokemon Japanese Wild Blaze,Feebas [1st Edition] #17,$2.20
3461790,Pokemon Japanese Wild Blaze,Fiery Torch #75,
8454479,Pokemon Japanese Wild Blaze,Fiery Torch [1st Edition] #75,
3461766,Pokemon Japanese Wild Blaze,Flabebe #51,$2.89
8454480,Pokemon Japanese Wild Blaze,Flabebe [1st Edition] #51,$0.50
3461739,Pokemon Japanese Wild Blaze,Floatzel #24,$2.30
8454481,Pokemon Japanese Wild Blaze,Floatzel [1st Edition] #24,$3.49
3461767,Pokemon Japanese Wild Blaze,Floette #52,$2.49
8454482,Pokemon Japanese Wild Blaze,Floette [1st Edition] #52,$3.27
3461768,Pokemon Japanese Wild Blaze,Florges #53,$2.81
8454483,Pokemon Japanese Wild Blaze,Florges [1st Edition] #53,$2.94
3461764,Pokemon Japanese Wild Blaze,Forretress #49,$2.99
8454484,Pokemon Japanese Wild Blaze,Forretress [1st Edition] #49,$2.50
3461783,Pokemon Japanese Wild Blaze,Furret #68,$2.44
8454485,Pokemon Japanese Wild Blaze,Furret [1st Edition] #68,$3.29
3461755,Pokemon Japanese Wild Blaze,Geodude #40,$2.63
8454486,Pokemon Japanese Wild Blaze,Geodude [1st Edition] #40,$2.99
3461757,Pokemon Japanese Wild Blaze,Golem #42,$2.94
8454487,Pokemon Japanese Wild Blaze,Golem [1st Edition] #42,$3.29
3461775,Pokemon Japanese Wild Blaze,Goodra #60,$3.37
8454488,Pokemon Japanese Wild Blaze,Goodra [1st Edition] #60,$3.00
3461773,Pokemon Japanese Wild Blaze,Goomy #58,$2.98
8454489,Pokemon Japanese Wild Blaze,Goomy [1st Edition] #58,$2.49
3461756,Pokemon Japanese Wild Blaze,Graveler #41,$2.36
8454490,Pokemon Japanese Wild Blaze,Graveler [1st Edition] #41,$3.51
3461747,Pokemon Japanese Wild Blaze,Heliolisk #32,$4.30
8454491,Pokemon Japanese Wild Blaze,Heliolisk [1st Edition] #32,$3.37
3461746,Pokemon Japanese Wild Blaze,Helioptile #31,$1.63
8454492,Pokemon Japanese Wild Blaze,Helioptile [1st Edition] #31,$2.50
3461779,Pokemon Japanese Wild Blaze,Kangaskhan EX #64,$3.35
3461799,Pokemon Japanese Wild Blaze,Kangaskhan EX #84,$29.99
8454493,Pokemon Japanese Wild Blaze,Kangaskhan EX [1st Edition] #64,$2.99
8454494,Pokemon Japanese Wild Blaze,Kangaskhan EX [1st Edition] #84,$19.29
