id,console-name,product-name,loose-price
6281600,Pokemon Japanese Wild Force,Affection Poffin #63,$1.36
6281602,Pokemon Japanese Wild Force,Ancient Booster Energy Capsule #65,$1.52
6281581,Pokemon Japanese Wild Force,Arbok #44,$1.72
6302844,Pokemon Japanese Wild Force,Arbok #79,$6.50
6281599,Pokemon Japanese Wild Force,Awakening Drum #62,$1.64
6281564,Pokemon Japanese Wild Force,Azumarill #27,$1.50
6281536,Pokemon Japanese Wild Force,Booster Box,$81.00
6281537,Pokemon Japanese Wild Force,Booster Pack,$3.00
6281566,Pokemon Japanese Wild Force,Bronzong #29,$1.31
6281565,Pokemon Japanese Wild Force,Bronzor #28,$1.25
6302843,Pokemon Japanese Wild Force,Bronzor #74,$3.35
6281577,Pokemon Japanese Wild Force,Carkol #40,$0.99
6281553,Pokemon Japanese Wild Force,Carvanha #16,$1.18
6281548,Pokemon Japanese Wild Force,Centiskorch #11,$1.54
6281595,Pokemon Japanese Wild Force,Chatot #58,$1.95
6302846,Pokemon Japanese Wild Force,Chatot #81,$4.44
6281597,Pokemon Japanese Wild Force,Cinccino #60,$1.66
6281615,Pokemon Japanese Wild Force,Cinccino #83,$10.00
6281578,Pokemon Japanese Wild Force,Coalossal #41,$1.02
6281544,Pokemon Japanese Wild Force,Cottonee #7,$0.38
6281551,Pokemon Japanese Wild Force,Croconaw #14,$1.53
6281607,Pokemon Japanese Wild Force,Dangerous Jungle #70,$1.75
6281594,Pokemon Japanese Wild Force,Dudunsparce #57,$1.65
6281593,Pokemon Japanese Wild Force,Dunsparce #56,$1.39
6281568,Pokemon Japanese Wild Force,Duosion #31,$1.79
6281580,Pokemon Japanese Wild Force,Ekans #43,$1.41
6281601,Pokemon Japanese Wild Force,Emergency Board #64,$1.00
6281605,Pokemon Japanese Wild Force,Eri #68,$1.44
6281617,Pokemon Japanese Wild Force,Eri #91,$3.22
6302856,Pokemon Japanese Wild Force,Eri #96,$18.64
6281604,Pokemon Japanese Wild Force,Explorer's Foray #67,$0.50
6302852,Pokemon Japanese Wild Force,Explorer's Guidance #90,$3.00
6281552,Pokemon Japanese Wild Force,Feraligatr #15,$1.18
6281559,Pokemon Japanese Wild Force,Finizen #22,$1.45
6281570,Pokemon Japanese Wild Force,Flutter Mane #33,$1.45
6281611,Pokemon Japanese Wild Force,Flutter Mane #76,$3.40
6281557,Pokemon Japanese Wild Force,Frosmoth #20,$1.42
6281582,Pokemon Japanese Wild Force,Gastly #45,$1.20
6302845,Pokemon Japanese Wild Force,Gastly #80,$34.98
6281584,Pokemon Japanese Wild Force,Gengar ex #47,$5.72
6302850,Pokemon Japanese Wild Force,Gengar ex #88,$37.76
6281572,Pokemon Japanese Wild Force,Golett #35,$1.18
6281573,Pokemon Japanese Wild Force,Golurk #36,$1.90
6281549,Pokemon Japanese Wild Force,Gouging Fire ex #12,$1.32
6281616,Pokemon Japanese Wild Force,Gouging Fire ex #85,$3.35
6281618,Pokemon Japanese Wild Force,Gouging Fire ex #93,$28.48
6302857,Pokemon Japanese Wild Force,Gouging Fire ex #98,$10.16
6281579,Pokemon Japanese Wild Force,Great Tusk #42,$1.25
6281541,Pokemon Japanese Wild Force,Grotle #4,$1.49
6302842,Pokemon Japanese Wild Force,Grotle #72,$6.79
6281583,Pokemon Japanese Wild Force,Haunter #46,$1.65
6281546,Pokemon Japanese Wild Force,Heatmor #9,$0.09
6281591,Pokemon Japanese Wild Force,Hoothoot #54,$1.61
6281555,Pokemon Japanese Wild Force,Keldeo #18,$1.40
6281589,Pokemon Japanese Wild Force,Koraidon #52,$1.46
6281563,Pokemon Japanese Wild Force,Marill #26,$1.63
6281603,Pokemon Japanese Wild Force,Maximum Belt #66,$1.73
6281586,Pokemon Japanese Wild Force,Mightyena #49,$1.36
6281596,Pokemon Japanese Wild Force,Minccino #59,$1.87
6281614,Pokemon Japanese Wild Force,Minccino #82,$9.99
6281606,Pokemon Japanese Wild Force,Morty's Confidence #69,$1.16
6302853,Pokemon Japanese Wild Force,Morty's Confidence #92,$3.91
6281621,Pokemon Japanese Wild Force,Morty's Confidence #97,$55.63
6281574,Pokemon Japanese Wild Force,Mudbray #37,$0.31
6281575,Pokemon Japanese Wild Force,Mudsdale #38,$1.80
6281613,Pokemon Japanese Wild Force,Mudsdale #78,$2.94
6281608,Pokemon Japanese Wild Force,Neo Superior Energy #71,$4.22
6281592,Pokemon Japanese Wild Force,Noctowl #55,$1.29
6281598,Pokemon Japanese Wild Force,Order Box #61,$0.74
6281560,Pokemon Japanese Wild Force,Palafin #23,$1.34
6281585,Pokemon Japanese Wild Force,Poochyena #48,$1.65
6302861,Pokemon Japanese Wild Force,Raging Bolt ex #100,$12.99
6281590,Pokemon Japanese Wild Force,Raging Bolt ex #53,$1.59
6302851,Pokemon Japanese Wild Force,Raging Bolt ex #89,$3.99
6281620,Pokemon Japanese Wild Force,Raging Bolt ex #95,$45.01
6281571,Pokemon Japanese Wild Force,Relicanth #34,$1.88
6281612,Pokemon Japanese Wild Force,Relicanth #77,$3.42
6281569,Pokemon Japanese Wild Force,Reuniclus #32,$1.12
6281610,Pokemon Japanese Wild Force,Reuniclus #75,$4.81
6281588,Pokemon Japanese Wild Force,Roaring Moon #51,$1.90
6281576,Pokemon Japanese Wild Force,Rolycoly #39,$1.26
6281538,Pokemon Japanese Wild Force,Roselia #1,$1.00
6281539,Pokemon Japanese Wild Force,Roserade #2,$1.21
6281587,Pokemon Japanese Wild Force,Sableye #50,$1.46
6281554,Pokemon Japanese Wild Force,Sharpedo #17,$1.74
6281543,Pokemon Japanese Wild Force,Shaymin #6,$1.63
6281547,Pokemon Japanese Wild Force,Sizzlipede #10,$1.74
6281556,Pokemon Japanese Wild Force,Snom #19,$1.41
6281609,Pokemon Japanese Wild Force,Snom #73,$4.98
6281567,Pokemon Japanese Wild Force,Solosis #30,$1.41
6281542,Pokemon Japanese Wild Force,Torterra ex #5,$0.69
6302847,Pokemon Japanese Wild Force,Torterra ex #84,$4.49
6281550,Pokemon Japanese Wild Force,Totodile #13,$1.79
6281540,Pokemon Japanese Wild Force,Turtwig #3,$1.53
6281561,Pokemon Japanese Wild Force,Walking Wake ex #24,$1.49
6302848,Pokemon Japanese Wild Force,Walking Wake ex #86,$3.03
6281619,Pokemon Japanese Wild Force,Walking Wake ex #94,$35.58
6302860,Pokemon Japanese Wild Force,Walking Wake ex #99,$9.77
6281545,Pokemon Japanese Wild Force,Whimsicott #8,$0.99
