id,console-name,product-name,loose-price
3439928,Pokemon Japanese World Champions Pack,Absol ex #60,$185.16
10803198,Pokemon Japanese World Champions Pack,Absol ex [1st Edition] #60,$110.00
3439933,Pokemon Japanese World Champions Pack,Aggron #65,$19.99
10803200,Pokemon Japanese World Champions Pack,Aggron [1st Edition] #65,$13.99
3439945,Pokemon Japanese World Champions Pack,Altaria #77,$13.99
10803208,Pokemon Japanese World Champions Pack,Altaria [1st Edition] #77,$4.16
3439919,Pokemon Japanese World Champions Pack,Anorith #51,$2.99
10803212,Pokemon Japanese World Champions Pack,Anorith [1st Edition] #51,$4.99
3439920,Pokemon Japanese World Champions Pack,Armaldo #52,$11.82
10803214,Pokemon Japanese World Champions Pack,Armaldo [1st Edition] #52,$9.19
3439931,Pokemon Japanese World Champions Pack,Aron #63,$62.49
10803217,Pokemon Japanese World Champions Pack,Aron [1st Edition] #63,$15.99
3439947,Pokemon Japanese World Champions Pack,Bagon #79,$11.04
10803218,Pokemon Japanese World Champions Pack,Bagon [1st Edition] #79,$10.67
3439903,Pokemon Japanese World Champions Pack,Baltoy #36,$13.59
10803225,Pokemon Japanese World Champions Pack,Baltoy [1st Edition] #36,$3.99
3439907,Pokemon Japanese World Champions Pack,Banette #39,$9.21
10803226,Pokemon Japanese World Champions Pack,Banette [1st Edition] #39,$5.62
3439961,Pokemon Japanese World Champions Pack,Battle Frontier #93,
10803228,Pokemon Japanese World Champions Pack,Battle Frontier [1st Edition] #93,$1.99
3439934,Pokemon Japanese World Champions Pack,Beldum #66,$27.00
10803230,Pokemon Japanese World Champions Pack,Beldum [1st Edition] #66,$6.99
3439881,Pokemon Japanese World Champions Pack,Blaziken #14,$25.00
10803232,Pokemon Japanese World Champions Pack,Blaziken [1st Edition] #14,$112.50
3439869,Pokemon Japanese World Champions Pack,Cacnea #2,$4.00
10803235,Pokemon Japanese World Champions Pack,Cacnea [1st Edition] #2,$7.02
3439927,Pokemon Japanese World Champions Pack,Cacturne #59,$9.14
10803236,Pokemon Japanese World Champions Pack,Cacturne [1st Edition] #59,$12.99
3439925,Pokemon Japanese World Champions Pack,Carvanha #57,$3.78
10803239,Pokemon Japanese World Champions Pack,Carvanha [1st Edition] #57,
3439875,Pokemon Japanese World Champions Pack,Charizard #8,$270.00
10803242,Pokemon Japanese World Champions Pack,Charizard [1st Edition] #8,$104.23
3439873,Pokemon Japanese World Champions Pack,Charmander #6,$79.80
10803243,Pokemon Japanese World Champions Pack,Charmander [1st Edition] #6,$74.49
3439874,Pokemon Japanese World Champions Pack,Charmeleon #7,$14.99
10803246,Pokemon Japanese World Champions Pack,Charmeleon [1st Edition] #7,$6.50
3439895,Pokemon Japanese World Champions Pack,Chinchou #28,$6.84
10803249,Pokemon Japanese World Champions Pack,Chinchou [1st Edition] #28,$1.04
