id,console-name,product-name,loose-price
7640129,Pokemon Japanese ex Starter Decks,Alomomola #26,$2.05
7640108,Pokemon Japanese ex Starter Decks,Amoonguss #5,$2.25
7640114,Pokemon Japanese ex Starter Decks,Arboliva #11,$1.50
7640124,Pokemon Japanese ex Starter Decks,Armarouge #21,$2.67
7640239,Pokemon Japanese ex Starter Decks,Arven #137,$3.35
7640199,Pokemon Japanese ex Starter Decks,Audino #97,$0.75
7640145,Pokemon Japanese ex Starter Decks,Bellibolt #42,$1.75
7640181,Pokemon Japanese ex Starter Decks,Bombirdier #79,$0.50
7640240,Pokemon Japanese ex Starter Decks,Boss's Orders: Ghetsis #138,$0.50
7640200,Pokemon Japanese ex Starter Decks,Bouffalant #98,$0.25
7640127,Pokemon Japanese ex Starter Decks,Buizel #24,$2.96
7640106,Pokemon Japanese ex Starter Decks,Cacnea #3,$2.25
7640136,Pokemon Japanese ex Starter Decks,Cetitan #33,$0.50
7640135,Pokemon Japanese ex Starter Decks,Cetoddle #32,$0.50
7640120,Pokemon Japanese ex Starter Decks,Chandelure #17,$0.94
7640123,Pokemon Japanese ex Starter Decks,Charcadet #20,$3.85
7640151,Pokemon Japanese ex Starter Decks,Clefable ex #48,$2.29
7640149,Pokemon Japanese ex Starter Decks,Clefairy #47,$1.75
7640218,Pokemon Japanese ex Starter Decks,Crushing Hammer #116,$2.35
7640210,Pokemon Japanese ex Starter Decks,Cyclizar #108,$0.75
7640110,Pokemon Japanese ex Starter Decks,Dartrix #7,$0.50
7640111,Pokemon Japanese ex Starter Decks,Decidueye ex #8,$2.79
7640126,Pokemon Japanese ex Starter Decks,Delibird #23,$1.76
7640216,Pokemon Japanese ex Starter Decks,Delivery Drone #114,
7640229,Pokemon Japanese ex Starter Decks,Dendra #127,$0.50
7640113,Pokemon Japanese ex Starter Decks,Dolliv #10,$1.00
7640191,Pokemon Japanese ex Starter Decks,Dragonair #89,$0.97
7640192,Pokemon Japanese ex Starter Decks,Dragonite ex #90,$9.72
7640193,Pokemon Japanese ex Starter Decks,Drampa #91,$2.55
7640190,Pokemon Japanese ex Starter Decks,Dratini #88,$1.50
7640157,Pokemon Japanese ex Starter Decks,Drifblim #53,
7640155,Pokemon Japanese ex Starter Decks,Drifloon #52,$0.50
7640164,Pokemon Japanese ex Starter Decks,Drilbur #61,$1.01
7640194,Pokemon Japanese ex Starter Decks,Dunsparce #92,$1.62
7640215,Pokemon Japanese ex Starter Decks,Electric Generator #113,$0.50
7640212,Pokemon Japanese ex Starter Decks,Energy Retrieval #110,$3.39
7640214,Pokemon Japanese ex Starter Decks,Energy Search #112,
7640213,Pokemon Japanese ex Starter Decks,Energy Switch #111,$3.10
7640159,Pokemon Japanese ex Starter Decks,Espathra #56,$0.50
7640184,Pokemon Japanese ex Starter Decks,Excadrill #82,$0.50
7640211,Pokemon Japanese ex Starter Decks,Flamigo #109,$2.62
7640158,Pokemon Japanese ex Starter Decks,Flittle #55,$1.25
7640128,Pokemon Japanese ex Starter Decks,Floatzel #25,$0.50
7640107,Pokemon Japanese ex Starter Decks,Foongus #4,$0.50
7640182,Pokemon Japanese ex Starter Decks,Forretress #80,$0.50
7640130,Pokemon Japanese ex Starter Decks,Froakie #27,$2.35
7640131,Pokemon Japanese ex Starter Decks,Frogadier #28,$0.50
7640153,Pokemon Japanese ex Starter Decks,Granbull #50,$0.50
7640220,Pokemon Japanese ex Starter Decks,Great Ball #117,$0.50
7640202,Pokemon Japanese ex Starter Decks,Greedent ex #100,$4.45
7640132,Pokemon Japanese ex Starter Decks,Greninja ex #29,$2.60
7640105,Pokemon Japanese ex Starter Decks,Heracross #2,$1.99
7640197,Pokemon Japanese ex Starter Decks,Herdier #95,$1.25
7640174,Pokemon Japanese ex Starter Decks,Houndoom ex #72,$2.19
7640173,Pokemon Japanese ex Starter Decks,Houndour #71,$1.10
7640231,Pokemon Japanese ex Starter Decks,Jacq #129,$2.35
7640232,Pokemon Japanese ex Starter Decks,Judge #130,$0.23
7640148,Pokemon Japanese ex Starter Decks,Kilowattrel #45,$1.25
7640170,Pokemon Japanese ex Starter Decks,Klawf #67,$1.83
7640242,Pokemon Japanese ex Starter Decks,Koraidon ex #68,$2.21
7640166,Pokemon Japanese ex Starter Decks,Krokorok #63,$2.42
7640167,Pokemon Japanese ex Starter Decks,Krookodile #64,$2.48
8917065,Pokemon Japanese ex Starter Decks,Kyogre Ex #37,$2.19
7640119,Pokemon Japanese ex Starter Decks,Lampent #16,$1.00
7640125,Pokemon Japanese ex Starter Decks,Lapras #22,$1.45
7640121,Pokemon Japanese ex Starter Decks,Larvesta #18,$1.40
7640203,Pokemon Japanese ex Starter Decks,Lechonk #101,$2.40
7640204,Pokemon Japanese ex Starter Decks,Lechonk #102,$1.80
7640196,Pokemon Japanese ex Starter Decks,Lillipup #94,$1.38
7640118,Pokemon Japanese ex Starter Decks,Litwick #15,$1.53
7640163,Pokemon Japanese ex Starter Decks,Lucario #60,$0.88
