id,console-name,product-name,loose-price
8871062,Pokemon Journey Together,3 Pack Blister: Scrafty,$22.74
8871060,Pokemon Journey Together,3 Pack Blister: Yanmega,$25.79
8871094,Pokemon Journey Together,Accelgor #13,$0.11
8871110,Pokemon Journey Together,Accelgor [Reverse Holo] #13,$0.32
11266312,Pokemon Journey Together,Alcremie Ex [Stamped] #75,$1.31
8871286,Pokemon Journey Together,Alcremie ex #75,$1.18
8871210,Pokemon Journey Together,Alolan Geodude #44,$0.18
8871292,Pokemon Journey Together,Alolan Geodude [Reverse Holo] #44,$0.25
8871215,Pokemon Journey Together,Alolan Golem #46,$0.33
8871299,Pokemon Journey Together,Alolan Golem [Reverse Holo] #46,$0.50
8871213,Pokemon Journey Together,Alolan Graveler #45,$0.10
8871297,Pokemon Journey Together,Alolan Graveler [Reverse Holo] #45,$0.40
8871248,Pokemon Journey Together,Alolan Marowak #57,$0.09
8871321,Pokemon Journey Together,Alolan Marowak [Reverse Holo] #57,$0.37
8871083,Pokemon Journey Together,Amoonguss ex #11,$1.22
8871279,Pokemon Journey Together,Articuno #161,$17.99
8871182,Pokemon Journey Together,Articuno #32,$0.73
10310345,Pokemon Journey Together,Articuno [Holiday Calendar] #32,$1.34
8871173,Pokemon Journey Together,Articuno [Reverse Holo] #32,$0.49
8871150,Pokemon Journey Together,Audino #124,$0.09
8871129,Pokemon Journey Together,Audino [Reverse Holo] #124,$0.19
8871105,Pokemon Journey Together,Bagon #112,$0.12
8871385,Pokemon Journey Together,Bagon [Reverse Holo] #112,$0.15
8871255,Pokemon Journey Together,Banette #60,$0.29
8871326,Pokemon Journey Together,Banette [Reverse Holo] #60,$0.37
8871257,Pokemon Journey Together,Beldum #61,$0.11
8871328,Pokemon Journey Together,Beldum [Reverse Holo] #61,$0.19
8871224,Pokemon Journey Together,Billy & O'Nare #142,$0.09
8871185,Pokemon Journey Together,Billy & O'Nare [Reverse Holo] #142,$0.20
8871227,Pokemon Journey Together,Black Belt's Training #143,$0.36
8871231,Pokemon Journey Together,Black Belt's Training #144,$0.29
8871232,Pokemon Journey Together,Black Belt's Training #145,$0.24
8871191,Pokemon Journey Together,Black Belt's Training [Reverse Holo] #143,$0.81
8871194,Pokemon Journey Together,Black Belt's Training [Reverse Holo] #144,$0.29
8871195,Pokemon Journey Together,Black Belt's Training [Reverse Holo] #145,$0.40
8871163,Pokemon Journey Together,Blaziken ex #24,$0.99
10809455,Pokemon Journey Together,Blaziken ex [Jumbo] #24,$10.07
8871047,Pokemon Journey Together,Blister Pack: Scraggy,$8.00
8871053,Pokemon Journey Together,Blister Pack: Yanma,$8.80
8871072,Pokemon Journey Together,Bombirdier #101,$0.12
8871375,Pokemon Journey Together,Bombirdier [Reverse Holo] #101,$0.15
8871041,Pokemon Journey Together,Booster Box,$223.36
8871058,Pokemon Journey Together,Booster Box [Enhanced],$227.75
8871044,Pokemon Journey Together,Booster Bundle,$36.97
8871042,Pokemon Journey Together,Booster Pack,$5.99
8871235,Pokemon Journey Together,Brock's Scouting #146,$0.50
8883284,Pokemon Journey Together,Brock's Scouting #179,$2.24
10951950,Pokemon Journey Together,Brock's Scouting [Prize Pack] #146,$0.17
8871204,Pokemon Journey Together,Brock's Scouting [Reverse Holo] #146,$0.81
8871046,Pokemon Journey Together,Build & Battle Box,$29.59
9058843,Pokemon Journey Together,Build & Battle Display Box,$234.95
8871066,Pokemon Journey Together,Butterfree #3,$0.28
8871082,Pokemon Journey Together,Butterfree [Reverse Holo] #3,$0.50
8871063,Pokemon Journey Together,Caterpie #1,$0.11
8871075,Pokemon Journey Together,Caterpie [Reverse Holo] #1,$0.25
9185413,Pokemon Journey Together,Checklane Blister: Klinklang,$19.99
9426759,Pokemon Journey Together,Checklane Blister: Yanma,$14.50
8871160,Pokemon Journey Together,Cinccino #126,$0.34
8871138,Pokemon Journey Together,Cinccino [Reverse Holo] #126,$0.41
8871155,Pokemon Journey Together,Combusken #23,$0.09
8871140,Pokemon Journey Together,Combusken [Reverse Holo] #23,$0.14
8871099,Pokemon Journey Together,Copperajah #110,$0.24
8871384,Pokemon Journey Together,Copperajah [Reverse Holo] #110,$0.29
8871209,Pokemon Journey Together,Cramorant #137,$0.14
8871174,Pokemon Journey Together,Cramorant [Reverse Holo] #137,$0.59
8871289,Pokemon Journey Together,Cubone #76,$0.51
8871353,Pokemon Journey Together,Cubone [Reverse Holo] #76,$0.39
8871096,Pokemon Journey Together,Cufant #109,$0.04
8871383,Pokemon Journey Together,Cufant [Reverse Holo] #109,$0.12
8871274,Pokemon Journey Together,Dhelmise #70,$0.16
8871348,Pokemon Journey Together,Dhelmise [Reverse Holo] #70,$0.12
8871175,Pokemon Journey Together,Drampa #130,$0.07
8871151,Pokemon Journey Together,Drampa [Reverse Holo] #130,$0.15
8871118,Pokemon Journey Together,Druddigon #115,$0.11
8871101,Pokemon Journey Together,Druddigon [Reverse Holo] #115,$0.48
8871139,Pokemon Journey Together,Dudunsparce ex #121,$0.99
8871330,Pokemon Journey Together,Dudunsparce ex #178,$1.73
8871135,Pokemon Journey Together,Dunsparce #120,$0.39
8871120,Pokemon Journey Together,Dunsparce [Reverse Holo] #120,$0.43
8871100,Pokemon Journey Together,Durant #14,$0.15
8871112,Pokemon Journey Together,Durant [Reverse Holo] #14,$0.21
8871043,Pokemon Journey Together,Elite Trainer Box,$79.04
8871056,Pokemon Journey Together,Elite Trainer Box [Pokemon Center],$140.00
8871079,Pokemon Journey Together,Escavalier #102,$0.05
8871376,Pokemon Journey Together,Escavalier [Reverse Holo] #102,$0.14
8871116,Pokemon Journey Together,Floragato #17,$0.42
8871122,Pokemon Journey Together,Floragato [Reverse Holo] #17,$0.25
8871080,Pokemon Journey Together,Foongus #10,$0.17
8871102,Pokemon Journey Together,Foongus [Reverse Holo] #10,$0.25
8871131,Pokemon Journey Together,Furret #119,$0.22
8871300,Pokemon Journey Together,Furret #168,$4.90
8871114,Pokemon Journey Together,Furret [Reverse Holo] #119,$0.25
8871086,Pokemon Journey Together,Galarian Stunfisk #106,$0.08
8871380,Pokemon Journey Together,Galarian Stunfisk [Reverse Holo] #106,$0.12
8871190,Pokemon Journey Together,Greedent #132,$0.27
8871157,Pokemon Journey Together,Greedent [Reverse Holo] #132,$0.50
8871283,Pokemon Journey Together,Grimmsnarl #73,$0.25
8871351,Pokemon Journey Together,Grimmsnarl [Reverse Holo] #73,$0.43
9024028,Pokemon Journey Together,Half Booster Box,$114.84
8871237,Pokemon Journey Together,Hop's Bag #147,$0.11
10951955,Pokemon Journey Together,Hop's Bag [Prize Pack] #147,$0.09
8871208,Pokemon Journey Together,Hop's Bag [Reverse Holo] #147,$0.20
8871242,Pokemon Journey Together,Hop's Choice Band #148,$0.10
10951957,Pokemon Journey Together,Hop's Choice Band [Prize Pack] #148,$0.25
8871211,Pokemon Journey Together,Hop's Choice Band [Reverse Holo] #148,$0.19
8871093,Pokemon Journey Together,Hop's Corviknight #108,$0.27
8871382,Pokemon Journey Together,Hop's Corviknight [Reverse Holo] #108,$0.50
8871200,Pokemon Journey Together,Hop's Corvisquire #134,$0.08
