id,console-name,product-name,loose-price
643298,Pokemon Jungle,Bellsprout #49,$1.25
643346,Pokemon Jungle,Bellsprout [1st Edition] #49,$2.49
7415792,Pokemon Jungle,Blister Pack,$400.00
2189368,Pokemon Jungle,Booster Box,$10275.52
2189369,Pokemon Jungle,Booster Box [1st Edition],$19363.98
2189367,Pokemon Jungle,Booster Pack,$272.50
2189366,Pokemon Jungle,Booster Pack [1st Edition],$420.32
643299,Pokemon Jungle,Butterfree #33,$2.04
643347,Pokemon Jungle,Butterfree [1st Edition] #33,$5.28
3295688,Pokemon Jungle,Butterfree [D Edition Error] #33,$29.99
643300,Pokemon Jungle,Clefable #1,$15.18
1099557,Pokemon Jungle,Clefable #17,$3.70
643348,Pokemon Jungle,Clefable [1st Edition] #1,$47.74
1099573,Pokemon Jungle,Clefable [1st Edition] #17,$11.85
3179638,Pokemon Jungle,Clefable [No Symbol] #1,$19.99
4033622,Pokemon Jungle,Clefable [Prerelease] #1,$413.33
643301,Pokemon Jungle,Cubone #50,$1.99
643349,Pokemon Jungle,Cubone [1st Edition] #50,$10.07
643302,Pokemon Jungle,Dodrio #34,$1.59
643350,Pokemon Jungle,Dodrio [1st Edition] #34,$3.71
643303,Pokemon Jungle,Eevee #51,$2.11
643351,Pokemon Jungle,Eevee [1st Edition] #51,$6.99
1099558,Pokemon Jungle,Electrode #18,$4.49
643304,Pokemon Jungle,Electrode #2,$14.85
1099574,Pokemon Jungle,Electrode [1st Edition] #18,$19.44
643352,Pokemon Jungle,Electrode [1st Edition] #2,$37.50
2511636,Pokemon Jungle,Electrode [No Symbol] #2,$17.84
643305,Pokemon Jungle,Exeggcute #52,$1.33
643353,Pokemon Jungle,Exeggcute [1st Edition] #52,$2.71
643306,Pokemon Jungle,Exeggutor #35,$1.93
643354,Pokemon Jungle,Exeggutor [1st Edition] #35,$3.10
643307,Pokemon Jungle,Fearow #36,$1.39
643355,Pokemon Jungle,Fearow [1st Edition] #36,$3.13
1099559,Pokemon Jungle,Flareon #19,$9.50
643308,Pokemon Jungle,Flareon #3,$38.15
1099575,Pokemon Jungle,Flareon [1st Edition] #19,$19.00
643356,Pokemon Jungle,Flareon [1st Edition] #3,$94.99
3179648,Pokemon Jungle,Flareon [No Symbol] #3,$36.84
643309,Pokemon Jungle,Gloom #37,$1.40
643357,Pokemon Jungle,Gloom [1st Edition] #37,$2.63
643310,Pokemon Jungle,Goldeen #53,$1.17
643358,Pokemon Jungle,Goldeen [1st Edition] #53,$2.42
643311,Pokemon Jungle,Jigglypuff #54,$2.08
643359,Pokemon Jungle,Jigglypuff [1st Edition] #54,$5.47
1099560,Pokemon Jungle,Jolteon #20,$8.16
643312,Pokemon Jungle,Jolteon #4,$35.00
1099576,Pokemon Jungle,Jolteon [1st Edition] #20,$20.99
643360,Pokemon Jungle,Jolteon [1st Edition] #4,$102.00
3179653,Pokemon Jungle,Jolteon [No Symbol] #4,$40.00
1099561,Pokemon Jungle,Kangaskhan #21,$3.63
643313,Pokemon Jungle,Kangaskhan #5,$7.00
1099577,Pokemon Jungle,Kangaskhan [1st Edition] #21,$10.96
643361,Pokemon Jungle,Kangaskhan [1st Edition] #5,$42.08
3179655,Pokemon Jungle,Kangaskhan [No Symbol] #5,$18.73
643314,Pokemon Jungle,Lickitung #38,$1.71
643362,Pokemon Jungle,Lickitung [1st Edition] #38,$5.30
643315,Pokemon Jungle,Mankey #55,$1.49
643363,Pokemon Jungle,Mankey [1st Edition] #55,$2.75
643316,Pokemon Jungle,Marowak #39,$2.20
643364,Pokemon Jungle,Marowak [1st Edition] #39,$5.27
643317,Pokemon Jungle,Meowth #56,$1.50
643365,Pokemon Jungle,Meowth [1st Edition] #56,$5.00
2336243,Pokemon Jungle,Meowth [Gold Border] #56,$23.99
1099562,Pokemon Jungle,Mr. Mime #22,$5.86
643318,Pokemon Jungle,Mr. Mime #6,$15.50
1099578,Pokemon Jungle,Mr. Mime [1st Edition] #22,$15.16
643366,Pokemon Jungle,Mr. Mime [1st Edition] #6,$49.37
3179661,Pokemon Jungle,Mr. Mime [No Symbol] #6,$23.24
1099563,Pokemon Jungle,Nidoqueen #23,$6.00
643319,Pokemon Jungle,Nidoqueen #7,$16.76
1099579,Pokemon Jungle,Nidoqueen [1st Edition] #23,$11.75
643367,Pokemon Jungle,Nidoqueen [1st Edition] #7,$41.41
3179663,Pokemon Jungle,Nidoqueen [No Symbol] #7,$22.94
643321,Pokemon Jungle,Nidoran #57,$1.12
643368,Pokemon Jungle,Nidoran [1st Edition] #57,$1.60
643320,Pokemon Jungle,Nidorina #40,$1.75
643369,Pokemon Jungle,Nidorina [1st Edition] #40,$2.25
643322,Pokemon Jungle,Oddish #58,$1.49
643370,Pokemon Jungle,Oddish [1st Edition] #58,$2.81
643323,Pokemon Jungle,Paras #59,$1.25
643371,Pokemon Jungle,Paras [1st Edition] #59,$1.78
643324,Pokemon Jungle,Parasect #41,$1.51
643372,Pokemon Jungle,Parasect [1st Edition] #41,$2.93
643325,Pokemon Jungle,Persian #42,$1.42
643373,Pokemon Jungle,Persian [1st Edition] #42,$4.67
1099564,Pokemon Jungle,Pidgeot #24,$4.73
643326,Pokemon Jungle,Pidgeot #8,$18.74
1099580,Pokemon Jungle,Pidgeot [1st Edition] #24,$13.74
643374,Pokemon Jungle,Pidgeot [1st Edition] #8,$71.50
3179671,Pokemon Jungle,Pidgeot [No Symbol] #8,$29.07
643327,Pokemon Jungle,Pikachu #60,$2.98
643375,Pokemon Jungle,Pikachu [1st Edition] #60,$15.00
2336239,Pokemon Jungle,Pikachu [W Stamp] #60,$51.47
1099565,Pokemon Jungle,Pinsir #25,$4.49
643328,Pokemon Jungle,Pinsir #9,$16.50
1099581,Pokemon Jungle,Pinsir [1st Edition] #25,$11.04
643376,Pokemon Jungle,Pinsir [1st Edition] #9,$40.00
3179674,Pokemon Jungle,Pinsir [No Symbol] #9,$31.92
9127506,Pokemon Jungle,Pinsir [Scratch Error] #9,$60.61
643329,Pokemon Jungle,Poke Ball #64,$1.22
643377,Pokemon Jungle,Poke Ball [1st Edition] #64,$2.09
9865691,Pokemon Jungle,Power Reserve Theme Deck,$248.33
643330,Pokemon Jungle,Primeape #43,$1.71
643378,Pokemon Jungle,Primeape [1st Edition] #43,$4.54
643331,Pokemon Jungle,Rapidash #44,$1.93
643379,Pokemon Jungle,Rapidash [1st Edition] #44,$3.99
643332,Pokemon Jungle,Rhydon #45,$1.88
643380,Pokemon Jungle,Rhydon [1st Edition] #45,$8.50
643333,Pokemon Jungle,Rhyhorn #61,$1.33
643381,Pokemon Jungle,Rhyhorn [1st Edition] #61,$3.00
643334,Pokemon Jungle,Scyther #10,$23.19
1099566,Pokemon Jungle,Scyther #26,$8.33
643382,Pokemon Jungle,Scyther [1st Edition] #10,$51.56
1099582,Pokemon Jungle,Scyther [1st Edition] #26,$17.49
3179680,Pokemon Jungle,Scyther [No Symbol] #10,$25.99
643335,Pokemon Jungle,Seaking #46,$1.58
643383,Pokemon Jungle,Seaking [1st Edition] #46,$3.60
643336,Pokemon Jungle,Snorlax #11,$38.02
1099567,Pokemon Jungle,Snorlax #27,$7.99
643384,Pokemon Jungle,Snorlax [1st Edition] #11,$192.36
1099583,Pokemon Jungle,Snorlax [1st Edition] #27,$32.50
7667775,Pokemon Jungle,Snorlax [Highlighter Error] #27,$55.48
3179683,Pokemon Jungle,Snorlax [No Symbol] #11,$74.99
643337,Pokemon Jungle,Spearow #62,$1.02
643385,Pokemon Jungle,Spearow [1st Edition] #62,$2.19
643338,Pokemon Jungle,Tauros #47,$1.77
643386,Pokemon Jungle,Tauros [1st Edition] #47,$3.62
643339,Pokemon Jungle,Vaporeon #12,$15.33
1099568,Pokemon Jungle,Vaporeon #28,$6.00
643387,Pokemon Jungle,Vaporeon [1st Edition] #12,$97.62
1099584,Pokemon Jungle,Vaporeon [1st Edition] #28,$25.00
3179687,Pokemon Jungle,Vaporeon [No Symbol] #12,$30.00
643340,Pokemon Jungle,Venomoth #13,$14.56
1099569,Pokemon Jungle,Venomoth #29,$3.25
643388,Pokemon Jungle,Venomoth [1st Edition] #13,$34.49
1099585,Pokemon Jungle,Venomoth [1st Edition] #29,$11.99
3179689,Pokemon Jungle,Venomoth [No Symbol] #13,$22.44
643341,Pokemon Jungle,Venonat #63,$1.28
643389,Pokemon Jungle,Venonat [1st Edition] #63,$1.92
643342,Pokemon Jungle,Victreebel #14,$17.14
1099570,Pokemon Jungle,Victreebel #30,$4.24
643390,Pokemon Jungle,Victreebel [1st Edition] #14,$35.50
1099586,Pokemon Jungle,Victreebel [1st Edition] #30,$12.13
3179692,Pokemon Jungle,Victreebel [No Symbol] #14,$27.28
643343,Pokemon Jungle,Vileplume #15,$15.00
1099571,Pokemon Jungle,Vileplume #31,$3.59
643391,Pokemon Jungle,Vileplume [1st Edition] #15,$41.16
1099587,Pokemon Jungle,Vileplume [1st Edition] #31,$12.46
3179694,Pokemon Jungle,Vileplume [No Symbol] #15,$22.96
7968951,Pokemon Jungle,Water Blast Theme Deck,$162.99
643344,Pokemon Jungle,Weepinbell #48,$1.58
643392,Pokemon Jungle,Weepinbell [1st Edition] #48,$3.00
643345,Pokemon Jungle,Wigglytuff #16,$14.50
1099572,Pokemon Jungle,Wigglytuff #32,$3.99
643393,Pokemon Jungle,Wigglytuff [1st Edition] #16,$38.67
1099588,Pokemon Jungle,Wigglytuff [1st Edition] #32,$15.75
3179697,Pokemon Jungle,Wigglytuff [No Symbol] #16,$30.74
