id,console-name,product-name,loose-price
888898,Pokemon Legend Maker,Absol #15,$6.70
888990,Pokemon Legend Maker,Absol [Reverse Holo] #15,$43.31
888884,Pokemon Legend Maker,Aerodactyl #1,$25.70
888976,Pokemon Legend Maker,Aerodactyl [Reverse Holo] #1,$46.54
888885,Pokemon Legend Maker,Aggron #2,$14.12
888977,Pokemon Legend Maker,Aggron [Reverse Holo] #2,$19.99
888911,Pokemon Legend Maker,Anorith #29,$3.00
889004,Pokemon Legend Maker,Anorith [Reverse Holo] #29,$9.84
888965,Pokemon Legend Maker,Arcanine EX #83,$219.52
888966,Pokemon Legend Maker,Armaldo EX #84,$46.13
888930,Pokemon Legend Maker,Aron #48,$3.16
889023,Pokemon Legend Maker,Aron [Reverse Holo] #48,$13.25
888967,Pokemon Legend Maker,Banette EX #85,$80.11
888931,Pokemon Legend Maker,Bellsprout #49,$1.06
889024,Pokemon Legend Maker,Bellsprout [Reverse Holo] #49,$9.50
2245051,Pokemon Legend Maker,Booster Box,$13472.00
2245052,Pokemon Legend Maker,Booster Pack,$577.29
888912,Pokemon Legend Maker,Cascoon #30,$1.99
889005,Pokemon Legend Maker,Cascoon [Reverse Holo] #30,$9.63
888932,Pokemon Legend Maker,Chinchou #50,$1.07
889025,Pokemon Legend Maker,Chinchou [Reverse Holo] #50,$8.67
888933,Pokemon Legend Maker,Clamperl #51,$1.43
889026,Pokemon Legend Maker,Clamperl [Reverse Holo] #51,$8.81
888960,Pokemon Legend Maker,Claw Fossil #78,$0.50
889053,Pokemon Legend Maker,Claw Fossil [Reverse Holo] #78,$3.73
888886,Pokemon Legend Maker,Cradily #3,$6.60
888978,Pokemon Legend Maker,Cradily [Reverse Holo] #3,$10.99
888954,Pokemon Legend Maker,Cursed Stone #72,$4.40
889047,Pokemon Legend Maker,Cursed Stone [Reverse Holo] #72,$9.34
888887,Pokemon Legend Maker,Delcatty #4,$9.44
888979,Pokemon Legend Maker,Delcatty [Reverse Holo] #4,$11.50
888913,Pokemon Legend Maker,Dunsparce #31,$0.99
889006,Pokemon Legend Maker,Dunsparce [Reverse Holo] #31,$12.00
888968,Pokemon Legend Maker,Dustox EX #86,$42.69
888914,Pokemon Legend Maker,Electrode #32,$1.39
889007,Pokemon Legend Maker,Electrode [Reverse Holo] #32,$12.17
888955,Pokemon Legend Maker,Fieldworker #73,$2.73
889048,Pokemon Legend Maker,Fieldworker [Reverse Holo] #73,$49.25
888969,Pokemon Legend Maker,Flygon EX #87,$57.50
888956,Pokemon Legend Maker,Full Flame #74,$1.42
889049,Pokemon Legend Maker,Full Flame [Reverse Holo] #74,$4.34
888915,Pokemon Legend Maker,Furret #33,$2.99
889008,Pokemon Legend Maker,Furret [Reverse Holo] #33,$17.22
888934,Pokemon Legend Maker,Gastly #52,$1.37
889027,Pokemon Legend Maker,Gastly [Reverse Holo] #52,$32.00
888888,Pokemon Legend Maker,Gengar #5,$55.71
6331935,Pokemon Legend Maker,Gengar [Gym Challenge] #5,$54.57
888980,Pokemon Legend Maker,Gengar [Reverse Holo] #5,$237.50
888935,Pokemon Legend Maker,Geodude #53,$1.62
889028,Pokemon Legend Maker,Geodude [Reverse Holo] #53,$9.82
888957,Pokemon Legend Maker,Giant Stump #75,$1.61
889050,Pokemon Legend Maker,Giant Stump [Reverse Holo] #75,$5.14
888899,Pokemon Legend Maker,Girafarig #16,$2.86
888991,Pokemon Legend Maker,Girafarig [Reverse Holo] #16,$18.43
888889,Pokemon Legend Maker,Golem #6,$4.97
6377807,Pokemon Legend Maker,Golem [Regional Championships] #6,$19.00
888981,Pokemon Legend Maker,Golem [Reverse Holo] #6,$14.10
889868,Pokemon Legend Maker,Gorebyss #17,$0.99
888992,Pokemon Legend Maker,Gorebyss [Reverse Holo] #17,$11.00
888916,Pokemon Legend Maker,Graveler #34,$1.20
889009,Pokemon Legend Maker,Graveler [Reverse Holo] #34,$19.48
888936,Pokemon Legend Maker,Grimer #54,$1.59
889029,Pokemon Legend Maker,Grimer [Reverse Holo] #54,$11.16
888937,Pokemon Legend Maker,Growlithe #55,$2.50
889030,Pokemon Legend Maker,Growlithe [Reverse Holo] #55,$33.97
888917,Pokemon Legend Maker,Haunter #35,$4.87
889010,Pokemon Legend Maker,Haunter [Reverse Holo] #35,$78.33
888900,Pokemon Legend Maker,Huntail #18,$1.16
888993,Pokemon Legend Maker,Huntail [Reverse Holo] #18,$13.80
888918,Pokemon Legend Maker,Kabuto #36,$0.99
889011,Pokemon Legend Maker,Kabuto [Reverse Holo] #36,$16.41
888890,Pokemon Legend Maker,Kabutops #7,$19.36
888982,Pokemon Legend Maker,Kabutops [Reverse Holo] #7,$29.81
888919,Pokemon Legend Maker,Kecleon #37,$2.75
889012,Pokemon Legend Maker,Kecleon [Reverse Holo] #37,$19.99
888920,Pokemon Legend Maker,Lairon #38,$1.50
889013,Pokemon Legend Maker,Lairon [Reverse Holo] #38,$16.00
888901,Pokemon Legend Maker,Lanturn #19,$1.06
888994,Pokemon Legend Maker,Lanturn [Reverse Holo] #19,$14.98
888891,Pokemon Legend Maker,Lapras #8,$25.15
888983,Pokemon Legend Maker,Lapras [Reverse Holo] #8,$48.75
888938,Pokemon Legend Maker,Lileep #56,$0.65
889032,Pokemon Legend Maker,Lileep [Reverse Holo] #56,$5.63
888902,Pokemon Legend Maker,Lunatone #20,$3.75
888995,Pokemon Legend Maker,Lunatone [Reverse Holo] #20,$13.85
888892,Pokemon Legend Maker,Machamp #9,$10.74
888984,Pokemon Legend Maker,Machamp [Reverse Holo] #9,$22.76
888921,Pokemon Legend Maker,Machoke #39,$1.98
889014,Pokemon Legend Maker,Machoke [Reverse Holo] #39,$17.45
888939,Pokemon Legend Maker,Machop #57,$1.00
889031,Pokemon Legend Maker,Machop [Reverse Holo] #57,$17.27
4916951,Pokemon Legend Maker,Machop [Stamped] #57,$6.50
888940,Pokemon Legend Maker,Magby #58,$4.01
889033,Pokemon Legend Maker,Magby [Reverse Holo] #58,$19.95
888903,Pokemon Legend Maker,Magmar #21,$2.02
888996,Pokemon Legend Maker,Magmar [Reverse Holo] #21,$22.52
888941,Pokemon Legend Maker,Magnemite #59,$1.04
889034,Pokemon Legend Maker,Magnemite [Reverse Holo] #59,$11.65
888904,Pokemon Legend Maker,Magneton #22,$1.40
888997,Pokemon Legend Maker,Magneton [Reverse Holo] #22,$14.80
888893,Pokemon Legend Maker,Mew #10,$102.37
888970,Pokemon Legend Maker,Mew EX #88,$150.00
888985,Pokemon Legend Maker,Mew [Reverse Holo] #10,$151.05
888922,Pokemon Legend Maker,Misdreavus #40,$1.40
889015,Pokemon Legend Maker,Misdreavus [Reverse Holo] #40,$14.43
888894,Pokemon Legend Maker,Muk #11,$11.08
